셀트리온제약(068760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-02-03,14699,16082,13574,14008,766889,66371.0,4097000.0
2006-02-06,13445,14136,11932,12538,228955,59406.0,4097000.0
2006-02-07,12709,12797,11369,11414,145242,54080.0,4097000.0
2006-02-08,11498,13099,11498,13100,539236,62070.0,4097000.0
2006-02-09,12623,12968,11326,11587,283990,54900.0,4097000.0
2006-02-10,11456,11715,10374,10809,157269,51212.0,4097000.0
2006-02-13,10807,12406,10462,10982,461679,52032.0,4097000.0
2006-02-14,10936,10936,10548,10809,109184,51212.0,4097000.0
2006-02-15,11240,11240,10202,10203,98709,48345.0,4097000.0
2006-02-16,10202,10807,10029,10548,135300,49983.0,4097000.0
2006-02-17,10548,11153,10504,10593,114772,50188.0,4097000.0
2006-02-20,10720,10720,10418,10463,46368,49574.0,4097000.0
2006-02-21,10462,10634,9856,10031,89863,47525.0,4097000.0
2006-02-22,9812,9986,9640,9729,79999,46091.0,4097000.0
2006-02-23,9812,10288,9769,9858,101424,46706.0,4097000.0
2006-02-24,9900,10029,9684,9685,44247,45886.0,4097000.0
2006-02-27,9640,9900,9509,9729,54699,46091.0,4097000.0
2006-02-28,9640,9769,9466,9469,71927,44862.0,4097000.0
2006-03-02,9640,9684,9294,9425,56968,44657.0,4097000.0
2006-03-03,9338,9684,9294,9296,114453,46730.0,4347000.0
2006-03-06,9207,9338,8948,9079,86234,45644.0,4347000.0
2006-03-07,9034,9034,8646,8646,54489,43470.0,4347000.0
2006-03-08,8646,8732,8255,8301,57957,41731.0,4347000.0
2006-03-09,8316,9338,8299,8776,99740,44122.0,4347000.0
2006-03-10,8688,9078,8490,9079,43765,45644.0,4347000.0
2006-03-13,9294,9380,8905,8950,32570,44991.0,4347000.0
2006-03-14,8948,9078,8636,8734,44958,43905.0,4347000.0
2006-03-15,8817,8905,8524,8535,30389,42905.0,4347000.0
2006-03-16,8533,8646,8316,8388,38539,42166.0,4347000.0
2006-03-17,8255,8481,8221,8483,23549,42644.0,4347000.0
2006-03-20,8403,8905,8403,8821,48712,44339.0,4347000.0
2006-03-21,8817,8905,8515,8646,24244,43470.0,4347000.0
2006-03-22,8481,8559,8308,8405,24490,42253.0,4347000.0
2006-03-23,8430,8576,8231,8335,37545,41905.0,4347000.0
2006-03-24,8299,8325,7781,7956,53916,39992.0,4347000.0
2006-03-27,7953,8074,7806,7861,51732,39514.0,4347000.0
