동양피엔에프(104460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-12-22,10346,10590,8794,8796,3473087,93925.0,6500000.0
2009-12-23,8672,8794,7516,7822,966778,83525.0,6500000.0
2009-12-24,8033,8520,7912,7943,523729,84825.0,6500000.0
2009-12-28,8216,8399,7972,8217,283704,87750.0,6500000.0
2009-12-29,8277,8520,7668,7882,244617,84175.0,6500000.0
2009-12-30,7943,7972,7516,7761,112080,82875.0,6500000.0
2010-01-04,7851,7881,7303,7487,170022,79950.0,6500000.0
2010-01-05,7485,7729,7211,7487,256318,79950.0,6500000.0
2010-01-06,7546,7546,7272,7274,131816,77675.0,6500000.0
2010-01-07,7303,7729,7181,7548,213054,80600.0,6500000.0
2010-01-08,7485,7637,7364,7517,79360,80275.0,6500000.0
2010-01-11,7485,8399,7424,8125,349238,86775.0,6500000.0
2010-01-12,8246,8277,7820,8035,132044,85800.0,6500000.0
2010-01-13,7912,8033,7485,7517,190888,80275.0,6500000.0
2010-01-14,7577,7607,7150,7213,205393,77025.0,6500000.0
2010-01-15,7272,7546,7059,7121,251467,76050.0,6500000.0
2010-01-18,7059,7546,7059,7517,207205,80275.0,6500000.0
2010-01-19,7577,7912,7333,7335,211091,78325.0,6500000.0
2010-01-20,7456,7912,7333,7669,283290,81900.0,6500000.0
2010-01-21,7607,7881,7485,7517,136326,80275.0,6500000.0
2010-01-22,7333,7637,7333,7487,127786,79950.0,6500000.0
2010-01-25,7333,7364,7029,7060,136960,75400.0,6500000.0
2010-01-26,7121,7211,6634,6634,113528,70850.0,6500000.0
2010-01-27,6634,6847,6451,6573,80503,70200.0,6500000.0
2010-01-28,6785,6785,6116,6239,162545,66625.0,6500000.0
2010-01-29,6146,6146,5538,5569,276191,59475.0,6500000.0
2010-02-01,5575,5745,5447,5660,65558,60450.0,6500000.0
2010-02-02,5702,5884,5604,5721,77323,61100.0,6500000.0
2010-02-03,5842,5884,5689,5709,55993,60970.0,6500000.0
2010-02-04,5751,5775,5635,5758,56076,61490.0,6500000.0
2010-02-05,5477,5581,5337,5447,65155,58175.0,6500000.0
2010-02-08,5495,5514,5337,5387,41474,57525.0,6500000.0
2010-02-09,5416,5770,5252,5727,128620,61165.0,6500000.0
2010-02-10,5727,5787,5678,5777,63722,61685.0,6500000.0
2010-02-11,5775,5945,5775,5898,35893,62985.0,6500000.0
2010-02-12,5909,6043,5891,6026,35943,64350.0,6500000.0
2010-02-16,5934,6207,5934,6080,46704,64935.0,6500000.0
2010-02-17,6079,6176,6043,6086,41765,65000.0,6500000.0
2010-02-18,6055,6176,6025,6032,34633,64415.0,6500000.0
2010-02-19,6048,6062,5781,5977,60123,63830.0,6500000.0
2010-02-22,6073,6073,5854,5995,22852,64025.0,6500000.0
2010-02-23,5897,6006,5897,5995,11503,64025.0,6500000.0
2010-02-24,6025,6079,5921,6038,42568,64480.0,6500000.0
2010-02-25,6079,6079,5860,5929,15466,63310.0,6500000.0
2010-02-26,5927,5958,5635,5922,29996,63245.0,6500000.0
2010-03-02,5909,6012,5897,5904,15743,63050.0,6500000.0
2010-03-03,5848,5994,5799,5855,10738,62530.0,6500000.0
2010-03-04,5854,5854,5617,5763,25497,61555.0,6500000.0
2010-03-05,5763,5836,5678,5703,16851,60905.0,6500000.0
2010-03-08,5702,5709,5635,5691,27557,60775.0,6500000.0
2010-03-09,5696,5720,5629,5679,17409,60645.0,6500000.0
2010-03-10,5678,5787,5659,5716,36458,61035.0,6500000.0
2010-03-11,5732,5732,5629,5630,23153,60125.0,6500000.0
2010-03-12,5689,5689,5575,5599,15586,59800.0,6500000.0
2010-03-15,5599,5714,5599,5630,22912,60125.0,6500000.0
2010-03-16,5653,5672,5581,5606,14686,59865.0,6500000.0
2010-03-17,5629,6421,5629,6421,297353,68575.0,6500000.0
2010-03-18,6634,7059,6451,6634,538237,70850.0,6500000.0
2010-03-19,6634,6755,6268,6482,222386,69225.0,6500000.0
2010-03-22,6573,6815,6329,6391,201714,68250.0,6500000.0
2010-03-23,6421,7333,6421,7182,505695,76700.0,6500000.0
2010-03-24,7029,7181,6724,6726,237369,71825.0,6500000.0
2010-03-25,6998,7729,6998,7365,743202,78650.0,6500000.0
2010-03-26,7181,7546,7150,7487,181224,79950.0,6500000.0
2010-03-29,7516,7516,7211,7426,109038,79300.0,6500000.0
2010-03-30,7485,7485,6938,6969,158665,74425.0,6500000.0
2010-03-31,7090,7303,6785,6848,116399,73125.0,6500000.0
2010-04-01,6847,7181,6755,6908,86511,73775.0,6500000.0
2010-04-02,7029,7759,6969,7274,397605,77675.0,6500000.0
2010-04-05,7242,7485,6634,6908,146158,73775.0,6500000.0
2010-04-06,6938,7303,6908,7152,79739,76375.0,6500000.0
2010-04-07,7211,7851,7211,7517,325204,80275.0,6500000.0
2010-04-08,7546,7820,7272,7577,223946,80925.0,6500000.0
2010-04-09,7637,7912,7364,7882,148434,84175.0,6500000.0
2010-04-12,7881,7881,7607,7761,85849,82875.0,6500000.0
