제룡산업(147830),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-02-13,2856,3173,2479,2479,2361615,24788.0,7932320.0
2012-02-14,2483,2848,2479,2848,4130258,28477.0,7932320.0
2012-02-15,2848,2880,2503,2523,1605363,25225.0,7932320.0
2012-02-16,2562,2566,2419,2440,619398,24392.0,7932320.0
2012-02-17,2439,2582,2427,2428,507415,24273.0,7932320.0
2012-02-20,2412,2439,2336,2376,497660,23757.0,7932320.0
2012-02-21,2372,2491,2308,2444,743322,24432.0,7932320.0
2012-02-22,2412,2427,2316,2341,370192,23400.0,7932320.0
2012-02-23,2328,2372,2261,2317,228066,23162.0,7932320.0
2012-02-24,2348,2396,2273,2325,425403,23242.0,7932320.0
2012-02-27,2352,2376,2285,2301,283467,23004.0,7932320.0
2012-02-28,2324,2324,2181,2182,330802,21814.0,7932320.0
2012-02-29,2189,2213,2173,2190,126685,21893.0,7932320.0
2012-03-02,2300,2491,2285,2349,1258611,23480.0,7932320.0
2012-03-05,2316,2427,2304,2420,390891,24194.0,7932320.0
2012-03-06,2380,2419,2253,2313,252986,23123.0,7932320.0
2012-03-07,2181,2360,2181,2360,210610,23599.0,7932320.0
2012-03-08,2364,2396,2320,2364,207499,23638.0,7932320.0
2012-03-09,2364,2376,2328,2353,93728,23519.0,7932320.0
2012-03-12,2475,2475,2356,2368,122452,23678.0,7932320.0
2012-03-13,2364,2368,2289,2325,76088,23242.0,7932320.0
2012-03-14,2372,2372,2261,2301,136233,23004.0,7932320.0
2012-03-15,2289,2364,2273,2341,92661,23400.0,7932320.0
2012-03-16,2356,2376,2304,2372,99964,23718.0,7932320.0
2012-03-19,2356,2491,2300,2380,429665,23797.0,7932320.0
2012-03-20,2384,2467,2352,2420,385607,24194.0,7932320.0
2012-03-21,2419,2419,2352,2388,123075,23876.0,7932320.0
2012-03-22,2360,2384,2285,2325,171452,23242.0,7932320.0
2012-03-23,2332,2332,2277,2313,102266,23123.0,7932320.0
2012-03-26,2285,2312,2281,2313,73062,23123.0,7932320.0
