한국제7호스팩(291210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-05-11,2000,2000,1975,1985,93778,10044.0,5060000.0
2018-05-14,2000,2000,1985,1990,5828,10069.0,5060000.0
2018-05-15,1995,2000,1985,2000,31353,10120.0,5060000.0
2018-05-16,1995,1995,1985,1990,44516,10069.0,5060000.0
2018-05-17,1985,1995,1985,1990,4208,10069.0,5060000.0
2018-05-18,1985,1995,1985,1995,75336,10095.0,5060000.0
2018-05-21,1995,1995,1990,1995,7946,10095.0,5060000.0
2018-05-23,1995,2030,1995,2000,75996,10120.0,5060000.0
2018-05-24,2000,2000,1990,2000,6668,10120.0,5060000.0
2018-05-25,2000,2000,1995,2000,35180,10120.0,5060000.0
2018-05-28,2000,2005,1995,2005,138621,10145.0,5060000.0
2018-05-29,2000,2005,1990,2005,100508,10145.0,5060000.0
2018-05-30,2005,2005,2000,2000,8958,10120.0,5060000.0
2018-05-31,2005,2020,1995,2015,44561,10196.0,5060000.0
2018-06-01,2010,2015,2000,2015,97699,10196.0,5060000.0
2018-06-04,2015,2030,2005,2020,101622,10221.0,5060000.0
2018-06-05,2020,2025,2015,2015,30127,10196.0,5060000.0
2018-06-07,2030,2030,2025,2030,482,10272.0,5060000.0
2018-06-08,2030,2040,2005,2010,11757,10171.0,5060000.0
2018-06-11,2010,2015,2005,2015,45169,10196.0,5060000.0
2018-06-12,2015,2045,2005,2035,33980,10297.0,5060000.0
2018-06-14,2040,2040,1985,2005,64204,10145.0,5060000.0
2018-06-15,2030,2030,2005,2030,19290,10272.0,5060000.0
2018-06-18,2000,2020,2000,2005,13111,10145.0,5060000.0
2018-06-19,2005,2025,2005,2010,14215,10171.0,5060000.0
2018-06-20,2010,2025,2005,2010,13928,10171.0,5060000.0
2018-06-21,2010,2025,2005,2015,19836,10196.0,5060000.0
2018-06-22,2005,2015,2005,2015,14088,10196.0,5060000.0
2018-06-25,2020,2020,2005,2015,12007,10196.0,5060000.0
2018-06-26,2025,2025,2005,2020,12053,10221.0,5060000.0
2018-06-27,2005,2020,2005,2020,8834,10221.0,5060000.0
2018-06-28,2025,2025,2015,2020,34067,10221.0,5060000.0
2018-06-29,2015,2020,2015,2015,14332,10196.0,5060000.0
