이엘피(063760),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-04-28,3240,3240,3240,3240,0,10295.0,3177500.0
2015-04-29,3725,3725,3725,3725,2000,11836.0,3177500.0
2015-04-30,4280,4280,4280,4280,90,13600.0,3177500.0
2015-05-04,4920,4920,4920,4920,1000,15633.0,3177500.0
2015-05-06,4185,4185,4185,4185,2000,13298.0,3177500.0
2015-05-07,4185,4185,4185,4185,0,13298.0,3177500.0
2015-05-08,3570,4000,3560,3655,4500,11614.0,3177500.0
2015-05-11,4150,4150,4150,4150,1,13187.0,3177500.0
2015-05-12,4100,4100,4100,4100,0,13028.0,3177500.0
2015-05-13,4100,4100,4100,4100,0,13028.0,3177500.0
2015-05-14,4100,4100,4100,4100,0,,
2015-05-15,4715,4715,4715,4715,1,14982.0,3177500.0
2015-05-18,5420,5420,5420,5420,1,17222.0,3177500.0
2015-05-19,6230,6230,6230,6230,1,19796.0,3177500.0
2015-05-20,5300,5300,5300,5300,200,16841.0,3177500.0
2015-05-21,4600,4600,4600,4600,1,14616.0,3177500.0
2015-05-22,3910,3910,3910,3910,300,12424.0,3177500.0
2015-05-26,3325,3325,3325,3325,500,10565.0,3177500.0
2015-05-27,3820,3820,3820,3820,1,12138.0,3177500.0
2015-05-28,4390,4390,4390,4390,1,13949.0,3177500.0
2015-05-29,4390,4390,4390,4390,0,13949.0,3177500.0
2015-06-01,3735,3735,3735,3735,1430,11868.0,3177500.0
2015-06-02,3735,3735,3735,3735,0,11868.0,3177500.0
2015-06-03,3475,3735,3475,3735,540,11868.0,3177500.0
2015-06-04,4000,4000,4000,4000,1,12710.0,3177500.0
2015-06-05,3950,3950,3950,3950,0,12551.0,3177500.0
2015-06-08,3850,3850,3850,3850,0,12233.0,3177500.0
2015-06-09,4420,4420,4420,4420,1,14045.0,3177500.0
2015-06-10,5000,5000,5000,5000,1,15888.0,3177500.0
2015-06-11,4250,4250,4250,4250,300,13504.0,3177500.0
2015-06-12,3615,3830,3615,3830,301,12170.0,3177500.0
2015-06-15,3585,3795,3585,3795,590,12059.0,3177500.0
2015-06-16,3230,3230,3230,3230,400,10263.0,3177500.0
2015-06-17,3215,3215,3215,3215,17614,10216.0,3177500.0
2015-06-18,2890,2905,2890,2905,1005,9231.0,3177500.0
2015-06-19,2475,2475,2475,2475,0,7864.0,3177500.0
2015-06-22,2475,2475,2475,2475,0,7864.0,3177500.0
2015-06-23,2800,2800,2800,2800,3,8897.0,3177500.0
2015-06-24,3200,3200,3200,3200,1,10168.0,3177500.0
2015-06-25,3500,3500,3500,3500,1,11121.0,3177500.0
2015-06-26,3150,3150,3150,3150,0,10009.0,3177500.0
