메가스터디교육(215200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-05-04,27009,28389,22968,22968,85076,266838.0,2324376.0
2015-05-06,21187,21207,19766,19767,109535,229648.0,2324376.0
2015-05-07,20167,22007,19406,20887,87242,242665.0,2324376.0
2015-05-08,20887,21447,20207,21227,24026,246616.0,2324376.0
2015-05-11,21207,21467,19486,21407,43530,248708.0,2324376.0
2015-05-12,21027,21207,20247,20647,24793,239876.0,2324376.0
2015-05-13,20647,21167,20307,20707,6051,240573.0,2324376.0
2015-05-14,20327,21007,20287,20707,9037,240573.0,2324376.0
2015-05-15,20567,21027,20167,20347,10272,236389.0,2324376.0
2015-05-18,20006,20587,19226,20247,18579,235227.0,2324376.0
2015-05-19,20147,20707,19586,20087,14366,233367.0,2324376.0
2015-05-20,20207,20687,19906,20087,7570,233367.0,2324376.0
2015-05-21,20006,20167,19786,20087,6329,233367.0,2324376.0
2015-05-22,20147,20147,19526,19987,10238,232205.0,2324376.0
2015-05-26,19626,19806,19426,19427,6121,225697.0,2324376.0
2015-05-27,19006,20367,18726,19667,16962,228486.0,2324376.0
2015-05-28,19906,19906,19086,19647,6814,228254.0,2324376.0
2015-05-29,19626,20207,19166,19167,20564,222675.0,2324376.0
2015-06-01,19126,19426,18966,18967,5552,220351.0,2324376.0
2015-06-02,18966,19126,18726,18967,7310,220351.0,2324376.0
2015-06-03,18866,19606,18706,18707,4807,217329.0,2324376.0
2015-06-04,18906,18906,18226,18667,10788,216864.0,2324376.0
2015-06-05,18186,18766,17926,18627,10992,216399.0,2324376.0
2015-06-08,18326,18646,18246,18446,1837,214307.0,2324376.0
2015-06-09,18246,18586,18046,18406,2884,213843.0,2324376.0
2015-06-10,18206,18486,17926,18366,6157,213378.0,2324376.0
2015-06-11,18046,18486,18026,18366,5651,213378.0,2324376.0
2015-06-12,18226,18546,17466,17466,8720,202918.0,2324376.0
2015-06-15,17686,17686,16485,16626,6913,193156.0,2324376.0
2015-06-16,16645,16945,15825,15906,8681,184788.0,2324376.0
2015-06-17,16185,16185,15345,15425,7998,179209.0,2324376.0
2015-06-18,15465,15805,15085,15085,7217,175258.0,2324376.0
2015-06-19,15325,15325,14325,14425,17183,167588.0,2324376.0
2015-06-22,14825,14825,14325,14505,6517,168517.0,2324376.0
2015-06-23,14725,14765,14325,14505,7569,168517.0,2324376.0
2015-06-24,14505,14605,14224,14245,7973,165496.0,2324376.0
2015-06-25,14304,14304,13944,14225,11460,165263.0,2324376.0
2015-06-26,14084,14345,13804,14245,8988,165496.0,2324376.0
2015-06-29,14204,14304,13804,14005,6011,162706.0,2324376.0
2015-06-30,13824,14064,13824,14005,1886,162706.0,2324376.0
2015-07-01,13944,14124,13844,14005,3958,162706.0,2324376.0
2015-07-02,13924,13924,13384,13605,14437,158058.0,2324376.0
2015-07-03,13584,13604,13204,13365,8451,155268.0,2324376.0
2015-07-06,13404,13584,12624,12664,15175,147133.0,2324376.0
2015-07-07,12624,12764,12204,12444,59112,144576.0,2324376.0
2015-07-08,12584,13104,12464,12724,6060,147830.0,2324376.0
2015-07-09,12804,13444,12524,12985,6775,150852.0,2324376.0
2015-07-10,13044,13664,12944,13345,3757,155036.0,2324376.0
2015-07-13,13524,13704,13244,13705,104008,159220.0,2324376.0
2015-07-14,13804,14785,13804,14465,10801,168052.0,2324376.0
2015-07-15,14465,14765,14064,14405,8975,167355.0,2324376.0
2015-07-16,14405,14885,14224,14865,3516,172701.0,2324376.0
2015-07-17,15005,15005,14284,14865,3277,172701.0,2324376.0
2015-07-20,14905,14905,14385,14885,4408,172934.0,2324376.0
2015-07-21,14605,14785,14345,14685,3947,170609.0,2324376.0
2015-07-22,14605,14765,14304,14685,4704,170609.0,2324376.0
2015-07-23,14685,14765,14345,14685,2663,170609.0,2324376.0
2015-07-24,14685,14685,14144,14185,3285,164798.0,2324376.0
2015-07-27,14244,14825,13944,14245,4755,165496.0,2324376.0
2015-07-28,14565,14625,14044,14585,3194,169447.0,2324376.0
2015-07-29,14685,14945,14385,14385,6291,167123.0,2324376.0
2015-07-30,14385,14685,14004,14605,3962,169679.0,2324376.0
2015-07-31,14485,14825,14004,14785,6693,171771.0,2324376.0
2015-08-03,14765,14765,14324,14765,3753,171539.0,2324376.0
2015-08-04,14465,14785,14325,14725,2981,171074.0,2324376.0
2015-08-05,14765,14765,14345,14445,8309,167820.0,2324376.0
2015-08-06,14765,14905,14385,14905,3792,173166.0,2324376.0
2015-08-07,14905,14905,14505,14885,2562,172934.0,2324376.0
2015-08-10,14565,14905,14485,14865,3790,172701.0,2324376.0
