아모그린텍(125210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-29,10300,12250,9990,10200,18466163,168267.0,16496790.0
2019-04-01,10450,12400,10200,11900,10083539,196312.0,16496790.0
2019-04-02,11800,12000,10700,10850,3440357,178990.0,16496790.0
2019-04-03,11250,11650,11000,11000,2558924,181465.0,16496790.0
2019-04-04,11100,11300,10400,10950,1463684,180640.0,16496790.0
2019-04-05,11300,11650,10850,11200,1869336,184764.0,16496790.0
2019-04-08,11100,11300,10800,10850,899859,178990.0,16496790.0
2019-04-09,10900,11600,10650,11550,1556748,190538.0,16496790.0
2019-04-10,11300,11350,11100,11250,1003849,185589.0,16496790.0
2019-04-11,11350,11550,11050,11300,896382,186414.0,16496790.0
2019-04-12,11250,11350,10900,10900,815325,179815.0,16496790.0
2019-04-15,10950,11000,10650,10700,625049,176516.0,16496790.0
2019-04-16,10700,10850,10450,10500,478326,173216.0,16496790.0
2019-04-17,10550,10850,10400,10500,497627,173216.0,16496790.0
2019-04-18,10550,10650,10400,10400,361661,171567.0,16496790.0
2019-04-19,10550,10600,10250,10350,326895,170742.0,16496790.0
2019-04-22,10400,10450,10050,10200,386878,168267.0,16496790.0
2019-04-23,10200,10550,10150,10200,468643,168267.0,16496790.0
2019-04-24,10300,10350,9460,9490,784178,156555.0,16496790.0
2019-04-25,9360,9380,8800,8920,956907,147151.0,16496790.0
2019-04-26,8990,9040,8570,8780,472486,144842.0,16496790.0
2019-04-29,8840,9380,8840,9160,754610,151111.0,16496790.0
2019-04-30,9110,9240,8850,9160,353071,151111.0,16496790.0
2019-05-02,9200,9990,9200,9770,1063484,161174.0,16496790.0
2019-05-03,9750,10150,9570,9860,633302,162658.0,16496790.0
2019-05-07,9580,9750,9360,9360,299716,154410.0,16496790.0
2019-05-08,9200,9230,9010,9050,303863,149296.0,16496790.0
2019-05-09,9220,10100,9000,9200,1131228,151770.0,16496790.0
2019-05-10,9330,11350,9330,10450,7795825,172391.0,16496790.0
2019-05-13,10700,11200,10050,10150,2260672,167442.0,16496790.0
2019-05-14,9900,10450,9730,10450,938917,172391.0,16496790.0
