NHN벅스(104200),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-10-06,8100,9310,6890,9310,12506920,94412.0,10140936.0
2009-10-07,9890,10600,8000,8000,8226640,81127.0,10140936.0
2009-10-08,8150,8270,7160,7420,3384465,75246.0,10140936.0
2009-10-09,7450,7550,7120,7120,1223415,72203.0,10140936.0
2009-10-12,7120,7380,6960,7010,1038483,71088.0,10140936.0
2009-10-13,7120,7900,6880,7170,3024489,72711.0,10140936.0
2009-10-14,7170,7740,7170,7340,1646769,74434.0,10140936.0
2009-10-15,7420,7840,7230,7300,889617,74029.0,10140936.0
2009-10-16,7250,7420,7040,7040,549641,71392.0,10140936.0
2009-10-19,6980,7110,6890,6900,543207,69972.0,10140936.0
2009-10-20,6930,7030,6610,6680,686829,67741.0,10140936.0
2009-10-21,6680,6810,6310,6500,644080,65916.0,10140936.0
2009-10-22,6450,6590,6260,6290,433082,63786.0,10140936.0
2009-10-23,6300,6640,6300,6370,760970,64598.0,10140936.0
2009-10-26,6380,6590,6380,6550,402352,66423.0,10140936.0
2009-10-27,6590,6870,6540,6600,536104,66930.0,10140936.0
2009-10-28,6620,6650,6120,6120,329849,62063.0,10140936.0
2009-10-29,5810,6020,5420,5770,308028,58513.0,10140936.0
2009-10-30,5950,6000,5800,5860,184922,59426.0,10140936.0
2009-11-02,5650,5650,5360,5460,235549,55370.0,10140936.0
2009-11-03,5610,5670,5400,5450,168490,55268.0,10140936.0
2009-11-04,5450,5570,5380,5430,134216,55065.0,10140936.0
2009-11-05,5430,5550,5350,5410,133187,54862.0,10140936.0
2009-11-06,5520,6220,5490,6220,1354501,63077.0,10140936.0
2009-11-09,6390,6410,5950,5980,965941,60643.0,10140936.0
2009-11-10,6080,6250,5870,6220,886084,63077.0,10140936.0
2009-11-11,6380,7150,6360,6650,3378741,67437.0,10140936.0
2009-11-12,6600,6880,6370,6670,1085854,67640.0,10140936.0
2009-11-13,6670,6930,6470,6770,775920,68654.0,10140936.0
2009-11-16,6710,6860,6610,6610,385332,67032.0,10140936.0
2009-11-17,6600,6650,6030,6030,479659,61150.0,10140936.0
2009-11-18,5800,6100,5740,5860,422172,59426.0,10140936.0
2009-11-19,5900,6230,5820,5990,290812,60744.0,10140936.0
2009-11-20,6000,6880,5930,6880,1076842,69770.0,10140936.0
2009-11-23,7190,7500,7050,7150,1926338,72508.0,10140936.0
2009-11-24,7250,7540,7110,7170,1496822,72711.0,10140936.0
2009-11-25,7310,7910,7180,7330,1960533,74333.0,10140936.0
2009-11-26,7470,7770,7190,7190,1007812,72913.0,10140936.0
2009-11-27,7190,8260,7130,8260,4113516,83764.0,10140936.0
2009-11-30,8260,8570,7770,8570,6607205,86908.0,10140936.0
2009-12-01,8490,8570,7890,7900,3496090,80113.0,10140936.0
2009-12-02,8140,8380,7810,7870,2533453,79809.0,10140936.0
2009-12-03,8000,8460,7940,8280,2423861,83967.0,10140936.0
2009-12-04,8420,9520,8360,9520,5390668,96542.0,10140936.0
2009-12-07,9840,10150,9410,9710,5080687,98468.0,10140936.0
2009-12-08,9700,10250,9450,9950,4101485,100902.0,10140936.0
2009-12-09,9700,10300,9690,10200,2082767,103438.0,10140936.0
2009-12-10,10300,11150,10150,10200,3512665,103438.0,10140936.0
2009-12-11,10050,10600,9870,10550,2112183,106987.0,10140936.0
2009-12-14,10850,12000,10650,11400,3301925,115607.0,10140936.0
2009-12-15,11500,11900,11200,11700,1343464,118649.0,10140936.0
2009-12-16,11850,11900,11350,11700,904613,118649.0,10140936.0
2009-12-17,11500,11700,11250,11350,921574,115100.0,10140936.0
2009-12-18,11200,12850,11200,12200,3211591,123719.0,10140936.0
2009-12-21,12300,12850,12050,12400,1598557,125748.0,10140936.0
2009-12-22,12550,12650,11750,12050,840245,122198.0,10140936.0
2009-12-23,12350,12950,10900,11700,2224246,118649.0,10140936.0
2009-12-24,11900,12000,11350,11550,1041054,117128.0,10140936.0
2009-12-28,11400,12100,10750,11050,2233314,112057.0,10140936.0
2009-12-29,11100,12700,10900,12700,3019122,128790.0,10140936.0
2009-12-30,12950,13650,12350,12950,3207803,131325.0,10140936.0
2010-01-04,13050,14850,12850,14850,2832771,150593.0,10140936.0
2010-01-05,15100,16500,14650,15000,3745950,152114.0,10140936.0
2010-01-06,15100,15400,14200,14950,1766192,151607.0,10140936.0
2010-01-07,15500,16100,14750,15200,1845904,154142.0,10140936.0
2010-01-08,15600,15800,14300,15000,1345737,152114.0,10140936.0
2010-01-11,15300,15650,14850,15650,1066103,158706.0,10140936.0
2010-01-12,15750,16250,15200,15300,1645960,155156.0,10140936.0
2010-01-13,15000,15250,13500,13600,1432146,137917.0,10140936.0
2010-01-14,14000,14500,13600,14350,1029921,145522.0,10140936.0
2010-01-15,14700,14700,13750,13750,875074,139438.0,10140936.0
2010-01-18,13650,13800,12600,12600,1540013,127776.0,10140936.0
2010-01-19,12700,13450,11950,12400,1563240,125894.0,10152736.0
2010-01-20,13000,14250,12450,13500,2701067,137062.0,10152736.0
2010-01-21,13350,14500,12950,14050,1649172,142646.0,10152736.0
2010-01-22,13700,14400,12950,13300,1170218,135031.0,10152736.0
2010-01-25,12950,13600,11500,12450,927580,126402.0,10152736.0
2010-01-26,13200,13400,12300,12500,749592,127128.0,10170236.0
2010-01-27,12600,12750,11550,11700,580665,118992.0,10170236.0
2010-01-28,11950,12300,10700,11750,730021,119500.0,10170236.0
2010-01-29,11500,11950,10850,11050,517486,112381.0,10170236.0
2010-02-01,11500,12500,11150,12200,1181588,124077.0,10170236.0
2010-02-02,12400,12500,11800,11950,511585,121534.0,10170236.0
2010-02-03,12400,12800,12100,12150,742446,123568.0,10170236.0
2010-02-04,12200,12200,11800,12000,310711,122043.0,10170236.0
2010-02-05,11100,11650,11000,11100,436259,112890.0,10170236.0
2010-02-08,11450,11600,10850,11000,465124,111873.0,10170236.0
2010-02-09,11000,11450,10700,11350,387799,115432.0,10170236.0
2010-02-10,11500,12050,11200,11900,522935,121026.0,10170236.0
2010-02-11,12150,12500,12050,12200,669229,124077.0,10170236.0
2010-02-12,12200,12800,12000,12150,493757,123568.0,10170236.0
2010-02-16,12250,13800,12150,13500,1046247,137298.0,10170236.0
2010-02-17,13600,13800,13200,13550,819924,137807.0,10170236.0
2010-02-18,13550,13550,13050,13050,394379,132722.0,10170236.0
2010-02-19,13050,13450,12300,12500,574188,127128.0,10170236.0
2010-02-22,12900,13400,12750,13150,677293,133739.0,10170236.0
2010-02-23,13200,13700,13000,13300,651648,135264.0,10170236.0
2010-02-24,13300,14150,13200,13850,809154,140858.0,10170236.0
2010-02-25,14100,14500,13600,14000,896241,142383.0,10170236.0
2010-02-26,14300,14400,13600,13950,468484,141875.0,10170236.0
2010-03-02,14100,14100,13400,13550,474559,137807.0,10170236.0
2010-03-03,13600,14000,13550,13650,403250,138824.0,10170236.0
2010-03-04,13850,13950,13300,13350,310900,135773.0,10170236.0
2010-03-05,13350,13650,12950,13350,299142,135773.0,10170236.0
2010-03-08,13550,14050,13400,13800,711002,140457.0,10178036.0
2010-03-09,13800,13900,13500,13500,238027,137403.0,10178036.0
2010-03-10,13650,13700,13200,13450,311148,136895.0,10178036.0
2010-03-11,13550,14500,13450,14500,1034164,147582.0,10178036.0
2010-03-12,14350,14950,14200,14350,830630,146055.0,10178036.0
2010-03-15,14500,14950,14150,14850,569888,151144.0,10178036.0
2010-03-16,14700,15100,14450,15050,462791,153179.0,10178036.0
2010-03-17,14950,15700,14450,15600,1086669,158777.0,10178036.0
2010-03-18,16450,16450,14650,14650,2161284,149108.0,10178036.0
2010-03-19,14800,15300,14550,15000,604017,152671.0,10178036.0
2010-03-22,14950,15200,14550,14550,241489,148090.0,10178036.0
2010-03-23,14650,14850,14350,14400,285381,146564.0,10178036.0
2010-03-24,14450,15000,14150,14750,377938,150126.0,10178036.0
2010-03-25,14650,14850,14450,14750,194700,150126.0,10178036.0
2010-03-26,14800,14900,14500,14900,188217,151653.0,10178036.0
2010-03-29,14600,14750,14250,14250,254409,145037.0,10178036.0
2010-03-30,14350,14500,13700,14000,358889,142493.0,10178036.0
2010-03-31,14150,14350,13600,13600,309378,138587.0,10190236.0
2010-04-01,13550,13950,13550,13750,264360,140116.0,10190236.0
2010-04-02,13850,13850,12650,13100,757495,133492.0,10190236.0
2010-04-05,13000,13000,11500,12200,542598,124321.0,10190236.0
2010-04-06,12100,12500,11650,12300,443132,125340.0,10190236.0
2010-04-07,12350,12600,12300,12300,210782,125340.0,10190236.0
2010-04-08,12150,12950,11900,12600,388256,128397.0,10190236.0
2010-04-09,12750,12950,12400,12750,184414,129926.0,10190236.0
2010-04-12,12850,12850,12300,12300,141673,125340.0,10190236.0
2010-04-13,12400,12400,11750,11800,272926,120245.0,10190236.0
2010-04-14,11750,11950,11650,11900,189174,121264.0,10190236.0
2010-04-15,12150,12350,11850,12350,258252,125849.0,10190236.0
2010-04-16,12350,12850,12000,12750,266773,129926.0,10190236.0
2010-04-19,12600,12600,12250,12550,137861,127887.0,10190236.0
2010-04-20,12300,12850,12300,12350,188041,125849.0,10190236.0
2010-04-21,12400,12600,12050,12150,283900,123811.0,10190236.0
2010-04-22,12000,12250,11750,11900,244311,121264.0,10190236.0
2010-04-23,11850,12950,11800,12450,670791,126868.0,10190236.0
2010-04-26,12450,12750,11950,12100,398584,162442.0,13424950.0
2010-04-27,12300,12600,12150,12300,378354,165127.0,13424950.0
2010-04-28,11900,12300,11800,12050,293972,161771.0,13424950.0
2010-04-29,12150,13500,12150,12150,1674170,163113.0,13424950.0
2010-04-30,12400,12600,11800,11850,659709,159086.0,13424950.0
2010-05-03,11950,12250,11850,12050,271256,161771.0,13424950.0
2010-05-04,12300,12900,12300,12500,655389,167812.0,13424950.0
2010-05-06,12100,12650,12000,12200,365007,163784.0,13424950.0
2010-05-07,11400,11400,10400,10400,1053785,139619.0,13424950.0
2010-05-10,10250,10550,9960,10050,673494,134921.0,13424950.0
2010-05-11,10250,10300,9490,9560,671538,128343.0,13424950.0
2010-05-12,9570,10300,9470,10100,742553,135592.0,13424950.0
2010-05-13,10400,10500,10050,10100,298194,135592.0,13424950.0
2010-05-14,9970,10300,9530,9650,291574,129551.0,13424950.0
2010-05-17,9470,9560,8220,8250,727210,110756.0,13424950.0
2010-05-18,8410,8770,8410,8500,387550,114112.0,13424950.0
2010-05-19,8310,8440,8150,8150,236198,109413.0,13424950.0
2010-05-20,8110,9220,8110,8470,462116,113709.0,13424950.0
2010-05-24,8480,8900,8480,8710,181454,116931.0,13424950.0
2010-05-25,8720,8720,7410,7600,536079,102030.0,13424950.0
2010-05-26,7750,7960,7650,7840,201598,105252.0,13424950.0
2010-05-27,7800,8740,7800,8650,329184,116126.0,13424950.0
2010-05-28,8820,8850,8370,8600,242177,115455.0,13424950.0
2010-05-31,8510,9000,8500,8940,196845,120019.0,13424950.0
2010-06-01,9160,9800,9150,9400,413607,126195.0,13424950.0
2010-06-03,9520,9800,9490,9530,178604,127940.0,13424950.0
2010-06-04,9600,9680,9270,9400,142706,126195.0,13424950.0
2010-06-07,8770,8960,8700,8850,171823,118811.0,13424950.0
2010-06-08,8670,9350,8660,9100,188264,122167.0,13424950.0
2010-06-09,9120,9270,8840,8900,118727,119482.0,13424950.0
2010-06-10,8910,9100,8840,9000,76196,120825.0,13424950.0
2010-06-11,9070,9200,9000,9000,113551,120825.0,13424950.0
2010-06-14,9080,9140,8750,8900,157659,119482.0,13424950.0
2010-06-15,8810,8910,8670,8730,126290,117200.0,13424950.0
2010-06-16,8830,8830,8400,8500,227372,114112.0,13424950.0
2010-06-17,8650,8780,8450,8550,137832,114783.0,13424950.0
2010-06-18,8550,8550,8310,8370,111258,112367.0,13424950.0
2010-06-21,8480,9440,8430,9140,474910,122704.0,13424950.0
2010-06-22,9130,9190,8860,8880,181408,119214.0,13424950.0
2010-06-23,8880,8990,8570,8580,150948,115186.0,13424950.0
2010-06-24,8580,8780,8480,8590,87370,115320.0,13424950.0
2010-06-25,8390,8540,8390,8400,96333,112770.0,13424950.0
2010-06-28,8410,8500,8210,8230,144178,110487.0,13424950.0
2010-06-29,8260,8400,8050,8080,123468,108474.0,13424950.0
2010-06-30,7630,8040,7630,7880,135748,105789.0,13424950.0
2010-07-01,7900,8140,7660,7800,96856,104715.0,13424950.0
2010-07-02,8000,8000,7660,7820,115410,104983.0,13424950.0
2010-07-05,7820,7820,7630,7640,89594,102567.0,13424950.0
2010-07-06,7650,7730,7570,7700,51110,103372.0,13424950.0
2010-07-07,7800,8640,7770,8000,1112829,107400.0,13424950.0
2010-07-08,8080,8080,7750,7750,186080,104043.0,13424950.0
2010-07-09,7850,7890,7700,7730,96246,103775.0,13424950.0
2010-07-12,7740,7850,7660,7700,138257,103372.0,13424950.0
2010-07-13,7710,7790,7620,7620,147648,102298.0,13424950.0
2010-07-14,7700,7750,7520,7570,176913,101627.0,13424950.0
2010-07-15,7690,7870,7600,7750,185605,104043.0,13424950.0
2010-07-16,7750,8120,7750,7750,236697,104043.0,13424950.0
2010-07-19,7740,7740,7500,7640,83097,102567.0,13424950.0
2010-07-20,7610,7790,7610,7620,101490,102298.0,13424950.0
2010-07-21,7670,7980,7620,7870,138291,105654.0,13424950.0
2010-07-22,7940,8120,7670,7670,254714,102969.0,13424950.0
2010-07-23,7750,7830,7590,7800,123698,104715.0,13424950.0
2010-07-26,7820,7920,7740,7740,147501,103909.0,13424950.0
2010-07-27,7810,8030,7770,7930,162304,106460.0,13424950.0
2010-07-28,8050,8500,8010,8100,643734,108742.0,13424950.0
2010-07-29,8030,8100,7890,8000,138403,107400.0,13424950.0
2010-07-30,8010,8350,7910,8120,215115,109011.0,13424950.0
2010-08-02,8200,8400,8090,8130,187296,109145.0,13424950.0
2010-08-03,8130,8240,7950,8020,170353,107668.0,13424950.0
2010-08-04,8070,8270,7880,8060,403854,108205.0,13424950.0
2010-08-05,8080,8120,7870,7940,184465,106594.0,13424950.0
2010-08-06,7950,8060,7830,7890,161368,105923.0,13424950.0
2010-08-09,7920,8030,7860,7960,204006,106863.0,13424950.0
2010-08-10,8020,8580,7980,8500,673311,114112.0,13424950.0
2010-08-11,8670,9400,8640,9100,1552762,122167.0,13424950.0
2010-08-12,8810,9190,8720,9030,446183,121227.0,13424950.0
2010-08-13,9130,9440,8910,8960,404599,120288.0,13424950.0
2010-08-16,9100,9350,9050,9320,382943,125121.0,13424950.0
2010-08-17,9270,9340,8610,8680,384204,116529.0,13424950.0
2010-08-18,8780,9040,8700,8900,278224,119482.0,13424950.0
2010-08-19,9030,9110,8540,8580,293359,115186.0,13424950.0
2010-08-20,8580,8820,8420,8660,175646,116260.0,13424950.0
2010-08-23,8780,9130,8680,8850,279144,118811.0,13424950.0
2010-08-24,8900,8940,8500,8600,201397,115455.0,13424950.0
2010-08-25,8500,8570,8010,8050,280731,108071.0,13424950.0
2010-08-26,8200,8220,8050,8100,144928,108742.0,13424950.0
2010-08-27,8000,8420,8000,8420,170508,113038.0,13424950.0
2010-08-30,8830,9440,8700,9200,897809,123510.0,13424950.0
2010-08-31,9140,9380,8950,9160,347143,122973.0,13424950.0
2010-09-01,9210,9510,9130,9500,519394,127537.0,13424950.0
2010-09-02,9520,9750,9270,9270,389419,124449.0,13424950.0
2010-09-03,9350,9500,9140,9300,343158,124852.0,13424950.0
2010-09-06,9420,10450,9350,10050,1138690,134921.0,13424950.0
2010-09-07,10050,10150,9800,9860,258048,132370.0,13424950.0
2010-09-08,9750,9920,9390,9450,308746,126866.0,13424950.0
2010-09-09,9460,10350,9460,9820,680829,131833.0,13424950.0
2010-09-10,9950,10150,9600,9620,263869,129148.0,13424950.0
2010-09-13,9620,9620,9370,9390,277060,126060.0,13424950.0
2010-09-14,9490,9560,9130,9190,224610,123375.0,13424950.0
2010-09-15,9270,9520,9150,9440,188296,126732.0,13424950.0
2010-09-16,9400,9990,9220,9220,559716,123778.0,13424950.0
2010-09-17,9260,9410,8850,8950,310657,120153.0,13424950.0
2010-09-20,8960,9120,8900,9030,124190,121227.0,13424950.0
2010-09-24,8980,9030,8750,8760,156357,117603.0,13424950.0
2010-09-27,8800,8910,8700,8850,120144,118811.0,13424950.0
2010-09-28,8920,9290,8900,9130,288242,122570.0,13424950.0
2010-09-29,9260,9260,8920,8980,193095,120556.0,13424950.0
2010-09-30,9020,9060,8730,8740,180471,117334.0,13424950.0
2010-10-01,8900,8920,8700,8740,145468,117334.0,13424950.0
2010-10-04,8860,8910,8760,8770,110951,117737.0,13424950.0
2010-10-05,8810,9030,8710,8940,161808,120019.0,13424950.0
2010-10-06,9070,9100,8760,8830,150930,118542.0,13424950.0
2010-10-07,8870,8990,8710,8710,122724,116931.0,13424950.0
2010-10-08,8700,8810,8640,8680,104799,116529.0,13424950.0
2010-10-11,8650,8750,8620,8640,102687,115992.0,13424950.0
2010-10-12,8700,8810,8420,8440,109111,113307.0,13424950.0
