피씨엘(241820),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-02-23,7800,9850,7350,9160,17527448,81718.0,8921164.0
2017-02-24,9040,10150,8490,8490,6907845,75741.0,8921164.0
2017-02-27,8650,10750,8500,9860,9300592,87963.0,8921164.0
2017-02-28,10050,10600,9380,9450,4301649,84305.0,8921164.0
2017-03-02,9460,10300,9220,9220,3002504,82253.0,8921164.0
2017-03-03,9320,9570,8430,8670,1423239,77346.0,8921164.0
2017-03-06,8700,8740,8450,8500,733957,75830.0,8921164.0
2017-03-07,8490,8830,8190,8190,1212715,73064.0,8921164.0
2017-03-08,8300,8420,8200,8200,548259,73154.0,8921164.0
2017-03-09,8140,8140,7510,7520,1000805,67087.0,8921164.0
2017-03-10,7500,7610,6820,7230,810156,64500.0,8921164.0
2017-03-13,7290,7620,7080,7210,800125,64322.0,8921164.0
2017-03-14,7580,8390,7550,7620,2986657,67979.0,8921164.0
2017-03-15,7660,7690,7240,7350,497735,65571.0,8921164.0
2017-03-16,7400,7600,7290,7490,408204,66820.0,8921164.0
2017-03-17,7490,8610,7330,8000,3245992,71369.0,8921164.0
2017-03-20,7950,9350,7750,8320,3565806,74224.0,8921164.0
2017-03-21,8320,8480,8140,8190,698841,73064.0,8921164.0
2017-03-22,8230,9250,8150,8620,3850357,76900.0,8921164.0
2017-03-23,8630,8700,8170,8460,886857,75473.0,8921164.0
2017-03-24,8490,8650,8100,8100,550294,72261.0,8921164.0
2017-03-27,8100,8230,7670,7770,432986,69317.0,8921164.0
2017-03-28,7700,7890,7550,7580,241960,67622.0,8921164.0
2017-03-29,7600,8350,7600,7880,738974,70299.0,8921164.0
2017-03-30,7900,7970,7710,7860,202451,70120.0,8921164.0
2017-03-31,7810,7860,7620,7620,180065,67979.0,8921164.0
2017-04-03,7630,8250,7620,7800,489265,69585.0,8921164.0
2017-04-04,7840,8250,7810,7890,422890,70388.0,8921164.0
2017-04-05,7960,8210,7930,8060,353032,71905.0,8921164.0
2017-04-06,8080,8160,7920,7950,168588,70923.0,8921164.0
2017-04-07,7950,7990,7680,7800,174267,69585.0,8921164.0
2017-04-10,7770,7780,7420,7430,171612,66284.0,8921164.0
2017-04-11,7430,7700,7310,7350,120480,65571.0,8921164.0
2017-04-12,7430,7460,7260,7300,101419,65124.0,8921164.0
2017-04-13,7420,7850,7340,7460,174464,66552.0,8921164.0
2017-04-14,7460,7470,7200,7220,147006,64411.0,8921164.0
2017-04-17,7220,7390,7160,7170,150919,63965.0,8921164.0
2017-04-18,7180,7310,7160,7240,81166,64589.0,8921164.0
2017-04-19,7210,7320,7130,7160,86173,63876.0,8921164.0
2017-04-20,7130,7210,7120,7140,70109,63697.0,8921164.0
2017-04-21,7150,7410,7120,7200,113115,64232.0,8921164.0
2017-04-24,7210,7300,7080,7080,80879,63162.0,8921164.0
2017-04-25,7090,7170,7030,7040,80698,62805.0,8921164.0
2017-04-26,7100,7200,7030,7040,105570,62805.0,8921164.0
2017-04-27,7220,7220,7030,7060,91258,62983.0,8921164.0
2017-04-28,7050,7050,6860,6870,159122,61288.0,8921164.0
2017-05-02,6850,6890,6690,6720,89297,59950.0,8921164.0
2017-05-04,6740,6920,6740,6760,40876,60307.0,8921164.0
2017-05-08,6880,7090,6830,7000,88319,62448.0,8921164.0
2017-05-10,7000,7080,6920,6950,39791,62002.0,8921164.0
2017-05-11,6980,7230,6890,7180,146273,64054.0,8921164.0
2017-05-12,7220,7220,7090,7180,36218,64054.0,8921164.0
2017-05-15,7160,7230,7000,7000,55352,62448.0,8921164.0
2017-05-16,6980,7130,6850,6850,77811,61110.0,8921164.0
2017-05-17,6790,6860,6690,6730,102616,60039.0,8921164.0
2017-05-18,6730,6730,6600,6690,77479,59683.0,8921164.0
2017-05-19,6630,6790,6580,6750,56048,60218.0,8921164.0
2017-05-22,6830,6830,6670,6710,33851,59861.0,8921164.0
2017-05-23,6670,6790,6480,6550,162105,58434.0,8921164.0
2017-05-24,6550,6700,6410,6440,134042,57452.0,8921164.0
2017-05-25,6370,6440,6160,6200,170047,55311.0,8921164.0
2017-05-26,6140,6410,6140,6230,86290,55579.0,8921164.0
2017-05-29,6240,6310,6210,6270,40906,55936.0,8921164.0
2017-05-30,6250,6300,6180,6300,34569,56203.0,8921164.0
2017-05-31,6400,6410,6270,6370,34445,56828.0,8921164.0
2017-06-01,6370,6430,6230,6320,60372,56382.0,8921164.0
2017-06-02,6400,6400,6180,6220,71823,55490.0,8921164.0
2017-06-05,6300,6350,6220,6240,40564,55668.0,8921164.0
2017-06-07,6250,6290,6130,6150,83219,54865.0,8921164.0
2017-06-08,6190,6350,6130,6350,104701,56649.0,8921164.0
2017-06-09,6330,6740,6280,6600,201674,58880.0,8921164.0
2017-06-12,6600,6650,6490,6580,61001,58701.0,8921164.0
2017-06-13,6660,6700,6470,6610,63681,58969.0,8921164.0
2017-06-14,6660,7060,6590,6900,261865,61556.0,8921164.0
2017-06-15,6900,6900,6610,6760,93531,60307.0,8921164.0
