파이오링크(170790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-08-01,18500,19050,15750,15750,2525045,80992.0,5142330.0
2013-08-02,15100,16350,14700,15550,1606749,79963.0,5142330.0
2013-08-05,15600,15650,14800,14800,378472,76106.0,5142330.0
2013-08-06,14800,16350,14800,15300,1172069,78678.0,5142330.0
2013-08-07,15700,15900,14950,15050,519364,77392.0,5142330.0
2013-08-08,15050,16500,14750,15300,1787181,78678.0,5142330.0
2013-08-09,15400,15600,14850,14850,472501,76364.0,5142330.0
2013-08-12,14950,15000,13100,13300,801455,68393.0,5142330.0
2013-08-13,13350,13500,12700,12850,402411,66079.0,5142330.0
2013-08-14,12900,13950,12850,12950,679934,66593.0,5142330.0
2013-08-16,13250,13450,12350,12350,481670,63508.0,5142330.0
2013-08-19,12450,12650,11800,11950,310480,61451.0,5142330.0
2013-08-20,12000,12100,11300,11300,259821,58108.0,5142330.0
2013-08-21,11400,11550,10650,10700,235855,55023.0,5142330.0
2013-08-22,10900,12300,10900,11300,1846477,58108.0,5142330.0
2013-08-23,11400,11650,11100,11150,334729,57337.0,5142330.0
2013-08-26,11400,11900,11300,11550,277199,59394.0,5142330.0
2013-08-27,11600,11750,11250,11300,139458,58108.0,5142330.0
2013-08-28,10900,11350,10900,11300,73648,58108.0,5142330.0
2013-08-29,11500,12350,11450,11700,250959,60165.0,5142330.0
2013-08-30,11650,11850,11350,11650,128202,59908.0,5142330.0
2013-09-02,11500,12450,11450,11950,398411,61451.0,5142330.0
2013-09-03,12250,12450,11900,12100,215497,62222.0,5142330.0
2013-09-04,12100,12250,11750,12000,175159,61708.0,5142330.0
2013-09-05,12050,12100,11700,11800,79156,60679.0,5142330.0
2013-09-06,11800,12000,11200,11400,130078,58623.0,5142330.0
2013-09-09,11500,11500,11200,11250,60913,57851.0,5142330.0
2013-09-10,11450,12000,11300,11500,128374,59137.0,5142330.0
2013-09-11,11850,12050,11550,11650,339966,59908.0,5142330.0
2013-09-12,11650,11800,11450,11500,113105,59137.0,5142330.0
2013-09-13,11600,11650,11350,11350,83850,58365.0,5142330.0
2013-09-16,11450,11500,11100,11100,60225,57080.0,5142330.0
2013-09-17,11150,11200,10850,10900,86685,56051.0,5142330.0
2013-09-23,10900,11050,10750,10800,76975,55537.0,5142330.0
2013-09-24,10850,11050,10700,10700,101208,55023.0,5142330.0
2013-09-25,10750,10850,10150,10150,242348,52195.0,5142330.0
2013-09-26,10250,10600,10150,10500,127498,53994.0,5142330.0
2013-09-27,10550,10800,10350,10500,125657,53994.0,5142330.0
2013-09-30,10500,10750,10300,10350,100418,53223.0,5142330.0
2013-10-01,10300,10350,9880,9920,207969,51012.0,5142330.0
2013-10-02,9920,10100,9790,9800,89406,50395.0,5142330.0
2013-10-04,9800,9950,9660,9840,47710,50601.0,5142330.0
2013-10-07,9850,9920,9400,9400,85846,48338.0,5142330.0
2013-10-08,9330,9510,9170,9410,90664,48389.0,5142330.0
2013-10-10,9500,10050,9430,9820,127156,50498.0,5142330.0
2013-10-11,10000,10100,9580,9580,90700,49264.0,5142330.0
2013-10-14,9610,9730,9510,9580,40643,49264.0,5142330.0
2013-10-15,9670,9720,9500,9530,49815,49006.0,5142330.0
2013-10-16,10100,10950,10000,10950,876598,56309.0,5142330.0
2013-10-17,11250,11400,10800,11150,953840,57337.0,5142330.0
2013-10-18,11200,11450,11000,11350,420270,58365.0,5142330.0
2013-10-21,11300,11500,10850,10850,319282,55794.0,5142330.0
2013-10-22,11000,11450,10700,11450,354668,58880.0,5142330.0
2013-10-23,11350,11450,10700,10700,293034,55023.0,5142330.0
2013-10-24,10600,10950,10600,10850,129285,55794.0,5142330.0
2013-10-25,10900,11350,10650,11300,226271,58108.0,5142330.0
2013-10-28,11100,11600,11050,11600,245802,59651.0,5142330.0
2013-10-29,11600,11700,11400,11400,172618,58623.0,5142330.0
2013-10-30,11500,11550,11050,11100,162434,57080.0,5142330.0
2013-10-31,11100,11200,10650,10650,156112,54766.0,5142330.0
2013-11-01,10800,11150,10800,11150,156393,57337.0,5142330.0
2013-11-04,11150,11150,10900,10950,60588,56309.0,5142330.0
2013-11-05,11050,11300,10900,11100,128297,57080.0,5142330.0
2013-11-06,11200,12600,11050,12000,1025966,61708.0,5142330.0
2013-11-07,12100,12150,11550,11800,353117,60679.0,5142330.0
2013-11-08,11800,12400,11650,11700,500960,60165.0,5142330.0
2013-11-11,11800,11800,10750,10750,308895,55280.0,5142330.0
2013-11-12,11000,11100,10600,10800,228982,55537.0,5142330.0
2013-11-13,10750,11150,10750,10850,175225,55794.0,5142330.0
2013-11-14,10950,11050,10300,10350,237935,53223.0,5142330.0
2013-11-15,10450,10550,9990,10000,200197,51423.0,5142330.0
2013-11-18,10100,10300,9820,10000,94261,51423.0,5142330.0
2013-11-19,10050,10400,10000,10100,80539,51938.0,5142330.0
2013-11-20,10250,10250,9830,9850,114453,50652.0,5142330.0
2013-11-21,9950,9980,9490,9590,82820,49315.0,5142330.0
2013-11-22,9560,9800,9560,9680,38913,49778.0,5142330.0
2013-11-25,9700,9850,9600,9840,29083,50601.0,5142330.0
2013-11-26,9800,10350,9750,10300,72445,52966.0,5142330.0
2013-11-27,10350,10450,10200,10300,93118,52966.0,5142330.0
2013-11-28,10300,10650,10200,10500,76974,53994.0,5142330.0
2013-11-29,10400,10650,10350,10450,48098,53737.0,5142330.0
2013-12-02,10450,10450,9810,9830,119837,50549.0,5142330.0
2013-12-03,9820,9870,9420,9520,65200,48955.0,5142330.0
2013-12-04,9420,9750,9420,9520,17054,48955.0,5142330.0
2013-12-05,9550,9900,9550,9720,32757,49983.0,5142330.0
2013-12-06,9800,9900,9640,9700,28820,49881.0,5142330.0
2013-12-09,9730,9880,9600,9700,23935,49881.0,5142330.0
2013-12-10,9700,9750,9220,9300,26829,47824.0,5142330.0
2013-12-11,9400,9490,9050,9230,31058,47464.0,5142330.0
2013-12-12,9130,9350,9100,9200,14062,47309.0,5142330.0
2013-12-13,9220,9220,8900,9000,49194,46281.0,5142330.0
2013-12-16,8940,9100,8470,8500,61725,43710.0,5142330.0
2013-12-17,8510,8770,8480,8600,44599,44224.0,5142330.0
2013-12-18,8600,8750,8500,8650,24446,44481.0,5142330.0
2013-12-19,8750,9250,8740,8910,60716,45818.0,5142330.0
2013-12-20,8950,9110,8850,9040,20601,46487.0,5142330.0
2013-12-23,9040,9360,9000,9160,32425,47104.0,5142330.0
2013-12-24,9160,9330,9140,9140,19840,47001.0,5142330.0
2013-12-26,9120,9400,9120,9300,29110,47824.0,5142330.0
2013-12-27,9300,9420,9090,9130,32086,46949.0,5142330.0
2013-12-30,9200,9300,9020,9100,16393,46795.0,5142330.0
2014-01-02,9300,9330,9120,9200,27566,47309.0,5142330.0
2014-01-03,9310,9460,9190,9320,28788,47927.0,5142330.0
2014-01-06,9390,9390,9240,9320,13732,47927.0,5142330.0
2014-01-07,9330,9440,9100,9130,31556,46949.0,5142330.0
2014-01-08,9200,9240,9000,9000,28017,46281.0,5142330.0
2014-01-09,8990,9090,8650,8730,46320,44893.0,5142330.0
2014-01-10,8820,8870,8690,8730,15277,44893.0,5142330.0
2014-01-13,8690,8790,8690,8760,27802,45047.0,5142330.0
2014-01-14,8760,9070,8760,8920,33722,45870.0,5142330.0
2014-01-15,9000,9900,8930,9530,93284,49006.0,5142330.0
2014-01-16,9640,9770,9260,9540,33661,49058.0,5142330.0
2014-01-17,9560,10150,9520,10000,87616,51423.0,5142330.0
2014-01-20,9990,10100,9790,9840,49740,50601.0,5142330.0
2014-01-21,9970,9970,9610,9630,44559,49521.0,5142330.0
2014-01-22,9660,9820,9550,9700,35154,49881.0,5142330.0
2014-01-23,9700,9930,9680,9880,26378,50806.0,5142330.0
2014-01-24,9900,10700,9800,10200,210794,52452.0,5142330.0
2014-01-27,9970,10150,9850,9950,34649,51166.0,5142330.0
2014-01-28,10050,10100,9910,9990,37703,51372.0,5142330.0
2014-01-29,10150,10150,9460,9460,79980,48646.0,5142330.0
2014-02-03,9450,9450,8860,8970,76075,46127.0,5142330.0
2014-02-04,8910,8930,8730,8830,35897,45407.0,5142330.0
2014-02-05,8880,8970,8830,8890,22189,45715.0,5142330.0
2014-02-06,8900,9800,8900,9290,38576,47772.0,5142330.0
2014-02-07,9290,9480,9290,9330,14810,47978.0,5142330.0
2014-02-10,9240,9470,9240,9260,10733,47618.0,5142330.0
2014-02-11,9380,9380,9090,9200,16797,47309.0,5142330.0
2014-02-12,9250,9250,9100,9170,19533,47155.0,5142330.0
2014-02-13,9360,9360,9140,9220,31979,47412.0,5142330.0
2014-02-14,9280,9280,9100,9230,24570,47464.0,5142330.0
2014-02-17,9190,9290,9080,9110,33535,46847.0,5142330.0
2014-02-18,9080,9430,9050,9360,49807,48132.0,5142330.0
2014-02-19,9390,9950,9390,9920,145539,51012.0,5142330.0
2014-02-20,9920,10150,9640,9990,68825,51372.0,5142330.0
2014-02-21,9980,10100,9780,9980,40269,51320.0,5142330.0
2014-02-24,9980,10400,9900,10200,86879,52452.0,5142330.0
2014-02-25,10200,10400,9740,9820,87520,50498.0,5142330.0
2014-02-26,9860,11100,9860,10750,305639,55280.0,5142330.0
2014-02-27,10800,10950,10550,10900,124807,56051.0,5142330.0
2014-02-28,10900,11000,10550,10700,138855,55023.0,5142330.0
2014-03-03,10550,10800,10250,10400,71994,53480.0,5142330.0
2014-03-04,10400,10500,10100,10200,66998,52452.0,5142330.0
2014-03-05,10350,11100,10000,11000,205258,56566.0,5142330.0
2014-03-06,11200,11950,11150,11450,377967,58880.0,5142330.0
2014-03-07,11650,11800,11300,11550,150946,59394.0,5142330.0
2014-03-10,11700,11950,11300,11650,166835,59908.0,5142330.0
2014-03-11,11700,11750,11100,11550,123750,59394.0,5142330.0
2014-03-12,11400,11650,11150,11350,97290,58365.0,5142330.0
2014-03-13,11300,12050,11300,11950,239221,61451.0,5142330.0
2014-03-14,11700,11950,11600,11600,123753,59651.0,5142330.0
2014-03-17,11650,11900,10750,11000,174275,56566.0,5142330.0
2014-03-18,11250,11400,10800,11200,140764,57594.0,5142330.0
2014-03-19,11250,11250,10550,10950,154378,56309.0,5142330.0
2014-03-20,10950,12550,10900,12550,603490,64536.0,5142330.0
2014-03-21,13050,14350,12850,13750,1110326,70707.0,5142330.0
2014-03-24,13900,14700,13600,13750,562474,70707.0,5142330.0
2014-03-25,13800,14350,13300,13650,373366,70193.0,5142330.0
2014-03-26,13850,14400,13000,13050,421751,67107.0,5142330.0
2014-03-27,13100,13450,12850,13150,226413,67622.0,5142330.0
2014-03-28,13350,14100,12750,13000,367565,66850.0,5142330.0
2014-03-31,13150,14750,12950,14300,810786,73535.0,5142330.0
2014-04-01,14350,14400,13700,14200,371961,73021.0,5142330.0
