신한제4호스팩(277480),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-08-23,2110,2110,2100,2110,4711,12681.0,6010000.0
2019-08-26,2095,2100,2095,2100,5,12621.0,6010000.0
2019-08-27,2115,2120,2100,2120,8724,12741.0,6010000.0
2019-08-28,2100,2110,2100,2110,1227,12681.0,6010000.0
2019-08-29,2100,2110,2100,2110,643,12681.0,6010000.0
2019-08-30,2110,2110,2110,2110,3026,12681.0,6010000.0
2019-09-02,2115,2115,2115,2115,1002,12711.0,6010000.0
2019-09-03,2115,2115,2100,2110,551,12681.0,6010000.0
2019-09-04,2100,2100,2095,2100,2803,12621.0,6010000.0
2019-09-05,2110,2115,2110,2115,142,12711.0,6010000.0
2019-09-06,2100,2110,2100,2105,1046,12651.0,6010000.0
2019-09-09,2100,2115,2100,2115,2782,12711.0,6010000.0
2019-09-10,2110,2110,2110,2110,500,12681.0,6010000.0
2019-09-11,2110,2110,2110,2110,5700,12681.0,6010000.0
2019-09-16,2110,2110,2110,2110,4760,12681.0,6010000.0
2019-09-17,2105,2115,2100,2115,5177,12711.0,6010000.0
2019-09-18,2110,2110,2105,2110,11147,12681.0,6010000.0
2019-09-19,2110,2110,2100,2100,29613,12621.0,6010000.0
2019-09-20,2105,2110,2105,2110,8440,12681.0,6010000.0
2019-09-23,2110,2110,2110,2110,693,12681.0,6010000.0
2019-09-24,2110,2115,2105,2115,2252,12711.0,6010000.0
2019-09-25,2120,2120,2110,2120,92,12741.0,6010000.0
2019-09-26,2115,2115,2105,2115,5875,12711.0,6010000.0
2019-09-27,2105,2120,2105,2120,48607,12741.0,6010000.0
2019-09-30,2120,2120,2110,2110,517,12681.0,6010000.0
2019-10-01,2110,2120,2110,2120,2056,12741.0,6010000.0
2019-10-02,2115,2120,2115,2120,2269,12741.0,6010000.0
2019-10-04,2110,2115,2110,2115,7135,12711.0,6010000.0
2019-10-07,2110,2110,2100,2100,12463,12621.0,6010000.0
