에이씨티(138360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-11-08,4014,4181,3412,3412,2123390,61200.0,6000000.0
2013-11-11,3084,3141,2910,2910,1227074,52200.0,6000000.0
2013-11-12,2840,2953,2773,2847,651642,51060.0,6000000.0
2013-11-13,2853,2923,2692,2693,550461,48300.0,6000000.0
2013-11-14,2719,2813,2632,2740,550957,49140.0,6000000.0
2013-11-15,2723,2736,2599,2599,236692,46620.0,6000000.0
2013-11-18,2599,2649,2535,2576,234331,46200.0,6000000.0
2013-11-19,2585,2676,2495,2506,257878,44940.0,6000000.0
2013-11-20,2512,2535,2365,2422,300972,43440.0,6000000.0
2013-11-21,2425,2515,2391,2405,201339,43140.0,6000000.0
2013-11-22,2425,2492,2405,2412,177700,43260.0,6000000.0
2013-11-25,2455,2495,2411,2449,120047,43920.0,6000000.0
2013-11-26,2448,2495,2405,2425,140630,43500.0,6000000.0
2013-11-27,2421,2465,2405,2412,104918,43260.0,6000000.0
2013-11-28,2415,2435,2358,2368,116988,42480.0,6000000.0
2013-11-29,2388,2599,2365,2509,350373,45000.0,6000000.0
2013-12-02,2525,2622,2485,2542,200933,45600.0,6000000.0
2013-12-03,2545,2602,2465,2469,93302,44280.0,6000000.0
2013-12-04,2468,2485,2375,2399,71020,43020.0,6000000.0
2013-12-05,2385,2435,2385,2395,37178,42960.0,6000000.0
2013-12-06,2398,2431,2378,2395,53203,42960.0,6000000.0
2013-12-09,2395,2445,2395,2395,51077,42960.0,6000000.0
2013-12-10,2415,2425,2334,2409,68945,43200.0,6000000.0
2013-12-11,2408,2726,2388,2649,708120,47520.0,6000000.0
2013-12-12,2702,2736,2582,2603,262584,46680.0,6000000.0
2013-12-13,2602,2622,2465,2469,195827,44280.0,6000000.0
2013-12-16,2475,2532,2355,2358,132174,42300.0,6000000.0
2013-12-17,2388,2431,2358,2368,88056,42480.0,6000000.0
2013-12-18,2368,2431,2361,2368,73056,42480.0,6000000.0
2013-12-19,2391,2418,2341,2372,79485,42540.0,6000000.0
2013-12-20,2371,2445,2348,2365,77634,42420.0,6000000.0
2013-12-23,2378,2398,2341,2352,87119,42180.0,6000000.0
2013-12-24,2355,2385,2324,2375,52142,42600.0,6000000.0
2013-12-26,2365,2395,2358,2358,49186,42300.0,6000000.0
2013-12-27,2341,2371,2324,2358,91941,42300.0,6000000.0
2013-12-30,2368,2391,2341,2352,44119,42180.0,6000000.0
2014-01-02,2351,2365,2261,2291,135130,41100.0,6000000.0
2014-01-03,2271,2294,2241,2271,57555,40740.0,6000000.0
2014-01-06,2241,2318,2241,2275,39489,40800.0,6000000.0
2014-01-07,2291,2565,2291,2472,686327,44340.0,6000000.0
2014-01-08,2478,2542,2458,2529,203235,45360.0,6000000.0
2014-01-09,2575,2646,2515,2556,263302,45840.0,6000000.0
2014-01-10,2555,2592,2495,2562,68752,45960.0,6000000.0
2014-01-13,2545,2552,2455,2482,126241,44520.0,6000000.0
2014-01-14,2482,2622,2455,2593,200185,46500.0,6000000.0
2014-01-15,2595,2702,2585,2693,345734,48300.0,6000000.0
2014-01-16,2739,2776,2639,2643,230822,47400.0,6000000.0
2014-01-17,2676,2699,2615,2693,103253,48300.0,6000000.0
2014-01-20,2692,2736,2666,2703,110272,48480.0,6000000.0
2014-01-21,2743,2943,2719,2777,484598,49800.0,6000000.0
2014-01-22,2753,2810,2699,2720,111706,48780.0,6000000.0
2014-01-23,2719,2723,2595,2596,136054,46560.0,6000000.0
2014-01-24,2595,2626,2518,2526,113457,45300.0,6000000.0
2014-01-27,2408,2485,2391,2395,106544,42960.0,6000000.0
2014-01-28,2391,2428,2351,2372,82825,42540.0,6000000.0
2014-01-29,2408,2555,2395,2539,77066,45540.0,6000000.0
2014-02-03,2495,2592,2478,2559,79981,45900.0,6000000.0
2014-02-04,2535,2535,2445,2455,77595,44040.0,6000000.0
2014-02-05,2498,2525,2455,2455,41943,44040.0,6000000.0
2014-02-06,2428,2559,2428,2475,95870,44400.0,6000000.0
2014-02-07,2522,2532,2458,2512,97632,45060.0,6000000.0
2014-02-10,2535,2853,2518,2710,499950,48600.0,6000000.0
2014-02-11,2799,2987,2749,2843,548427,51000.0,6000000.0
2014-02-12,2840,2970,2783,2890,274682,51840.0,6000000.0
2014-02-13,2940,2987,2799,2800,237262,50220.0,6000000.0
2014-02-14,2826,3121,2826,3084,508666,55320.0,6000000.0
2014-02-17,3211,3395,3124,3181,803737,57060.0,6000000.0
2014-02-18,3161,3254,3094,3178,232179,57000.0,6000000.0
2014-02-19,3191,3325,3191,3278,192311,58800.0,6000000.0
2014-02-20,3345,3428,3278,3329,353584,59700.0,6000000.0
2014-02-21,3328,3345,3234,3245,156902,58200.0,6000000.0
2014-02-24,3244,3268,3124,3138,238426,56280.0,6000000.0
2014-02-25,3171,3479,3154,3379,445330,60600.0,6000000.0
2014-02-26,3378,3395,3281,3282,162956,58860.0,6000000.0
2014-02-27,3325,3395,3281,3395,297272,60900.0,6000000.0
2014-02-28,3412,3579,3395,3462,529107,62100.0,6000000.0
2014-03-03,3495,3612,3445,3446,254561,61800.0,6000000.0
2014-03-04,3395,3512,3328,3496,221630,62700.0,6000000.0
2014-03-05,3479,3512,3412,3479,133421,62400.0,6000000.0
2014-03-06,3495,3646,3462,3563,289726,63900.0,6000000.0
2014-03-07,3596,3696,3545,3646,214819,65400.0,6000000.0
2014-03-10,3629,3713,3579,3630,116635,65100.0,6000000.0
2014-03-11,3646,3847,3629,3797,296018,68100.0,6000000.0
2014-03-12,3796,3897,3713,3747,154366,67200.0,6000000.0
2014-03-13,3763,3813,3663,3747,138378,67200.0,6000000.0
2014-03-14,3696,3763,3646,3680,121090,66000.0,6000000.0
2014-03-17,3663,3679,3345,3379,300245,60600.0,6000000.0
2014-03-18,3412,3445,3301,3379,188072,60600.0,6000000.0
2014-03-19,3378,3579,3338,3429,259178,61500.0,6000000.0
2014-03-20,3395,3646,3345,3613,265236,64800.0,6000000.0
2014-03-21,3629,3713,3545,3680,221319,66000.0,6000000.0
2014-03-24,3746,3746,3495,3546,213742,63600.0,6000000.0
2014-03-25,3529,3529,3341,3345,248521,60000.0,6000000.0
2014-03-26,3345,3395,3211,3225,211206,57840.0,6000000.0
2014-03-27,3224,3331,3188,3312,97583,59400.0,6000000.0
2014-03-28,3298,3361,3264,3312,59792,59400.0,6000000.0
2014-03-31,3341,3395,3261,3262,56943,58500.0,6000000.0
2014-04-01,3264,3311,3228,3245,85156,58200.0,6000000.0
2014-04-02,3244,3361,3238,3318,74128,59520.0,6000000.0
2014-04-03,3361,3428,3325,3379,138016,60600.0,6000000.0
2014-04-04,3345,3395,3325,3345,58022,60000.0,6000000.0
2014-04-07,3331,3462,3331,3342,168860,59940.0,6000000.0
2014-04-08,3341,3378,3238,3252,113414,58320.0,6000000.0
2014-04-09,3251,3321,3244,3275,40300,58740.0,6000000.0
2014-04-10,3325,3729,3295,3663,1062152,65700.0,6000000.0
2014-04-11,3612,4097,3562,3814,1231419,68400.0,6000000.0
2014-04-14,3813,4097,3813,3947,529839,70800.0,6000000.0
2014-04-15,3930,4047,3847,3897,275423,69900.0,6000000.0
2014-04-16,3897,3997,3847,3947,277849,70800.0,6000000.0
2014-04-17,3980,4449,3913,4232,808492,75900.0,6000000.0
2014-04-18,4231,4348,4181,4282,158345,76800.0,6000000.0
2014-04-21,4281,4281,4114,4115,144121,73800.0,6000000.0
2014-04-22,4114,4198,4014,4165,192707,74700.0,6000000.0
2014-04-23,4164,4348,4114,4131,244323,74100.0,6000000.0
2014-04-24,4131,4215,3897,4048,106217,72600.0,6000000.0
2014-04-25,4047,4064,3847,3897,139387,69900.0,6000000.0
2014-04-28,3913,4031,3813,3981,108565,71400.0,6000000.0
2014-04-29,3997,4131,3964,4048,79121,72600.0,6000000.0
2014-04-30,4064,4566,4064,4366,651981,78300.0,6000000.0
2014-05-02,4365,4482,4298,4432,187271,79500.0,6000000.0
2014-05-07,4465,4499,4281,4299,133543,77100.0,6000000.0
2014-05-08,4348,4398,4064,4248,116948,76200.0,6000000.0
2014-05-09,4281,4700,4281,4566,446176,81900.0,6000000.0
2014-05-12,4566,4817,4482,4667,349504,83700.0,6000000.0
2014-05-13,4716,4716,4499,4583,183535,82200.0,6000000.0
2014-05-14,4716,5101,4616,4616,818931,82800.0,6000000.0
2014-05-15,4633,4666,4432,4466,296200,80100.0,6000000.0
2014-05-16,4465,4616,4382,4466,241273,80100.0,6000000.0
2014-05-19,4449,4616,4348,4399,147876,78900.0,6000000.0
2014-05-20,4432,4499,4081,4215,175581,75600.0,6000000.0
2014-05-21,4181,4231,4031,4098,188070,73500.0,6000000.0
2014-05-22,4181,4482,4131,4366,322087,78300.0,6000000.0
2014-05-23,4432,4516,4298,4349,174621,78000.0,6000000.0
2014-05-26,4415,4499,4365,4432,116885,79500.0,6000000.0
2014-05-27,4465,4465,4164,4232,169228,75900.0,6000000.0
2014-05-28,4281,4449,4248,4315,106865,77400.0,6000000.0
2014-05-29,4382,4415,4265,4299,59278,77100.0,6000000.0
2014-05-30,4298,4332,4131,4182,106611,75000.0,6000000.0
2014-06-02,4181,4231,4031,4048,81639,72600.0,6000000.0
2014-06-03,3964,4114,3913,3947,92695,70800.0,6000000.0
2014-06-05,3964,4047,3746,3780,78271,67800.0,6000000.0
2014-06-09,3780,3880,3596,3763,81775,67500.0,6000000.0
2014-06-10,3746,4047,3746,3981,92982,71400.0,6000000.0
2014-06-11,4047,4047,3897,3981,35792,71400.0,6000000.0
2014-06-12,4047,4148,3964,4031,66355,72300.0,6000000.0
2014-06-13,4131,4131,3863,3931,84469,70500.0,6000000.0
2014-06-16,3964,4031,3930,3931,43140,70500.0,6000000.0
2014-06-17,3997,4315,3980,4248,252024,76200.0,6000000.0
2014-06-18,4298,4398,4181,4366,143331,78300.0,6000000.0
2014-06-19,4365,4582,4315,4399,220614,78900.0,6000000.0
2014-06-20,4382,4950,4365,4800,1106398,86100.0,6000000.0
2014-06-23,4817,4884,4766,4784,354532,85800.0,6000000.0
2014-06-24,4850,5051,4733,4767,386096,85500.0,6000000.0
2014-06-25,4783,4800,4449,4516,463234,81000.0,6000000.0
2014-06-26,4549,4649,4499,4550,286247,81600.0,6000000.0
