파인넥스(123260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-12-05,46693,46693,39749,39749,1233051,298569.0,5995369.0
2011-12-06,39270,42223,38153,38233,681575,287178.0,5995369.0
2011-12-07,38951,39310,37953,38512,195972,289277.0,5995369.0
2011-12-08,38472,40308,38312,38632,170025,290176.0,5995369.0
2011-12-09,38352,39869,38033,38432,139576,288677.0,5995369.0
2011-12-12,39110,39430,38392,38592,85033,289876.0,5995369.0
2011-12-13,38472,38631,36836,36956,113538,277586.0,5995369.0
2011-12-14,37275,37275,34720,35120,116891,263796.0,5995369.0
2011-12-15,34321,34641,32964,33045,130420,248208.0,5995369.0
2011-12-16,33523,33763,32007,32686,87108,245510.0,5995369.0
2011-12-19,31767,32246,27936,29333,195188,220330.0,5995369.0
2011-12-20,29532,32246,29173,31009,143557,232920.0,5995369.0
2011-12-21,31927,32166,30849,30969,68186,232620.0,5995369.0
2011-12-22,30889,31288,30051,30211,45781,226925.0,5995369.0
2011-12-23,30370,31288,30330,30850,57020,231721.0,5995369.0
2011-12-26,31129,33763,31089,32805,191568,246410.0,5995369.0
2011-12-27,32885,32885,30370,30890,95949,237826.0,6145369.0
2011-12-28,31328,31328,29931,30291,80856,233217.0,6145369.0
2011-12-29,30291,32086,29612,32087,53623,247044.0,6145369.0
2012-01-02,31727,32166,31288,32167,31621,247658.0,6145369.0
2012-01-03,32246,33204,31807,32087,57529,247044.0,6145369.0
2012-01-04,32286,32645,31608,31927,51833,245815.0,6145369.0
2012-01-05,31927,35998,31927,33164,295700,255340.0,6145369.0
2012-01-06,33284,33723,32645,33204,86303,255647.0,6145369.0
2012-01-09,33284,34800,33284,33763,86554,259949.0,6145369.0
2012-01-10,34441,36636,33803,35280,163826,271625.0,6145369.0
2012-01-11,35279,36037,34720,34721,57107,267324.0,6145369.0
2012-01-12,35080,35519,34042,34801,56000,267938.0,6145369.0
2012-01-13,34800,36197,34641,35439,64528,272854.0,6145369.0
2012-01-16,34920,35838,34800,35838,46296,275927.0,6145369.0
2012-01-17,36476,36476,35678,36118,34155,278078.0,6145369.0
2012-01-18,36317,36317,35359,35838,45088,275927.0,6145369.0
2012-01-19,36117,39230,35998,38193,228677,294056.0,6145369.0
2012-01-20,38312,38791,37474,38313,85274,294978.0,6145369.0
2012-01-25,38153,38472,36876,37315,75449,287296.0,6145369.0
2012-01-26,36955,38033,36955,37195,55072,286374.0,6145369.0
2012-01-27,37035,37634,36836,37515,55820,288832.0,6145369.0
2012-01-30,37514,38232,36915,37435,51427,288218.0,6145369.0
2012-01-31,37754,41266,37514,40308,355508,310341.0,6145369.0
2012-02-01,40707,43261,39988,42623,324258,328163.0,6145369.0
2012-02-02,43421,44059,42383,43501,214244,334923.0,6145369.0
2012-02-03,43500,47012,43101,46933,210600,361348.0,6145369.0
2012-02-06,48529,53957,47491,49088,496769,377940.0,6145369.0
2012-02-07,50205,51722,45496,46374,318254,357046.0,6145369.0
2012-02-08,46294,47651,44778,46694,192798,359504.0,6145369.0
2012-02-09,47411,49567,46853,49168,169030,378555.0,6145369.0
2012-02-10,47491,49407,46374,48529,121968,373638.0,6145369.0
2012-02-13,48130,48210,45177,45177,141388,347828.0,6145369.0
2012-02-14,45177,46933,44378,46374,104372,357046.0,6145369.0
2012-02-15,46214,49726,46214,47891,184228,368722.0,6145369.0
2012-02-16,47890,49088,45815,46055,140467,354588.0,6145369.0
2012-02-17,46693,49487,46454,49487,167871,381013.0,6145369.0
2012-02-20,49407,53238,49008,52520,290860,404365.0,6145369.0
2012-02-21,52919,52999,50844,51722,75546,398220.0,6145369.0
2012-02-22,51801,52440,49646,50445,101184,388387.0,6145369.0
2012-02-23,49886,50844,48529,50285,100427,474917.0,7538369.0
2012-02-24,50125,51642,49247,51483,111263,486225.0,7538369.0
