한국정보인증(053300),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-02-04,2768,3184,2701,3184,8381077,89928.0,26965000.0
2014-02-05,3661,3661,3360,3662,6061750,103411.0,26965000.0
2014-02-06,3799,4210,3728,4211,11840319,118916.0,26965000.0
2014-02-07,4549,4840,4473,4841,6016426,136713.0,26965000.0
2014-02-10,5213,5566,5155,5566,1836676,157206.0,26965000.0
2014-02-11,6349,6396,5356,5652,11342212,159633.0,26965000.0
2014-02-12,5537,5566,4907,5251,6753827,148308.0,26965000.0
2014-02-13,5155,5528,5022,5414,5741512,152892.0,26965000.0
2014-02-14,5298,5356,5050,5118,2365258,144532.0,26965000.0
2014-02-17,5098,5098,4621,4822,2276271,136173.0,26965000.0
2014-02-18,4850,4983,4726,4888,1995399,138061.0,26965000.0
2014-02-19,4802,4859,4659,4697,1400811,132668.0,26965000.0
2014-02-20,4783,4840,4664,4721,1155271,133342.0,26965000.0
2014-02-21,4683,4702,4411,4487,1109101,126736.0,26965000.0
2014-02-24,4468,5155,4296,5156,4607491,145611.0,26965000.0
2014-02-25,5155,5193,4859,5060,2904645,142914.0,26965000.0
2014-02-26,5251,5442,4917,5098,5155209,143993.0,26965000.0
2014-02-27,5098,5155,4812,4841,2033665,136713.0,26965000.0
2014-02-28,4926,5050,4792,4841,1811448,136713.0,26965000.0
2014-03-03,4769,4769,4487,4487,1210043,126736.0,26965000.0
2014-03-04,4296,4315,4153,4201,2115084,118646.0,26965000.0
2014-03-05,4224,4482,4143,4363,3745773,123230.0,26965000.0
2014-03-06,4320,4363,4243,4249,1064823,119994.0,26965000.0
2014-03-07,4411,4411,4220,4239,1430535,119725.0,26965000.0
2014-03-10,4267,4368,4200,4201,1067070,118646.0,26965000.0
2014-03-11,4234,4258,4153,4191,806841,118376.0,26965000.0
2014-03-12,4229,4334,4162,4163,815255,117567.0,26965000.0
2014-03-13,4229,4229,3871,4120,1019066,116354.0,26965000.0
2014-03-14,4048,4191,3990,4139,683837,116893.0,26965000.0
2014-03-17,4759,4759,4205,4206,4574164,118781.0,26965000.0
2014-03-18,4263,4339,4038,4039,1450388,114062.0,26965000.0
2014-03-19,4072,4100,3914,3958,717529,111770.0,26965000.0
2014-03-20,3914,4420,3900,4115,4275952,116219.0,26965000.0
2014-03-21,4100,4549,4005,4282,4450460,120938.0,26965000.0
2014-03-24,4368,4430,4205,4206,1251302,118781.0,26965000.0
2014-03-25,4205,4315,4048,4072,925846,115006.0,26965000.0
2014-03-26,4105,4291,4052,4125,1054143,116489.0,26965000.0
2014-03-27,4134,4158,3943,3977,746977,112309.0,26965000.0
2014-03-28,3971,4005,3842,3862,710770,109073.0,26965000.0
2014-03-31,3909,3914,3737,3843,501204,108534.0,26965000.0
