에스에프에이(056190),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-12-18,1879,1879,1879,1880,224747,67414.0,9110000.0
2001-12-19,1854,1866,1656,1656,561063,59397.0,9110000.0
2001-12-20,1536,1615,1457,1499,609853,53749.0,9110000.0
2001-12-21,1490,1521,1430,1435,371756,51472.0,9110000.0
2001-12-24,1447,1485,1430,1433,280769,51380.0,9110000.0
2001-12-26,1460,1485,1437,1446,309630,51836.0,9110000.0
2001-12-27,1426,1447,1411,1420,185051,50925.0,9110000.0
2001-12-28,1422,1485,1417,1471,339023,52747.0,9110000.0
2002-01-02,1470,1622,1444,1575,725643,56482.0,9110000.0
2002-01-03,1599,1686,1553,1578,749430,56573.0,9110000.0
2002-01-04,1614,1650,1533,1547,259841,55480.0,9110000.0
2002-01-07,1651,1651,1554,1588,359663,56938.0,9110000.0
2002-01-08,1599,1599,1510,1512,267752,54204.0,9110000.0
2002-01-09,1511,1582,1490,1524,320513,54660.0,9110000.0
2002-01-10,1510,1523,1447,1458,192432,52291.0,9110000.0
2002-01-11,1447,1485,1414,1446,161868,51836.0,9110000.0
2002-01-14,1445,1447,1409,1410,138466,50560.0,9110000.0
2002-01-15,1409,1422,1402,1402,407755,50287.0,9110000.0
2002-01-16,1402,1404,1402,1402,389031,50287.0,9110000.0
2002-01-17,1402,1404,1402,1402,677539,50287.0,9110000.0
2002-01-18,1256,1368,1246,1286,348453,46097.0,9110000.0
2002-01-21,1294,1294,1221,1258,250804,45094.0,9110000.0
2002-01-22,1295,1407,1244,1407,448063,50469.0,9110000.0
2002-01-23,1498,1574,1460,1575,1561318,56482.0,9110000.0
2002-01-24,1696,1762,1670,1763,399002,63223.0,9110000.0
2002-01-25,1973,1973,1943,1974,232057,70785.0,9110000.0
2002-01-28,2209,2209,2209,2210,9071,79257.0,9110000.0
2002-01-29,2473,2473,2065,2159,1537028,77435.0,9110000.0
2002-01-30,2159,2385,2092,2205,951899,79075.0,9110000.0
2002-01-31,2184,2336,2113,2126,623636,76251.0,9110000.0
2002-02-01,2044,2379,2021,2121,1007554,76068.0,9110000.0
2002-02-04,2224,2224,1868,2030,382006,72789.0,9110000.0
2002-02-05,2056,2270,2034,2185,1244383,78346.0,9110000.0
2002-02-06,2031,2412,2031,2251,1053148,80715.0,9110000.0
2002-02-07,2260,2392,2184,2200,861723,78893.0,9110000.0
2002-02-08,2209,2260,2123,2159,672411,77435.0,9110000.0
2002-02-14,2232,2260,2105,2106,597918,75522.0,9110000.0
2002-02-15,2051,2196,2041,2083,502560,74702.0,9110000.0
2002-02-18,2105,2120,1985,1987,469582,71240.0,9110000.0
2002-02-19,1981,2222,1981,2223,1125233,79712.0,9110000.0
2002-02-20,2413,2489,2273,2380,1777215,85361.0,9110000.0
2002-02-21,2413,2628,2362,2413,906665,86545.0,9110000.0
2002-02-22,2389,2691,2364,2693,688905,96566.0,9110000.0
2002-02-25,2755,2869,2577,2591,896466,92922.0,9110000.0
2002-02-26,2667,2832,2578,2604,729860,93378.0,9110000.0
2002-02-27,2603,2907,2603,2909,1455655,104310.0,9110000.0
2002-02-28,3022,3251,2870,3251,1307827,116608.0,9110000.0
2002-03-04,3505,3632,3403,3505,1297878,125718.0,9110000.0
2002-03-05,3517,3632,3251,3315,802129,118886.0,9110000.0
2002-03-06,3415,3593,3301,3417,670038,122530.0,9110000.0
2002-03-07,3530,3822,3403,3518,1071367,126174.0,9110000.0
2002-03-08,3467,3594,3124,3251,587669,116608.0,9110000.0
2002-03-11,3251,3441,3213,3302,362564,118430.0,9110000.0
2002-03-12,3251,3390,3136,3315,361647,118886.0,9110000.0
2002-03-13,3314,3606,3251,3429,624819,122985.0,9110000.0
2002-03-14,3403,3543,3276,3378,275666,121163.0,9110000.0
2002-03-15,3378,3758,3302,3404,968811,122074.0,9110000.0
2002-03-18,3403,3568,3403,3518,504803,126174.0,9110000.0
2002-03-19,3517,3937,3479,3937,927673,141205.0,9110000.0
2002-03-20,3822,3987,3466,3480,989232,124807.0,9110000.0
2002-03-21,3504,3632,3276,3531,594726,126629.0,9110000.0
2002-03-22,3606,3911,3580,3645,733921,130728.0,9110000.0
2002-03-25,3594,3975,3594,3810,835962,136650.0,9110000.0
2002-03-26,3810,4064,3530,3556,914373,127540.0,9110000.0
2002-03-27,3632,3911,3556,3810,622218,136650.0,9110000.0
2002-03-28,3937,4267,3898,4267,1882997,153048.0,9110000.0
2002-03-29,4368,4495,4191,4420,872289,158514.0,9110000.0
2002-04-01,4419,4724,4292,4318,593251,154870.0,9110000.0
2002-04-02,4444,4596,4317,4585,448939,164436.0,9110000.0
2002-04-03,4444,5130,4444,5131,982882,184022.0,9110000.0
2002-04-04,5231,5511,4990,5296,1159764,189944.0,9110000.0
2002-04-08,5193,5384,5003,5030,401047,180378.0,9110000.0
2002-04-09,5054,5156,4521,4674,489385,167624.0,9110000.0
2002-04-10,4572,4699,4191,4572,456757,163980.0,9110000.0
2002-04-11,4660,4825,4520,4649,307406,166713.0,9110000.0
2002-04-12,4330,4571,4330,4369,214715,156692.0,9110000.0
2002-04-15,4343,4495,3962,4356,487983,156236.0,9110000.0
2002-04-16,4305,4622,4305,4547,377138,163069.0,9110000.0
2002-04-17,4647,4889,4622,4725,691057,169446.0,9110000.0
2002-04-18,4826,5067,4622,4674,782015,167624.0,9110000.0
2002-04-19,4673,4774,4342,4344,347114,155781.0,9110000.0
2002-04-22,4356,4419,3873,4013,530455,143938.0,9110000.0
