디엔에프(092070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-11-16,6007,6007,5117,5117,983577,38112.0,4142604.0
2007-11-19,4894,4894,4349,4349,353418,32395.0,4142604.0
2007-11-20,4109,4171,3748,3859,284871,28750.0,4142604.0
2007-11-21,3859,4437,3815,4438,425443,33058.0,4142604.0
2007-11-22,4499,4616,3865,3954,522516,29454.0,4142604.0
2007-11-23,3987,3992,3575,3670,98402,27341.0,4142604.0
2007-11-26,3725,3887,3531,3759,62971,28004.0,4142604.0
2007-11-27,3509,3715,3509,3532,46420,33325.0,5248000.0
2007-11-28,3542,3837,3520,3642,37606,34374.0,5248000.0
2007-11-29,3726,4143,3726,4032,67159,38048.0,5248000.0
2007-11-30,4054,4059,3920,4060,38081,38310.0,5248000.0
2007-12-03,4116,4416,4116,4316,25247,40724.0,5248000.0
2007-12-04,4315,4337,4070,4226,32822,39885.0,5248000.0
2007-12-05,4132,4393,4132,4282,14875,40410.0,5248000.0
2007-12-06,4337,4337,4176,4226,11713,39885.0,5248000.0
2007-12-07,4226,4299,4148,4254,26374,40147.0,5248000.0
2007-12-10,4254,4499,4193,4276,10276,40357.0,5248000.0
2007-12-11,4226,4437,4059,4254,14777,40147.0,5248000.0
2007-12-12,4193,4299,4109,4226,6440,39885.0,5248000.0
2007-12-13,4226,4226,4076,4171,5053,39360.0,5248000.0
2007-12-14,4171,4283,4088,4199,5310,39622.0,5248000.0
2007-12-17,4299,4299,4142,4221,7436,39832.0,5248000.0
2007-12-18,4226,4226,4115,4193,11221,39570.0,5248000.0
2007-12-20,4171,4349,4116,4333,21843,40882.0,5248000.0
2007-12-21,4388,4388,4255,4266,6039,40252.0,5248000.0
2007-12-24,4283,4410,4283,4383,13472,41354.0,5248000.0
2007-12-26,4387,4726,4387,4672,28913,44083.0,5248000.0
2007-12-27,4671,4971,4471,4738,10371,37261.0,5248000.0
2007-12-28,4738,4871,4538,4705,5922,36998.0,5248000.0
2008-01-02,4704,4704,4558,4578,2769,36001.0,5248000.0
2008-01-03,4651,4651,4391,4625,5568,36369.0,5248000.0
2008-01-04,4671,4671,4437,4598,5044,36159.0,5248000.0
2008-01-07,4571,4571,4064,4064,21970,31960.0,5248000.0
2008-01-08,4004,4257,4004,4131,3994,32485.0,5248000.0
2008-01-09,3877,4324,3877,4084,6195,32118.0,5248000.0
2008-01-10,4124,4231,4037,4118,2763,32380.0,5248000.0
2008-01-11,4157,4231,4104,4104,2426,32275.0,5248000.0
2008-01-14,4191,4197,3937,4131,8035,32485.0,5248000.0
2008-01-15,4171,4171,4004,4098,7866,32223.0,5248000.0
2008-01-16,4097,4177,3977,4098,6863,32223.0,5248000.0
2008-01-17,4591,4591,4064,4084,3347,32118.0,5248000.0
2008-01-18,4124,4204,4037,4191,1500,32957.0,5248000.0
2008-01-21,4204,4204,4090,4091,1645,32170.0,5248000.0
2008-01-22,4664,4664,3904,4071,12306,32013.0,5248000.0
2008-01-23,4311,4311,4004,4151,1946,32643.0,5248000.0
2008-01-24,4150,4197,4104,4184,2225,32905.0,5248000.0
2008-01-25,4204,4331,4184,4251,6081,33430.0,5248000.0
2008-01-28,4204,4244,4004,4038,13253,31750.0,5248000.0
2008-01-29,4050,4137,4004,4064,3213,31960.0,5248000.0
2008-01-30,4017,4070,3937,4031,3931,31698.0,5248000.0
2008-01-31,4024,4030,3803,4031,21923,31698.0,5248000.0
2008-02-01,4030,4157,3884,4004,5135,31488.0,5248000.0
2008-02-04,4004,4331,3917,4138,8676,32538.0,5248000.0
2008-02-05,3970,4097,3950,4004,18986,31488.0,5248000.0
2008-02-11,4090,4090,3677,3677,7168,28916.0,5248000.0
2008-02-12,3730,4224,3730,4004,89704,31488.0,5248000.0
2008-02-13,4191,4191,3950,4058,37514,31908.0,5248000.0
2008-02-14,4057,4070,3990,4071,11050,32013.0,5248000.0
2008-02-15,4070,4110,4004,4084,16761,32118.0,5248000.0
2008-02-18,4251,4311,4057,4311,26560,33902.0,5248000.0
2008-02-19,4277,4591,4277,4438,16320,34899.0,5248000.0
2008-02-20,4384,4531,4277,4465,9513,35109.0,5248000.0
2008-02-21,4417,4938,4417,4805,29110,37786.0,5248000.0
2008-02-22,4985,4985,4678,4732,9083,37208.0,5248000.0
2008-02-25,4651,4724,4477,4578,8934,36001.0,5248000.0
2008-02-26,4444,4724,4444,4678,5597,36788.0,5248000.0
2008-02-27,4551,4731,4551,4725,10792,37156.0,5248000.0
2008-02-28,4738,4831,4671,4712,9734,37051.0,5248000.0
2008-02-29,4851,4851,4658,4778,15698,37576.0,5248000.0
2008-03-03,4471,4764,4471,4765,17792,37471.0,5248000.0
2008-03-04,4518,4871,4518,4745,19365,37313.0,5248000.0
2008-03-05,4651,4805,4651,4692,13158,36893.0,5248000.0
2008-03-06,4791,4791,4504,4725,5792,37156.0,5248000.0
2008-03-07,4551,4738,4551,4652,10414,36579.0,5248000.0
2008-03-10,4551,4698,4471,4565,7973,35896.0,5248000.0
2008-03-11,4604,4671,4531,4672,15854,36736.0,5248000.0
2008-03-12,4584,4718,4471,4471,12502,35162.0,5248000.0
2008-03-13,4598,4658,4351,4351,15325,34217.0,5248000.0
2008-03-14,4471,4564,4337,4425,13049,34794.0,5248000.0
2008-03-17,4271,4337,4110,4111,3325,32328.0,5248000.0
2008-03-18,3864,4531,3864,4231,10045,33272.0,5248000.0
2008-03-19,4271,4798,4044,4044,7930,31803.0,5248000.0
2008-03-20,4017,4317,4010,4091,12065,32170.0,5248000.0
2008-03-21,4137,4271,4137,4138,10150,32538.0,5248000.0
2008-03-24,4177,4337,4177,4204,10030,33062.0,5248000.0
2008-03-25,4204,4531,4204,4271,15496,33587.0,5248000.0
2008-03-26,4384,4384,4150,4258,6069,33482.0,5248000.0
2008-03-27,4224,4224,4104,4124,3023,32433.0,5248000.0
2008-03-28,4124,4171,4024,4091,3997,32170.0,5248000.0
2008-03-31,4104,4104,3970,3971,9941,31226.0,5248000.0
2008-04-01,3970,4044,3970,4011,2233,31540.0,5248000.0
2008-04-02,4191,4191,4044,4044,1037,31803.0,5248000.0
2008-04-03,4177,4177,4010,4071,488,32013.0,5248000.0
2008-04-04,4104,4171,4004,4158,4116,32695.0,5248000.0
2008-04-07,4304,4304,4184,4271,6141,33587.0,5248000.0
2008-04-08,4070,4137,3990,3997,31388,37723.0,6297600.0
2008-04-10,3890,4137,3803,4071,23755,38415.0,6297600.0
2008-04-11,4070,4191,4070,4158,22849,39234.0,6297600.0
2008-04-14,4237,4244,4104,4138,11347,39045.0,6297600.0
2008-04-15,4271,4271,4104,4151,11640,39171.0,6297600.0
2008-04-16,4104,4150,3917,4124,5183,38919.0,6297600.0
2008-04-17,4037,4204,4030,4031,4666,38038.0,6297600.0
2008-04-18,4171,4171,3997,4038,7648,38100.0,6297600.0
2008-04-21,3470,4137,3470,4031,4308,38038.0,6297600.0
2008-04-22,4017,4024,3937,3991,8452,37660.0,6297600.0
2008-04-23,3870,4030,3870,3891,17340,36715.0,6297600.0
2008-04-24,3984,4004,3884,4004,5707,37786.0,6297600.0
2008-04-25,3904,3944,3743,3811,27048,35959.0,6297600.0
2008-04-28,3950,3997,3857,3997,5628,37723.0,6297600.0
2008-04-29,3997,4137,3870,3977,29346,37534.0,6297600.0
2008-04-30,3917,4137,3917,4024,4154,37975.0,6297600.0
2008-05-02,4130,4130,3884,3884,7957,36652.0,6297600.0
2008-05-06,3997,3997,3864,3971,21244,37471.0,6297600.0
2008-05-07,3997,3997,3837,3937,21467,37156.0,6297600.0
2008-05-08,3957,4437,3937,4358,50655,41123.0,6297600.0
2008-05-09,4357,4591,4137,4138,21596,39045.0,6297600.0
2008-05-13,4171,4331,4171,4204,11593,39675.0,6297600.0
2008-05-14,4197,4197,4070,4178,17115,39423.0,6297600.0
2008-05-15,4171,4457,4137,4398,41169,41501.0,6297600.0
2008-05-16,4324,4538,4304,4538,29731,42824.0,6297600.0
2008-05-19,4544,4885,4544,4838,72706,45658.0,6297600.0
2008-05-20,4838,4971,4811,4892,28406,46161.0,6297600.0
2008-05-21,4638,4865,4604,4705,37628,44398.0,6297600.0
2008-05-22,4704,4704,4538,4672,17596,44083.0,6297600.0
2008-05-23,4611,4784,4538,4605,14477,43453.0,6297600.0
2008-05-26,4671,4704,4604,4618,7148,43579.0,6297600.0
2008-05-27,4498,4591,4437,4585,9553,43265.0,6297600.0
2008-05-28,4584,4798,4551,4551,2712,42950.0,6297600.0
2008-05-29,4544,4771,4544,4658,11865,43957.0,6297600.0
2008-05-30,4658,4764,4624,4672,3111,44083.0,6297600.0
2008-06-02,4738,4804,4611,4772,29182,45028.0,6297600.0
2008-06-03,4644,4771,4638,4665,15780,44020.0,6297600.0
2008-06-04,4511,4711,4511,4698,6244,44335.0,6297600.0
2008-06-05,4544,4738,4544,4698,2601,44335.0,6297600.0
2008-06-09,4691,4691,4551,4605,1830,43453.0,6297600.0
2008-06-10,4664,4671,4538,4605,5379,43453.0,6297600.0
2008-06-11,4718,4718,4604,4672,6751,44083.0,6297600.0
2008-06-12,4491,4664,4491,4618,3743,43579.0,6297600.0
2008-06-13,4671,4671,4471,4605,8283,43453.0,6297600.0
2008-06-16,4444,4798,4271,4598,28222,43390.0,6297600.0
2008-06-17,4598,4671,4471,4571,17440,43139.0,6297600.0
2008-06-18,4664,4664,4538,4625,1741,43642.0,6297600.0
2008-06-19,4604,4604,4538,4591,3085,43327.0,6297600.0
2008-06-20,4538,4658,4471,4471,1660,42194.0,6297600.0
2008-06-23,4464,4571,4337,4571,15375,43139.0,6297600.0
2008-06-24,4591,4591,4471,4531,3402,42761.0,6297600.0
2008-06-25,4604,4604,4404,4525,7682,42698.0,6297600.0
2008-06-26,4524,4538,4237,4405,11193,41564.0,6297600.0
2008-06-27,4671,4671,4251,4405,17268,41564.0,6297600.0
2008-06-30,4471,4471,4244,4291,7047,40494.0,6297600.0
2008-07-01,4291,4291,4244,4271,12172,40305.0,6297600.0
2008-07-02,4184,4264,3950,4004,9742,37786.0,6297600.0
2008-07-03,3904,3984,3770,3971,7502,37471.0,6297600.0
2008-07-04,3844,4397,3844,4124,2091,38919.0,6297600.0
2008-07-07,4264,4264,3857,3857,3648,36400.0,6297600.0
2008-07-08,3890,3890,3537,3537,2480,33377.0,6297600.0
2008-07-09,3937,3937,3543,3657,5821,34511.0,6297600.0
2008-07-10,3657,3803,3476,3477,3211,32810.0,6297600.0
2008-07-11,3543,3783,3530,3637,6480,34322.0,6297600.0
2008-07-14,3930,3930,3643,3804,2698,35896.0,6297600.0
2008-07-15,3990,3990,3750,3757,3932,35455.0,6297600.0
2008-07-16,3670,3864,3450,3791,2256,35770.0,6297600.0
2008-07-17,3737,4304,3737,3851,1224,36337.0,6297600.0
2008-07-18,3743,4004,3743,3871,3143,36526.0,6297600.0
2008-07-21,3877,3964,3757,3757,2768,35455.0,6297600.0
2008-07-22,3904,3970,3543,3864,378,36463.0,6297600.0
2008-07-23,3864,3864,3610,3704,5540,34952.0,6297600.0
2008-07-24,3763,3837,3630,3677,5894,34700.0,6297600.0
