바디텍메드(206640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-29,36724,36724,36450,36451,247053,9200.0,4600000.0
2014-12-30,36450,36450,36359,36451,62921,9200.0,4600000.0
2015-01-02,36450,36633,36359,36451,21865,9200.0,4600000.0
2015-01-05,36541,36541,36450,36451,79177,9200.0,4600000.0
2015-01-06,36541,36541,36359,36542,21001,9223.0,4600000.0
2015-01-07,36541,36541,36450,36542,79699,9223.0,4600000.0
2015-01-08,36541,36997,36541,36633,48862,9246.0,4600000.0
2015-01-09,36815,38273,36815,38273,64730,9660.0,4600000.0
2015-01-12,38273,38273,37726,38182,55157,9637.0,4600000.0
2015-01-13,38182,38273,38091,38273,14505,9660.0,4600000.0
2015-01-14,38273,38455,36724,38000,124157,9591.0,4600000.0
2015-01-15,37908,38182,37362,38182,7869,9637.0,4600000.0
2015-01-16,38182,38546,38182,38456,9564,9706.0,4600000.0
2015-01-19,39093,39093,38091,38182,29669,9637.0,4600000.0
2015-01-20,38273,38364,38000,38273,19815,9660.0,4600000.0
2015-01-21,40095,40095,38364,38638,5380,9752.0,4600000.0
2015-01-22,39093,39366,38273,38273,33007,9660.0,4600000.0
2015-01-23,39002,39093,38091,38182,36490,9637.0,4600000.0
2015-01-26,38182,40460,37908,39002,19472,9844.0,4600000.0
2015-01-27,39184,39640,38546,39640,20419,10005.0,4600000.0
2015-01-28,40095,40095,39093,40096,26403,10120.0,4600000.0
2015-01-29,40460,40460,40004,40369,27476,10189.0,4600000.0
2015-01-30,40460,41736,40369,41372,35582,10442.0,4600000.0
2015-02-02,41827,41827,41371,41736,14745,10534.0,4600000.0
2015-02-03,43558,43558,42009,42192,17447,10649.0,4600000.0
2015-02-04,43376,43376,42282,42739,9977,10787.0,4600000.0
2015-02-05,43741,43741,41280,42101,12579,10626.0,4600000.0
2015-02-06,42282,42282,41098,41189,2835,10396.0,4600000.0
2015-02-09,41918,41918,40369,40552,9421,10235.0,4600000.0
2015-02-10,42465,42465,39184,40096,6183,10120.0,4600000.0
2015-02-11,40095,40278,39366,39914,7796,10074.0,4600000.0
2015-02-12,40460,40642,39913,40643,46802,10258.0,4600000.0
2015-02-13,41827,41827,39184,39549,31305,9982.0,4600000.0
2015-02-16,39731,45381,39731,41098,43843,10373.0,4600000.0
2015-02-17,42738,43741,41645,42830,74949,10810.0,4600000.0
2015-02-23,42829,47659,42465,42465,43876,10718.0,4600000.0
2015-02-24,44470,44470,41736,41827,21407,10557.0,4600000.0
2015-02-25,43741,43741,40460,41007,34002,10350.0,4600000.0
2015-02-26,42282,42829,40369,40825,28744,10304.0,4600000.0
2015-02-27,43649,43649,40187,41281,58604,10419.0,4600000.0
2015-03-02,43923,43923,40095,41098,24969,10373.0,4600000.0
2015-03-03,42374,42374,41736,41736,1041,10534.0,4600000.0
2015-03-04,41918,42829,41098,42283,51497,10672.0,4600000.0
2015-03-05,41918,43011,41918,42647,18635,10764.0,4600000.0
2015-03-06,42374,43741,42374,43012,21382,10856.0,4600000.0
2015-03-09,43923,43923,41098,43559,24909,10994.0,4600000.0
2015-03-10,43923,43923,41007,43285,2183,10925.0,4600000.0
2015-03-11,41371,43103,41371,43012,1280,10856.0,4600000.0
2015-03-12,43741,43741,40187,41189,51681,10396.0,4600000.0
2015-03-13,41280,41280,39822,40643,24032,10258.0,4600000.0
2015-03-16,40733,41462,40095,41463,6107,10465.0,4600000.0
2015-03-17,42556,42556,40095,41918,12260,10580.0,4600000.0
2015-03-18,43649,43649,41645,42830,3695,10810.0,4600000.0
2015-03-19,43376,43376,41462,42739,1785,10787.0,4600000.0
2015-03-20,42738,44561,42465,42465,16524,10718.0,4600000.0
2015-03-23,42738,43649,41918,43194,28503,10902.0,4600000.0
2015-03-24,43194,47021,43194,45564,99050,11500.0,4600000.0
2015-03-25,47750,48935,43376,45928,114844,11592.0,4600000.0
2015-03-26,45928,45928,44743,45290,50999,11431.0,4600000.0
2015-03-27,45290,46383,44652,46384,48673,11707.0,4600000.0
2015-03-30,47386,48844,46565,48753,88371,12305.0,4600000.0
2015-03-31,50118,56043,50118,56043,959531,14145.0,4600000.0
2015-04-01,0,0,0,56043,0,14145.0,4600000.0
2015-04-02,0,0,0,56043,0,,
2015-04-03,0,0,0,56043,0,,
2015-04-06,0,0,0,56043,0,,
2015-04-07,0,0,0,56043,0,,
2015-04-08,0,0,0,56043,0,,
2015-04-09,0,0,0,56043,0,,
2015-04-10,0,0,0,56043,0,,
2015-04-13,0,0,0,56043,0,,
2015-04-14,0,0,0,56043,0,,
2015-04-15,0,0,0,56043,0,,
2015-04-16,0,0,0,56043,0,,
2015-04-17,0,0,0,56043,0,,
2015-04-20,0,0,0,56043,0,,
2015-04-21,0,0,0,56043,0,,
2015-04-22,0,0,0,56043,0,,
2015-04-23,0,0,0,56043,0,,
2015-04-24,0,0,0,56043,0,,
2015-04-27,0,0,0,56043,0,,
2015-04-28,0,0,0,56043,0,,
2015-04-29,0,0,0,56043,0,,
2015-04-30,0,0,0,56043,0,,
2015-05-04,0,0,0,56043,0,,
2015-05-06,0,0,0,56043,0,,
