플리토(300080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-07-17,31600,33400,26550,27800,3455088,143721.0,5169811.0
2019-07-18,27750,28050,25400,25550,391065,132089.0,5169811.0
2019-07-19,25900,33200,25750,33200,1918236,171638.0,5169811.0
2019-07-22,35800,38700,32300,35350,3659530,182753.0,5169811.0
2019-07-23,37400,41100,35700,38550,2480123,199296.0,5169811.0
2019-07-24,37650,39550,35550,39350,1006147,203432.0,5169811.0
2019-07-25,38100,43950,37350,39550,1311370,204466.0,5169811.0
2019-07-26,39500,41050,37950,40200,620987,207826.0,5169811.0
2019-07-29,40450,40950,33000,33000,571349,170604.0,5169811.0
2019-07-30,33050,33850,30050,32200,410134,166468.0,5169811.0
2019-07-31,32450,35650,30450,32550,833146,168277.0,5169811.0
2019-08-01,31600,33300,30000,30000,308837,155094.0,5169811.0
2019-08-02,28600,29750,27650,28200,207767,146183.0,5183811.0
2019-08-05,28100,29900,25350,25800,312839,133742.0,5183811.0
2019-08-06,25400,27500,24000,25000,319756,129595.0,5183811.0
2019-08-07,25700,26650,24750,26000,151623,134779.0,5183811.0
2019-08-08,26100,27300,26100,26600,143036,137889.0,5183811.0
2019-08-09,27050,27200,25800,26100,124023,135297.0,5183811.0
2019-08-12,26350,26600,25450,25900,95787,134261.0,5183811.0
2019-08-13,25250,25750,21900,21900,355273,113525.0,5183811.0
2019-08-14,22400,25800,21150,23100,578889,119746.0,5183811.0
2019-08-16,23050,23300,20500,20700,297719,107305.0,5183811.0
2019-08-19,21300,21450,18750,19050,763005,98752.0,5183811.0
2019-08-20,19000,19000,17800,18850,721901,97715.0,5183811.0
2019-08-21,19400,20350,19050,19150,610694,99270.0,5183811.0
2019-08-22,19700,20650,19400,19600,540600,101603.0,5183811.0
2019-08-23,19600,20100,18850,19150,314721,99270.0,5183811.0
2019-08-26,18400,18500,17550,17550,271107,90976.0,5183811.0
2019-08-27,18150,18350,16700,18250,444040,94605.0,5183811.0
2019-08-28,18000,18600,17750,18350,268768,95123.0,5183811.0
2019-08-29,18500,19500,18100,18300,510515,94864.0,5183811.0
2019-08-30,18700,19350,18500,18800,440313,97456.0,5183811.0
2019-09-02,18600,18950,18100,18250,217019,94605.0,5183811.0
2019-09-03,18500,19450,18200,19300,516277,100048.0,5183811.0
2019-09-04,19100,19850,18800,19500,389860,101084.0,5183811.0
2019-09-05,19500,19550,18850,19050,238190,98752.0,5183811.0
2019-09-06,19250,19400,18150,18150,259889,94086.0,5183811.0
2019-09-09,18300,19350,17900,19150,265541,99270.0,5183811.0
2019-09-10,19300,20300,19100,19950,622453,103417.0,5183811.0
2019-09-11,20250,21700,20200,20500,991265,106268.0,5183811.0
2019-09-16,20600,20650,19900,20150,255934,104454.0,5183811.0
2019-09-17,20750,21500,20350,21000,424246,108860.0,5183811.0
2019-09-18,21000,21050,20100,20700,246386,107305.0,5183811.0
2019-09-19,21000,21600,20350,20450,363268,106009.0,5183811.0
2019-09-20,20350,20750,20050,20500,139887,106268.0,5183811.0
2019-09-23,20400,21000,19950,20050,141049,103935.0,5183811.0
2019-09-24,20000,20250,19600,19850,224503,102899.0,5183811.0
2019-09-25,20050,20450,18900,18900,274114,97974.0,5183811.0
2019-09-26,19000,19300,18000,18400,224169,95382.0,5183811.0
2019-09-27,18400,18600,18050,18250,100395,94605.0,5183811.0
2019-09-30,18350,18450,17400,17650,113886,91494.0,5183811.0
2019-10-01,17650,18000,17500,17850,73321,92531.0,5183811.0
2019-10-02,17650,23200,17500,21100,5136119,109378.0,5183811.0
2019-10-04,20950,23300,20700,21400,2198705,110934.0,5183811.0
2019-10-07,21500,22400,21250,21950,1030134,113785.0,5183811.0
