엑세스바이오(950130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-05-30,9000,10350,9000,10350,481546,,
2013-05-31,11900,11900,11750,11900,3147904,,
2013-06-03,12200,12350,11450,12150,5255396,,
2013-06-04,12150,12250,10600,11300,2711946,,
2013-06-05,11300,11400,10200,10200,1512415,,
2013-06-07,9900,10100,9260,9480,2087239,,
2013-06-10,9750,10300,9650,10100,1968043,,
2013-06-11,10050,10650,9960,10050,1232099,,
2013-06-12,10200,11400,10000,11000,4117394,,
2013-06-13,10700,10750,10200,10350,1404828,,
2013-06-14,10450,10600,9670,9950,1293626,,
2013-06-17,9720,9810,9160,9400,917470,,
2013-06-18,9520,9840,9470,9750,764047,,
2013-06-19,9770,9770,9290,9300,437826,,
2013-06-20,9200,9260,8960,9170,458729,,
2013-06-21,8950,9580,8730,9580,707902,,
2013-06-24,9600,9620,9020,9020,338172,,
2013-06-25,9000,9180,8450,8700,585755,,
2013-06-26,8980,9450,8800,9330,885941,,
2013-06-27,9660,10400,9570,10200,1210388,,
2013-06-28,10200,10350,9940,10100,872295,,
2013-07-01,9600,9980,9420,9810,3121857,,
2013-07-02,9690,10150,9400,10050,1606560,,
2013-07-03,9940,10300,9800,10200,1513117,,
2013-07-04,10150,10250,9860,9900,784768,,
2013-07-05,9910,10000,9720,9990,589648,,
2013-07-08,9960,10300,9200,9400,1807934,,
2013-07-09,9480,9480,8910,9290,815648,,
2013-07-10,9310,9350,9130,9130,337635,,
2013-07-11,9140,9560,9140,9540,655438,,
2013-07-12,9540,9580,9270,9500,483878,,
2013-07-15,9580,9980,9480,9970,1129952,,
2013-07-16,10100,10600,9910,10500,2108005,,
2013-07-17,10500,10700,10250,10350,2327058,,
2013-07-18,10450,10950,10350,10650,2411289,,
2013-07-19,10400,10500,10050,10250,975935,,
2013-07-22,10200,10450,9990,10300,780884,,
2013-07-23,10300,10350,9990,10050,506866,,
2013-07-24,10000,10100,9670,9890,816052,,
2013-07-25,9810,10200,9640,10100,813301,,
2013-07-26,10100,10200,9880,9950,484588,,
2013-07-29,10100,10100,9280,9410,1089844,,
2013-07-30,9350,9700,9250,9700,541823,,
2013-07-31,9750,9980,9500,9950,926616,,
2013-08-01,9920,9990,9790,9870,407677,,
2013-08-02,9970,9970,9790,9850,211398,,
2013-08-05,9950,9950,9640,9720,279808,,
2013-08-06,9710,9840,9590,9800,283495,,
2013-08-07,9750,9770,9520,9630,253024,,
2013-08-08,9630,10100,9510,9990,690681,,
2013-08-09,9910,10150,9820,9910,431287,,
2013-08-12,9990,10300,9970,10000,965505,,
2013-08-13,9990,10100,9760,9800,412172,,
2013-08-14,9820,9820,9520,9700,291856,,
2013-08-16,9550,9680,9390,9550,456374,,
2013-08-19,9500,9870,9420,9800,303677,,
2013-08-20,9800,10100,9630,9880,1027941,,
2013-08-21,10050,10100,9130,9650,1255475,,
2013-08-22,9690,9800,9420,9680,489137,,
2013-08-23,9730,9950,9620,9950,457754,,
2013-08-26,10000,10100,9830,10050,509203,,
2013-08-27,10000,10050,9460,9600,515974,,
2013-08-28,9400,9630,9200,9270,407027,,
2013-08-29,9340,9530,9280,9410,221851,,
2013-08-30,9490,9490,9290,9360,142684,,
2013-09-02,9360,9480,9290,9380,128369,,
2013-09-03,9490,9490,9330,9350,146284,,
2013-09-04,9350,9350,8900,8920,609664,,
2013-09-05,8960,9050,8750,8850,284804,,
2013-09-06,8820,8920,8390,8410,666991,,
2013-09-09,8410,8490,7980,8080,818183,,
2013-09-10,8100,8140,7670,8080,626307,,
2013-09-11,8120,8320,8010,8320,529541,,
2013-09-12,8320,8570,8190,8410,542320,,
2013-09-13,8410,8470,8150,8220,313063,,
2013-09-16,8310,8310,7790,7790,391178,,
2013-09-17,7810,7850,7680,7700,184614,,
2013-09-23,7680,8070,7660,7800,186035,,
2013-09-24,7810,8100,7780,8080,162034,,
2013-09-25,8120,8270,8020,8080,180752,,
2013-09-26,8080,8470,8080,8370,511779,,
2013-09-27,8470,8890,8430,8680,635051,,
2013-09-30,8680,8740,8370,8440,182479,,
2013-10-01,8420,8530,8190,8280,182220,,
2013-10-02,8320,8410,8220,8230,73262,,
2013-10-04,8200,8200,7990,8010,186246,,
2013-10-07,7950,8080,7770,7770,205586,,
2013-10-08,7890,8070,7590,7850,248641,,
2013-10-10,7780,7920,7610,7670,233538,,
2013-10-11,7860,8210,7680,8160,444563,,
2013-10-14,8130,8450,8040,8420,401644,,
2013-10-15,8410,8410,8060,8090,498685,,
2013-10-16,8090,8110,7800,7830,249112,,
2013-10-17,7900,7940,7590,7630,302616,,
2013-10-18,7610,7820,7600,7800,165847,,
2013-10-21,7850,7900,7670,7700,153353,,
2013-10-22,7750,7950,7660,7940,163747,,
2013-10-23,8020,8030,7710,7710,184197,,
2013-10-24,7670,7780,7670,7750,86714,,
2013-10-25,7840,8330,7720,8250,626795,,
2013-10-28,8250,8520,8160,8440,514641,,
2013-10-29,8510,8630,8350,8500,353842,,
2013-10-30,8530,8650,8430,8500,183704,,
2013-10-31,8570,8570,8270,8440,211483,,
2013-11-01,8350,8540,8350,8440,200022,,
2013-11-04,8450,8450,8290,8400,93348,,
2013-11-05,8410,8450,8100,8120,119543,,
2013-11-06,8120,8440,7950,8090,295225,,
2013-11-07,8100,8160,7810,8000,152252,,
2013-11-08,7970,8280,7910,8150,129673,,
2013-11-11,8180,8290,8140,8250,204095,,
2013-11-12,8250,8460,8250,8360,274992,,
2013-11-13,8380,8480,8260,8430,243977,,
2013-11-14,8500,8500,8340,8430,212340,,
2013-11-15,8540,8970,8480,8690,772863,,
2013-11-18,8800,8940,8660,8880,291164,,
2013-11-19,8900,9020,8650,8750,536120,,
2013-11-20,8720,8720,8500,8720,210674,,
2013-11-21,8640,8770,8560,8770,111922,,
2013-11-22,8710,8950,8710,8950,262255,,
2013-11-25,8950,9060,8870,9000,298051,,
2013-11-26,9000,9080,8880,8990,165677,,
2013-11-27,8950,9050,8880,8950,139746,,
2013-11-28,8900,9020,8560,8700,638347,,
2013-11-29,8750,8830,8570,8800,280959,,
2013-12-02,8840,8860,8710,8800,223795,,
2013-12-03,8780,8810,8680,8750,83002,,
2013-12-04,8650,8780,8600,8740,165200,,
2013-12-05,8690,8750,8600,8700,104890,,
2013-12-06,8620,8710,8430,8430,124001,,
2013-12-09,8550,8550,8070,8070,188902,,
2013-12-10,8180,8450,8140,8380,230008,,
2013-12-11,8420,8560,8320,8500,154989,,
2013-12-12,8400,8640,8400,8610,132204,,
2013-12-13,8620,8620,8430,8580,85466,,
2013-12-16,8590,8590,8290,8500,146481,,
2013-12-17,8450,8510,8300,8370,122045,,
2013-12-18,8270,8430,8270,8370,125560,,
2013-12-19,8430,8480,8160,8340,204839,,
2013-12-20,8370,8400,8130,8240,144864,,
2013-12-23,8220,8270,7950,7950,340466,,
2013-12-24,8010,8130,7950,8030,182012,,
2013-12-26,8130,8130,7940,7980,563570,,
2013-12-27,8020,8260,8020,8250,581040,,
2013-12-30,8200,8230,8040,8150,196349,,
2014-01-02,8140,8220,7980,8180,157473,,
2014-01-03,8160,8200,8070,8130,96294,,
2014-01-06,8190,8210,8080,8170,88105,,
2014-01-07,8140,8280,8080,8280,156942,,
2014-01-08,8370,8900,8290,8790,538135,,
2014-01-09,8850,9020,8790,8800,643816,,
2014-01-10,8900,9090,8770,9000,571420,,
2014-01-13,8930,9100,8860,9050,290402,,
2014-01-14,9030,9320,8950,9200,559186,,
2014-01-15,9200,9470,9060,9420,903947,,
2014-01-16,9470,9700,9430,9700,802592,,
2014-01-17,9600,9690,9350,9400,540366,,
2014-01-20,9450,9450,9180,9290,333102,,
2014-01-21,9250,9320,9160,9200,242190,,
2014-01-22,9200,9340,9120,9270,175390,,
