샘코(263540),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-09-15,12000,12250,10250,10250,2903306,79500.0,7756131.0
2017-09-18,10500,10700,9870,9950,692924,77174.0,7756131.0
2017-09-19,10000,10150,9870,9880,307632,76631.0,7756131.0
2017-09-20,9840,9940,9090,9220,486585,71512.0,7756131.0
2017-09-21,9200,9250,8700,8730,276889,67711.0,7756131.0
2017-09-22,8890,9000,8350,8350,232394,64764.0,7756131.0
2017-09-25,8350,10000,8070,8070,2413088,62592.0,7756131.0
2017-09-26,8150,8380,7900,8000,296558,62049.0,7756131.0
2017-09-27,8030,8180,7940,8180,174829,63445.0,7756131.0
2017-09-28,8180,8250,7930,7930,145400,61506.0,7756131.0
2017-09-29,7940,7990,7820,7850,99009,62303.0,7936681.0
2017-10-10,7910,8000,7700,7720,101477,61271.0,7936681.0
2017-10-11,7710,7750,7480,7530,121706,59763.0,7936681.0
2017-10-12,7560,7750,7530,7570,96734,60081.0,7936681.0
2017-10-13,7570,7750,7480,7710,104735,61192.0,7936681.0
2017-10-16,7670,7680,7340,7350,149638,58335.0,7936681.0
2017-10-17,7350,7630,7300,7370,104666,58493.0,7936681.0
2017-10-18,7340,7430,7130,7130,88316,56589.0,7936681.0
2017-10-19,7140,7240,7000,7110,118324,56430.0,7936681.0
2017-10-20,7100,7340,7000,7170,92917,56906.0,7936681.0
2017-10-23,7190,7450,7190,7280,100923,57779.0,7936681.0
2017-10-24,7360,7360,7070,7080,120440,56192.0,7936681.0
2017-10-25,7150,7150,7050,7090,112528,56271.0,7936681.0
2017-10-26,7120,7230,7070,7100,200926,56350.0,7936681.0
2017-10-27,7480,7490,7120,7170,341994,56906.0,7936681.0
2017-10-30,7150,7290,7110,7160,114593,56827.0,7936681.0
2017-10-31,7210,7280,7150,7210,123318,57223.0,7936681.0
2017-11-01,7290,9100,7280,8170,3892552,64843.0,7936681.0
2017-11-02,8300,8330,8020,8160,506582,64763.0,7936681.0
2017-11-03,8160,8230,7800,7800,365799,61906.0,7936681.0
2017-11-06,7760,7980,7650,7980,393968,63335.0,7936681.0
2017-11-07,8350,9440,8300,8420,4266606,66827.0,7936681.0
2017-11-08,8470,8820,8220,8810,763554,69922.0,7936681.0
2017-11-09,8890,9080,8500,8500,517868,67462.0,7936681.0
2017-11-10,8510,9360,8510,8830,891550,70081.0,7936681.0
2017-11-13,8790,9030,8700,8980,255620,71271.0,7936681.0
2017-11-14,8850,9030,8420,8540,434172,67779.0,7936681.0
2017-11-15,8530,8590,7960,7960,400451,63176.0,7936681.0
2017-11-16,8010,8240,8000,8150,186607,64684.0,7936681.0
2017-11-17,8210,8720,8150,8440,271379,66986.0,7936681.0
2017-11-20,8500,8690,8410,8430,111286,66906.0,7936681.0
