코텍(052330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-07-10,7213,7213,7213,7214,445574,76935.0,10258000.0
2001-07-11,7309,8079,7309,8079,395748,86167.0,10258000.0
2001-07-12,8944,8944,7982,8368,2343360,89245.0,10258000.0
2001-07-13,8463,8560,7896,7983,474196,85141.0,10258000.0
2001-07-16,8184,8935,8184,8935,287896,95297.0,10258000.0
2001-07-18,9425,10002,9175,10003,2491490,106683.0,10258000.0
2001-07-19,10291,10387,9050,9118,1689311,97246.0,10258000.0
2001-07-20,9175,9714,8098,8195,712245,87398.0,10258000.0
2001-07-23,8098,8367,7377,7694,564144,82064.0,10258000.0
2001-07-24,7280,8560,7280,8175,609280,87193.0,10258000.0
2001-07-25,7309,8079,7309,7694,261619,82064.0,10258000.0
2001-07-26,7790,8031,7742,7800,284063,83192.0,10258000.0
2001-07-27,7973,8454,7934,8108,431303,86475.0,10258000.0
2001-07-30,8184,8261,7896,7935,143123,84628.0,10258000.0
2001-07-31,7973,8098,7800,7973,141235,85039.0,10258000.0
2001-08-01,8108,8511,8002,8272,342464,88219.0,10258000.0
2001-08-02,8358,8483,8079,8416,260950,89758.0,10258000.0
2001-08-03,8560,9387,8511,8849,924552,94374.0,10258000.0
2001-08-06,8848,9185,8646,8752,317039,93348.0,10258000.0
2001-08-07,8790,8992,8608,8897,287519,94886.0,10258000.0
2001-08-08,8752,8896,8675,8752,284260,93348.0,10258000.0
2001-08-09,8752,9089,8377,8512,441547,90783.0,10258000.0
2001-08-10,8511,8704,8435,8560,191595,91296.0,10258000.0
2001-08-13,8608,8704,8435,8560,170829,91296.0,10258000.0
2001-08-14,8665,8771,8454,8522,181413,90886.0,10258000.0
2001-08-16,8377,8444,8002,8098,166438,86372.0,10258000.0
2001-08-17,8271,8281,8108,8243,162341,87911.0,10258000.0
2001-08-20,7742,8108,7742,8108,111599,86475.0,10258000.0
2001-08-21,8271,8319,8127,8233,91035,87808.0,10258000.0
2001-08-22,8223,8637,8136,8474,172419,90373.0,10258000.0
2001-08-23,8675,8935,8521,8550,269789,91194.0,10258000.0
2001-08-24,8550,8896,8415,8733,286771,93143.0,10258000.0
2001-08-27,8848,8944,8579,8752,365619,93348.0,10258000.0
2001-08-28,8800,9762,8713,9762,1644194,104119.0,10258000.0
2001-08-29,10050,10916,10002,10916,2188949,116428.0,10258000.0
2001-08-30,11445,11685,9618,9618,2184269,102580.0,10258000.0
2001-08-31,9242,9329,8463,8464,838421,90270.0,10258000.0
2001-09-03,8656,8752,8031,8406,564425,89655.0,10258000.0
2001-09-04,8377,8964,8281,8474,720840,90373.0,10258000.0
2001-09-05,8367,8569,8223,8368,277356,89245.0,10258000.0
2001-09-06,8386,9050,8386,8897,524072,94886.0,10258000.0
2001-09-07,8704,8944,8569,8877,319323,94681.0,10258000.0
2001-09-10,8800,9377,8656,9041,826610,96425.0,10258000.0
2001-09-11,9040,9137,8463,8531,485626,90988.0,10258000.0
2001-09-12,7511,7511,7511,7512,2562,80115.0,10258000.0
2001-09-13,7213,7588,6925,7329,507045,78166.0,10258000.0
2001-09-14,7319,7617,6453,7204,586384,76832.0,10258000.0
2001-09-17,7021,7021,6347,6608,262794,70472.0,10258000.0
2001-09-18,6925,7213,6809,6925,232651,73858.0,10258000.0
2001-09-19,6876,7030,6655,6733,584694,71806.0,10258000.0
2001-09-20,6732,6732,6396,6636,463301,70780.0,10258000.0
2001-09-21,6636,7425,6453,6973,1187493,74370.0,10258000.0
2001-09-24,7107,7261,6925,7021,776900,74883.0,10258000.0
2001-09-25,7357,7694,7021,7310,1326920,77961.0,10258000.0
2001-09-26,7492,7636,6434,6608,1651140,70472.0,10258000.0
2001-09-27,6732,6799,6492,6588,464759,70267.0,10258000.0
2001-09-28,6636,7059,6607,6848,544712,73037.0,10258000.0
2001-10-04,7117,7530,7107,7396,810048,78884.0,10258000.0
2001-10-05,7530,8213,7511,7791,2220508,83090.0,10258000.0
2001-10-08,7790,8435,7502,8002,1883648,85347.0,10258000.0
2001-10-09,8156,8252,7694,8041,1818240,85757.0,10258000.0
2001-10-10,8146,9002,8088,8887,3657717,94784.0,10258000.0
2001-10-11,8944,9358,8406,8608,2256754,91809.0,10258000.0
2001-10-12,8848,8954,8194,8464,1650587,90270.0,10258000.0
2001-10-15,8415,9473,8367,9474,2847259,101041.0,10258000.0
2001-10-16,9618,9906,8560,8935,3707720,95297.0,10258000.0
2001-10-17,9098,9762,8752,8810,4103939,93963.0,10258000.0
2001-10-18,8463,8608,8136,8262,1632154,88116.0,10258000.0
2001-10-19,8406,9175,8406,8849,2915775,94374.0,10258000.0
2001-10-22,9060,9714,9060,9368,2535215,99913.0,10258000.0
2001-10-23,9367,9464,8733,8926,1631359,95194.0,10258000.0
2001-10-24,8992,9425,8867,9281,2044118,98990.0,10258000.0
2001-10-25,9040,9185,8511,8801,1080871,93861.0,10258000.0
2001-10-26,8665,8925,8271,8435,1052544,89963.0,10258000.0
2001-10-29,8367,8608,8079,8079,971639,86167.0,10258000.0
2001-10-30,7838,8136,7444,7618,904666,81243.0,10258000.0
2001-10-31,7617,7982,7617,7781,788603,82987.0,10258000.0
2001-11-01,7790,7973,7761,7781,694322,82987.0,10258000.0
2001-11-02,7761,7857,7396,7569,824862,80730.0,10258000.0
2001-11-05,7607,7877,7598,7877,649144,84013.0,10258000.0
2001-11-06,7934,8002,7752,7752,523131,82679.0,10258000.0
2001-11-07,7934,8521,7857,8127,2722043,86680.0,10258000.0
2001-11-08,8184,8223,7877,7887,867487,84116.0,10258000.0
2001-11-09,7982,8050,7761,7819,566511,83398.0,10258000.0
2001-11-12,7790,7848,7569,7762,796901,82782.0,10258000.0
2001-11-13,7694,7694,7482,7541,515612,80423.0,10258000.0
2001-11-14,7569,7742,7550,7608,611293,81141.0,10258000.0
2001-11-15,7646,7723,7300,7416,479755,79089.0,10258000.0
2001-11-16,7415,7598,7415,7502,305965,80012.0,10258000.0
2001-11-19,7511,7752,7415,7723,620038,82372.0,10258000.0
2001-11-20,7790,8156,7723,7839,1026367,83603.0,10258000.0
2001-11-21,7886,8117,7857,8060,757777,85962.0,10258000.0
2001-11-22,8050,8290,7925,8185,778192,87296.0,10258000.0
2001-11-23,8358,8588,8127,8272,1115047,88219.0,10258000.0
2001-11-26,8319,8444,8175,8223,583089,87706.0,10258000.0
2001-11-27,8271,8502,8031,8127,539948,86680.0,10258000.0
2001-11-28,8079,8213,7704,7743,442396,82577.0,10258000.0
2001-11-29,7742,8165,7607,7983,1039203,85141.0,10258000.0
2001-11-30,8290,8627,8175,8541,1617218,91091.0,10258000.0
2001-12-03,8540,8819,8444,8589,958161,91604.0,10258000.0
2001-12-04,8560,8752,8338,8358,564465,89142.0,10258000.0
2001-12-05,8627,8627,8242,8368,619283,89245.0,10258000.0
2001-12-06,8425,8550,8290,8368,653585,89245.0,10258000.0
2001-12-07,8310,8348,8079,8127,557306,86680.0,10258000.0
2001-12-10,8127,8319,8079,8320,645512,88732.0,10258000.0
2001-12-11,8656,9204,8560,8714,2053694,92937.0,10258000.0
2001-12-12,8896,8925,8550,8656,987255,92322.0,10258000.0
2001-12-13,8704,9089,8540,8839,860590,94271.0,10258000.0
2001-12-14,8848,9040,8694,8695,730225,92732.0,10258000.0
2001-12-17,8656,8771,8396,8464,507932,90270.0,10258000.0
2001-12-18,8463,8560,7886,7925,520289,84526.0,10258000.0
2001-12-19,7925,8069,7232,7464,495565,79602.0,10258000.0
2001-12-20,7502,7723,7405,7646,308623,81551.0,10258000.0
2001-12-21,7405,7819,7357,7454,440623,79500.0,10258000.0
2001-12-24,7463,7588,7184,7214,395224,76935.0,10258000.0
2001-12-26,7213,7386,7184,7242,301113,77243.0,10258000.0
2001-12-27,7252,7675,7252,7550,339855,80525.0,10258000.0
2001-12-28,7550,7742,7511,7723,330300,82372.0,10258000.0
2002-01-02,7723,7781,7627,7675,292875,81859.0,10258000.0
2002-01-03,7704,8463,7646,8070,941304,86065.0,10258000.0
2002-01-04,8069,8127,7848,7868,436965,83910.0,10258000.0
2002-01-07,7867,7982,7617,7627,448669,81346.0,10258000.0
2002-01-08,7550,7646,7434,7444,405738,79397.0,10258000.0
2002-01-09,7453,7742,7453,7531,418360,80320.0,10258000.0
2002-01-10,7492,7934,7357,7810,890648,83295.0,10258000.0
2002-01-11,8002,8136,7655,7829,1140473,83500.0,10258000.0
