유에스티(263770),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-04-06,2265,2341,2199,2227,606285,5314.0,2605000.0
2017-04-07,2238,2270,2216,2244,127946,5353.0,2605000.0
2017-04-10,2238,2238,2210,2211,38072,5275.0,2605000.0
2017-04-11,2210,2238,2210,2238,15579,5340.0,2605000.0
2017-04-12,2227,2298,2227,2255,56026,5379.0,2605000.0
2017-04-13,2232,2270,2216,2216,43192,5288.0,2605000.0
2017-04-14,2210,2232,2210,2211,30584,5275.0,2605000.0
2017-04-17,2249,2276,2210,2227,17244,5314.0,2605000.0
2017-04-18,2221,2276,2216,2233,42111,5327.0,2605000.0
2017-04-19,2260,2260,2221,2233,6280,5327.0,2605000.0
2017-04-20,2254,2254,2221,2255,2518,5379.0,2605000.0
2017-04-21,2265,2265,2221,2222,8193,5301.0,2605000.0
2017-04-24,2216,2216,2189,2189,26816,5223.0,2605000.0
2017-04-25,2189,2221,2189,2222,12732,5301.0,2605000.0
2017-04-26,2205,2232,2194,2233,6670,5327.0,2605000.0
2017-04-27,2232,2232,2199,2222,1683,5301.0,2605000.0
2017-04-28,2210,2232,2210,2227,12630,5314.0,2605000.0
2017-05-02,2221,2249,2221,2238,20581,5340.0,2605000.0
2017-05-04,2205,2260,2205,2255,27839,5379.0,2605000.0
2017-05-08,2221,2281,2221,2271,9149,5418.0,2605000.0
2017-05-10,2287,2292,2249,2293,30635,5470.0,2605000.0
2017-05-11,2320,2325,2238,2238,12678,5340.0,2605000.0
2017-05-12,2221,2254,2216,2255,20322,5379.0,2605000.0
2017-05-15,2216,2249,2216,2244,3094,5353.0,2605000.0
2017-05-16,2243,2270,2243,2271,922,5418.0,2605000.0
2017-05-17,2238,2265,2232,2260,3773,5392.0,2605000.0
2017-05-18,2243,2270,2232,2271,9050,5418.0,2605000.0
2017-05-19,2221,2270,2221,2271,21739,5418.0,2605000.0
2017-05-22,2238,2260,2238,2260,3166,5392.0,2605000.0
2017-05-23,2221,2238,2183,2205,126561,5262.0,2605000.0
2017-05-24,2205,2232,2205,2211,5674,5275.0,2605000.0
2017-05-25,2205,2227,2205,2227,21310,5314.0,2605000.0
2017-05-26,2205,2227,2205,2227,1013,5314.0,2605000.0
2017-05-29,2227,2227,2210,2227,1286,5314.0,2605000.0
2017-05-30,2210,2227,2205,2227,645,5314.0,2605000.0
2017-05-31,2227,2227,2199,2227,429,5314.0,2605000.0
2017-06-01,2199,2227,2199,2227,1381,5314.0,2605000.0
2017-06-02,2227,2227,2205,2227,530,5314.0,2605000.0
2017-06-05,2205,2249,2194,2249,8020,5366.0,2605000.0
2017-06-07,2199,2227,2194,2222,18783,5301.0,2605000.0
2017-06-08,2194,2216,2194,2216,10181,5288.0,2605000.0
2017-06-09,2199,2216,2199,2216,4910,5288.0,2605000.0
2017-06-12,2194,2216,2194,2216,5862,5288.0,2605000.0
2017-06-13,2216,2221,2189,2216,20051,5288.0,2605000.0
2017-06-14,2194,2216,2194,2211,5259,5275.0,2605000.0
2017-06-15,2194,2205,2189,2205,32698,5262.0,2605000.0
2017-06-16,2194,2205,2194,2205,38691,5262.0,2605000.0
2017-06-19,2189,2194,2178,2194,24145,5236.0,2605000.0
2017-06-20,2183,2183,2172,2184,13318,5210.0,2605000.0
2017-06-21,2183,2232,2183,2233,597,5327.0,2605000.0
2017-06-22,2227,2227,2178,2189,1962,5223.0,2605000.0
2017-06-23,2183,2210,2183,2211,22160,5275.0,2605000.0
2017-06-26,2210,2232,2210,2216,3320,5288.0,2605000.0
2017-06-27,2216,2238,2216,2227,22647,5314.0,2605000.0
2017-06-28,2205,2238,2205,2233,18848,5327.0,2605000.0
2017-06-29,2238,2631,2227,2271,706808,5418.0,2605000.0
2017-06-30,2325,2947,2314,2948,8288988,7034.0,2605000.0
2017-07-03,3029,3144,2412,2489,3810954,5939.0,2605000.0
2017-07-04,2505,2505,2325,2413,1200300,5757.0,2605000.0
2017-07-05,2396,2478,2298,2315,1060755,5523.0,2605000.0
2017-07-06,2543,2893,2336,2375,9825906,5666.0,2605000.0
2017-07-07,2330,2369,2287,2353,1392998,5614.0,2605000.0
2017-07-10,2374,2418,2298,2304,951804,5497.0,2605000.0
2017-07-11,2396,2904,2374,2446,10459862,5835.0,2605000.0
2017-07-12,2445,2445,2330,2396,1121328,5718.0,2605000.0
2017-07-13,2374,2456,2347,2457,1102163,5861.0,2605000.0
2017-07-14,2412,2445,2363,2380,749834,5679.0,2605000.0
2017-07-17,2369,2380,2341,2369,323035,5653.0,2605000.0
2017-07-18,2352,2358,2309,2347,347677,5601.0,2605000.0
2017-07-19,2314,2336,2298,2320,224071,5536.0,2605000.0
2017-07-20,2336,2336,2303,2320,130918,5536.0,2605000.0
2017-07-21,2303,2320,2292,2298,124731,5484.0,2605000.0
2017-07-24,2292,2320,2276,2287,117266,5457.0,2605000.0
2017-07-25,2292,2303,2254,2287,114456,5457.0,2605000.0
2017-07-26,2287,2309,2265,2271,153472,5418.0,2605000.0
2017-07-27,2265,2287,2265,2271,63044,5418.0,2605000.0
2017-07-28,2260,2287,2243,2260,204761,5392.0,2605000.0
2017-07-31,2260,2287,2249,2271,81903,5418.0,2605000.0
2017-08-01,2276,2314,2254,2265,76271,5405.0,2605000.0
2017-08-02,2292,2347,2265,2326,129565,5549.0,2605000.0
2017-08-03,2330,2341,2265,2298,111703,5484.0,2605000.0
2017-08-04,2314,2314,2270,2298,25527,5484.0,2605000.0
2017-08-07,2330,2330,2270,2276,33635,5431.0,2605000.0
2017-08-08,2276,2314,2276,2293,19341,5470.0,2605000.0
2017-08-09,2309,2309,2260,2271,41422,5418.0,2605000.0
2017-08-10,2270,2287,2254,2265,69185,5405.0,2605000.0
