인트로메딕(150840),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-12-19,3350,3400,2850,2850,1700944,39627.0,6952178.0
2013-12-20,2750,3015,2725,2755,2490055,38307.0,6952178.0
2013-12-23,2840,2925,2740,2760,881217,38376.0,6952178.0
2013-12-24,2750,2790,2595,2625,590607,36499.0,6952178.0
2013-12-26,2605,2665,2530,2530,258865,35178.0,6952178.0
2013-12-27,2545,2630,2530,2570,350883,35734.0,6952178.0
2013-12-30,2600,2620,2535,2565,223416,35665.0,6952178.0
2014-01-02,2575,2610,2480,2485,228577,34552.0,6952178.0
2014-01-03,2475,2525,2447,2500,169571,34761.0,6952178.0
2014-01-06,2500,2675,2475,2585,321884,35943.0,6952178.0
2014-01-07,2590,2650,2570,2595,156210,36082.0,6952178.0
2014-01-08,2635,2980,2625,2980,1281364,41822.0,7017178.0
2014-01-09,3005,3080,2910,2985,834411,41893.0,7017178.0
2014-01-10,2970,3100,2890,3100,813190,43507.0,7017178.0
2014-01-13,3050,3285,3015,3150,730332,44208.0,7017178.0
2014-01-14,3110,3145,3025,3025,297200,42454.0,7017178.0
2014-01-15,3025,3425,2965,3260,1081733,45752.0,7017178.0
2014-01-16,3245,3700,3225,3300,1109618,46313.0,7017178.0
2014-01-17,3325,3795,3280,3750,1387773,52629.0,7017178.0
2014-01-20,3795,4150,3770,3950,903080,55436.0,7017178.0
2014-01-21,4065,4070,3715,3800,474527,53331.0,7017178.0
2014-01-22,3800,4100,3755,4100,649866,57541.0,7017178.0
2014-01-23,4070,4120,3965,3990,267830,55997.0,7017178.0
2014-01-24,3990,4015,3820,3940,282319,55295.0,7017178.0
2014-01-27,3800,3855,3720,3800,212356,53331.0,7017178.0
2014-01-28,3845,4015,3825,3960,331986,55576.0,7017178.0
2014-01-29,3975,3975,3855,3935,155945,55225.0,7017178.0
2014-02-03,3900,3920,3775,3855,216214,54102.0,7017178.0
2014-02-04,3775,3890,3695,3880,326517,54453.0,7017178.0
2014-02-05,3950,4045,3750,3800,300351,53331.0,7017178.0
2014-02-06,3770,3850,3715,3850,199963,54032.0,7017178.0
2014-02-07,3850,4215,3825,4100,808698,57541.0,7017178.0
2014-02-10,4145,4150,4015,4140,233045,58102.0,7017178.0
2014-02-11,4180,4550,4135,4400,1157916,61751.0,7017178.0
2014-02-12,4430,4635,4375,4425,361226,62102.0,7017178.0
2014-02-13,4495,4675,4410,4500,400969,63155.0,7017178.0
2014-02-14,4540,4630,4475,4515,199275,63365.0,7017178.0
2014-02-17,4520,4540,4245,4340,279594,60909.0,7017178.0
2014-02-18,4355,4415,4240,4365,212034,61260.0,7017178.0
2014-02-19,4385,4600,4355,4500,318575,63155.0,7017178.0
2014-02-20,4500,4550,4305,4390,226880,61611.0,7017178.0
2014-02-21,4390,4580,4350,4495,204041,63084.0,7017178.0
2014-02-24,4510,4825,4460,4520,459000,63435.0,7017178.0
2014-02-25,4575,4875,4395,4825,656074,67716.0,7017178.0
2014-02-26,4865,4940,4810,4810,290613,67505.0,7017178.0
2014-02-27,5000,5250,4975,4990,1130582,70031.0,7017178.0
2014-02-28,5075,5325,4995,5150,779620,72277.0,7017178.0
2014-03-03,5175,5350,5100,5175,376763,72628.0,7017178.0
2014-03-04,5100,5275,4960,5225,760919,73330.0,7017178.0
2014-03-05,5275,5425,5000,5200,719809,72979.0,7017178.0
2014-03-06,5250,5250,5075,5125,323592,71926.0,7017178.0
2014-03-07,5150,5275,5025,5225,405069,73330.0,7017178.0
2014-03-10,5275,5300,5075,5075,352220,71224.0,7017178.0
2014-03-11,5075,5125,4955,5025,327002,70523.0,7017178.0
2014-03-12,5050,5050,4790,4925,238347,69119.0,7017178.0
2014-03-13,4995,5375,4935,5325,530157,74733.0,7017178.0
2014-03-14,5350,6100,5250,6100,784458,85610.0,7017178.0
2014-03-17,6475,6975,6249,6525,2196337,91574.0,7017178.0
2014-03-18,6774,7500,6425,6550,3365229,91925.0,7017178.0
2014-03-19,6625,7450,6349,7275,3031492,102100.0,7017178.0
2014-03-20,7125,8000,7074,7750,2205274,108766.0,7017178.0
2014-03-21,7950,8900,7924,8900,1588220,124906.0,7017178.0
2014-03-24,9300,10225,9275,10000,2256134,140344.0,7017178.0
