에코마케팅(230360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-08-08,34144,34646,23901,23901,2089706,386920.0,8128571.0
2016-08-09,23122,23348,20712,21516,983040,348309.0,8128571.0
2016-08-10,21591,21792,20311,21617,586068,349935.0,8128571.0
2016-08-11,21566,21641,20838,21190,263888,343026.0,8128571.0
2016-08-12,21340,21666,20336,20336,232533,329207.0,8128571.0
2016-08-16,20587,20687,19708,19734,249264,319453.0,8128571.0
2016-08-17,19909,20110,18478,19106,288507,309292.0,8128571.0
2016-08-18,19306,19306,18051,18177,189684,294254.0,8128571.0
2016-08-19,17976,19582,17951,18478,331233,299131.0,8128571.0
2016-08-22,18729,19181,18478,18629,137138,301570.0,8128571.0
2016-08-23,19181,19181,17273,17323,269127,280436.0,8128571.0
2016-08-24,17423,17725,17122,17323,94538,280436.0,8128571.0
2016-08-25,17348,17700,16695,16696,91597,270275.0,8128571.0
2016-08-26,16821,16821,15867,15917,139776,257676.0,8128571.0
2016-08-29,15791,15842,14461,14587,219394,236135.0,8128571.0
2016-08-30,14837,15013,14536,14863,91873,240606.0,8128571.0
2016-08-31,14888,14913,13758,13859,162986,224349.0,8128571.0
2016-09-01,13883,15013,13482,14336,203164,232071.0,8128571.0
2016-09-02,14285,15465,13858,15340,185523,248328.0,8128571.0
2016-09-05,15314,15515,15038,15039,48757,243451.0,8128571.0
2016-09-06,15038,16193,14687,16018,131438,259301.0,8128571.0
2016-09-07,15917,16143,15264,15265,77517,247109.0,8128571.0
2016-09-08,14913,15063,14235,14637,118667,236948.0,8128571.0
2016-09-09,14637,15164,14160,15014,60633,243044.0,8128571.0
2016-09-12,14561,15013,14360,14436,30868,233696.0,8128571.0
2016-09-13,14511,14963,14385,14838,27552,240199.0,8128571.0
2016-09-19,14762,15139,14586,14838,17403,240199.0,8128571.0
2016-09-20,14837,15214,14687,15164,26488,245483.0,8128571.0
2016-09-21,15314,15892,14988,15817,55614,256050.0,8128571.0
2016-09-22,15867,17047,15766,16646,145837,269462.0,8128571.0
2016-09-23,16771,16821,16268,16495,43878,267024.0,8128571.0
2016-09-26,16369,16570,16143,16420,33571,265804.0,8128571.0
2016-09-27,16143,16419,15390,15566,78963,251986.0,8128571.0
2016-09-28,15716,15817,15214,15591,36061,252392.0,8128571.0
2016-09-29,15716,15741,15390,15415,20219,249547.0,8128571.0
2016-09-30,15340,15465,14837,14838,28719,240199.0,8128571.0
2016-10-04,14712,15440,14712,15214,16241,246296.0,8128571.0
2016-10-05,15214,15390,14913,15164,21367,245483.0,8128571.0
2016-10-06,15214,15239,14913,14963,13163,242231.0,8128571.0
2016-10-07,14988,15214,14687,14838,23500,240199.0,8128571.0
2016-10-10,14762,15038,14335,14361,35130,232477.0,8128571.0
2016-10-11,14511,14737,14034,14687,47989,237761.0,8128571.0
2016-10-12,14687,14687,14310,14311,16826,231664.0,8128571.0
2016-10-13,14536,14586,14235,14411,18877,233290.0,8128571.0
2016-10-14,14360,14461,14285,14286,8842,231258.0,8128571.0
2016-10-17,14285,14360,13733,13733,18251,222316.0,8128571.0
2016-10-18,13959,13959,13507,13507,24647,218659.0,8128571.0
2016-10-19,13406,13959,13406,13658,28201,221097.0,8128571.0
2016-10-20,13657,13682,12653,12854,66348,208091.0,8128571.0
2016-10-21,12754,12980,12578,12654,40209,204840.0,8128571.0
2016-10-24,12754,12904,12101,12327,35820,199556.0,8128571.0
2016-10-25,12327,12327,11498,11725,100069,189802.0,8128571.0
2016-10-26,11800,12101,11473,11900,76753,192647.0,8128571.0
2016-10-27,11900,12804,11900,12403,69646,200776.0,8128571.0
2016-10-28,12502,12804,12302,12578,62468,203621.0,8128571.0
2016-10-31,12703,12703,11599,11599,59835,187770.0,8128571.0
2016-11-01,11599,11900,11498,11599,22959,187770.0,8128571.0
2016-11-02,11599,11674,10494,10821,53177,175171.0,8128571.0
2016-11-03,10544,10971,10544,10846,22118,175577.0,8128571.0
2016-11-04,10695,10770,10017,10017,103734,162165.0,8128571.0
2016-11-07,10142,10419,10117,10394,29103,168261.0,8128571.0
2016-11-08,10193,11097,9891,10771,231377,174358.0,8128571.0
2016-11-09,10645,10795,9565,10168,124159,164604.0,8128571.0
2016-11-10,10469,10645,10168,10545,62195,170700.0,8128571.0
2016-11-11,10394,10695,10168,10319,43982,167042.0,8128571.0
2016-11-14,10343,10444,9917,9942,45640,160946.0,8128571.0
2016-11-15,9866,10243,9289,9566,97059,154849.0,8128571.0
2016-11-16,9515,9791,9490,9766,41794,158101.0,8128571.0
2016-11-17,9766,10218,9741,10093,89296,163384.0,8128571.0
2016-11-18,10092,10444,10092,10243,48290,165823.0,8128571.0
2016-11-21,10293,10293,9992,10043,29158,162571.0,8128571.0
2016-11-22,9967,10193,9565,9566,47979,154849.0,8128571.0
2016-11-23,9590,9691,9214,9390,42076,152004.0,8128571.0
2016-11-24,9289,9389,8912,8988,69055,145501.0,8128571.0
2016-11-25,8988,9364,8912,9289,42504,150379.0,8128571.0
2016-11-28,9439,9515,9163,9264,11660,149972.0,8128571.0
2016-11-29,9289,9540,9239,9440,38777,152817.0,8128571.0
2016-11-30,9440,9866,9314,9591,50101,155256.0,8128571.0
2016-12-01,9816,9841,9414,9465,26999,153224.0,8128571.0
2016-12-02,9590,9590,9138,9139,24428,147940.0,8128571.0
2016-12-05,9163,9339,9063,9289,35010,150379.0,8128571.0
2016-12-06,9440,9465,9239,9365,29571,151598.0,8128571.0
2016-12-07,9389,9716,9339,9415,57059,152411.0,8128571.0
2016-12-08,9540,9791,9389,9691,45280,156881.0,8128571.0
2016-12-09,9565,9741,9565,9691,15170,156881.0,8128571.0
2016-12-12,9816,9992,9665,9892,32873,160133.0,8128571.0
2016-12-13,9942,10243,9791,10168,19342,164604.0,8128571.0
2016-12-14,10243,10268,9917,10143,31013,164197.0,8128571.0
2016-12-15,9992,10394,9992,10369,20659,167855.0,8128571.0
2016-12-16,10469,10469,10218,10444,13661,169074.0,8128571.0
2016-12-19,10444,10795,10419,10720,35784,173545.0,8128571.0
2016-12-20,10795,10946,10444,10444,31861,169074.0,8128571.0
2016-12-21,10419,10444,10193,10419,15135,168668.0,8128571.0
2016-12-22,10444,10469,10218,10294,10814,166636.0,8128571.0
2016-12-23,10394,10419,9942,10193,16144,165010.0,8128571.0
2016-12-26,10318,10519,10017,10444,29497,169074.0,8128571.0
2016-12-27,10494,10921,10444,10670,25161,172732.0,8128571.0
2016-12-28,10720,11021,10544,10921,23464,176796.0,8128571.0
2016-12-29,10921,11021,10695,11022,17202,178422.0,8128571.0
2017-01-02,11046,11247,10845,10997,15017,178016.0,8128571.0
2017-01-03,11046,11097,10519,10520,42836,170294.0,8128571.0
2017-01-04,10720,10720,10444,10469,19285,169481.0,8128571.0
2017-01-05,10645,10695,10243,10243,41244,165823.0,8128571.0
2017-01-06,10243,10544,10243,10394,39754,168261.0,8128571.0
2017-01-09,10544,10544,10142,10294,22847,166636.0,8128571.0
2017-01-10,10218,10368,10042,10218,14861,165416.0,8128571.0
2017-01-11,10117,12402,10092,11449,1038641,185331.0,8128571.0
2017-01-12,11297,11649,10896,10971,180555,177609.0,8128571.0
2017-01-13,11147,11147,10695,10921,94775,176796.0,8128571.0
2017-01-16,10896,11247,10896,11072,73436,179235.0,8128571.0
2017-01-17,11021,11222,10820,10821,46744,175171.0,8128571.0
2017-01-18,10845,10996,10795,10846,40688,175577.0,8128571.0
2017-01-19,10896,11272,10845,11047,40810,178829.0,8128571.0
2017-01-20,11046,12452,11046,11499,424765,186144.0,8128571.0
2017-01-23,11649,12553,11373,12553,233408,203214.0,8128571.0
2017-01-24,12703,12703,12151,12202,115557,197524.0,8128571.0
2017-01-25,12151,12653,12000,12553,87994,203214.0,8128571.0
2017-01-26,12553,12728,12302,12302,68555,199150.0,8128571.0
2017-01-31,12302,12327,11674,11750,60389,190209.0,8128571.0
2017-02-01,11875,11925,11247,11624,63409,188176.0,8128571.0
2017-02-02,11548,11649,11046,11197,59213,181267.0,8128571.0
2017-02-03,11071,11297,10519,10796,86517,174764.0,8128571.0
2017-02-06,10770,10996,10620,10821,63097,175171.0,8128571.0
2017-02-07,10845,10996,10594,10695,30746,173139.0,8128571.0
2017-02-08,10544,10569,9816,9992,197832,161759.0,8128571.0
2017-02-09,10017,10017,9339,9942,101074,160946.0,8128571.0
2017-02-10,9942,9992,9615,9766,44648,158101.0,8128571.0
2017-02-13,9691,9866,9490,9741,56043,157694.0,8128571.0
2017-02-14,9766,10193,9716,10193,35689,165010.0,8128571.0
2017-02-15,10293,10293,10042,10269,23560,166229.0,8128571.0
2017-02-16,10268,10368,10092,10294,18664,166636.0,8128571.0
2017-02-17,10293,10368,10092,10319,19433,167042.0,8128571.0
2017-02-20,10193,10343,9967,10143,17957,164197.0,8128571.0
2017-02-21,10168,10168,9917,10143,16736,164197.0,8128571.0
2017-02-22,10142,10142,9665,9766,42230,158101.0,8128571.0
2017-02-23,9791,9866,9389,9641,19886,156069.0,8128571.0
2017-02-24,9590,9716,9490,9566,14357,154849.0,8128571.0
2017-02-27,9540,9841,9490,9766,14080,158101.0,8128571.0
2017-02-28,9766,9891,9665,9842,8660,159320.0,8128571.0
2017-03-02,9741,9791,9540,9591,15305,155256.0,8128571.0
2017-03-03,9540,9615,9113,9365,22684,151598.0,8128571.0
2017-03-06,9239,9364,9188,9239,9431,149566.0,8128571.0
2017-03-07,9239,9389,9138,9214,15470,149159.0,8128571.0
2017-03-08,9264,9289,9188,9189,4158,148753.0,8128571.0
2017-03-09,9214,9515,9163,9490,16832,153630.0,8128571.0
2017-03-10,9490,9741,9214,9415,21941,152411.0,8128571.0
2017-03-13,9440,9640,9264,9490,5969,153630.0,8128571.0
2017-03-14,9490,9540,9289,9289,13458,150379.0,8128571.0
2017-03-15,9364,9389,9214,9365,9274,151598.0,8128571.0
2017-03-16,9264,9389,9163,9340,8688,151191.0,8128571.0
2017-03-17,9214,9339,9138,9214,23117,149159.0,8128571.0
2017-03-20,9138,9264,8937,8938,31143,144689.0,8128571.0
2017-03-21,9038,9063,8862,8938,12000,144689.0,8128571.0
2017-03-22,8937,8937,8536,8536,36414,138186.0,8128571.0
2017-03-23,8586,8711,8285,8411,25260,136154.0,8128571.0
2017-03-24,8360,8661,8260,8461,37752,136966.0,8128571.0
2017-03-27,8435,8536,8385,8461,13624,136966.0,8128571.0
2017-03-28,8485,8711,8435,8662,14775,140218.0,8128571.0
2017-03-29,8711,8737,8511,8586,12515,138999.0,8128571.0
2017-03-30,8661,8661,8485,8536,4525,138186.0,8128571.0
2017-03-31,8536,8611,8285,8436,13362,136560.0,8128571.0
2017-04-03,8435,8711,8285,8712,41197,141031.0,8128571.0
2017-04-04,8711,8711,8485,8586,10342,138999.0,8128571.0
2017-04-05,8586,9138,8511,9114,48848,147534.0,8128571.0
2017-04-06,9188,9640,8962,9089,52225,147127.0,8128571.0
2017-04-07,9138,9239,9038,9189,5010,148753.0,8128571.0
2017-04-10,9163,9163,8862,8988,10841,145501.0,8128571.0
2017-04-11,8988,9163,8787,8988,17197,145501.0,8128571.0
2017-04-12,8962,9138,8887,9013,4766,145908.0,8128571.0
2017-04-13,8962,9214,8912,9214,8271,149159.0,8128571.0
2017-04-14,9113,9364,9038,9314,31991,150785.0,8128571.0
2017-04-17,9214,9414,9188,9415,12282,152411.0,8128571.0
2017-04-18,9414,9414,9163,9289,12520,150379.0,8128571.0
2017-04-19,9264,9264,9113,9114,6149,147534.0,8128571.0
2017-04-20,9088,9163,8762,8762,36610,141844.0,8128571.0
2017-04-21,8762,8912,8511,8586,39639,138999.0,8128571.0
2017-04-24,8636,8636,8360,8486,16115,137373.0,8128571.0
2017-04-25,8511,8661,8485,8637,11745,139811.0,8128571.0
2017-04-26,8586,8912,8586,8888,21436,143876.0,8128571.0
2017-04-27,8611,8837,8410,8411,67659,136154.0,8128571.0
2017-04-28,8460,8511,8385,8436,9696,136560.0,8128571.0
2017-05-02,8410,8460,8234,8235,24570,133309.0,8128571.0
2017-05-04,8134,8360,8134,8360,9705,135341.0,8128571.0
2017-05-08,8360,8410,8234,8411,10561,136154.0,8128571.0
2017-05-10,8410,8485,8285,8386,7665,135747.0,8128571.0
2017-05-11,8335,8385,8234,8386,9793,135747.0,8128571.0
2017-05-12,8385,8410,8134,8260,14138,133715.0,8128571.0
2017-05-15,8209,8285,8134,8185,8641,132496.0,8128571.0
2017-05-16,8184,8209,7983,8034,17700,130057.0,8128571.0
2017-05-17,8059,8435,8034,8210,16702,132902.0,8128571.0
2017-05-18,8134,8134,7833,8109,19032,131276.0,8128571.0
2017-05-19,8084,8184,8008,8109,10558,131276.0,8128571.0
2017-05-22,8084,8109,7958,8084,7177,130870.0,8128571.0
2017-05-23,8034,8109,7983,8034,9358,130057.0,8128571.0
2017-05-24,8059,8209,7858,8084,50354,130870.0,8128571.0
2017-05-25,8084,8209,7958,8034,15122,130057.0,8128571.0
2017-05-26,8008,8134,7908,7984,11840,129244.0,8128571.0
2017-05-29,8059,8059,7933,7984,11740,129244.0,8128571.0
2017-05-30,8034,8084,7933,8009,7126,129651.0,8128571.0
2017-05-31,8008,8285,8008,8160,14493,132089.0,8128571.0
