윙입푸드(900340),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-11-30,1800,2340,1640,2340,24648855,,
2018-12-03,2655,2690,2005,2035,28210144,,
2018-12-04,2070,2170,1890,1945,12522713,,
2018-12-05,1925,2015,1895,1940,6807667,,
2018-12-06,1950,1950,1790,1805,5484652,,
2018-12-07,1835,1855,1715,1725,5407842,,
2018-12-10,1710,1765,1650,1740,2607595,,
2018-12-11,1740,1880,1690,1695,8383473,,
2018-12-12,1710,1800,1675,1715,3863936,,
2018-12-13,1710,1775,1705,1735,2405718,,
2018-12-14,1760,1765,1605,1610,2438320,,
2018-12-17,1585,1595,1485,1510,2105216,,
2018-12-18,1490,1545,1405,1425,2747327,,
2018-12-19,1420,1430,1350,1360,1622357,,
2018-12-20,1365,1585,1350,1465,9791637,,
2018-12-21,1455,1520,1430,1440,2744919,,
2018-12-24,1440,1515,1400,1410,2063876,,
2018-12-26,1385,1470,1355,1440,2175678,,
2018-12-27,1420,1435,1380,1395,1229641,,
2018-12-28,1400,1450,1385,1395,1914906,,
2019-01-02,1395,1425,1370,1385,1016640,,
2019-01-03,1430,1610,1420,1465,10895263,,
2019-01-04,1470,1500,1405,1500,2964231,,
2019-01-07,1510,1520,1460,1480,1629472,,
2019-01-08,1490,1505,1425,1450,2075943,,
2019-01-09,1535,1640,1495,1515,10615769,,
2019-01-10,1535,1560,1485,1505,2646896,,
2019-01-11,1560,1560,1490,1505,4122753,,
2019-01-14,1510,1525,1500,1510,1421121,,
2019-01-15,1510,1510,1465,1480,1078516,,
2019-01-16,1485,1495,1445,1445,863298,,
2019-01-17,1455,1475,1435,1440,623291,,
2019-01-18,1440,1460,1430,1440,670559,,
2019-01-21,1460,1505,1455,1490,1149893,,
2019-01-22,1490,1520,1480,1510,796869,,
2019-01-23,1505,1535,1485,1510,667870,,
2019-01-24,1525,1570,1515,1555,2158140,,
2019-01-25,1540,1570,1530,1550,848987,,
2019-01-28,1560,1575,1535,1535,822737,,
2019-01-29,1535,1555,1520,1525,668004,,
2019-01-30,1525,1580,1525,1580,1163355,,
2019-01-31,1585,1610,1535,1535,732693,,
2019-02-01,1535,1565,1530,1535,543819,,
2019-02-07,1540,1545,1510,1535,476112,,
2019-02-08,1530,1535,1505,1515,436232,,
2019-02-11,1525,1525,1490,1500,427304,,
2019-02-12,1500,1535,1500,1525,406641,,
2019-02-13,1520,1535,1510,1525,334294,,
2019-02-14,1525,1590,1515,1590,948899,,
2019-02-15,1605,1640,1555,1585,1359616,,
2019-02-18,1580,1625,1550,1620,1660508,,
2019-02-19,1620,1655,1600,1630,1185008,,
2019-02-20,1645,1790,1620,1685,4842584,,
2019-02-21,1690,1750,1660,1735,2346403,,
2019-02-22,1740,2200,1735,1855,25521439,,
2019-02-25,2020,2410,2020,2410,31743211,,
2019-02-26,2430,2855,2330,2515,34873492,,
2019-02-27,2480,2505,2380,2450,3904582,,
2019-02-28,2410,2505,2220,2290,4315499,,
2019-03-04,2330,2435,2265,2350,2083389,,
2019-03-05,2330,2370,2235,2335,1311639,,
2019-03-06,2335,2430,2275,2400,2267054,,
2019-03-07,2380,2380,2150,2250,1819440,,
2019-03-08,2185,2280,2175,2230,559305,,
2019-03-11,2230,2250,2110,2180,619986,,
2019-03-12,2235,2320,2195,2250,1434676,,
2019-03-13,2230,2250,2150,2210,564613,,
2019-03-14,2175,2305,2140,2250,1039325,,
2019-03-15,2225,2445,2220,2285,6815045,,
2019-03-18,2240,2360,2235,2250,1409946,,
2019-03-19,2295,2495,2285,2430,7909964,,
2019-03-20,2400,2410,2235,2260,2106920,,
2019-03-21,2295,2295,2125,2125,1290334,,
2019-03-22,2085,2110,1980,2060,1273873,,
2019-03-25,1980,2080,1960,1960,569090,,
2019-03-26,1990,2070,1965,1995,578032,,
2019-03-27,2040,2130,2010,2025,1516502,,
2019-03-28,2020,2040,1925,1925,552626,,
2019-03-29,1985,2025,1885,1985,967117,,
2019-04-01,2145,2340,2055,2130,8263130,,
2019-04-02,2115,2130,2065,2080,879241,,
2019-04-03,2100,2250,2065,2180,2153012,,
2019-04-04,2175,2390,2120,2320,5039136,,
2019-04-05,2270,2285,2220,2280,3224321,,
2019-04-08,2460,2550,2215,2220,6350066,,
2019-04-09,2245,2255,2155,2185,2771625,,
2019-04-10,2160,2190,2115,2140,1472676,,
2019-04-11,2245,2270,2165,2175,2224941,,
2019-04-12,2160,2400,2135,2280,7417798,,
2019-04-15,2270,2350,2230,2315,2427247,,
2019-04-16,2325,2410,2255,2295,4179041,,
2019-04-17,2285,2315,2265,2280,1297741,,
2019-04-18,2340,2425,2290,2325,3925305,,
2019-04-19,2290,2385,2265,2380,2014866,,
2019-04-22,2340,2420,2330,2355,2024129,,
2019-04-23,2380,2615,2360,2490,10674461,,
2019-04-24,2455,2490,2345,2355,2808242,,
2019-04-25,2365,2405,2295,2355,2084722,,
2019-04-26,2340,2510,2285,2385,2880049,,
2019-04-29,2370,2450,2335,2430,1919749,,
2019-04-30,2460,2530,2445,2445,2988120,,
2019-05-02,2420,2485,2390,2475,1297236,,
2019-05-03,2475,2845,2425,2845,9783660,,
2019-05-07,2975,3215,2720,2850,23920019,,
2019-05-08,2750,3350,2720,3225,11790447,,
2019-05-09,3095,3215,2750,2875,10492661,,
2019-05-10,2935,3225,2760,2765,15797339,,
2019-05-13,2800,2830,2545,2570,4019920,,
2019-05-14,2550,2695,2415,2600,5638380,,
2019-05-15,2585,2650,2555,2560,2139384,,
2019-05-16,2570,2620,2225,2320,3181936,,
2019-05-17,2320,2345,2110,2150,2212590,,
2019-05-20,2160,2215,2005,2010,1602069,,
2019-05-21,2010,2200,1980,2070,2640098,,
2019-05-22,2065,2170,2000,2080,1687788,,
2019-05-23,2065,2100,1950,1955,1327149,,
2019-05-24,1955,2070,1900,1950,1322181,,
2019-05-27,1945,2085,1940,2020,1528490,,
2019-05-28,2030,2055,1995,2000,787511,,
2019-05-29,2000,2050,1970,2000,778712,,
2019-05-30,2020,2035,1980,1995,490330,,
2019-05-31,2010,2190,1995,2085,3787454,,
2019-06-03,2035,2100,1995,2020,892058,,
2019-06-04,2015,2075,1985,1985,966410,,
2019-06-05,2020,2075,2010,2035,844573,,
2019-06-07,2125,2130,2040,2065,965288,,
2019-06-10,2070,2100,2050,2065,782937,,
2019-06-11,2105,2165,2090,2110,1041901,,
2019-06-12,2125,2155,2090,2105,551749,,
2019-06-13,2110,2145,2095,2120,607181,,
2019-06-14,2130,2130,2070,2105,467267,,
2019-06-17,2095,2095,2035,2035,374199,,
2019-06-18,2020,2080,2015,2035,346804,,
2019-06-19,2210,2450,2155,2235,20074937,,
2019-06-20,2240,2305,2190,2265,2393829,,
2019-06-21,2265,2395,2240,2360,5798245,,
2019-06-24,2320,2350,2175,2200,1793437,,
2019-06-25,2230,2280,2085,2100,1728046,,
2019-06-26,2100,2215,2080,2185,1243051,,
2019-06-27,2180,2385,2110,2260,4715934,,
2019-06-28,2230,2260,2140,2180,1296789,,
2019-07-01,2280,2335,2165,2165,2503503,,
2019-07-02,2195,2225,2160,2210,558828,,
2019-07-03,2205,2240,2110,2120,1113258,,
2019-07-04,2150,2205,2030,2040,1407519,,
2019-07-05,2050,2055,2010,2025,403060,,
2019-07-08,2030,2040,1840,1870,1011369,,
2019-07-09,1870,1900,1800,1800,492573,,
2019-07-10,1800,1970,1800,1825,867717,,
2019-07-11,1850,1885,1835,1865,284521,,
2019-07-12,1855,1995,1850,1920,1015011,,
2019-07-15,1890,1940,1860,1875,439724,,
2019-07-16,1875,1895,1820,1850,415684,,
2019-07-17,1870,1900,1795,1835,505879,,
2019-07-18,1850,2130,1805,1930,6174281,,
2019-07-19,1915,1975,1900,1940,732819,,
2019-07-22,1940,1975,1905,1915,430366,,
2019-07-23,1935,1950,1885,1890,279125,,
2019-07-24,1885,1925,1785,1830,484447,,
2019-07-25,1820,1850,1770,1785,381679,,
2019-07-26,1800,1810,1715,1715,370105,,
2019-07-29,1705,1735,1605,1635,371747,,
2019-07-30,1680,1715,1600,1710,327999,,
2019-07-31,1690,1755,1625,1725,273289,,
2019-08-01,1720,1730,1650,1695,297539,,
2019-08-02,1645,1680,1615,1675,297607,,
2019-08-05,1635,1675,1475,1475,484171,,
2019-08-06,1445,1525,1310,1410,561270,,
2019-08-07,1410,1535,1410,1455,428748,,
2019-08-08,1460,1835,1460,1620,7700710,,
2019-08-09,1625,1695,1600,1600,1154846,,
2019-08-12,1605,1765,1605,1665,3378444,,
2019-08-13,1665,1695,1615,1635,497475,,
2019-08-14,1725,1880,1685,1695,4951634,,
2019-08-16,1750,1775,1665,1700,1157818,,
2019-08-19,1745,1745,1690,1695,470818,,
2019-08-20,1710,1720,1655,1680,346057,,
2019-08-21,1660,1695,1655,1695,385932,,
2019-08-22,1705,1780,1685,1690,697828,,
2019-08-23,1650,1770,1650,1680,512822,,
2019-08-26,1610,1645,1550,1590,664580,,
2019-08-27,1835,1840,1690,1690,3647128,,
2019-08-28,1690,1735,1665,1700,538152,,
2019-08-29,1680,1705,1635,1635,1026834,,
2019-08-30,1795,2125,1725,2125,25667543,,
2019-09-02,2330,2545,2180,2500,44125593,,
2019-09-03,2480,2500,2330,2345,9575573,,
2019-09-04,2310,2490,2255,2400,11184815,,
2019-09-05,2460,2910,2430,2515,39247612,,
2019-09-06,2445,2460,2300,2370,4272960,,
2019-09-09,2315,2395,2245,2285,4011959,,
2019-09-10,2250,2350,2180,2215,2415214,,
2019-09-11,2240,2350,2165,2245,2778296,,
2019-09-16,2290,2295,2150,2160,1298821,,
2019-09-17,2490,2600,2360,2385,8479110,,
2019-09-18,2450,2495,2210,2230,3582611,,
2019-09-19,2245,2300,2130,2300,2238913,,
2019-09-20,2345,2370,2260,2290,1751046,,
2019-09-23,2240,2285,2215,2285,719664,,
