옵트론텍(082210),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-06-24,57961,66656,57479,66657,1997321,134626.0,9755543.0
2005-06-27,68589,69312,56754,56755,1907345,114628.0,9755543.0
2005-06-28,58928,58928,50717,54581,974309,110238.0,9755543.0
2005-06-29,53373,55547,52649,53857,493583,108774.0,9755543.0
2005-06-30,54339,56995,53615,53857,545546,108774.0,9755543.0
2005-07-01,53856,55305,53131,53857,237937,108774.0,9755543.0
2005-07-04,54096,55787,53372,55064,280809,111213.0,9755543.0
2005-07-05,56030,59653,56030,56513,578900,114140.0,9755543.0
2005-07-06,57479,57961,54822,56271,278408,113652.0,9755543.0
2005-07-07,55787,56994,55304,56030,207027,113164.0,9755543.0
2005-07-08,56029,56029,54581,55305,227320,111701.0,9755543.0
2005-07-11,56271,58686,55547,57237,559075,115603.0,9755543.0
2005-07-12,57478,57719,55062,55064,199984,111213.0,9755543.0
2005-07-13,54822,56029,54581,54823,173588,110725.0,9755543.0
2005-07-14,53855,54338,51440,52166,334296,105360.0,9755543.0
2005-07-15,53616,54582,52408,52649,403248,106335.0,9755543.0
2005-07-18,52407,53856,51199,51200,267730,104115.0,9822210.0
2005-07-19,52165,53615,51924,52407,261515,106571.0,9822210.0
2005-07-20,52649,53131,50475,51441,240324,104607.0,9822210.0
2005-07-21,50958,52407,49267,50475,325176,102642.0,9822210.0
2005-07-22,49750,49750,47818,48543,210517,98713.0,9822210.0
2005-07-25,47335,47335,45355,46273,703552,94097.0,9822210.0
2005-07-26,45838,47577,45838,46852,403759,95275.0,9822210.0
2005-07-27,47287,50475,46997,49268,606822,100187.0,9822210.0
2005-07-28,49991,50474,48155,48157,364830,97927.0,9822210.0
2005-07-29,48543,49026,47335,48205,287705,98026.0,9822210.0
2005-08-01,48108,49992,47722,49993,228560,101660.0,9822210.0
2005-08-02,50475,50475,49026,49993,286690,101660.0,9822210.0
2005-08-03,49750,49992,46900,47433,228163,96454.0,9822210.0
2005-08-04,48543,48784,45403,45886,360727,93311.0,9822210.0
2005-08-05,45597,45597,42989,43520,230824,88498.0,9822210.0
2005-08-08,42023,43617,41782,41878,320183,85159.0,9822210.0
2005-08-09,41104,41539,39607,40380,485819,82114.0,9822210.0
2005-08-10,41491,45886,41249,42506,803276,86435.0,9822210.0
2005-08-11,42988,43036,41056,41105,307087,83587.0,9822210.0
2005-08-12,41104,41104,39317,40042,436662,81426.0,9822210.0
2005-08-16,39366,41250,38014,38158,867933,77595.0,9822210.0
2005-08-17,37820,38979,37723,38689,318225,78676.0,9822210.0
2005-08-18,38641,38931,35742,35937,362914,73077.0,9822210.0
2005-08-19,35404,37530,34487,36757,892603,74747.0,9822210.0
2005-08-22,37192,37482,36564,37241,271165,75729.0,9822210.0
2005-08-23,37240,38786,36999,38641,312282,78578.0,9822210.0
2005-08-24,38641,39027,37385,37675,184793,76613.0,9822210.0
2005-08-25,37288,37578,36466,36468,136985,74158.0,9822210.0
2005-08-26,36467,37192,36032,36662,146751,74551.0,9822210.0
2005-08-29,35597,36660,35307,35405,98933,71997.0,9822210.0
2005-08-30,36370,36854,35404,36709,138454,74649.0,9822210.0
2005-08-31,36227,38546,36227,38158,153324,77595.0,9822210.0
2005-09-01,39075,39075,37917,38207,96798,77694.0,9822210.0
2005-09-02,38641,39511,38545,38689,170343,78676.0,9822210.0
2005-09-05,39125,39946,38304,39849,180669,81033.0,9822210.0
2005-09-06,40041,40138,39124,39560,126211,80444.0,9822210.0
2005-09-07,39607,39849,39124,39414,113502,80149.0,9822210.0
2005-09-08,39317,39511,37674,37869,184710,77006.0,9822210.0
2005-09-09,37675,38062,36855,36951,152827,75140.0,9822210.0
2005-09-12,36709,37675,36709,37192,136460,75631.0,9822210.0
2005-09-13,37916,38882,37626,37772,140539,76810.0,9822210.0
2005-09-14,37433,39124,36854,39124,191300,79560.0,9822210.0
2005-09-15,39027,39849,38061,38497,228980,78283.0,9822210.0
2005-09-16,38593,40283,38351,40283,283548,81917.0,9822210.0
2005-09-20,40573,40959,39462,39945,275574,81230.0,9822210.0
2005-09-21,39559,39752,37965,38013,268453,77301.0,9822210.0
2005-09-22,37722,38398,37529,38062,118833,77399.0,9822210.0
2005-09-23,38110,38303,36902,36903,215077,75042.0,9822210.0
2005-09-26,36323,37289,36323,37000,117805,75238.0,9822210.0
2005-09-27,36757,37289,36661,36757,139037,74747.0,9822210.0
2005-09-28,36903,37821,36903,37192,127716,75631.0,9822210.0
2005-09-29,36951,37675,36951,37385,136805,76024.0,9822210.0
2005-09-30,37674,38593,37433,38304,215399,77890.0,9822210.0
2005-10-04,38399,39559,38303,39270,248282,79855.0,9822210.0
2005-10-05,39221,39221,38303,39173,304185,79658.0,9822210.0
2005-10-06,39269,40573,39124,39608,350943,80542.0,9822210.0
2005-10-07,39172,39752,38641,38979,161784,79265.0,9822210.0
2005-10-10,39076,39850,38738,39221,213106,79756.0,9822210.0
2005-10-11,39607,42216,39365,41540,747133,84471.0,9822210.0
2005-10-12,41685,42651,40574,40912,424420,83194.0,9822210.0
2005-10-13,40621,41201,39752,40380,289307,82114.0,9822210.0
2005-10-14,40574,41009,39560,39849,283802,81033.0,9822210.0
2005-10-17,40090,40138,38931,39173,211331,79658.0,9822210.0
2005-10-18,39125,39946,39125,39221,234604,79756.0,9822210.0
2005-10-19,38979,39027,36467,36709,213595,74649.0,9822210.0
2005-10-20,37048,37386,36565,36951,179948,75140.0,9822210.0
2005-10-21,36419,37336,36226,37000,117803,75238.0,9822210.0
2005-10-24,36855,38400,36855,37917,147742,77104.0,9822210.0
2005-10-25,38399,38448,37723,37820,103092,76908.0,9822210.0
2005-10-26,37820,38013,37433,37820,53946,76908.0,9822210.0
2005-10-27,37820,40042,37771,38835,231188,78971.0,9822210.0
2005-10-28,38400,38835,37675,38158,117819,77595.0,9822210.0
2005-10-31,38206,39269,37868,38351,95157,77988.0,9822210.0
2005-11-01,38834,41104,38640,39608,581092,80542.0,9822210.0
2005-11-02,39849,40380,39462,39560,153346,80444.0,9822210.0
2005-11-03,39849,40477,39607,39752,192585,80837.0,9822210.0
2005-11-04,39799,40089,38833,39366,180627,80051.0,9822210.0
2005-11-07,39511,39655,38834,39463,159006,80247.0,9822210.0
2005-11-08,39317,41491,39269,41492,450329,84373.0,9822210.0
2005-11-09,41878,41878,40380,41105,280120,83587.0,9822210.0
2005-11-10,41250,42748,40816,42747,412953,86927.0,9822210.0
2005-11-11,42747,44292,42216,42650,524461,86730.0,9822210.0
2005-11-14,43809,47239,43567,46757,1308898,95079.0,9822210.0
2005-11-15,47335,48012,45403,46804,755054,95177.0,9822210.0
2005-11-16,46128,46852,45161,46129,393203,93802.0,9822210.0
2005-11-17,45885,46079,43953,44196,466405,89873.0,9822210.0
2005-11-18,43953,45547,43953,44969,372023,91445.0,9822210.0
2005-11-21,44052,45453,43617,44486,395588,90463.0,9822210.0
2005-11-22,44582,45838,43761,45838,433180,93213.0,9822210.0
2005-11-23,47093,51681,46851,47191,1647256,95963.0,9822210.0
2005-11-24,47335,47528,45645,46852,577431,95275.0,9822210.0
2005-11-25,46950,48785,46370,47384,533565,96356.0,9822210.0
2005-11-28,48252,51198,48204,49751,984471,101169.0,9822210.0
2005-11-29,49267,49267,47384,47770,451250,97142.0,9822210.0
2005-11-30,48059,50715,47962,50717,561818,103133.0,9822210.0
2005-12-01,49749,51923,49266,50717,469081,103133.0,9822210.0
2005-12-02,51923,52648,50232,50717,408136,103133.0,9822210.0
2005-12-05,52164,54338,50715,51683,754250,105098.0,9822210.0
2005-12-06,52407,52890,49267,49268,553658,100187.0,9822210.0
2005-12-07,49267,50233,47142,50234,488448,102151.0,9822210.0
2005-12-08,49266,51198,48542,50717,253393,103133.0,9822210.0
2005-12-09,50233,51199,49026,49268,211066,100187.0,9822210.0
2005-12-12,48543,51441,48543,50234,298519,102151.0,9822210.0
2005-12-13,50233,50716,48543,49268,314309,100187.0,9822210.0
2005-12-14,49508,50232,48783,48785,215050,99204.0,9822210.0
2005-12-15,48784,49026,47818,48205,355004,98026.0,9822210.0
2005-12-16,46611,47722,45693,46370,245715,94293.0,9822210.0
2005-12-19,46464,49749,46464,48785,311583,99204.0,9822210.0
2005-12-20,47576,49025,47576,47819,136408,97240.0,9822210.0
2005-12-21,47479,50715,47479,50717,285740,103133.0,9822210.0
2005-12-22,51441,51682,48205,48302,273772,98222.0,9822210.0
2005-12-23,47915,48543,46611,48061,160080,97731.0,9822210.0
2005-12-26,47866,48301,47528,47626,132662,96847.0,9822210.0
2005-12-27,47385,47771,46081,46418,173982,94391.0,9822210.0
2005-12-28,45693,46418,45403,46322,185716,94195.0,9822210.0
2005-12-29,45934,46949,45838,46949,178644,95472.0,9822210.0
2006-01-02,46853,47626,46274,47046,181700,95668.0,9822210.0
2006-01-03,47674,49026,47335,48061,247138,97731.0,9822210.0
2006-01-04,48301,48301,46900,47095,230707,95767.0,9822210.0
2006-01-05,46852,47239,45307,45694,244804,92918.0,9822210.0
2006-01-06,45018,46129,44390,44486,312316,90463.0,9822210.0
2006-01-09,44002,44872,42939,43472,277098,88400.0,9822210.0
2006-01-10,42794,43809,42649,43037,185060,88407.0,9922210.0
2006-01-11,43036,43810,42505,42553,178084,87415.0,9922210.0
2006-01-12,42553,44051,42553,42988,187203,88308.0,9922210.0
2006-01-13,43036,44968,42844,44390,224241,91185.0,9922210.0
2006-01-16,44921,44921,43858,44486,126126,91384.0,9922210.0
2006-01-17,44486,44533,42263,42796,231814,87911.0,9922210.0
2006-01-18,41781,42167,38834,41492,241977,85232.0,9922210.0
2006-01-19,40331,41056,39172,40380,128623,82950.0,9922210.0
2006-01-20,39945,40815,37917,38641,180601,79378.0,9922210.0
2006-01-23,35744,37193,33329,33328,182695,68463.0,9922210.0
2006-01-24,32797,35020,32025,35019,257712,73024.0,10072210.0
2006-01-25,35260,40235,35019,37869,255464,78966.0,10072210.0
2006-01-26,39124,39559,37192,37628,131921,78463.0,10072210.0
2006-01-27,38206,38640,37433,38594,161729,80477.0,10072210.0
2006-01-31,39364,39944,38398,39366,204644,82089.0,10072210.0
2006-02-01,38205,39123,36466,37096,121860,77355.0,10072210.0
2006-02-02,37289,38883,35357,37675,253410,78563.0,10072210.0
2006-02-03,36756,36756,35211,35502,207457,74031.0,10072210.0
2006-02-06,34535,35598,34149,34633,179568,72218.0,10072210.0
2006-02-07,34631,35114,34341,34536,135813,72016.0,10072210.0
2006-02-08,34392,35358,34054,34053,167110,71009.0,10072210.0
2006-02-09,35743,36468,35164,35888,212535,74837.0,10072210.0
2006-02-10,36225,37529,36225,37434,183772,78060.0,10072210.0
2006-02-13,38399,38834,37675,37723,173184,78664.0,10072210.0
2006-02-14,37191,37819,36225,37772,84001,78765.0,10072210.0
2006-02-15,38641,38786,37095,37675,118907,78563.0,10072210.0
2006-02-16,37433,37917,37047,37531,58347,78261.0,10072210.0
2006-02-17,37531,37675,36468,37192,83369,77556.0,10072210.0
2006-02-20,37047,37675,36661,37675,84429,78563.0,10072210.0
2006-02-21,37675,39511,37192,38689,194530,80678.0,10072210.0
2006-02-22,38400,38738,37628,38158,93213,79570.0,10072210.0
2006-02-23,38109,39655,37965,39608,148805,82592.0,10072210.0
2006-02-24,39607,39993,38544,38835,104900,80981.0,10072210.0
2006-02-27,39076,39076,38110,38641,94178,80578.0,10072210.0
2006-02-28,38640,38931,38158,38932,108651,84684.0,10506741.0
2006-03-02,38786,39172,38689,38689,58382,84159.0,10506741.0
2006-03-03,38111,38641,36903,36951,127223,80377.0,10506741.0
2006-03-06,37046,37964,36998,37096,63851,80692.0,10506741.0
2006-03-07,36708,37674,36032,36662,98226,79746.0,10506741.0
2006-03-08,35889,37096,35889,36613,82449,79641.0,10506741.0
2006-03-09,36855,38352,36855,38158,87928,83003.0,10506741.0
2006-03-10,37867,39364,37867,39366,101195,85630.0,10506741.0
2006-03-13,39898,43134,39366,40912,334673,88992.0,10506741.0
2006-03-14,40912,40912,39414,40090,140305,87206.0,10506741.0
2006-03-15,40138,40766,39607,39945,71935,86891.0,10506741.0
2006-03-16,39898,40574,38884,38883,91988,84579.0,10506741.0
2006-03-17,38980,39077,38110,38158,57705,83003.0,10506741.0
