대유에이피(290120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-12-07,6000,7800,4850,4935,17930448,53713.0,10884000.0
2018-12-10,4800,6410,4470,6410,10693636,69766.0,10884000.0
2018-12-11,6060,7700,5640,6590,14625812,71726.0,10884000.0
2018-12-12,6480,7200,6320,6620,5869099,72052.0,10884000.0
2018-12-13,6590,6990,6400,6490,2552588,70637.0,10884000.0
2018-12-14,6360,6370,5820,5830,1350465,63454.0,10884000.0
2018-12-17,5800,6700,5490,5850,3638233,63671.0,10884000.0
2018-12-18,6030,6420,5650,5690,2727937,61930.0,10884000.0
2018-12-19,5820,5990,5400,5460,963885,59427.0,10884000.0
2018-12-20,5380,5780,5150,5220,785341,56814.0,10884000.0
2018-12-21,5220,5840,5120,5380,1861356,58556.0,10884000.0
2018-12-24,5360,5890,5330,5500,2291125,59862.0,10884000.0
2018-12-26,5380,5720,5320,5610,1015061,61059.0,10884000.0
2018-12-27,5560,6410,5520,5740,4297333,62474.0,10884000.0
2018-12-28,5870,5970,5630,5730,1284169,62365.0,10884000.0
2019-01-02,5810,5930,5550,5550,778357,60406.0,10884000.0
2019-01-03,5620,5630,5160,5160,514617,56161.0,10884000.0
2019-01-04,5100,5210,4890,5010,436712,54529.0,10884000.0
2019-01-07,5260,5430,5120,5160,630109,56161.0,10884000.0
2019-01-08,5120,5230,4870,4910,464046,53440.0,10884000.0
2019-01-09,4910,5030,4880,4880,242773,53114.0,10884000.0
2019-01-10,4930,5030,4825,4965,418468,54039.0,10884000.0
2019-01-11,4965,5110,4885,4905,366739,53386.0,10884000.0
2019-01-14,4910,4920,4725,4770,207145,51917.0,10884000.0
2019-01-15,4775,5070,4735,4840,580258,52679.0,10884000.0
2019-01-16,4860,4940,4760,4760,207500,51808.0,10884000.0
2019-01-17,4800,4800,4510,4535,247543,49359.0,10884000.0
2019-01-18,4535,4625,4510,4530,122941,49305.0,10884000.0
2019-01-21,4580,4640,4510,4535,152457,49359.0,10884000.0
2019-01-22,4535,5040,4530,4750,1074183,51699.0,10884000.0
2019-01-23,4780,4955,4705,4720,415144,51372.0,10884000.0
2019-01-24,4785,4785,4670,4690,127022,51046.0,10884000.0
2019-01-25,4730,4775,4680,4690,105677,51046.0,10884000.0
2019-01-28,4685,4820,4585,4600,274420,50066.0,10884000.0
2019-01-29,4600,4695,4560,4570,117238,49740.0,10884000.0
2019-01-30,4570,4640,4530,4550,123190,49522.0,10884000.0
2019-01-31,4640,4640,4520,4560,116843,49631.0,10884000.0
2019-02-01,4540,4580,4520,4530,91510,49305.0,10884000.0
2019-02-07,4590,4590,4490,4505,69498,49032.0,10884000.0
2019-02-08,4510,4640,4470,4515,103527,49141.0,10884000.0
2019-02-11,4615,4665,4550,4590,110914,49958.0,10884000.0
2019-02-12,4590,4620,4545,4560,69700,49631.0,10884000.0
2019-02-13,4600,4670,4570,4620,105205,50284.0,10884000.0
2019-02-14,4650,4725,4640,4715,185116,51318.0,10884000.0
2019-02-15,4715,4715,4620,4620,113937,50284.0,10884000.0
2019-02-18,4650,4705,4580,4610,82060,50175.0,10884000.0
2019-02-19,4610,4690,4610,4665,87871,50774.0,10884000.0
2019-02-20,4685,4705,4645,4665,90373,50774.0,10884000.0
2019-02-21,4670,4770,4635,4770,284269,51917.0,10884000.0
2019-02-22,5050,6200,5020,5080,8832543,55291.0,10884000.0
2019-02-25,5080,5360,5050,5140,693235,55944.0,10884000.0
2019-02-26,5240,6050,5050,5550,5896259,60406.0,10884000.0
2019-02-27,5490,5900,5410,5480,1546407,59644.0,10884000.0
2019-02-28,5920,6450,5330,5560,3345621,60515.0,10884000.0
2019-03-04,5570,5890,5570,5760,690489,62692.0,10884000.0
2019-03-05,5760,5810,5340,5470,949575,59535.0,10884000.0
2019-03-06,5470,5530,5310,5370,641602,58447.0,10884000.0
2019-03-07,5430,5500,5140,5160,426299,56161.0,10884000.0
2019-03-08,5190,5490,5110,5300,504999,57685.0,10884000.0
2019-03-11,5300,5340,5120,5200,190557,56597.0,10884000.0
2019-03-12,5210,5550,5200,5530,514468,60189.0,10884000.0
2019-03-13,5550,5570,5250,5290,296345,57576.0,10884000.0
2019-03-14,5300,5380,5210,5210,197157,56706.0,10884000.0
2019-03-15,5190,5260,4905,5000,299640,54420.0,10884000.0
2019-03-18,4955,5110,4945,5050,134591,54964.0,10884000.0
2019-03-19,5090,5100,4970,5030,143334,54747.0,10884000.0
2019-03-20,5090,5120,4910,4945,121556,53821.0,10884000.0
2019-03-21,5000,5100,4945,4995,118774,54366.0,10884000.0
2019-03-22,5130,5210,5040,5190,214440,56488.0,10884000.0
2019-03-25,5070,5110,5020,5070,116350,55182.0,10884000.0
2019-03-26,5070,5190,5050,5100,118116,55508.0,10884000.0
2019-03-27,5170,5300,5030,5300,184148,57685.0,10884000.0
