KCC건설(021320),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-21,4262,4262,4262,4263,289927,42340.0,5800000.0
2001-08-22,4426,4770,4391,4771,340688,47386.0,5800000.0
2001-08-23,5343,5343,4975,4975,1596633,49416.0,5800000.0
2001-08-24,5133,5570,5051,5571,704195,55332.0,5800000.0
2001-08-27,6219,6219,6219,6219,118346,61770.0,5800000.0
2001-08-28,6219,6949,6189,6949,837164,69020.0,5800000.0
2001-08-29,7766,7766,7270,7767,1006835,77140.0,5800000.0
2001-08-30,7591,8496,6861,7767,1067692,77140.0,5800000.0
2001-08-31,7591,7941,6890,7008,358613,69600.0,5800000.0
2001-09-03,7182,7679,6919,7183,402855,71340.0,5800000.0
2001-09-04,7065,7241,6657,6716,204972,66700.0,5800000.0
2001-09-05,6715,7503,6715,7504,401034,74530.0,5800000.0
2001-09-06,7620,8379,7591,8380,543116,83230.0,5800000.0
2001-09-07,8467,9168,7503,7767,916434,77140.0,5800000.0
2001-09-10,7854,8000,7387,7416,304604,73660.0,5800000.0
2001-09-11,7591,8175,7387,7854,299792,78010.0,5800000.0
2001-09-12,6919,7241,6919,6920,301972,68730.0,5800000.0
2001-09-13,7065,7591,6919,7270,330686,72210.0,5800000.0
2001-09-14,7095,7591,6481,6657,237234,66120.0,5800000.0
2001-09-17,6773,6890,6073,6307,129624,62640.0,5800000.0
2001-09-18,6598,7036,6598,7037,217024,69890.0,5800000.0
2001-09-19,7036,7533,6890,7299,426796,72500.0,5800000.0
2001-09-20,7241,7299,6715,6891,125455,68440.0,5800000.0
2001-09-21,6773,6949,6423,6774,158594,67280.0,5800000.0
2001-09-24,6686,7007,6481,6949,286126,69020.0,5800000.0
2001-09-25,7182,7182,6423,6716,65001,66700.0,5800000.0
2001-09-26,6890,7007,6657,6862,51143,68150.0,5800000.0
2001-09-27,6890,7065,6715,7066,102321,70180.0,5800000.0
2001-09-28,7182,7299,6978,7183,60167,71340.0,5800000.0
2001-10-04,7533,7533,7153,7387,103033,73370.0,5800000.0
2001-10-05,7387,7387,6978,7329,102972,72790.0,5800000.0
2001-10-08,7007,7299,7007,7183,79515,71340.0,5800000.0
