포시에스(189690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-02-11,12249,13987,11855,12647,4614401,99405.0,6212799.0
2015-02-12,12724,12881,10749,11105,1423048,87290.0,6212799.0
2015-02-13,11063,11063,9562,9603,897780,75486.0,6212799.0
2015-02-16,9641,10827,9641,10038,882092,78903.0,6212799.0
2015-02-17,10352,10589,9997,10196,452839,80145.0,6212799.0
2015-02-23,10076,10352,9720,10038,208545,78903.0,6212799.0
2015-02-24,9997,10154,9839,10038,261927,78903.0,6212799.0
2015-02-25,10115,10392,9877,9880,320178,77660.0,6212799.0
2015-02-26,10036,10273,9602,9682,410450,76107.0,6212799.0
2015-02-27,9800,9800,9246,9327,225398,73311.0,6212799.0
2015-03-02,9246,9562,9166,9406,173423,73932.0,6212799.0
2015-03-03,9403,9800,9364,9722,218289,76417.0,6212799.0
2015-03-04,9681,9800,9522,9682,152570,76107.0,6212799.0
2015-03-05,9602,9681,9127,9287,276442,73000.0,6212799.0
2015-03-06,9324,9403,9048,9209,184587,72379.0,6212799.0
2015-03-09,9166,9166,8851,8932,154802,70205.0,6212799.0
2015-03-10,8930,9522,8810,9327,210661,73311.0,6212799.0
2015-03-11,9127,9720,9048,9643,332042,75796.0,6212799.0
2015-03-12,9562,9720,9364,9366,132249,73622.0,6212799.0
2015-03-13,9522,9800,9324,9761,234415,76728.0,6212799.0
2015-03-16,9760,9997,9562,9841,139610,77349.0,6212799.0
2015-03-17,9917,9997,9522,9761,107448,76728.0,6212799.0
2015-03-18,9681,9760,9246,9366,139514,73622.0,6212799.0
2015-03-19,9364,9443,9087,9287,90520,73000.0,6212799.0
2015-03-20,9285,9483,9246,9287,74599,73000.0,6212799.0
2015-03-23,9403,9403,9008,9169,72512,72068.0,6212799.0
2015-03-24,9166,9483,8930,9248,142976,72690.0,6212799.0
2015-03-25,9246,9641,9166,9327,114182,73311.0,6212799.0
2015-03-26,9206,9720,9166,9327,168604,73311.0,6212799.0
2015-03-27,9364,9522,9246,9287,82413,73000.0,6212799.0
2015-03-30,9324,9403,9048,9090,183387,71447.0,6212799.0
2015-03-31,9087,9364,9048,9169,104831,72068.0,6212799.0
2015-04-01,9166,9285,8969,9169,78056,72068.0,6212799.0
2015-04-02,9166,9562,9127,9563,195796,75175.0,6212799.0
2015-04-03,9641,9800,9443,9447,161801,74243.0,6212799.0
2015-04-06,9522,9839,9403,9761,174097,76728.0,6212799.0
2015-04-07,9877,10076,9562,9761,211502,76728.0,6212799.0
2015-04-08,9760,9760,9483,9603,89385,75486.0,6212799.0
2015-04-09,9641,9720,9483,9603,69643,75486.0,6212799.0
2015-04-10,9681,9720,9403,9603,81354,75486.0,6212799.0
2015-04-13,9681,9720,9285,9406,141773,73932.0,6212799.0
2015-04-14,9364,9483,9087,9486,134617,74554.0,6212799.0
2015-04-15,9364,9602,9364,9486,61464,74554.0,6212799.0
2015-04-16,9522,9800,9483,9603,167878,75486.0,6212799.0
2015-04-17,9681,9681,9364,9406,89071,73932.0,6212799.0
2015-04-20,9246,9403,9246,9327,56041,73311.0,6212799.0
2015-04-21,9403,9443,9206,9287,50359,73000.0,6212799.0
2015-04-22,9285,9681,9166,9327,165591,73311.0,6212799.0
2015-04-23,9602,10709,9522,10710,1032896,84183.0,6212799.0
2015-04-24,10470,10709,9997,10117,535761,79524.0,6212799.0
2015-04-27,10273,10589,10115,10433,342661,82009.0,6212799.0
2015-04-28,10749,11459,10589,10710,1115877,84183.0,6212799.0
2015-04-29,10827,11103,10470,10710,265715,84183.0,6212799.0
2015-04-30,10749,10749,10076,10077,221501,79213.0,6212799.0
2015-05-04,10115,10549,9957,10315,162274,81077.0,6212799.0
2015-05-06,10352,11024,10352,10828,344240,85115.0,6212799.0
2015-05-07,10827,10906,10036,10276,236355,80766.0,6212799.0
2015-05-08,10313,10549,10076,10315,156502,81077.0,6212799.0
2015-05-11,10510,10549,10036,10077,188257,79213.0,6212799.0
2015-05-12,10115,10194,9443,9447,233874,74243.0,6212799.0
2015-05-13,9443,9602,9048,9366,216038,73622.0,6212799.0
2015-05-14,9443,9483,9285,9327,109497,73311.0,6212799.0
2015-05-15,9364,9443,9127,9209,129463,72379.0,6212799.0
2015-05-18,9246,9246,9048,9050,101852,71137.0,6212799.0
2015-05-19,9087,9285,8969,9209,67961,72379.0,6212799.0
2015-05-20,9246,9522,9048,9486,111663,74554.0,6212799.0
2015-05-21,9562,9562,9166,9169,111446,72068.0,6212799.0
2015-05-22,9285,9324,9087,9130,90398,71758.0,6212799.0
2015-05-26,9166,9324,9048,9209,74900,72379.0,6212799.0
2015-05-27,9166,9324,9048,9209,60146,72379.0,6212799.0
2015-05-28,9285,9602,9285,9327,85389,73311.0,6212799.0
2015-05-29,9443,9443,9166,9287,74326,73000.0,6212799.0
2015-06-01,9285,9285,9048,9130,58314,71758.0,6212799.0
2015-06-02,9048,9048,7941,8181,304448,64302.0,6212799.0
2015-06-03,8020,8100,7791,7801,274017,61320.0,6212799.0
2015-06-04,7855,8297,7815,7882,102276,61942.0,6212799.0
2015-06-05,8059,8059,7744,7841,63919,61631.0,6212799.0
2015-06-08,7799,8020,7799,7865,79079,61817.0,6212799.0
2015-06-09,7871,7981,7838,7903,73278,62128.0,6212799.0
2015-06-10,7981,7981,7712,7730,79864,60761.0,6212799.0
2015-06-11,7744,7815,7001,7145,256138,56164.0,6212799.0
2015-06-12,7143,7214,7010,7020,70300,55170.0,6212799.0
2015-06-15,6976,7301,6953,7035,50768,55294.0,6212799.0
2015-06-16,7040,7166,6756,6766,43980,53182.0,6212799.0
2015-06-17,6764,7744,6756,7747,221120,60885.0,6212799.0
2015-06-18,8218,8218,7664,8102,189085,63681.0,6212799.0
2015-06-19,8139,8178,7855,7903,89041,62128.0,6212799.0
2015-06-22,7902,7902,7634,7747,65708,60885.0,6212799.0
2015-06-23,7815,7815,7609,7628,44910,59954.0,6212799.0
2015-06-24,7744,7823,7624,7722,44316,60699.0,6212799.0
2015-06-25,7893,8416,7784,8220,146584,64613.0,6212799.0
2015-06-26,8297,8376,8059,8141,82096,63992.0,6212799.0
2015-06-29,8205,8205,7783,7843,53955,58711.0,6212799.0
2015-06-30,7658,7783,7458,7610,37273,56971.0,6212799.0
2015-07-01,7692,7708,7534,7552,29527,56536.0,6212799.0
2015-07-02,7592,7683,7301,7344,65841,54983.0,6212799.0
2015-07-03,7417,7550,7268,7344,62650,54983.0,6212799.0
2015-07-06,7285,7285,6945,7012,125386,52498.0,6212799.0
2015-07-07,7177,7177,6929,6996,57931,52374.0,6212799.0
2015-07-08,7002,7177,6970,7178,36947,53741.0,6212799.0
2015-07-09,7152,7161,6894,6971,59456,52188.0,6212799.0
2015-07-10,6994,7102,6820,6888,38806,51566.0,6212799.0
2015-07-13,6894,7127,6861,6980,41578,52250.0,6212799.0
