그리티(204020),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-07-23,5525,7125,5125,6475,10000605,130455.0,10073715.0
2018-07-24,6425,6600,5675,5775,2609868,116351.0,10073715.0
2018-07-25,5825,5875,5150,5350,1643953,107789.0,10073715.0
2018-07-26,5675,6000,5325,5525,1614092,111315.0,10073715.0
2018-07-27,5400,5750,5325,5725,498372,115344.0,10073715.0
2018-07-30,5725,7425,5600,7000,4195571,141032.0,10073715.0
2018-07-31,6925,8225,6850,7350,4607677,148084.0,10073715.0
2018-08-01,7275,7450,7025,7300,930044,147076.0,10073715.0
2018-08-02,7175,7600,6900,7600,1192380,153120.0,10073715.0
2018-08-03,7500,7600,7050,7050,650524,142039.0,10073715.0
2018-08-06,7025,7049,6725,6725,524154,135491.0,10073715.0
2018-08-07,6774,7025,6625,6750,824447,135995.0,10073715.0
2018-08-08,6750,6750,6400,6550,395355,131966.0,10073715.0
2018-08-09,6550,6600,6025,6200,632222,124914.0,10073715.0
2018-08-10,6175,6225,5700,5875,468492,118366.0,10073715.0
2018-08-13,5850,5875,5425,5500,357253,110811.0,10073715.0
2018-08-14,5500,5675,5350,5600,510402,112826.0,10073715.0
2018-08-16,5725,5725,5450,5700,475579,114840.0,10073715.0
2018-08-17,5775,6075,5675,6000,683030,120885.0,10073715.0
2018-08-20,5975,6100,5775,5975,311142,120381.0,10073715.0
2018-08-21,6050,6250,5925,6075,452250,122396.0,10073715.0
2018-08-22,6400,7025,6100,6100,2270948,122899.0,10073715.0
2018-08-23,6125,6525,6075,6475,607121,130455.0,10073715.0
2018-08-24,6400,6449,6225,6325,312515,127432.0,10073715.0
2018-08-27,6400,6575,6349,6475,480638,130455.0,10073715.0
2018-08-28,6500,6525,6100,6125,339231,123403.0,10073715.0
2018-08-29,6125,6175,5900,5900,220265,118870.0,10073715.0
2018-08-30,5925,5974,5725,5950,348819,119877.0,10073715.0
2018-08-31,6375,6525,6025,6175,895117,124410.0,10073715.0
2018-09-03,6125,6249,6025,6125,146492,123403.0,10073715.0
2018-09-04,6175,6175,5925,6000,209307,120885.0,10073715.0
2018-09-05,5950,6075,5900,5900,157724,118870.0,10073715.0
2018-09-06,5949,6250,5925,6175,340943,124410.0,10073715.0
2018-09-07,6175,6475,6075,6475,463566,130455.0,10073715.0
2018-09-10,6425,6500,6250,6500,193930,130958.0,10073715.0
2018-09-11,6475,6549,6349,6475,260903,130455.0,10073715.0
2018-09-12,6649,6725,6400,6425,533456,129447.0,10073715.0
2018-09-13,6425,6550,6274,6550,251088,131966.0,10073715.0
2018-09-14,6525,6649,6400,6425,276529,129447.0,10073715.0
2018-09-17,6400,6550,6350,6450,234019,129951.0,10073715.0
2018-09-18,6675,7050,6425,6500,1026727,130958.0,10073715.0
2018-09-19,6600,6625,6300,6500,403119,130958.0,10073715.0
2018-09-20,6475,6500,6250,6250,214902,125921.0,10073715.0
2018-09-21,6225,6400,6000,6075,249496,122396.0,10073715.0
2018-09-27,5925,6050,5900,5950,263364,119877.0,10073715.0
2018-09-28,6000,6124,5975,6050,142671,121892.0,10073715.0
2018-10-01,6050,6100,5625,5800,206846,116855.0,10073715.0
2018-10-02,5800,5874,5600,5750,124348,115848.0,10073715.0
