램테크놀러지(171010),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-11-18,4807,5000,4092,4092,1590234,36318.0,6826647.0
2013-11-19,3730,3915,3515,3712,1526428,32939.0,6826647.0
2013-11-20,3742,4169,3538,3808,673590,33792.0,6826647.0
2013-11-21,3884,4376,3853,4377,1012554,38844.0,6826647.0
2013-11-22,4607,4684,4338,4469,1087589,39663.0,6826647.0
2013-11-25,4453,4492,4192,4385,382014,38912.0,6826647.0
2013-11-26,4438,4576,4315,4446,593338,39458.0,6826647.0
2013-11-27,4392,4430,4207,4308,296614,38229.0,6826647.0
2013-11-28,4323,4569,4269,4438,291093,39390.0,6826647.0
2013-11-29,4546,4546,4323,4400,388795,50085.0,8756128.0
2013-12-02,4499,4599,4323,4323,342579,49209.0,8756128.0
2013-12-03,4276,4484,3846,3846,283091,43781.0,8756128.0
2013-12-04,3915,3915,3700,3846,65005,43781.0,8756128.0
2013-12-05,3776,4076,3730,3931,84016,44744.0,8756128.0
2013-12-06,3907,4130,3861,4077,117132,46407.0,8756128.0
2013-12-09,4061,4146,3961,4038,18496,45970.0,8756128.0
2013-12-10,4069,4069,3946,4062,13319,46232.0,8756128.0
2013-12-11,4076,4153,3869,4015,17955,45707.0,8756128.0
2013-12-12,3992,4053,3861,3862,15492,43956.0,8756128.0
2013-12-13,3861,3930,3769,3854,24727,43868.0,8756128.0
2013-12-16,3853,3853,3769,3777,12209,42993.0,8756128.0
2013-12-17,3761,3838,3742,3742,24376,42599.0,8756128.0
2013-12-18,3507,3646,3361,3615,126022,41154.0,8756128.0
2013-12-19,3653,3673,3461,3615,33935,41154.0,8756128.0
2013-12-20,3650,4030,3588,3869,50566,44043.0,8756128.0
2013-12-23,3992,3992,3792,3792,19500,43168.0,8756128.0
2013-12-24,3776,3923,3761,3769,11779,42905.0,8756128.0
2013-12-26,3734,3961,3734,3923,94071,44656.0,8756128.0
2013-12-27,3984,4223,3861,4200,143128,47808.0,8756128.0
2013-12-30,4484,4484,4146,4346,67151,49472.0,8756128.0
2014-01-02,4338,4400,4230,4308,43476,49034.0,8756128.0
2014-01-03,4384,4384,4269,4362,17154,49647.0,8756128.0
2014-01-06,4269,4438,4269,4423,38347,50348.0,8756128.0
2014-01-07,4384,4400,4261,4385,58808,49910.0,8756128.0
2014-01-08,4461,4461,4307,4377,62529,49822.0,8756128.0
2014-01-09,4446,4446,4192,4331,84815,49297.0,8756128.0
2014-01-10,4376,4407,4215,4308,60604,49034.0,8756128.0
2014-01-13,4338,4338,4092,4308,82765,49034.0,8756128.0
2014-01-14,4269,4269,3938,3962,145333,45094.0,8756128.0
2014-01-15,3969,4153,3907,4138,106068,47108.0,8756128.0
2014-01-16,4130,4446,4092,4308,150095,49034.0,8756128.0
2014-01-17,4338,4384,4246,4369,59773,49735.0,8756128.0
2014-01-20,4438,4761,4369,4492,162917,51136.0,8756128.0
2014-01-21,4500,4569,4361,4400,47832,50085.0,8756128.0
2014-01-22,4376,4576,4338,4569,41114,52011.0,8756128.0
2014-01-23,4576,5023,4576,4831,152217,54988.0,8756128.0
2014-01-24,4830,4830,4538,4646,117593,52887.0,8756128.0
2014-01-27,4607,4669,4453,4662,53502,53062.0,8756128.0
2014-01-28,4669,4723,4515,4685,71943,53325.0,8756128.0
2014-01-29,4684,5084,4638,4923,127899,56039.0,8756128.0
2014-02-03,4953,5146,4900,5000,119219,56915.0,8756128.0
2014-02-04,4984,5038,4884,5000,30847,56915.0,8756128.0
2014-02-05,5007,5269,4984,5131,153514,58403.0,8756128.0
2014-02-06,5307,5307,4792,4800,171332,54638.0,8756128.0
2014-02-07,4838,5053,4769,5038,117169,57353.0,8756128.0
2014-02-10,5030,5261,4969,5192,73015,59104.0,8756128.0
