티엘아이(062860),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2006-07-25,11000,11550,9820,9820,399748,38789.0,3950000.0
2006-07-26,10400,11250,9900,11000,1392804,43450.0,3950000.0
2006-07-27,11550,11800,9420,9930,909819,39224.0,3950000.0
2006-07-28,9920,10200,8450,8520,415344,33654.0,3950000.0
2006-07-31,8650,8650,7640,7760,252740,30652.0,3950000.0
2006-08-01,7550,8200,7440,7800,340167,30810.0,3950000.0
2006-08-02,7630,8120,7460,7500,128843,29625.0,3950000.0
2006-08-03,7560,8530,7560,8340,522767,32943.0,3950000.0
2006-08-04,8190,8330,7630,7790,212987,30770.0,3950000.0
2006-08-07,7800,7930,7610,7780,84878,30731.0,3950000.0
2006-08-08,7590,8230,7480,8030,204036,31718.0,3950000.0
2006-08-09,7930,9080,7750,8410,329704,33220.0,3950000.0
2006-08-10,8410,9300,8300,9100,522154,37310.0,4100000.0
2006-08-11,9010,9050,8440,8530,219792,34973.0,4100000.0
2006-08-14,8510,8690,8360,8370,90318,34317.0,4100000.0
2006-08-16,8510,9200,8510,8850,248444,36285.0,4100000.0
2006-08-17,9000,9090,8650,8810,94097,36121.0,4100000.0
2006-08-18,8850,9260,8620,8770,256204,35957.0,4100000.0
2006-08-21,8990,9070,8600,8820,128491,36162.0,4100000.0
2006-08-22,8760,9010,8700,8850,106857,36285.0,4100000.0
2006-08-23,8850,8940,8710,8840,51413,36244.0,4100000.0
2006-08-24,8890,8890,8700,8810,62629,36121.0,4100000.0
2006-08-25,8840,10000,8800,9740,491482,39934.0,4100000.0
2006-08-28,10000,11200,9900,11200,1267533,45920.0,4100000.0
2006-08-29,11700,12500,10250,10650,1399183,43665.0,4100000.0
2006-08-30,10800,11300,10450,10800,868647,44280.0,4100000.0
2006-08-31,10700,10800,10150,10150,445431,41615.0,4100000.0
2006-09-01,10150,10400,9890,10250,475865,42025.0,4100000.0
2006-09-04,10500,10750,10100,10150,494912,41615.0,4100000.0
2006-09-05,10200,11650,9960,11650,951086,47765.0,4100000.0
2006-09-06,11600,12100,11350,11500,685067,47150.0,4100000.0
2006-09-07,11700,13000,11350,11800,1256041,48380.0,4100000.0
2006-09-08,11700,12300,11550,12050,408727,49405.0,4100000.0
2006-09-11,12050,12450,11000,11300,389932,46330.0,4100000.0
2006-09-12,11350,11550,11100,11500,371452,47150.0,4100000.0
2006-09-13,11600,12800,11500,12550,1008623,51455.0,4100000.0
2006-09-14,12750,13050,12200,12550,538745,51455.0,4100000.0
2006-09-15,12550,12550,11950,12400,322993,50840.0,4100000.0
2006-09-18,12400,12800,12150,12750,600392,52275.0,4100000.0
2006-09-19,12850,13100,12200,12200,360757,50020.0,4100000.0
2006-09-20,12050,12250,11650,12250,283587,50225.0,4100000.0
2006-09-21,12400,12600,11900,12100,393027,49610.0,4100000.0
2006-09-22,11900,12000,11300,11500,250409,47150.0,4100000.0
2006-09-25,11400,11450,10950,11050,217147,45305.0,4100000.0
2006-09-26,11200,11400,10450,10900,289222,44690.0,4100000.0
