제넥신(095700),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-09-15,15250,15899,12975,13550,1575608,109020.0,4022870.0
2009-09-16,13550,14825,13375,13450,1200409,108215.0,4022870.0
2009-09-17,13750,14225,13299,13450,439852,108215.0,4022870.0
2009-09-18,13600,13675,12275,12275,424261,98761.0,4022870.0
2009-09-21,12275,13575,12150,12575,516350,101175.0,4022870.0
2009-09-22,12899,14450,12800,14450,517330,120054.0,4154120.0
2009-09-23,15300,15675,12750,12750,1132898,105930.0,4154120.0
2009-09-24,12849,13100,12075,12075,238545,100322.0,4154120.0
2009-09-25,12150,12175,11050,11375,172603,94506.0,4154120.0
2009-09-28,11050,11900,10900,10900,138067,90560.0,4154120.0
2009-09-29,11100,11125,10000,10300,150321,85575.0,4154120.0
2009-09-30,10500,10700,9750,9750,151747,81005.0,4154120.0
2009-10-01,9775,9900,8925,8975,176941,74566.0,4154120.0
2009-10-05,8975,9325,8850,8950,94144,74359.0,4154120.0
2009-10-06,9100,9150,8425,8500,106505,70620.0,4154120.0
2009-10-07,8900,9775,8750,9775,161304,81213.0,4154120.0
2009-10-08,11225,11225,8925,8925,915867,74151.0,4154120.0
2009-10-09,8925,9250,8700,8875,151411,73736.0,4154120.0
2009-10-12,8975,9150,8900,8900,71024,73943.0,4154120.0
2009-10-13,8850,9375,8800,9300,110529,77267.0,4154120.0
2009-10-14,9100,9200,8950,8975,74961,74566.0,4154120.0
2009-10-15,9000,9350,8775,8775,105590,72905.0,4154120.0
2009-10-16,8750,8925,8225,8400,148541,69789.0,4154120.0
2009-10-19,8400,8425,8100,8150,61951,67712.0,4154120.0
2009-10-20,8275,8600,8275,8325,85337,69166.0,4154120.0
2009-10-21,8425,8650,8400,8400,44801,69789.0,4154120.0
2009-10-22,8325,8900,8325,8900,94381,73943.0,4154120.0
2009-10-23,8875,8950,8625,8675,55437,72074.0,4154120.0
2009-10-26,8600,9100,8525,9000,172154,74774.0,4154120.0
2009-10-27,9350,9475,8725,8725,215673,72489.0,4154120.0
2009-10-28,8725,8750,8200,8250,64511,68543.0,4154120.0
2009-10-29,8100,8225,7725,7875,56430,65427.0,4154120.0
2009-10-30,8000,8125,7850,7950,43903,66051.0,4154120.0
2009-11-02,7575,7900,7575,7650,38882,63558.0,4154120.0
2009-11-03,7700,8000,7500,7525,56493,62520.0,4154120.0
2009-11-04,7550,7675,7424,7450,53055,61896.0,4154120.0
2009-11-05,7525,7750,6975,7300,64559,60650.0,4154120.0
2009-11-06,7350,7675,7350,7400,39728,61481.0,4154120.0
2009-11-09,7450,8450,7450,8000,150990,66466.0,4154120.0
2009-11-10,8175,8175,7675,7675,53249,63766.0,4154120.0
2009-11-11,7700,7850,7675,7700,32262,63973.0,4154120.0
2009-11-12,7850,7850,7549,7675,21937,63766.0,4154120.0
2009-11-13,7674,7774,7350,7350,39095,61066.0,4154120.0
2009-11-16,7450,7749,7250,7375,41758,61273.0,4154120.0
2009-11-17,7025,7449,6750,7125,179480,59196.0,4154120.0
2009-11-18,6925,7200,6925,7000,38576,58158.0,4154120.0
2009-11-19,7049,7075,6825,6825,63220,56704.0,4154120.0
2009-11-20,6849,7500,6750,7325,157671,60858.0,4154120.0
2009-11-23,7450,7700,7274,7350,120250,61066.0,4154120.0
2009-11-24,7275,7500,6950,7100,64864,58989.0,4154120.0
2009-11-25,7500,7775,7250,7250,163680,60235.0,4154120.0
2009-11-26,7275,7425,7025,7025,35924,61175.0,4354120.0
2009-11-27,6824,7100,6275,6450,68129,56168.0,4354120.0
2009-11-30,6575,6700,6450,6500,47901,56604.0,4354120.0
2009-12-01,6550,6925,6550,6800,56351,59216.0,4354120.0
2009-12-02,6925,7150,6775,6900,91203,60087.0,4354120.0
2009-12-03,7075,7125,6900,7025,32105,61175.0,4354120.0
2009-12-04,7000,7200,6825,6875,31860,59869.0,4354120.0
2009-12-07,7000,7650,6875,7400,172890,64441.0,4354120.0
2009-12-08,7450,8500,7250,8500,293231,74020.0,4354120.0
2009-12-09,8400,8775,8250,8450,291419,73585.0,4354120.0
2009-12-10,8650,9125,8375,8600,259325,74891.0,4354120.0
2009-12-11,8550,8850,8450,8500,102882,74020.0,4354120.0
2009-12-14,8675,8675,8200,8300,88336,72278.0,4354120.0
2009-12-15,8400,8600,8275,8350,89275,72714.0,4354120.0
2009-12-16,8350,9175,8150,8875,225968,77286.0,4354120.0
2009-12-17,8950,9375,8800,9325,159811,81204.0,4354120.0
2009-12-18,9175,9450,9050,9225,93665,80334.0,4354120.0
2009-12-21,9275,9750,9100,9725,133282,84688.0,4354120.0
2009-12-22,9950,10000,9250,9250,164545,80551.0,4354120.0
2009-12-23,9250,9350,8400,8400,142636,73149.0,4354120.0
2009-12-24,8700,9100,8525,8725,159019,75979.0,4354120.0
2009-12-28,8775,8975,7925,7925,136477,69013.0,4354120.0
2009-12-29,8049,8275,7900,8025,50589,69884.0,4354120.0
2009-12-30,8200,8600,8075,8600,85589,74891.0,4354120.0
2010-01-04,8600,9300,8525,8975,178471,78156.0,4354120.0
2010-01-05,9000,9400,8800,9250,134860,80551.0,4354120.0
2010-01-06,9250,10175,9250,9700,346335,84470.0,4354120.0
2010-01-07,9850,10200,9325,9650,243448,84035.0,4354120.0
2010-01-08,9650,9975,9150,9275,88825,80769.0,4354120.0
2010-01-11,9200,9200,8500,8550,152332,74455.0,4354120.0
2010-01-12,8725,8900,8575,8825,43686,76850.0,4354120.0
2010-01-13,8800,9100,8775,8775,63133,79925.0,4554120.0
2010-01-14,8950,8950,8625,8625,37509,78559.0,4554120.0
2010-01-15,8825,9425,8750,9425,127729,85845.0,4554120.0
2010-01-18,9450,9600,9125,9175,53802,83568.0,4554120.0
2010-01-19,9175,9250,8875,9025,46866,82202.0,4554120.0
2010-01-20,9025,9225,8500,8650,83092,78786.0,4554120.0
2010-01-21,8700,8700,8000,8525,51130,77648.0,4554120.0
2010-01-22,8325,8450,8100,8450,44174,76965.0,4554120.0
2010-01-25,8225,8575,8225,8275,38937,75371.0,4554120.0
2010-01-26,8325,8500,8050,8050,29812,73321.0,4554120.0
2010-01-27,7974,8200,7850,7950,26766,72411.0,4554120.0
2010-01-28,8050,8300,7825,8225,37072,74915.0,4554120.0
2010-01-29,7950,8100,7625,7725,40731,70361.0,4554120.0
2010-02-01,7675,7875,7425,7675,28779,69906.0,4554120.0
2010-02-02,7800,7825,7625,7675,25274,69906.0,4554120.0
2010-02-03,7700,7875,7650,7800,22157,71044.0,4554120.0
2010-02-04,7775,8150,7775,8100,32117,73777.0,4554120.0
2010-02-05,7700,7800,7600,7725,32619,70361.0,4554120.0
2010-02-08,7800,7825,7550,7600,18787,69223.0,4554120.0
2010-02-09,7525,7775,7300,7575,47131,68995.0,4554120.0
2010-02-10,7625,7750,7325,7400,30518,67401.0,4554120.0
2010-02-11,7400,7525,7350,7400,21894,67401.0,4554120.0
2010-02-12,7449,7600,7375,7525,15884,68540.0,4554120.0
2010-02-16,7600,7674,7525,7550,14155,68767.0,4554120.0
2010-02-17,7700,7800,7549,7675,16899,69906.0,4554120.0
2010-02-18,7775,7775,7600,7600,13488,69223.0,4554120.0
2010-02-19,7575,8100,7550,7600,35504,69223.0,4554120.0
2010-02-22,7650,7875,7575,7650,19291,69678.0,4554120.0
2010-02-23,7600,7774,7574,7750,21422,70589.0,4554120.0
2010-02-24,7625,7625,7500,7525,27681,68540.0,4554120.0
2010-02-25,7600,7600,7325,7325,21976,66718.0,4554120.0
2010-02-26,7275,7500,7225,7500,19316,68312.0,4554120.0
2010-03-02,7500,7600,7300,7450,11680,67856.0,4554120.0
2010-03-03,7350,7450,7350,7350,16707,66946.0,4554120.0
2010-03-04,7300,7400,7150,7225,12338,65807.0,4554120.0
2010-03-05,7224,7250,7075,7250,14448,66035.0,4554120.0
2010-03-08,7250,7400,7200,7350,13053,66946.0,4554120.0
2010-03-09,7275,7450,7225,7400,24348,67401.0,4554120.0
2010-03-10,7400,7874,7400,7550,48107,68767.0,4554120.0
2010-03-11,7575,7649,7400,7525,12646,68540.0,4554120.0
2010-03-12,7525,7525,7275,7300,15581,66490.0,4554120.0
2010-03-15,7300,7400,7250,7250,13480,66035.0,4554120.0
2010-03-16,7250,7250,7149,7175,15626,65352.0,4554120.0
2010-03-17,7325,7325,7150,7200,15266,65579.0,4554120.0
2010-03-18,7250,7375,7175,7300,16653,66490.0,4554120.0
2010-03-19,7250,7374,7150,7350,17910,66946.0,4554120.0
2010-03-22,7350,7350,7150,7150,12610,65124.0,4554120.0
2010-03-23,7250,7300,7100,7100,9990,64669.0,4554120.0
2010-03-24,7100,7175,6750,6825,30021,62164.0,4554120.0
2010-03-25,6700,6850,6700,6750,14120,61481.0,4554120.0
2010-03-26,6675,6825,6675,6825,11806,62164.0,4554120.0
2010-03-29,6749,6825,6675,6675,12753,60798.0,4554120.0
2010-03-30,6800,6900,6675,6825,9605,62164.0,4554120.0
2010-03-31,6900,6950,6750,6850,15376,62391.0,4554120.0
2010-04-01,6874,6925,6700,6750,12415,61481.0,4554120.0
2010-04-02,6725,6925,6600,6900,16425,62847.0,4554120.0
2010-04-05,6900,6900,6249,6725,25446,61253.0,4554120.0
2010-04-06,6649,6675,6500,6525,6647,59431.0,4554120.0
2010-04-07,6525,6600,6250,6600,12031,60114.0,4554120.0
2010-04-08,6675,6675,6450,6650,11463,60570.0,4554120.0
2010-04-09,6550,6674,6474,6550,11036,59659.0,4554120.0
2010-04-12,6500,6625,6375,6375,11194,58065.0,4554120.0
2010-04-13,6375,6500,6300,6400,8089,58293.0,4554120.0
2010-04-14,6350,6550,6324,6450,15403,58748.0,4554120.0
2010-04-15,6400,6525,6249,6325,25997,57610.0,4554120.0
2010-04-16,6300,6450,6275,6450,10547,58748.0,4554120.0
2010-04-19,6300,6524,6224,6250,19515,56926.0,4554120.0
2010-04-20,6275,6375,6249,6325,12180,57610.0,4554120.0
2010-04-21,6375,6450,6275,6450,5847,58748.0,4554120.0
2010-04-22,6600,6600,6450,6475,16020,59079.0,4562120.0
2010-04-23,6475,6549,6400,6475,11702,59079.0,4562120.0
2010-04-26,6449,6550,6425,6525,10528,59536.0,4562120.0
2010-04-27,6475,7025,6475,7000,66424,63870.0,4562120.0
2010-04-28,6750,7000,6700,6950,30364,63413.0,4562120.0
2010-04-29,7075,7075,6800,6975,19089,63642.0,4562120.0
2010-04-30,6875,7150,6850,6850,19228,62501.0,4562120.0
2010-05-03,6750,6950,6625,6800,7383,62045.0,4562120.0
2010-05-04,6924,6950,6450,6450,21923,58851.0,4562120.0
2010-05-06,6250,6425,6250,6300,13484,57483.0,4562120.0
2010-05-07,6200,6200,5950,6050,30826,55202.0,4562120.0
2010-05-10,6175,6200,6050,6100,6482,55658.0,4562120.0
2010-05-11,6350,7000,6200,7000,167818,63870.0,4562120.0
2010-05-12,7150,7800,6850,7200,253010,65695.0,4562120.0
2010-05-13,7075,7075,6675,6700,95137,61132.0,4562120.0
2010-05-14,6700,6875,6425,6475,43911,59079.0,4562120.0
2010-05-17,6450,6625,5925,5975,42258,54517.0,4562120.0
2010-05-18,6000,6200,5925,6100,25432,55658.0,4562120.0
2010-05-19,6200,6200,5825,5950,19050,54289.0,4562120.0
2010-05-20,5750,6050,5075,5275,125997,48130.0,4562120.0
2010-05-24,5200,5550,5175,5375,38464,49043.0,4562120.0
2010-05-25,5375,5375,4755,4800,36494,43796.0,4562120.0
2010-05-26,4805,4965,4775,4935,14437,45028.0,4562120.0
2010-05-27,4950,5300,4935,5100,19819,46534.0,4562120.0
2010-05-28,5175,5525,5175,5200,22685,47446.0,4562120.0
2010-05-31,5150,5500,5150,5475,14181,49955.0,4562120.0
2010-06-01,5275,5750,5275,5475,15723,49955.0,4562120.0
2010-06-03,5675,5700,5500,5600,12763,51096.0,4562120.0
2010-06-04,5700,5700,5400,5550,10124,50640.0,4562120.0
2010-06-07,5250,6275,5175,5725,50626,52236.0,4562120.0
2010-06-08,5575,5700,5400,5700,17622,52008.0,4562120.0
2010-06-09,5700,5725,5475,5600,20220,51096.0,4562120.0
2010-06-10,5600,5875,5600,5850,19082,53377.0,4562120.0
2010-06-11,5800,6100,5800,6075,17733,55430.0,4562120.0
2010-06-14,6125,6200,6075,6125,20300,55886.0,4562120.0
2010-06-15,6000,6175,5975,6050,11303,55202.0,4562120.0
2010-06-16,6050,6250,6050,6200,6807,56570.0,4562120.0
2010-06-17,6150,6975,6150,6725,56308,61361.0,4562120.0
2010-06-18,6800,6949,6675,6775,19569,61817.0,4562120.0
2010-06-21,6950,7675,6950,7400,67460,67519.0,4562120.0
2010-06-22,7450,7600,7325,7400,36836,67519.0,4562120.0
2010-06-23,7450,7450,7250,7275,10116,66379.0,4562120.0
2010-06-24,7000,7249,6925,7025,12204,64098.0,4562120.0
2010-06-25,6774,7374,6774,7350,13681,67063.0,4562120.0
2010-06-28,7400,7724,7350,7450,37849,67976.0,4562120.0
2010-06-29,7500,7700,7500,7550,56293,68888.0,4562120.0
2010-06-30,7450,8400,7225,8150,60878,74363.0,4562120.0
2010-07-01,8050,8625,7850,8000,84435,72994.0,4562120.0
2010-07-02,8000,8050,7824,7850,36753,71625.0,4562120.0
2010-07-05,8250,8275,7900,8225,32058,75047.0,4562120.0
2010-07-06,8100,8325,7875,8200,13360,74819.0,4562120.0
2010-07-07,8375,8400,8000,8350,20199,76187.0,4562120.0
2010-07-08,8400,8500,8150,8200,39641,74819.0,4562120.0
2010-07-09,8100,8300,8000,8300,27052,75731.0,4562120.0
2010-07-12,8400,8475,8000,8400,27253,76644.0,4562120.0
2010-07-13,8200,8450,8200,8425,8370,76872.0,4562120.0
2010-07-14,8350,8550,8350,8475,15652,77328.0,4562120.0
2010-07-15,8475,8575,8425,8575,24857,78240.0,4562120.0
2010-07-16,8425,8575,8400,8450,8126,77100.0,4562120.0
2010-07-19,8500,8550,8225,8450,11303,77100.0,4562120.0
2010-07-20,8300,8475,8200,8300,11321,75731.0,4562120.0
2010-07-21,8475,8475,7625,7900,28222,72081.0,4562120.0
2010-07-22,7650,8074,7325,7550,17872,68888.0,4562120.0
2010-07-23,7550,7550,7200,7425,13862,67747.0,4562120.0
2010-07-26,7500,7950,7450,7800,14275,71169.0,4562120.0
2010-07-27,7800,7950,7775,7850,3060,71625.0,4562120.0
2010-07-28,8000,8000,7775,7825,4451,71397.0,4562120.0
2010-07-29,7825,7825,6749,7575,13113,69116.0,4562120.0
2010-07-30,7450,8000,7450,8000,17527,72994.0,4562120.0
2010-08-02,8000,8500,8000,8300,19051,75731.0,4562120.0
2010-08-03,8300,8475,8174,8300,3057,75731.0,4562120.0
2010-08-04,8175,8475,8175,8450,16111,77100.0,4562120.0
2010-08-05,8450,8450,8300,8400,11487,76644.0,4562120.0
2010-08-06,8475,8475,8250,8425,10904,76872.0,4562120.0
2010-08-09,8425,8625,8425,8475,30619,77328.0,4562120.0
2010-08-10,8450,8525,8400,8450,7612,77100.0,4562120.0
2010-08-11,8475,8550,8225,8300,17275,75731.0,4562120.0
2010-08-12,8300,8350,8050,8275,9327,75503.0,4562120.0
2010-08-13,8125,8325,8125,8325,8989,75959.0,4562120.0
2010-08-16,8325,8400,8175,8350,9327,76187.0,4562120.0
2010-08-17,8250,8625,8250,8625,32454,78697.0,4562120.0
2010-08-18,8675,9350,8675,9200,56700,83943.0,4562120.0
2010-08-19,9100,9325,9050,9050,23732,82574.0,4562120.0
2010-08-20,8825,9125,8750,9125,20905,83259.0,4562120.0
2010-08-23,9300,9300,9050,9175,19019,83715.0,4562120.0
2010-08-24,9225,9325,9025,9325,28154,85084.0,4562120.0
2010-08-25,9150,9300,9150,9175,7862,83715.0,4562120.0
2010-08-26,9350,9350,8775,9000,22273,82118.0,4562120.0
2010-08-27,8850,9050,8850,8925,5007,81434.0,4562120.0
2010-08-30,9075,9125,8775,8975,8289,81890.0,4562120.0
2010-08-31,9000,9000,8475,8475,9099,77328.0,4562120.0
2010-09-01,8750,8750,8450,8550,5875,78012.0,4562120.0
2010-09-02,8575,8825,8375,8450,5380,77100.0,4562120.0
2010-09-03,8450,8500,8100,8175,6917,74591.0,4562120.0
2010-09-06,8200,8250,8025,8100,13521,73906.0,4562120.0
2010-09-07,8000,8200,7975,8100,3611,73906.0,4562120.0
2010-09-08,8100,8225,7975,8050,4679,73450.0,4562120.0
2010-09-09,8200,8200,7850,7975,3878,72766.0,4562120.0
2010-09-10,8000,8100,7950,8050,8642,73450.0,4562120.0
2010-09-13,8200,8200,7874,7950,9010,72538.0,4562120.0
2010-09-14,7900,8075,7825,8025,7866,73222.0,4562120.0
2010-09-15,7850,8074,7750,7950,15460,72538.0,4562120.0
2010-09-16,7949,7975,7800,7875,7822,71853.0,4562120.0
2010-09-17,7975,8299,7800,8175,13148,74591.0,4562120.0
2010-09-20,8425,8425,8000,8200,3545,74819.0,4562120.0
2010-09-24,8125,8350,8125,8250,2044,75275.0,4562120.0
2010-09-27,7975,8175,7850,8000,4374,72994.0,4562120.0
2010-09-28,7950,8049,7849,7925,5209,72310.0,4562120.0
2010-09-29,8000,8150,7900,7925,9318,72310.0,4562120.0
2010-09-30,7825,8225,7825,7975,14408,72766.0,4562120.0
2010-10-01,7900,8400,7850,8400,27910,76644.0,4562120.0
2010-10-04,8449,8649,8000,8050,12867,73450.0,4562120.0
2010-10-05,8125,8400,7974,8150,11101,74363.0,4562120.0
2010-10-06,8100,8325,8000,8150,6301,74363.0,4562120.0
2010-10-07,8050,8775,8050,8500,61882,77556.0,4562120.0
2010-10-08,8650,8750,8400,8600,24555,79543.0,4624620.0
2010-10-11,8600,8775,8450,8500,26688,78619.0,4624620.0
2010-10-12,8500,8500,8250,8500,10442,78619.0,4624620.0
2010-10-13,8550,8550,8175,8250,15515,76306.0,4624620.0
2010-10-14,8375,8375,8025,8075,13941,74688.0,4624620.0
2010-10-15,8075,8250,8050,8100,14393,74919.0,4624620.0
2010-10-18,8100,8225,8000,8000,9446,73994.0,4624620.0
2010-10-19,8050,8450,8025,8350,23129,77231.0,4624620.0
2010-10-20,8325,8375,8200,8350,31825,77231.0,4624620.0
2010-10-21,8375,8700,8250,8300,11275,76769.0,4624620.0
2010-10-22,8475,8475,8300,8400,25698,77694.0,4624620.0
2010-10-25,8400,8550,8200,8250,19858,76306.0,4624620.0
2010-10-26,8300,8300,8200,8200,13296,75844.0,4624620.0
2010-10-27,8250,8300,7950,8000,19469,73994.0,4624620.0
2010-10-28,8000,8225,7950,8100,6982,74919.0,4624620.0
2010-10-29,7950,8100,7825,8100,10223,74919.0,4624620.0
2010-11-01,8050,8100,7775,8075,7426,74688.0,4624620.0
2010-11-02,7900,8075,7825,7825,8274,72375.0,4624620.0
2010-11-03,7850,8075,7850,7900,10886,73069.0,4624620.0
2010-11-04,8000,8400,7850,8350,24735,77231.0,4624620.0
2010-11-05,8500,8650,8400,8625,46064,79775.0,4624620.0
2010-11-08,8650,8950,8500,8650,277751,80006.0,4624620.0
2010-11-09,8650,9925,8150,8300,750557,76769.0,4624620.0
2010-11-10,8575,8775,8225,8225,241027,76075.0,4624620.0
2010-11-11,8225,8250,7850,8000,109415,73994.0,4624620.0
2010-11-12,7750,8000,6950,7800,141527,72214.0,4629120.0
2010-11-15,7800,8325,7275,7400,166593,68511.0,4629120.0
2010-11-16,7350,7474,7150,7350,24242,68048.0,4629120.0
2010-11-17,7325,7325,7000,7025,39665,65039.0,4629120.0
2010-11-18,6900,7474,6900,7150,76202,66196.0,4629120.0
2010-11-19,7150,7225,7025,7100,28723,65734.0,4629120.0
2010-11-22,7249,7249,7100,7125,32219,65965.0,4629120.0
2010-11-23,7200,7450,7100,7175,36869,66428.0,4629120.0
2010-11-24,6674,7000,6674,6750,36583,62493.0,4629120.0
2010-11-25,6800,7000,6750,6925,19534,64113.0,4629120.0
2010-11-26,6900,7000,6250,6575,27699,60873.0,4629120.0
2010-11-29,6675,6675,6475,6650,18300,61567.0,4629120.0
2010-11-30,6500,6800,6500,6575,6517,60873.0,4629120.0
2010-12-01,6750,6750,6475,6500,12965,60179.0,4629120.0
2010-12-02,6525,6650,6525,6600,11737,61104.0,4629120.0
2010-12-03,6550,6675,6400,6400,20811,59253.0,4629120.0
2010-12-06,6500,6574,6450,6550,17543,60641.0,4629120.0
2010-12-07,6550,6649,6425,6525,15192,60410.0,4629120.0
2010-12-08,6500,6600,6450,6475,16043,59947.0,4629120.0
2010-12-09,6574,6574,6450,6550,10393,60641.0,4629120.0
2010-12-10,6550,6650,6500,6550,10673,60641.0,4629120.0
2010-12-13,6500,6700,6424,6650,22913,61567.0,4629120.0
2010-12-14,6650,6825,6500,6500,18024,60179.0,4629120.0
2010-12-15,6500,6900,6449,6725,27170,62262.0,4629120.0
2010-12-16,6750,7124,6650,6850,59942,63419.0,4629120.0
2010-12-17,6975,7000,6650,6675,15159,61799.0,4629120.0
2010-12-20,6575,6650,6325,6500,20912,60179.0,4629120.0
2010-12-21,6525,6875,6525,6725,17658,62262.0,4629120.0
2010-12-22,6649,6800,6525,6525,16646,60410.0,4629120.0
