케이엠더블유(032500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-03-21,5943,5943,5943,5944,7,185730.0,15100000.0
2000-03-22,6644,6644,6644,6644,3,207625.0,15100000.0
2000-03-23,7441,7441,7441,7442,1,232540.0,15100000.0
2000-03-24,8311,8311,8311,8311,2180,259720.0,15100000.0
2000-03-27,9301,9301,9301,9302,74,290675.0,15100000.0
2000-03-28,10412,10412,10412,10413,57,325405.0,15100000.0
2000-03-29,11645,11645,11645,11645,12,363910.0,15100000.0
2000-03-30,13022,13022,13022,13023,8249,406945.0,15100000.0
2000-03-31,14568,14568,14568,14569,2650,455265.0,15100000.0
2000-04-03,16308,16308,16308,16308,6231,509625.0,15100000.0
2000-04-04,18265,18265,14351,14738,7613366,460550.0,15100000.0
2000-04-06,15075,15704,12973,12974,2083158,405435.0,15100000.0
2000-04-07,14012,14520,13457,14520,787191,453755.0,15100000.0
2000-04-10,16259,16259,16259,16260,147484,508115.0,15100000.0
2000-04-11,14544,15559,14326,14327,1198424,447715.0,15100000.0
2000-04-12,14061,14447,12853,13868,982954,433370.0,15100000.0
2000-04-14,13143,13239,12225,12370,766569,386560.0,15100000.0
2000-04-17,10896,10896,10896,10896,15388,340505.0,15100000.0
2000-04-18,12128,12128,9929,10437,1297916,326160.0,15100000.0
2000-04-19,11113,11669,10920,11331,1557920,354095.0,15100000.0
2000-04-20,11113,11741,10533,11380,835816,355605.0,15100000.0
2000-04-21,11451,12732,11113,12733,1923901,397885.0,15100000.0
2000-04-24,13046,13529,11692,11790,1573837,368440.0,15100000.0
2000-04-25,11210,12949,11137,12419,1264938,388070.0,15100000.0
2000-04-26,13094,13384,11620,11742,1641386,366930.0,15100000.0
2000-04-27,11451,12176,10872,11259,785565,351830.0,15100000.0
2000-04-28,11451,11959,10968,11621,728010,363155.0,15100000.0
2000-05-02,11838,12998,11838,12998,1346885,406190.0,15100000.0
2000-05-03,12949,14399,12708,13771,2297100,430350.0,15100000.0
2000-05-04,14012,15414,13916,15076,2597222,471120.0,15100000.0
2000-05-08,15945,16670,14012,14206,2096199,443940.0,15100000.0
2000-05-09,14012,15897,13384,15898,1790992,496790.0,15100000.0
2000-05-10,16235,17781,15945,17782,2556220,555680.0,15100000.0
