미래컴퍼니(049950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-01-04,13616,15249,13298,15251,1547537,123773.0,7367420.0
2005-01-05,15977,16703,14979,15297,690576,124141.0,7367420.0
2005-01-06,15296,16203,14796,15977,491784,129667.0,7367420.0
2005-01-07,16204,16703,15796,16296,248139,132245.0,7367420.0
2005-01-10,16112,16430,16022,16204,134136,131508.0,7367420.0
2005-01-11,16022,16386,15705,16068,123224,130403.0,7367420.0
2005-01-12,16067,17700,16067,17158,308311,139244.0,7367420.0
2005-01-13,17474,18790,17429,18156,570496,147348.0,7367420.0
2005-01-14,18110,18337,17339,18247,160423,148085.0,7367420.0
2005-01-17,18790,18881,17700,18156,254836,147348.0,7367420.0
2005-01-18,18020,20335,17611,19518,431696,158400.0,7367420.0
2005-01-19,19744,20107,19063,19336,151299,156926.0,7367420.0
2005-01-20,19108,19653,17700,19336,216594,156926.0,7367420.0
2005-01-21,18790,19880,18790,19154,107379,155453.0,7367420.0
2005-01-24,19426,20562,18746,20289,264169,164662.0,7367420.0
2005-01-25,20062,20244,18791,19063,156156,154716.0,7367420.0
2005-01-26,19291,19518,17974,18519,126741,150295.0,7367420.0
2005-01-27,18701,18837,17974,18065,63197,146612.0,7367420.0
2005-01-28,17883,18472,17883,18201,47522,147717.0,7367420.0
2005-01-31,18201,18928,18201,18292,47318,148454.0,7367420.0
2005-02-01,18472,18927,18200,18201,55309,147717.0,7367420.0
2005-02-02,18065,19063,17700,18882,87271,153242.0,7367420.0
2005-02-03,18881,19063,18065,18428,54714,149559.0,7367420.0
2005-02-04,18111,18111,16476,17021,355470,138139.0,7367420.0
2005-02-07,17156,17883,16929,17429,370553,141454.0,7367420.0
2005-02-11,17338,17565,16839,17429,151057,141454.0,7367420.0
2005-02-14,17521,18155,17248,17838,271750,144770.0,7367420.0
2005-02-15,17748,19154,17474,19063,294067,154716.0,7367420.0
2005-02-16,19336,19699,18609,19200,240315,155962.0,7374084.0
2005-02-17,19608,20062,18791,19972,315754,162230.0,7374084.0
2005-02-18,20243,21786,19971,21333,729073,173291.0,7374084.0
2005-02-21,21241,21241,20334,20879,266081,169604.0,7374084.0
2005-02-22,20651,20924,19245,19427,224406,157805.0,7374084.0
2005-02-23,19064,20606,18882,19745,331954,160386.0,7374084.0
2005-02-24,20061,20970,19517,20153,407911,163705.0,7374084.0
2005-02-25,20697,21786,20424,21560,410333,175134.0,7374084.0
2005-02-28,22695,23422,20834,21514,624543,174766.0,7374084.0
2005-03-02,21515,22377,21015,21514,262335,174766.0,7374084.0
2005-03-03,21968,22103,20605,20652,264715,167760.0,7374084.0
2005-03-04,20651,21876,20243,21651,197907,175872.0,7374084.0
2005-03-07,22059,22241,20606,21697,194300,176241.0,7374084.0
2005-03-08,21697,21969,20698,21243,118013,172554.0,7374084.0
2005-03-09,21242,22468,20788,22423,188341,182140.0,7374084.0
2005-03-10,22059,22786,21742,22150,146837,179928.0,7374084.0
2005-03-11,22014,22468,21787,21969,173608,178453.0,7374084.0
2005-03-14,21786,21968,21105,21333,121878,173291.0,7374084.0
2005-03-15,21469,21606,19700,19699,233431,160018.0,7374084.0
