멜파스(096640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-12-18,15009,17244,14509,17245,1945214,266203.0,5149001.0
2009-12-21,18245,19813,17344,19813,1063342,305851.0,5149001.0
2009-12-22,20747,21347,18645,19013,1003161,293493.0,5149001.0
2009-12-23,19546,19813,18378,18946,384370,292463.0,5149001.0
2009-12-24,19179,20246,18979,19346,384536,298642.0,5149001.0
2009-12-28,19479,22248,19179,21714,681595,335200.0,5149001.0
2009-12-29,21114,21681,20246,20747,430088,320268.0,5149001.0
2009-12-30,20613,21547,20480,21348,258027,331520.0,5180001.0
2010-01-04,21581,22981,21480,22515,492318,349650.0,5180001.0
2010-01-05,23215,24649,22381,22682,818362,352240.0,5180001.0
2010-01-06,23348,23682,22348,22448,265801,348614.0,5180001.0
2010-01-07,22648,22648,21514,21915,234846,340326.0,5180001.0
2010-01-08,22348,23082,21881,23015,224763,357420.0,5180001.0
2010-01-11,23348,23515,22148,22148,181656,343952.0,5180001.0
2010-01-12,22014,22181,20680,21181,226484,328930.0,5180001.0
2010-01-13,21714,23148,21581,23015,469035,358766.0,5199501.0
2010-01-14,23415,26150,23315,25083,1171288,391002.0,5199501.0
2010-01-15,25583,26517,25183,25350,421442,395162.0,5199501.0
2010-01-18,25650,26917,25350,25784,544727,401921.0,5199501.0
2010-01-19,25983,29619,25683,29019,847863,452357.0,5199501.0
2010-01-20,28685,29186,27585,28452,451899,443517.0,5199501.0
2010-01-21,28685,29986,27918,29119,382449,453916.0,5199501.0
2010-01-22,28318,28885,26717,28119,324847,438318.0,5199501.0
2010-01-25,27251,27651,25083,25817,363313,402441.0,5199501.0
2010-01-26,26417,26884,24716,25384,395580,395682.0,5199501.0
2010-01-27,25883,26751,24883,26518,402312,413360.0,5199501.0
2010-01-28,27084,27685,26050,27352,312895,426359.0,5199501.0
2010-01-29,27017,27184,25717,26017,243570,405561.0,5199501.0
2010-02-01,26517,27518,26250,27518,218212,428959.0,5199501.0
2010-02-02,27785,27985,26751,27518,229737,428959.0,5199501.0
2010-02-03,27918,28418,27685,27852,170678,434158.0,5199501.0
2010-02-04,27885,28018,27017,27018,106636,421160.0,5199501.0
2010-02-05,25550,26084,25116,25684,253657,400362.0,5199501.0
2010-02-08,26217,27184,25783,26184,171354,408161.0,5199501.0
2010-02-09,26417,27017,26217,27018,99745,421160.0,5199501.0
2010-02-10,27351,28118,27017,27085,136813,422199.0,5199501.0
2010-02-11,27451,27484,26651,26951,124136,420120.0,5199501.0
2010-02-12,26917,27284,26184,26951,184628,420120.0,5199501.0
2010-02-16,26951,29619,26817,29620,324278,461716.0,5199501.0
2010-02-17,29786,30620,29152,29987,288793,467435.0,5199501.0
2010-02-18,30286,31487,29753,29820,336973,464835.0,5199501.0
2010-02-19,29619,30286,28952,28953,201855,451317.0,5199501.0
2010-02-22,29219,29586,27651,28552,379355,445077.0,5199501.0
2010-02-23,28552,29286,28152,29286,164429,456516.0,5199501.0
2010-02-24,29086,29819,28785,28886,124166,450277.0,5199501.0
2010-02-25,29086,29219,27951,27952,104046,435718.0,5199501.0
2010-02-26,27985,28252,26817,28252,109423,440398.0,5199501.0
2010-03-02,28452,28518,28018,28052,50807,437278.0,5199501.0
2010-03-03,28018,28218,27418,27518,84898,428959.0,5199501.0
2010-03-04,27384,27484,26684,26684,140633,415960.0,5199501.0
2010-03-05,26951,27318,26384,26618,97767,414920.0,5199501.0
2010-03-08,26951,27218,25883,26084,206461,406601.0,5199501.0
2010-03-09,26217,26584,25717,25851,155494,402961.0,5199501.0
2010-03-10,26150,27184,25683,26851,227741,418560.0,5199501.0
2010-03-11,27017,27751,27017,27518,185802,428959.0,5199501.0
2010-03-12,27785,27951,27351,27685,118905,431559.0,5199501.0
2010-03-15,27718,27785,26751,26851,141219,418560.0,5199501.0
2010-03-16,27017,27785,26851,27552,94354,429479.0,5199501.0
2010-03-17,27585,27718,26951,26951,84052,420120.0,5199501.0
2010-03-18,26951,27017,26450,26584,117537,414400.0,5199501.0
2010-03-19,26784,27184,26417,26484,75321,412840.0,5199501.0
2010-03-22,26484,26917,26350,26351,51719,410761.0,5199501.0
2010-03-23,26384,26551,25983,26051,93250,406081.0,5199501.0
2010-03-24,26250,26484,25850,26151,68222,407641.0,5199501.0
2010-03-25,26350,27151,26250,27051,142088,421680.0,5199501.0
2010-03-26,27184,27184,26617,26684,65174,415960.0,5199501.0
2010-03-29,26350,26651,25983,25984,56890,405041.0,5199501.0
2010-03-30,26184,26817,25917,26818,72107,418040.0,5199501.0
2010-03-31,26884,26884,26517,26818,51256,418040.0,5199501.0
2010-04-01,26851,27017,26517,26518,59055,413360.0,5199501.0
2010-04-02,26984,27184,26550,26651,88786,415440.0,5199501.0
2010-04-05,26651,26651,23348,25150,216002,392042.0,5199501.0
2010-04-06,25116,25116,23515,24016,209305,374364.0,5199501.0
2010-04-07,24416,24683,24049,24350,115831,379564.0,5199501.0
2010-04-08,24449,24849,24382,24683,48995,384763.0,5199501.0
2010-04-09,24683,25150,24015,24216,58905,377484.0,5199501.0
2010-04-12,24082,24249,23749,24083,90446,375404.0,5199501.0
2010-04-13,24416,25016,24149,24950,81211,388923.0,5199501.0
2010-04-14,25250,26484,25083,26418,179265,411800.0,5199501.0
2010-04-15,26384,26951,26184,26384,85386,411281.0,5199501.0
2010-04-16,26651,26784,26150,26451,54365,412320.0,5199501.0
2010-04-19,25950,26684,25550,25550,53890,398282.0,5199501.0
2010-04-20,25783,26084,25383,25384,36995,395682.0,5199501.0
2010-04-21,25783,26617,25683,26217,61062,408681.0,5199501.0
2010-04-22,26250,26651,26050,26117,36501,407121.0,5199501.0
2010-04-23,26417,26417,25750,26251,31682,409201.0,5199501.0
2010-04-26,26484,26517,25917,26017,49007,405561.0,5199501.0
2010-04-27,26017,26017,24516,24783,121235,386323.0,5199501.0
2010-04-28,24116,24916,23915,24516,73422,382163.0,5199501.0
2010-04-29,24549,25150,24316,24817,44576,386843.0,5199501.0
2010-04-30,25483,25983,25183,25684,72621,400362.0,5199501.0
2010-05-03,25483,25617,24849,25250,41981,393602.0,5199501.0
2010-05-04,25683,25950,25083,25150,43348,392042.0,5199501.0
2010-05-06,24382,24382,23448,23883,196582,372284.0,5199501.0
2010-05-07,23015,23148,22514,22682,134063,353566.0,5199501.0
2010-05-10,23315,24116,23048,24016,60017,374364.0,5199501.0
