액토즈소프트(052790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-08-14,8386,8386,8386,8386,593789,77853.0,5943000.0
2001-08-16,8067,9380,8067,9379,2016032,87065.0,5943000.0
2001-08-17,9539,10437,8515,8515,1894379,79042.0,5943000.0
2001-08-20,8836,8995,8259,8579,791611,79636.0,5943000.0
2001-08-21,8803,8932,8387,8835,403200,82013.0,5943000.0
2001-08-22,8579,9890,8579,9891,783283,91819.0,5943000.0
2001-08-23,10627,11075,9538,10243,1884625,95088.0,5943000.0
2001-08-24,10242,10307,9827,9859,408353,91522.0,5943000.0
2001-08-27,10242,11011,10115,10499,1132863,97465.0,5943000.0
2001-08-28,9923,10723,9923,10595,612814,98357.0,5943000.0
2001-08-29,10468,10980,10276,10436,649266,96871.0,5943000.0
2001-08-30,10468,10596,9828,9923,348005,92116.0,5943000.0
2001-08-31,9475,9538,8738,8738,403620,81122.0,5943000.0
2001-09-03,8451,8899,7875,8515,490207,79042.0,5943000.0
2001-09-04,8514,8866,8354,8707,398124,80825.0,5943000.0
2001-09-05,8514,8642,8226,8259,266526,76665.0,5943000.0
2001-09-06,8258,8835,8162,8642,475798,80230.0,5943000.0
2001-09-07,8419,8836,8291,8835,390567,82013.0,5943000.0
2001-09-10,8771,9890,8579,9507,1329665,88254.0,5943000.0
2001-09-11,9732,9764,8899,9123,523524,84688.0,5943000.0
2001-09-12,8036,8036,8036,8035,24635,74585.0,5943000.0
2001-09-13,7555,8195,7459,7619,573010,70722.0,5943000.0
2001-09-14,7747,7971,6723,6722,567565,62402.0,5943000.0
2001-09-17,6434,6563,5923,5922,196267,54973.0,5943000.0
2001-09-18,6019,6377,5801,6082,534136,56458.0,5943000.0
2001-09-19,5942,6294,5890,6082,512272,56458.0,5943000.0
2001-09-20,6024,6083,5570,5762,324569,53487.0,5943000.0
2001-09-21,5089,5633,5070,5441,387454,50516.0,5943000.0
2001-09-24,5442,5698,5167,5448,365906,50575.0,5943000.0
2001-09-25,5698,5717,5097,5122,312745,47544.0,5943000.0
2001-09-26,5257,5276,4988,5026,251070,46653.0,5943000.0
2001-09-27,5026,5160,4865,5154,232565,47841.0,5943000.0
2001-09-28,5217,5633,5192,5506,559524,51110.0,5943000.0
2001-10-04,5774,6107,5761,6005,396521,55745.0,5943000.0
2001-10-05,5915,6210,5826,5992,370576,55626.0,5943000.0
2001-10-08,5761,6274,5761,5890,267209,54676.0,5943000.0
2001-10-09,6145,6593,6088,6594,686940,61213.0,5943000.0
2001-10-10,6723,7107,6498,6883,764977,63887.0,5943000.0
2001-10-11,7171,7299,6755,6914,520961,64184.0,5943000.0
2001-10-12,7107,7107,6531,6818,397940,63293.0,5943000.0
2001-10-15,6689,7010,6530,6850,399328,63590.0,5943000.0
