에이치엘사이언스(239610),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-10-28,38400,48600,38200,38200,5944826,196430.0,5142148.0
2016-10-31,40000,40400,30000,32200,1477578,165577.0,5142148.0
2016-11-01,31500,33500,28200,28550,645817,146808.0,5142148.0
2016-11-02,28700,28900,24250,24400,537620,125468.0,5142148.0
2016-11-03,24500,26450,23650,24600,477174,126497.0,5142148.0
2016-11-04,24200,24450,22450,22650,304229,116470.0,5142148.0
2016-11-07,22900,23350,22050,22500,222088,115698.0,5142148.0
2016-11-08,24200,29250,24100,29250,527119,150408.0,5142148.0
2016-11-09,30250,31200,23200,24800,1564613,127525.0,5142148.0
2016-11-10,26600,29250,26150,28000,1028103,143980.0,5142148.0
2016-11-11,27800,28300,26400,26900,253397,138324.0,5142148.0
2016-11-14,26550,26550,24600,25050,213084,128811.0,5142148.0
2016-11-15,25050,25150,23250,23350,165356,120069.0,5142148.0
2016-11-16,23600,29150,23600,27450,1381249,141152.0,5142148.0
2016-11-17,26800,26950,25600,26200,292531,134724.0,5142148.0
2016-11-18,26450,26500,24400,24650,175433,126754.0,5142148.0
2016-11-21,24650,26650,24100,24700,211120,127011.0,5142148.0
2016-11-22,25400,26050,24500,24500,104170,125983.0,5142148.0
2016-11-23,24650,24850,23300,23350,123208,120069.0,5142148.0
2016-11-24,23350,23950,23250,23400,73491,120326.0,5142148.0
2016-11-25,23500,23850,23100,23650,40439,121612.0,5142148.0
2016-11-28,23650,24400,22650,22700,82394,116727.0,5142148.0
2016-11-29,23100,23100,22600,22850,50092,117498.0,5142148.0
2016-11-30,22600,23700,22550,22850,57097,117498.0,5142148.0
2016-12-01,22950,22950,22400,22500,37610,115698.0,5142148.0
2016-12-02,22250,22450,21400,21500,58053,110556.0,5142148.0
2016-12-05,21050,21300,20100,20200,67130,103871.0,5142148.0
2016-12-06,20700,20800,20200,20800,36859,106957.0,5142148.0
2016-12-07,20950,23550,20950,21500,160567,110556.0,5142148.0
2016-12-08,21600,22800,20500,22450,96002,115441.0,5142148.0
2016-12-09,22100,23100,22100,22900,48039,117755.0,5142148.0
2016-12-12,22900,24150,22900,23500,35857,120840.0,5142148.0
2016-12-13,23500,24500,23000,23850,40346,122640.0,5142148.0
2016-12-14,23750,24250,23550,23750,24090,122126.0,5142148.0
2016-12-15,24400,25800,23150,23750,262966,122126.0,5142148.0
2016-12-16,23900,29250,23900,27450,581068,141152.0,5142148.0
2016-12-19,27800,30250,27000,28700,414683,147580.0,5142148.0
2016-12-20,28700,28850,27450,27450,82061,141152.0,5142148.0
2016-12-21,27450,27700,26150,26950,110942,138581.0,5142148.0
2016-12-22,27050,27350,26550,26850,53906,138067.0,5142148.0
2016-12-23,27150,27300,26250,26300,43127,135238.0,5142148.0
2016-12-26,26100,29750,26000,27950,222931,143723.0,5142148.0
2016-12-27,27950,29350,27400,27500,86470,141409.0,5142148.0
2016-12-28,27550,30200,27350,29300,179837,150665.0,5142148.0
2016-12-29,28850,29300,28150,28800,69457,148094.0,5142148.0
2017-01-02,29000,31050,28650,30700,115981,157864.0,5142148.0
2017-01-03,30900,31200,29700,31200,65468,160435.0,5142148.0
2017-01-04,31200,31500,30350,30550,42824,157093.0,5142148.0
2017-01-05,30350,30550,29200,29350,50559,150922.0,5142148.0
2017-01-06,29500,29900,28400,29000,52096,149122.0,5142148.0
2017-01-09,29000,29650,28000,28300,46308,145523.0,5142148.0
2017-01-10,28350,28600,28050,28500,26289,146551.0,5142148.0
2017-01-11,28250,29150,28000,28250,41113,145266.0,5142148.0
2017-01-12,28450,28450,26450,27050,80536,139095.0,5142148.0
2017-01-13,26500,28300,26100,28200,60796,145009.0,5142148.0
2017-01-16,28250,28250,27000,28000,30848,143980.0,5142148.0
2017-01-17,27850,28400,26000,27700,75684,142437.0,5142148.0
2017-01-18,27650,28550,27100,27750,27052,142695.0,5142148.0
2017-01-19,28000,31200,27900,30300,174888,155807.0,5142148.0
2017-01-20,30100,31400,29400,30200,72027,155293.0,5142148.0
2017-01-23,30900,30900,29550,29800,21920,153236.0,5142148.0
2017-01-24,30000,30000,27200,28000,101639,143980.0,5142148.0
2017-01-25,28250,28900,27400,27700,22642,142437.0,5142148.0
2017-01-26,27700,27900,26750,27200,30957,139866.0,5142148.0
2017-01-31,27500,27500,26450,26800,33236,137810.0,5142148.0
2017-02-01,26800,27400,26550,27100,23286,139352.0,5142148.0
2017-02-02,26850,27400,26150,27100,30026,139352.0,5142148.0
2017-02-03,26850,27100,26250,27000,31327,138838.0,5142148.0
2017-02-06,27000,27450,26500,27200,18626,139866.0,5142148.0
2017-02-07,27300,27300,26600,26900,10500,138324.0,5142148.0
2017-02-08,27300,29400,26450,26900,152820,138324.0,5142148.0
2017-02-09,26500,26900,26100,26350,41027,135496.0,5142148.0
2017-02-10,26200,27050,26200,26450,29866,136010.0,5142148.0
2017-02-13,26450,26750,25900,26550,16631,136524.0,5142148.0
2017-02-14,26400,26800,25800,26000,28151,133696.0,5142148.0
2017-02-15,25750,26600,25450,26000,44842,133696.0,5142148.0
2017-02-16,26100,26100,25200,25400,33597,130611.0,5142148.0
2017-02-17,25250,25550,24650,25500,29328,131125.0,5142148.0
2017-02-20,25350,25700,25250,25450,15997,130868.0,5142148.0
2017-02-21,25400,26100,25350,25550,18859,131382.0,5142148.0
2017-02-22,25550,25650,24850,25150,17866,129325.0,5142148.0
2017-02-23,25150,25250,24950,24950,13943,128297.0,5142148.0
