슈피겐코리아(192440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-11-05,37100,42650,37000,42650,1641372,265128.0,6216363.0
2014-11-06,44400,48850,43500,45000,674279,279736.0,6216363.0
2014-11-07,44500,51700,42100,51700,420393,321386.0,6216363.0
2014-11-10,51700,57600,50700,53200,374798,330711.0,6216363.0
2014-11-11,52600,57800,51100,53000,176909,329467.0,6216363.0
2014-11-12,54200,54200,51200,51200,56030,318278.0,6216363.0
2014-11-13,51200,53000,48000,52500,68304,326359.0,6216363.0
2014-11-14,51500,60300,51500,60300,176385,374847.0,6216363.0
2014-11-17,69000,69300,63700,69300,255990,430794.0,6216363.0
2014-11-18,71600,74000,66600,67800,286150,421469.0,6216363.0
2014-11-19,68000,75900,66500,70700,190440,439497.0,6216363.0
2014-11-20,70700,74600,68100,72100,104539,448200.0,6216363.0
2014-11-21,72100,82900,71000,82900,191186,515336.0,6216363.0
2014-11-24,82900,91000,82100,83900,168425,521553.0,6216363.0
2014-11-25,85600,88000,78300,81700,114336,507877.0,6216363.0
2014-11-26,80500,87100,78800,81700,91078,507877.0,6216363.0
2014-11-27,81700,84000,74200,82700,147748,514093.0,6216363.0
2014-11-28,83000,94300,78500,80100,200317,497931.0,6216363.0
2014-12-01,79800,83900,77500,77500,75031,481768.0,6216363.0
2014-12-02,79400,79400,73200,74500,100860,463119.0,6216363.0
2014-12-03,76000,77000,72700,73500,65983,456903.0,6216363.0
2014-12-04,73000,74500,72600,73500,59967,456903.0,6216363.0
2014-12-05,71300,83000,69600,80000,630017,497309.0,6216363.0
2014-12-08,80700,83800,78700,81000,155292,503525.0,6216363.0
2014-12-09,81500,83400,79000,79000,108683,491093.0,6216363.0
2014-12-10,79000,80000,76800,78300,88286,486741.0,6216363.0
2014-12-11,77800,82900,77100,82200,146024,510985.0,6216363.0
2014-12-12,83700,87300,81500,84700,118497,526526.0,6216363.0
2014-12-15,82600,88700,82000,85200,112384,529634.0,6216363.0
2014-12-16,84600,86600,82700,83800,68056,520931.0,6216363.0
2014-12-17,84500,84500,81100,83800,56314,520931.0,6216363.0
2014-12-18,84500,85000,81500,81900,46772,509120.0,6216363.0
2014-12-19,82700,82900,78700,79200,48907,492336.0,6216363.0
2014-12-22,79200,80800,77300,79500,38401,494201.0,6216363.0
2014-12-23,79200,80000,77000,78600,42449,488606.0,6216363.0
2014-12-24,78000,78600,75500,75500,52225,469335.0,6216363.0
2014-12-26,75000,77700,72000,72000,54405,447578.0,6216363.0
2014-12-29,73200,77000,72100,74900,51675,465606.0,6216363.0
2014-12-30,76800,78300,74500,75300,23892,468092.0,6216363.0
2015-01-02,75400,76000,73300,73300,37998,455659.0,6216363.0
2015-01-05,73200,76700,73200,76200,55352,473687.0,6216363.0
2015-01-06,75400,82900,74600,79500,108260,494201.0,6216363.0
2015-01-07,79900,90800,79500,87000,170276,540824.0,6216363.0
2015-01-08,87800,98500,86500,96600,243112,600501.0,6216363.0
2015-01-09,98800,100200,94100,97200,114952,604230.0,6216363.0
2015-01-12,96600,97000,93300,95600,85382,594284.0,6216363.0
2015-01-13,97300,103200,90600,96200,179759,598014.0,6216363.0
2015-01-14,96200,97800,93000,93000,45301,578122.0,6216363.0
2015-01-15,92100,96100,90900,94300,57262,586203.0,6216363.0
2015-01-16,94000,98600,93800,97700,60226,607339.0,6216363.0
2015-01-19,100000,102800,94200,94300,80053,586203.0,6216363.0
2015-01-20,94600,95000,92000,93200,36267,579365.0,6216363.0
2015-01-21,93600,96000,90100,90500,71295,562581.0,6216363.0
2015-01-22,92100,92100,86800,88000,62391,547040.0,6216363.0
2015-01-23,88800,91800,86600,91600,61096,569419.0,6216363.0
2015-01-26,92100,92100,88800,89600,30777,556986.0,6216363.0
2015-01-27,89800,94500,88400,92000,61317,571905.0,6216363.0
2015-01-28,92300,98200,92300,96800,114662,601744.0,6216363.0
2015-01-29,96800,97000,92800,95100,57659,591176.0,6216363.0
2015-01-30,95200,107700,94800,105200,251493,653961.0,6216363.0
2015-02-02,105200,108900,100400,103200,154301,641529.0,6216363.0
2015-02-03,103700,103800,99000,100200,83618,622880.0,6216363.0
2015-02-04,100400,105300,99100,104000,87525,646502.0,6216363.0
2015-02-05,102000,117800,101400,113900,375292,708044.0,6216363.0
2015-02-06,113900,121900,110200,115900,147540,720476.0,6216363.0
2015-02-09,118800,118800,107600,113000,119292,702449.0,6216363.0
2015-02-10,112400,115000,109800,112000,53351,696233.0,6216363.0
2015-02-11,117000,120000,110900,110900,117633,689395.0,6216363.0
2015-02-12,111700,127500,108000,127500,206970,792586.0,6216363.0
