부스타(008470),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-02-23,3780,4345,3520,4345,3195759,35455.0,8160000.0
2011-02-24,4345,4995,3905,4300,8352728,35088.0,8160000.0
2011-02-25,4330,4945,4115,4945,2749218,40351.0,8160000.0
2011-02-28,5680,5680,5650,5680,141070,46349.0,8160000.0
2011-03-02,6530,6530,6530,6530,31271,53285.0,8160000.0
2011-03-03,7500,7500,6780,7500,4683133,61200.0,8160000.0
2011-03-04,7510,8620,7300,7730,6234803,63077.0,8160000.0
2011-03-07,7820,8550,7710,8210,5003996,66994.0,8160000.0
2011-03-08,8390,9440,8250,9440,4815575,77030.0,8160000.0
2011-03-09,10300,10850,9800,10850,4860759,88536.0,8160000.0
2011-03-10,11700,12450,11500,12450,3359349,101592.0,8160000.0
2011-03-11,13600,14300,10600,10600,7860531,86496.0,8160000.0
2011-03-14,9940,12150,9600,12150,12026158,99144.0,8160000.0
2011-03-15,12500,13450,10350,10350,12430989,84456.0,8160000.0
2011-03-16,10750,11100,8800,8910,7196304,72706.0,8160000.0
2011-03-17,8780,9230,8340,8880,6699524,72461.0,8160000.0
2011-03-18,9080,10150,8720,9300,9964464,75888.0,8160000.0
2011-03-21,9210,9430,8000,8000,4088985,65280.0,8160000.0
2011-03-22,8100,8930,8010,8220,5378818,67075.0,8160000.0
2011-03-23,8420,8980,8240,8460,4792153,69034.0,8160000.0
2011-03-24,8620,9180,8090,8280,5263296,67565.0,8160000.0
2011-03-25,8500,8540,8100,8240,1944067,67238.0,8160000.0
2011-03-28,8290,8480,7750,7750,1563093,63240.0,8160000.0
2011-03-29,7800,7940,7600,7760,1549994,63322.0,8160000.0
2011-03-30,7910,8140,7730,7780,1731356,63485.0,8160000.0
2011-03-31,7940,8940,7830,8940,7046840,72950.0,8160000.0
2011-04-01,9000,9150,8160,8180,4649114,66749.0,8160000.0
2011-04-04,8270,8580,8210,8360,1685120,68218.0,8160000.0
2011-04-05,8450,8930,8350,8350,3802763,68136.0,8160000.0
2011-04-06,8400,8520,7950,8040,1534684,65606.0,8160000.0
2011-04-07,8080,8240,7860,7970,855734,65035.0,8160000.0
2011-04-08,7990,8100,7860,7860,716164,64138.0,8160000.0
2011-04-11,7920,8180,7850,7960,997634,64954.0,8160000.0
2011-04-12,8020,8450,6770,6770,2651431,55243.0,8160000.0
2011-04-13,7010,7170,6830,6950,1087628,56712.0,8160000.0
2011-04-14,7010,7130,6830,6910,685839,56386.0,8160000.0
2011-04-15,6960,7060,6370,6550,1101662,53448.0,8160000.0
2011-04-18,6460,6630,6380,6410,796532,52306.0,8160000.0
2011-04-19,6630,6940,6270,6400,1764535,52224.0,8160000.0
2011-04-20,6440,6650,6360,6440,869016,52550.0,8160000.0
2011-04-21,6580,6770,6000,6300,1512219,51408.0,8160000.0
2011-04-22,6220,6330,6000,6030,671478,49205.0,8160000.0
2011-04-25,6090,6240,5850,5860,922858,47818.0,8160000.0
2011-04-26,5800,5980,5470,5500,946848,44880.0,8160000.0
2011-04-27,5600,5670,5260,5340,781354,43574.0,8160000.0
2011-04-28,5370,5560,5080,5370,636451,43819.0,8160000.0
2011-04-29,5540,6170,5540,5600,3943510,45696.0,8160000.0
2011-05-02,5710,6030,5650,5650,1497213,46104.0,8160000.0
2011-05-03,5690,5950,5600,5950,1003394,48552.0,8160000.0
2011-05-04,6120,6190,5300,5310,1183137,43330.0,8160000.0
