휴맥스홀딩스(028080),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,820,820,820,819,0,12604.0,940572.0
1999-01-05,825,917,820,917,11610,14109.0,940572.0
1999-01-06,861,964,861,966,9560,14861.0,940572.0
1999-01-07,885,964,867,966,18530,14861.0,940572.0
1999-01-08,885,958,885,960,26570,14767.0,940572.0
1999-01-11,948,948,917,935,1720,14391.0,940572.0
1999-01-12,917,960,917,917,15930,14109.0,940572.0
1999-01-13,916,964,916,966,13110,14861.0,940572.0
1999-01-14,948,1028,948,1027,11570,15802.0,940572.0
1999-01-15,1027,1131,1027,1131,31970,17401.0,940572.0
1999-01-18,1266,1266,1015,1100,2680,19141.0,1063372.0
1999-01-19,1083,1131,1039,1131,24220,19672.0,1063372.0
1999-01-20,1069,1106,1007,1107,15610,19247.0,1063372.0
1999-01-21,1014,1057,1014,1058,360,18396.0,1063372.0
1999-01-22,978,1039,959,1039,6710,18077.0,1063372.0
1999-01-25,1039,1070,1033,1033,12290,17971.0,1063372.0
1999-01-26,1028,1028,1028,1027,200,17865.0,1063372.0
1999-01-27,1039,1125,1039,1088,8150,18928.0,1063372.0
1999-01-28,1156,1192,1076,1192,6990,20736.0,1063372.0
1999-01-29,1162,1315,1149,1314,60600,22862.0,1063372.0
1999-02-01,1345,1443,1314,1406,18180,24458.0,1063372.0
1999-02-02,1345,1375,1345,1345,12810,23394.0,1063372.0
1999-02-03,1374,1405,1289,1290,10240,22437.0,1063372.0
1999-02-04,1345,1406,1320,1406,15710,24458.0,1063372.0
1999-02-05,1436,1574,1436,1574,63070,27382.0,1063372.0
1999-02-08,1620,1706,1468,1467,36870,25521.0,1063372.0
1999-02-09,1559,1590,1296,1467,7880,25521.0,1063372.0
1999-02-10,1527,1527,1301,1437,8060,24989.0,1063372.0
1999-02-11,1435,1607,1325,1437,9240,24989.0,1063372.0
1999-02-12,1449,1529,1284,1522,51590,26478.0,1063372.0
1999-02-18,1682,1682,1437,1467,2520,25521.0,1063372.0
1999-02-19,1405,1490,1405,1486,99780,25840.0,1063372.0
1999-02-22,1529,1529,1406,1467,1780,25521.0,1063372.0
1999-02-23,1498,1498,1406,1455,2020,25308.0,1063372.0
1999-02-24,1625,1625,1438,1480,12480,25734.0,1063372.0
1999-02-25,1405,1435,1405,1437,3230,24989.0,1063372.0
1999-02-26,1557,1557,1417,1437,7510,24989.0,1063372.0
1999-03-02,1435,1435,1435,1437,3200,24989.0,1063372.0
1999-03-03,1405,1497,1405,1498,11830,26053.0,1063372.0
