에스제이케이(080440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2005-05-13,193728,193728,168117,176011,1984924,19832.0,7400000.0
2005-05-16,179934,183549,173032,173381,657448,19536.0,7400000.0
2005-05-17,177304,181238,173365,173381,849731,19536.0,7400000.0
2005-05-18,174347,183868,173366,181264,1121886,20424.0,7400000.0
2005-05-19,182564,185851,179282,183237,508107,20646.0,7400000.0
2005-05-20,182573,185203,178958,179949,460767,20276.0,7400000.0
2005-05-23,180582,181897,175328,177326,326494,19980.0,7400000.0
2005-05-24,180599,203914,176655,203919,1352317,22977.0,7400000.0
2005-05-25,216707,227872,193397,200638,2701242,22607.0,7400000.0
2005-05-26,200624,210474,195699,206217,1190073,23236.0,7400000.0
2005-05-27,211456,213418,193719,193744,1070263,21830.0,7400000.0
2005-05-30,191097,198970,183876,185535,835170,20905.0,7400000.0
2005-05-31,186500,191101,183218,188158,685158,21201.0,7400000.0
2005-06-01,186507,195043,185845,185860,556195,20942.0,7400000.0
2005-06-02,187164,198324,185521,196368,921748,22126.0,7400000.0
2005-06-03,200296,223278,199962,206875,1565130,23310.0,7400000.0
2005-06-07,210146,224598,202921,220012,1175571,24790.0,7400000.0
2005-06-08,219351,223609,203580,205234,815294,23125.0,7400000.0
2005-06-09,206850,213090,199625,200312,762461,22570.0,7400000.0
2005-06-10,200959,205884,197020,202936,458988,22866.0,7400000.0
2005-06-13,200294,201609,195698,200638,443434,22607.0,7400000.0
2005-06-14,198319,209489,198319,206875,884514,23310.0,7400000.0
2005-06-15,207841,210137,201273,205566,553489,23162.0,7400000.0
2005-06-16,203902,207513,200287,200312,542315,22570.0,7400000.0
2005-06-17,203580,204237,197993,198666,326644,22385.0,7400000.0
2005-06-20,198658,199968,185845,185860,526096,20942.0,7400000.0
2005-06-21,185852,188805,181903,186844,289504,21053.0,7400000.0
2005-06-22,186503,186503,181244,182579,364894,20572.0,7400000.0
2005-06-23,181906,187489,181906,187175,362449,21090.0,7400000.0
2005-06-24,184209,193073,183880,186844,740146,21053.0,7400000.0
2005-06-27,184521,203235,180906,200312,1030953,22570.0,7400000.0
2005-06-28,205550,207527,196363,198340,697266,22348.0,7400000.0
2005-06-29,200301,204245,197019,200964,351226,22644.0,7400000.0
2005-06-30,203583,209828,199644,208190,710779,23458.0,7400000.0
2005-07-01,203583,204245,198658,200964,330994,22644.0,7400000.0
