씨젠(096530),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-09-10,7370,8471,6323,8472,1049190,194311.0,6158820.0
2010-09-13,8471,9733,8230,9734,633225,223257.0,6158820.0
2010-09-14,10203,10539,9076,9774,805339,224181.0,6158820.0
2010-09-15,9774,9894,9129,9264,254130,212479.0,6158820.0
2010-09-16,9048,9155,8700,8700,132136,199546.0,6158820.0
2010-09-17,8592,9250,8592,8835,127247,202625.0,6158820.0
2010-09-20,8941,9451,8740,9345,125939,214327.0,6158820.0
2010-09-24,9290,9854,9129,9694,93082,222333.0,6158820.0
2010-09-27,9693,10136,9666,10056,84968,230648.0,6158820.0
2010-09-28,9961,10257,9881,10164,59681,233111.0,6158820.0
2010-09-29,10096,10364,9935,9976,49815,228800.0,6158820.0
2010-09-30,9935,10297,9935,10218,40916,234343.0,6158820.0
2010-10-01,10324,10713,10203,10661,61923,244505.0,6158820.0
2010-10-04,10741,11224,10606,10889,89312,249740.0,6158820.0
2010-10-05,10767,11009,10606,10768,50350,246969.0,6158820.0
2010-10-06,10928,11801,10633,11224,106844,257439.0,6158820.0
2010-10-07,11251,11949,11049,11816,84415,270988.0,6158820.0
2010-10-08,11681,13586,11681,13588,188326,322046.0,6364550.0
2010-10-11,13963,14392,13399,13426,228429,318228.0,6364550.0
2010-10-12,13238,13238,11666,12299,236279,291496.0,6364550.0
2010-10-13,12486,13131,11881,12674,311361,300407.0,6364550.0
2010-10-14,12942,13694,12875,12889,113251,305498.0,6364550.0
2010-10-15,12687,13184,12446,13144,46722,311545.0,6364550.0
2010-10-18,13144,13641,13131,13211,61783,313136.0,6364550.0
2010-10-19,13345,13399,12942,13024,29583,308681.0,6364550.0
2010-10-20,12794,14312,12794,13776,98940,326501.0,6364550.0
2010-10-21,14016,15413,13775,14527,180709,344322.0,6364550.0
2010-10-22,14581,16702,14554,16702,297694,403277.0,6483550.0
2010-10-25,17185,18259,16514,16756,303217,404574.0,6483550.0
2010-10-26,16702,18716,16702,18609,267934,449310.0,6483550.0
2010-10-27,18796,19790,18420,18797,157270,453848.0,6483550.0
2010-10-28,19011,19226,17910,18126,108629,437640.0,6483550.0
2010-10-29,18125,18447,16487,17105,180954,413002.0,6483550.0
2010-11-01,17239,18581,16970,18582,146107,448662.0,6483550.0
2010-11-02,19011,19494,17856,17991,121029,434398.0,6483550.0
2010-11-03,18232,18366,17507,17508,76808,422727.0,6483550.0
2010-11-04,17776,18609,17614,18367,120370,443475.0,6483550.0
2010-11-05,18259,18259,16889,17132,98286,413650.0,6483550.0
2010-11-08,17211,17211,15842,16568,111277,400035.0,6483550.0
2010-11-09,16782,17212,16111,16139,93819,389661.0,6483550.0
2010-11-10,16084,17695,14768,17589,324431,424673.0,6483550.0
2010-11-11,17776,18044,16782,16783,89521,405222.0,6483550.0
2010-11-12,16889,17400,15574,16112,112813,389013.0,6483550.0
2010-11-15,16110,16648,15923,16514,49123,398738.0,6483550.0
2010-11-16,17588,18206,16782,17991,202162,434398.0,6483550.0
2010-11-17,17829,18152,17346,17589,102803,424673.0,6483550.0
2010-11-18,17856,18581,17695,18179,95116,438936.0,6483550.0
2010-11-19,18394,18420,17454,17481,105343,422079.0,6483550.0
2010-11-22,17722,17722,16970,17132,59557,413650.0,6483550.0
2010-11-23,17400,17749,17239,17347,46627,418837.0,6483550.0
2010-11-24,16514,17346,16406,17186,56484,414947.0,6483550.0
2010-11-25,17185,18259,17185,17938,81807,433101.0,6483550.0
2010-11-26,18259,18259,17507,17562,56777,424024.0,6483550.0
2010-11-29,17561,18635,17319,18529,116823,447365.0,6483550.0
2010-11-30,19334,20327,18394,18797,125983,226924.0,6483550.0
2010-12-01,19226,19226,17561,17723,93660,213957.0,6483550.0
2010-12-02,17910,19548,17454,19119,166940,230814.0,6483550.0
2010-12-03,19119,19172,18447,18663,52073,225303.0,6483550.0
2010-12-06,18581,18957,18206,18474,39737,223034.0,6483550.0
