아진엑스텍(059120),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-07-01,10900,10900,9300,9300,14700,42780.0,4600000.0
2013-07-02,7910,7910,7910,7910,12000,36386.0,4600000.0
2013-07-03,6730,6730,6730,6730,5400,30958.0,4600000.0
2013-07-04,5730,5730,5730,5730,38000,26358.0,4600000.0
2013-07-05,4880,4880,4880,4880,26000,22448.0,4600000.0
2013-07-08,4150,4150,4150,4150,21400,19090.0,4600000.0
2013-07-09,3530,4150,3530,4000,4200,18400.0,4600000.0
2013-07-10,3400,4600,3400,4600,11300,21160.0,4600000.0
2013-07-11,4600,5000,4600,5000,21400,23000.0,4600000.0
2013-07-12,4900,5000,4900,4900,39500,22540.0,4600000.0
2013-07-15,5000,5400,5000,5400,33300,24840.0,4600000.0
2013-07-16,5500,5500,5450,5450,51000,25070.0,4600000.0
2013-07-17,5500,5700,5500,5700,29800,26220.0,4600000.0
2013-07-18,5800,5900,5800,5900,10000,27140.0,4600000.0
2013-07-19,5600,6000,5600,6000,15000,27600.0,4600000.0
2013-07-22,6100,6100,6000,6000,17100,27600.0,4600000.0
2013-07-23,5700,6100,5700,6100,5900,28060.0,4600000.0
2013-07-24,6000,6000,6000,6000,3000,27600.0,4600000.0
2013-07-25,6000,6000,6000,6000,1500,27600.0,4600000.0
2013-07-26,0,0,0,6000,0,27600.0,4600000.0
2013-07-29,6200,6200,6200,6200,100,28520.0,4600000.0
2013-07-30,6250,6250,6040,6150,2500,28290.0,4600000.0
2013-07-31,6200,6200,6200,6200,100,28520.0,4600000.0
2013-08-01,6200,6200,6200,6200,4000,28520.0,4600000.0
2013-08-02,6200,6200,6200,6200,100,28520.0,4600000.0
2013-08-05,6100,6250,6100,6250,8400,28750.0,4600000.0
2013-08-06,6250,6250,6150,6200,2700,28520.0,4600000.0
2013-08-07,6190,6190,6190,6190,2000,28474.0,4600000.0
2013-08-08,6000,6500,6000,6500,13400,29900.0,4600000.0
2013-08-09,7000,7000,6500,7000,9000,32200.0,4600000.0
2013-08-12,7000,7500,7000,7500,4900,34500.0,4600000.0
2013-08-13,0,0,0,7500,0,34500.0,4600000.0
2013-08-14,7500,7500,7500,7500,8800,34500.0,4600000.0
2013-08-16,7700,7700,7700,7700,100,35420.0,4600000.0
2013-08-19,7430,7430,7430,7430,100,34178.0,4600000.0
2013-08-20,0,0,0,7350,0,33810.0,4600000.0
2013-08-21,7400,7400,7400,7400,5200,34040.0,4600000.0
2013-08-22,0,0,0,7320,0,33672.0,4600000.0
2013-08-23,7200,7200,7200,7200,13000,33120.0,4600000.0
2013-08-26,7300,7300,7000,7000,9000,32200.0,4600000.0
2013-08-27,7490,7490,7380,7380,12100,33948.0,4600000.0
