하나머티리얼즈(166090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-04-28,8750,8825,7749,7975,2966623,150883.0,9459737.0
2017-05-02,8100,8150,7550,7725,464250,146153.0,9459737.0
2017-05-04,7900,8050,7775,7850,326479,148518.0,9459737.0
2017-05-08,8075,8124,7824,7850,258072,148518.0,9459737.0
2017-05-10,7875,7900,7550,7600,237060,143788.0,9459737.0
2017-05-11,7700,8100,7650,8075,402103,152775.0,9459737.0
2017-05-12,8075,9300,7950,9000,1080615,170275.0,9459737.0
2017-05-15,8825,9025,8675,8825,356394,166964.0,9459737.0
2017-05-16,8975,9250,8750,8800,306679,166491.0,9459737.0
2017-05-17,8975,9300,8825,9250,280276,175005.0,9459737.0
2017-05-18,9050,9675,9000,9500,282259,179735.0,9459737.0
2017-05-19,9525,9675,9175,9200,139146,174059.0,9459737.0
2017-05-22,9275,9375,8900,9100,126991,172167.0,9459737.0
2017-05-23,9100,9175,8675,8775,161171,166018.0,9459737.0
2017-05-24,8900,9075,8550,9000,154485,170275.0,9459737.0
2017-05-25,9025,9025,8700,8800,135158,166491.0,9459737.0
2017-05-26,8950,8975,8725,8800,62205,166491.0,9459737.0
2017-05-29,8500,9350,8300,9350,384992,176897.0,9459737.0
2017-05-30,9225,9400,9025,9350,147999,176897.0,9459737.0
2017-05-31,9225,9325,8825,8850,78178,167437.0,9459737.0
2017-06-01,8775,8950,8650,8800,61534,166491.0,9459737.0
2017-06-02,8950,9050,8750,8850,65971,167437.0,9459737.0
2017-06-05,8800,8900,8700,8800,34042,166491.0,9459737.0
2017-06-07,8875,9125,8825,8900,74234,168383.0,9459737.0
2017-06-08,8975,9625,8800,9600,223585,181627.0,9459737.0
2017-06-09,9750,9950,9525,9700,123675,183519.0,9459737.0
2017-06-12,9450,9650,9200,9450,110118,178789.0,9459737.0
2017-06-13,9450,9600,9125,9600,150146,181627.0,9459737.0
2017-06-14,9700,9700,9275,9300,103015,175951.0,9459737.0
2017-06-15,9300,9500,9275,9350,53831,176897.0,9459737.0
2017-06-16,9250,9450,9100,9450,51614,178789.0,9459737.0
2017-06-19,9425,9625,9300,9400,53133,177843.0,9459737.0
2017-06-20,9425,9575,9225,9325,62103,176424.0,9459737.0
2017-06-21,9325,9550,9200,9550,49804,180681.0,9459737.0
2017-06-22,9600,9775,9400,9400,107896,177843.0,9459737.0
2017-06-23,9375,9550,9375,9425,33397,178316.0,9459737.0
2017-06-26,9425,9900,9325,9800,147393,185411.0,9459737.0
2017-06-27,9900,10625,9875,10625,403130,201019.0,9459737.0
2017-06-28,10525,10975,10450,10500,189320,198654.0,9459737.0
2017-06-29,10625,11250,10400,10950,114996,207168.0,9459737.0
2017-06-30,10800,11400,10750,11125,117373,210479.0,9459737.0
2017-07-03,11000,11175,10250,10375,126654,196290.0,9459737.0
2017-07-04,10450,10650,10225,10475,67105,198181.0,9459737.0
2017-07-05,10475,11899,10475,11750,302690,222304.0,9459737.0
