아미코젠(092040),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-09-12,12364,14219,12364,14220,39224,237188.0,4125000.0
2013-09-13,14713,15826,14590,14788,890459,246675.0,4125000.0
2013-09-16,15159,15307,14367,14417,229298,240488.0,4125000.0
2013-09-17,14639,14713,14268,14566,119078,242962.0,4125000.0
2013-09-23,14663,14862,14268,14269,97967,238012.0,4125000.0
2013-09-24,14268,14268,13230,13428,143680,223988.0,4125000.0
2013-09-25,13452,13897,13180,13502,98434,225225.0,4125000.0
2013-09-26,13502,14046,13427,13849,109673,231000.0,4125000.0
2013-09-27,13848,14293,13650,13873,121807,231412.0,4125000.0
2013-09-30,13848,13848,13427,13428,36085,223988.0,4125000.0
2013-10-01,13329,13526,13205,13329,41566,222338.0,4125000.0
2013-10-02,13403,13551,12982,13181,52592,219862.0,4125000.0
2013-10-04,13106,13476,13106,13131,20693,219038.0,4125000.0
2013-10-07,13180,13180,12611,12785,59132,213262.0,4125000.0
2013-10-08,12710,13551,12710,13206,49349,220275.0,4125000.0
2013-10-10,12982,13353,12809,13033,180782,217388.0,4125000.0
2013-10-11,13353,14985,13329,14986,231640,249975.0,4125000.0
2013-10-14,14342,14466,13972,14195,329926,236775.0,4125000.0
2013-10-15,14293,15034,14046,14591,129058,243375.0,4125000.0
2013-10-16,14614,14911,14145,14220,60180,237188.0,4125000.0
2013-10-17,13724,14664,13724,14343,57739,239250.0,4125000.0
2013-10-18,14293,14565,14095,14566,43942,242962.0,4125000.0
2013-10-21,14565,14788,14342,14788,42516,246675.0,4125000.0
2013-10-22,14788,15604,14614,15604,282060,260288.0,4125000.0
2013-10-23,15604,16395,15431,15926,103937,265650.0,4125000.0
2013-10-24,15950,16296,15752,15951,61921,266062.0,4125000.0
2013-10-25,15999,16123,15678,15679,49481,261525.0,4125000.0
2013-10-28,15678,16098,15406,16074,51440,271839.0,4182142.0
2013-10-29,16222,16222,14961,15209,109388,257202.0,4182142.0
2013-10-30,15208,15480,15109,15332,35099,259293.0,4182142.0
2013-10-31,15307,15381,14961,15209,46256,257202.0,4182142.0
2013-11-01,15134,16123,15134,16124,60306,272676.0,4182142.0
2013-11-04,16123,16123,15381,15456,161194,261384.0,4182142.0
2013-11-05,15505,15578,15233,15332,51847,259293.0,4182142.0
2013-11-06,15331,15529,15084,15530,20232,262639.0,4182142.0
2013-11-07,15529,15604,15233,15332,24386,259293.0,4182142.0
2013-11-08,15208,15431,14565,14566,48635,246328.0,4182142.0
2013-11-11,14565,14812,13798,14442,40519,244237.0,4182142.0
2013-11-12,14120,14565,14120,14467,14115,244655.0,4182142.0
2013-11-13,14466,14689,14095,14195,20289,240055.0,4182142.0
2013-11-14,14070,15232,13972,15159,38537,256365.0,4182142.0
2013-11-15,15159,15455,14936,15456,22790,261384.0,4182142.0
2013-11-18,15455,15628,15183,15505,26311,262220.0,4182142.0
2013-11-19,15332,15529,14887,15233,26119,257620.0,4182142.0
2013-11-20,15208,15208,14837,15036,15920,254274.0,4182142.0
2013-11-21,15035,15035,14689,15036,21831,254274.0,4182142.0
2013-11-22,14837,15207,14713,15085,24599,255111.0,4182142.0
2013-11-25,15060,15133,14862,15085,9987,255111.0,4182142.0
2013-11-26,14961,15084,14788,15011,13957,255879.0,4215475.0
2013-11-27,15035,15876,14812,15481,50780,263889.0,4215475.0
2013-11-28,15703,15703,15332,15604,24122,265996.0,4215475.0
2013-11-29,15604,15678,15356,15679,21797,267261.0,4215475.0
2013-12-02,15678,15826,15406,15456,17828,263467.0,4215475.0
2013-12-03,15455,15505,15331,15382,9232,262203.0,4215475.0
2013-12-04,15381,15480,15208,15382,9159,262203.0,4215475.0
2013-12-05,15381,15480,14961,15308,10067,260938.0,4215475.0
2013-12-06,15232,15604,15232,15555,16743,265153.0,4215475.0
2013-12-09,15628,15628,14738,14912,55484,254193.0,4215475.0
2013-12-10,14911,15084,14120,14986,36234,255458.0,4215475.0
2013-12-11,14837,15084,14738,14961,9935,255036.0,4215475.0
2013-12-12,14689,15010,14689,14961,14472,255036.0,4215475.0
