아이컴포넌트(059100),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-12-16,4235,4490,3600,4100,1542140,15881.0,3873515.0
2008-12-17,4715,4715,4135,4150,1202161,16075.0,3873515.0
2008-12-18,4100,4170,3600,3600,259184,13945.0,3873515.0
2008-12-19,3560,3780,3510,3600,150671,13945.0,3873515.0
2008-12-22,3635,3740,3385,3520,150747,13635.0,3873515.0
2008-12-23,3525,3525,3280,3280,49036,12705.0,3873515.0
2008-12-24,3340,3340,3155,3225,38047,12492.0,3873515.0
2008-12-26,3215,3280,3020,3020,44726,11698.0,3873515.0
2008-12-29,3000,3105,2850,2885,31582,11175.0,3873515.0
2008-12-30,2855,3115,2810,2900,41052,11233.0,3873515.0
2009-01-02,2920,3080,2910,2910,29624,11272.0,3873515.0
2009-01-05,2950,3040,2915,2945,36417,11408.0,3873515.0
2009-01-06,2920,3385,2920,3385,238503,13112.0,3873515.0
2009-01-07,3405,3495,3240,3290,120960,12744.0,3873515.0
2009-01-08,3205,3325,3205,3300,26724,12783.0,3873515.0
2009-01-09,3370,3490,3280,3300,36991,12783.0,3873515.0
2009-01-12,3370,3370,3040,3040,23709,11775.0,3873515.0
2009-01-13,2950,3350,2920,3160,36005,12240.0,3873515.0
2009-01-14,3160,3240,3000,3095,28137,11989.0,3873515.0
2009-01-15,3015,3085,2850,2850,27708,11040.0,3873515.0
2009-01-16,2905,3080,2905,3000,8283,11621.0,3873515.0
2009-01-19,3120,3120,2960,2995,18703,11601.0,3873515.0
2009-01-20,2930,3040,2920,3000,9803,11621.0,3873515.0
2009-01-21,2920,3030,2905,2905,10540,11253.0,3873515.0
2009-01-22,3090,3090,2915,2915,10395,11291.0,3873515.0
2009-01-23,2900,2930,2720,2840,43951,11001.0,3873515.0
2009-01-28,2890,2930,2720,2720,36706,10536.0,3873515.0
2009-01-29,2720,2960,2655,2760,58075,10691.0,3873515.0
2009-01-30,2770,2810,2560,2685,91373,10400.0,3873515.0
2009-02-02,2695,2700,2555,2625,46329,10168.0,3873515.0
2009-02-03,2635,2680,2525,2570,73191,9955.0,3873515.0
2009-02-04,2630,2800,2625,2650,45764,10265.0,3873515.0
2009-02-05,2670,3045,2630,3045,285095,11795.0,3873515.0
2009-02-06,3065,3165,2770,2790,631058,10807.0,3873515.0
2009-02-09,2815,2895,2790,2805,131317,13510.0,4816374.0
2009-02-10,2875,2900,2620,2720,107700,13101.0,4816374.0
2009-02-11,2600,2690,2600,2665,55324,12836.0,4816374.0
2009-02-12,2670,2725,2620,2660,37052,12812.0,4816374.0
2009-02-13,2665,2810,2630,2790,73653,13438.0,4816374.0
2009-02-16,2755,2860,2715,2730,31176,13149.0,4816374.0
2009-02-17,2720,2730,2550,2550,68327,12282.0,4816374.0
2009-02-18,2550,2670,2480,2635,19199,12691.0,4816374.0
2009-02-19,2650,2675,2540,2555,33932,12306.0,4816374.0
2009-02-20,2560,2560,2390,2415,28948,11632.0,4816374.0
2009-02-23,2410,2480,2285,2480,23149,11945.0,4816374.0
2009-02-24,2400,2495,2350,2495,26461,12017.0,4816374.0
2009-02-25,2515,2520,2420,2470,20124,11896.0,4816374.0
2009-02-26,2435,2515,2320,2370,15957,11415.0,4816374.0
2009-02-27,2390,2500,2350,2480,11155,11945.0,4816374.0
2009-03-02,2460,2550,2310,2360,29854,11367.0,4816374.0
2009-03-03,2360,2420,2220,2420,23381,11656.0,4816374.0
2009-03-04,2450,2615,2370,2550,35809,12282.0,4816374.0
2009-03-05,2595,2620,2520,2550,42333,12282.0,4816374.0
2009-03-06,2420,2750,2420,2740,45579,13197.0,4816374.0
2009-03-09,2790,2800,2655,2740,36453,13197.0,4816374.0
2009-03-10,2740,2820,2670,2790,38335,13438.0,4816374.0
2009-03-11,2800,2875,2765,2810,56177,13534.0,4816374.0
2009-03-12,2830,2830,2730,2810,28631,13534.0,4816374.0
2009-03-13,2850,2890,2800,2800,26012,13486.0,4816374.0
2009-03-16,2805,2855,2780,2825,27898,13606.0,4816374.0
2009-03-17,2825,2900,2825,2900,18077,13967.0,4816374.0
2009-03-18,2920,3065,2880,2950,27506,14208.0,4816374.0
2009-03-19,3000,3000,2830,2830,20493,13630.0,4816374.0
2009-03-20,2870,2895,2800,2855,14430,13751.0,4816374.0
2009-03-23,2880,2940,2850,2855,15335,13751.0,4816374.0
2009-03-24,2900,2930,2855,2895,10041,13943.0,4816374.0
2009-03-25,2920,2920,2820,2890,6630,13919.0,4816374.0
2009-03-26,2845,2985,2845,2920,34374,14064.0,4816374.0
2009-03-27,2970,3280,2970,3070,139683,14786.0,4816374.0
2009-03-30,3070,3170,2940,2985,51870,14377.0,4816374.0
2009-03-31,2985,3050,2845,2910,16359,14016.0,4816374.0
2009-04-01,3095,3095,2815,2920,11400,14064.0,4816374.0
2009-04-02,2925,3065,2925,3040,41629,14642.0,4816374.0
2009-04-03,3100,3100,2900,2990,36229,14401.0,4816374.0
2009-04-06,3050,3120,2985,3060,55790,14738.0,4816374.0
2009-04-07,3125,3515,3040,3515,216882,16930.0,4816374.0
2009-04-08,3515,3740,3500,3620,232944,17435.0,4816374.0
2009-04-09,3695,3695,3535,3580,81886,17243.0,4816374.0
2009-04-10,3620,3620,3400,3500,66867,16857.0,4816374.0
2009-04-13,3620,4025,3560,3950,283171,19025.0,4816374.0
2009-04-14,3900,4080,3690,3910,171691,18832.0,4816374.0
2009-04-15,3770,4060,3600,3850,80851,18543.0,4816374.0
2009-04-16,3930,4250,3650,3800,379505,18302.0,4816374.0
2009-04-17,3850,4180,3610,4000,263787,19265.0,4816374.0
2009-04-20,4050,4400,3975,4200,346079,20229.0,4816374.0
2009-04-21,4100,4240,3985,4100,246200,19747.0,4816374.0
2009-04-22,4185,4230,4070,4110,139456,19795.0,4816374.0
2009-04-23,4150,4725,4015,4725,400706,22757.0,4816374.0
2009-04-24,4915,5430,4795,5200,899930,25045.0,4816374.0
2009-04-27,5200,5200,4935,5100,183444,24564.0,4816374.0
2009-04-28,5180,5420,4510,4840,334945,23311.0,4816374.0
2009-04-29,4770,5100,4605,5050,128257,24323.0,4816374.0
2009-04-30,5240,5690,5050,5420,246446,26105.0,4816374.0
2009-05-04,5320,5480,5170,5250,131917,25286.0,4816374.0
2009-05-06,5250,5900,5250,5650,174768,27213.0,4816374.0
2009-05-07,5650,5750,5470,5600,71527,26972.0,4816374.0
2009-05-08,5470,6000,5450,5730,98425,27598.0,4816374.0
2009-05-11,5700,5760,5490,5490,69348,26442.0,4816374.0
2009-05-12,5500,5560,4910,5300,150132,25527.0,4816374.0
2009-05-13,5200,5490,5090,5360,137498,25816.0,4816374.0
2009-05-14,5200,5280,5010,5110,100452,24612.0,4816374.0
2009-05-15,5070,5160,4900,4995,164876,24058.0,4816374.0
2009-05-18,4965,5030,4800,5000,61996,24082.0,4816374.0
2009-05-19,5030,5250,5000,5080,148431,24467.0,4816374.0
2009-05-20,5050,5190,5000,5000,162617,24082.0,4816374.0
2009-05-21,5130,5130,4375,4770,99582,22974.0,4816374.0
2009-05-22,4770,4900,4250,4815,83330,23191.0,4816374.0
2009-05-25,4810,4995,4410,4655,72277,22420.0,4816374.0
