아이원스(114810),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-02-07,5221,5591,4812,4936,9007333,44200.0,8500000.0
2013-02-08,5107,5173,4812,4822,1991111,43180.0,8500000.0
2013-02-12,4888,5021,4656,4670,1294755,41820.0,8500000.0
2013-02-13,4713,5088,4651,4746,2354119,42500.0,8500000.0
2013-02-14,4793,4879,4646,4689,1081013,41990.0,8500000.0
2013-02-15,4708,4736,4585,4594,477913,41140.0,8500000.0
2013-02-18,4632,4632,4442,4538,585939,40630.0,8500000.0
2013-02-19,4537,4684,4509,4613,529972,41310.0,8500000.0
2013-02-20,4585,4585,4442,4481,724839,40120.0,8500000.0
2013-02-21,4480,4803,4480,4623,661432,41395.0,8500000.0
2013-02-22,4613,4784,4518,4708,411096,42160.0,8500000.0
2013-02-25,4670,4741,4566,4613,224163,41310.0,8500000.0
2013-02-26,4566,4599,4480,4585,127684,41055.0,8500000.0
2013-02-27,4651,4727,4556,4699,225061,42075.0,8500000.0
2013-02-28,4698,4741,4622,4623,167970,41395.0,8500000.0
2013-03-04,4618,4646,4528,4528,168217,40545.0,8500000.0
2013-03-05,4556,4622,4494,4571,140510,40928.0,8500000.0
2013-03-06,4622,4765,4580,4594,209390,41140.0,8500000.0
2013-03-07,4632,4869,4556,4851,310981,43435.0,8500000.0
2013-03-08,4812,4869,4727,4746,393381,45333.0,9066666.0
2013-03-11,4736,4983,4689,4917,508572,46965.0,9066666.0
2013-03-12,4926,4964,4850,4936,175346,47147.0,9066666.0
2013-03-13,5002,5202,4907,5088,436777,48597.0,9066666.0
2013-03-14,5088,5173,4926,5079,369868,48507.0,9066666.0
2013-03-15,5031,5126,4860,4927,200609,47056.0,9066666.0
2013-03-18,5021,5021,4850,4898,209718,46784.0,9066666.0
2013-03-19,4917,5135,4869,5079,419923,48507.0,9066666.0
2013-03-20,5126,5306,4917,5107,666261,48779.0,9066666.0
2013-03-21,5107,5258,5107,5240,373137,50048.0,9066666.0
2013-03-22,5164,5315,5164,5221,268779,49867.0,9066666.0
2013-03-25,5353,5410,5240,5268,259330,50320.0,9066666.0
2013-03-26,5211,5277,5107,5155,187268,49232.0,9066666.0
2013-03-27,5154,5296,5154,5164,235182,49323.0,9066666.0
2013-03-28,5145,5268,5126,5231,186502,49957.0,9066666.0
2013-03-29,5258,5268,5135,5202,217888,49685.0,9066666.0
2013-04-01,5221,5221,4926,5079,401958,48507.0,9066666.0
2013-04-02,5078,5107,4888,5022,213245,47963.0,9066666.0
2013-04-03,5021,5363,4945,5297,455807,50592.0,9066666.0
2013-04-04,5221,5363,5031,5325,259689,50864.0,9066666.0
2013-04-05,5325,5572,5268,5420,345036,51771.0,9066666.0
2013-04-08,5391,5458,5107,5221,265625,49867.0,9066666.0
2013-04-09,5221,5353,5059,5306,394510,50683.0,9066666.0
2013-04-10,5315,5534,5277,5496,312198,52496.0,9066666.0
2013-04-11,5553,5762,5458,5696,439274,54400.0,9066666.0
2013-04-12,5923,6265,5857,5886,993335,56213.0,9066666.0
2013-04-15,5999,6065,5809,5867,474672,56032.0,9066666.0
