코미팜(041960),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-10-30,1132,1132,1132,1133,121549,64452.0,7860000.0
2001-10-31,1267,1267,1267,1269,8141,72155.0,7860000.0
2001-11-01,1415,1415,1415,1416,11333,80565.0,7860000.0
2001-11-02,1422,1582,1377,1507,3191798,85674.0,7860000.0
2001-11-05,1464,1568,1359,1479,1165322,84102.0,7860000.0
2001-11-06,1519,1532,1415,1458,628665,82923.0,7860000.0
2001-11-07,1457,1629,1443,1631,899818,92748.0,7860000.0
2001-11-08,1713,1823,1699,1728,1902684,98250.0,7860000.0
2001-11-09,1699,1817,1678,1775,626325,101001.0,7860000.0
2001-11-12,1775,1899,1740,1796,685201,102180.0,7860000.0
2001-11-13,1788,1850,1699,1804,395987,102573.0,7860000.0
2001-11-14,1837,1864,1726,1728,466408,98250.0,7860000.0
2001-11-15,1719,1754,1519,1520,640992,86460.0,7860000.0
2001-11-16,1492,1561,1463,1492,241978,84888.0,7860000.0
2001-11-19,1526,1574,1484,1520,300938,86460.0,7860000.0
2001-11-20,1519,1540,1369,1395,390215,79386.0,7860000.0
2001-11-21,1409,1409,1349,1354,204914,77028.0,7860000.0
2001-11-22,1326,1451,1326,1379,293246,78443.0,7860000.0
2001-11-23,1355,1415,1355,1372,221820,78050.0,7860000.0
2001-11-26,1371,1395,1302,1313,295436,74670.0,7860000.0
2001-11-27,1313,1335,1223,1231,257901,69954.0,7860000.0
2001-11-28,1243,1257,1150,1175,218759,66810.0,7860000.0
2001-11-29,1174,1284,1174,1263,332824,71840.0,7860000.0
2001-11-30,1262,1409,1262,1354,897166,77028.0,7860000.0
2001-12-03,1359,1401,1319,1354,264736,77028.0,7860000.0
2001-12-04,1353,1395,1327,1341,191301,76242.0,7860000.0
2001-12-05,1374,1388,1243,1313,194240,74670.0,7860000.0
2001-12-06,1287,1299,1236,1244,162515,70740.0,7860000.0
2001-12-07,1245,1308,1244,1252,163891,71212.0,7860000.0
2001-12-10,1236,1251,1202,1244,214637,70740.0,7860000.0
2001-12-11,1243,1277,1215,1229,133863,69875.0,7860000.0
2001-12-12,1244,1349,1242,1327,451799,75456.0,7860000.0
2001-12-13,1349,1372,1275,1299,267574,73884.0,7860000.0
2001-12-14,1312,1348,1284,1296,289823,73727.0,7860000.0
2001-12-17,1303,1336,1282,1284,174272,73019.0,7860000.0
