바이오스마트(038460),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-06-22,22004,22004,22004,21999,108,24503.0,7292500.0
2000-06-23,24618,24618,24618,24618,159,27420.0,7292500.0
2000-06-26,27570,27570,27570,27564,196,30701.0,7292500.0
2000-06-27,30843,30843,30843,30837,1002,34348.0,7292500.0
2000-06-28,34507,34507,34507,34502,2440,38431.0,7292500.0
2000-06-29,38636,38636,31105,36009,4455015,40109.0,7292500.0
2000-06-30,34704,37325,34113,37320,1089104,41567.0,7292500.0
2000-07-03,36669,41775,36538,41769,1026774,46526.0,7292500.0
2000-07-04,44780,46745,42684,46745,1021878,52068.0,7292500.0
2000-07-05,46744,51066,41179,41180,1634478,45870.0,7292500.0
2000-07-06,36271,38038,36271,36271,410081,40400.0,7292500.0
2000-07-07,33066,36010,31950,32213,1778061,35879.0,7292500.0
2000-07-10,33129,35554,33129,34043,934358,37921.0,7292500.0
2000-07-11,34378,36014,29989,34701,828796,38650.0,7292500.0
2000-07-12,34704,38633,33391,38628,1273864,43026.0,7292500.0
2000-07-13,38042,41123,35683,37320,1231022,41567.0,7292500.0
2000-07-14,36667,39939,36667,38955,745823,43390.0,7292500.0
2000-07-18,39286,40594,38629,39609,889598,44120.0,7292500.0
2000-07-19,38699,39158,36012,37320,707713,41567.0,7292500.0
2000-07-20,36011,37976,34703,36662,331272,40838.0,7292500.0
2000-07-21,37064,38569,36210,36730,382184,40911.0,7292500.0
2000-07-24,33457,34699,32346,32341,156187,36025.0,7292500.0
2000-07-25,28481,31365,28481,28481,593174,31722.0,7292500.0
2000-07-26,31360,31360,25729,27497,1079413,30628.0,7292500.0
2000-07-27,26909,29918,26909,28808,752005,32087.0,7292500.0
2000-07-28,28217,29727,27500,28808,369574,32087.0,7292500.0
2000-07-31,28876,28876,27174,27891,256749,31066.0,7292500.0
2000-08-01,27825,29527,27628,29199,750288,32525.0,7292500.0
2000-08-02,30447,31952,29265,30770,1205037,34275.0,7292500.0
2000-08-03,31105,34049,30842,32998,974185,36754.0,7292500.0
