배럴(267790),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-02-01,10400,13500,9900,13500,5119464,97414.0,7215846.0
2018-02-02,15000,17550,14400,17550,7110057,126638.0,7215846.0
2018-02-05,18200,19300,14850,14850,3691682,107155.0,7215846.0
2018-02-06,14250,19300,13700,19300,4563545,139266.0,7215846.0
2018-02-07,21700,24950,20250,21000,5705962,151533.0,7215846.0
2018-02-08,20300,24400,19500,21600,2965904,155862.0,7215846.0
2018-02-09,20350,21750,19650,20100,693783,145039.0,7215846.0
2018-02-12,19850,19900,16850,17200,802774,124113.0,7215846.0
2018-02-13,17200,19300,16750,17200,1078511,124113.0,7215846.0
2018-02-14,17200,17350,15750,16100,447899,116175.0,7215846.0
2018-02-19,16400,17100,15800,16300,279007,117618.0,7215846.0
2018-02-20,16200,18000,16150,16550,446029,119422.0,7215846.0
2018-02-21,16800,16800,15750,16050,173956,115814.0,7215846.0
2018-02-22,16300,17000,16000,16750,282114,120865.0,7215846.0
2018-02-23,16750,17100,16250,17100,200652,123391.0,7215846.0
2018-02-26,17350,17550,16900,16950,226797,122309.0,7215846.0
2018-02-27,17150,17150,16100,16550,184785,119422.0,7215846.0
2018-02-28,16550,16550,15300,15500,171754,111846.0,7215846.0
2018-03-02,14800,14850,13950,14450,408282,104269.0,7215846.0
2018-03-05,14250,14500,14000,14250,92427,102826.0,7215846.0
2018-03-06,14450,14850,13900,14250,107588,102826.0,7215846.0
2018-03-07,14400,16200,14200,14550,888291,104991.0,7215846.0
2018-03-08,14450,15350,14300,15100,205432,108959.0,7215846.0
2018-03-09,15000,16250,15000,15300,434570,110402.0,7215846.0
2018-03-12,15500,15650,15050,15150,203788,109320.0,7215846.0
2018-03-13,15350,16000,15250,15450,310069,111485.0,7215846.0
2018-03-14,15400,15650,14650,14850,198837,107155.0,7215846.0
2018-03-15,15150,15150,14250,14400,152577,103908.0,7215846.0
2018-03-16,14450,14500,14000,14250,89916,102826.0,7215846.0
2018-03-19,14250,14450,13500,13800,177329,99579.0,7215846.0
2018-03-20,13700,17100,13500,14800,2858866,106795.0,7215846.0
2018-03-21,14950,15300,14550,15150,401842,109320.0,7215846.0
2018-03-22,15400,15950,14850,15350,451787,110763.0,7215846.0
2018-03-23,15450,16800,15000,15000,1211007,108238.0,7215846.0
2018-03-26,14600,15150,14250,14850,192540,107155.0,7215846.0
2018-03-27,15200,16600,15150,16300,1015930,117618.0,7215846.0
2018-03-28,16050,17100,15900,16550,532217,119422.0,7215846.0
2018-03-29,16800,16850,15850,16300,292122,117618.0,7215846.0
2018-03-30,16550,17050,16050,16050,449650,115814.0,7215846.0
2018-04-02,16100,16550,15650,16050,232362,115814.0,7215846.0
2018-04-03,15700,16200,15700,16150,177486,116536.0,7215846.0
2018-04-04,16350,18250,16250,16850,1460858,121587.0,7215846.0
2018-04-05,17400,17400,16500,17150,299538,123752.0,7215846.0
2018-04-06,17350,18450,16700,16900,1062594,121948.0,7215846.0
2018-04-09,17050,17350,16600,16850,346143,121587.0,7215846.0
2018-04-10,17150,18250,17100,17150,622961,123752.0,7215846.0
2018-04-11,17250,17350,16650,16950,237158,122309.0,7215846.0
2018-04-12,16900,17550,16650,17100,271094,123391.0,7215846.0
2018-04-13,17400,17950,16900,17400,333061,125556.0,7215846.0
2018-04-16,17700,17850,16950,17300,356618,124834.0,7215846.0
2018-04-17,17450,18250,17050,18250,671526,131689.0,7215846.0
2018-04-18,18400,19000,17900,19000,768590,137101.0,7215846.0
2018-04-19,19100,20350,18450,18900,918013,136379.0,7215846.0
2018-04-20,18800,19650,18600,19250,257885,138905.0,7215846.0
2018-04-23,19100,20750,18900,20050,564231,144678.0,7215846.0
2018-04-24,20050,20500,19450,20350,223614,146842.0,7215846.0
2018-04-25,20300,20800,19150,19200,316662,138544.0,7215846.0
2018-04-26,19500,20100,18950,19200,236344,138544.0,7215846.0
2018-04-27,19350,19550,18700,19150,163786,138183.0,7215846.0
2018-04-30,18850,19200,17700,18300,308101,132050.0,7215846.0
2018-05-02,18100,19250,17500,19250,231591,138905.0,7215846.0
2018-05-03,19600,20100,19300,19650,391868,141791.0,7215846.0
2018-05-04,19700,20000,19200,19950,186376,143956.0,7215846.0
2018-05-08,20150,21250,20000,20050,458384,144678.0,7215846.0
2018-05-09,20300,20700,19450,20400,210603,147203.0,7215846.0
2018-05-10,20400,20750,19500,19550,149435,141070.0,7215846.0
2018-05-11,19550,19850,19100,19600,103805,141431.0,7215846.0
2018-05-14,19600,19600,18700,18700,161374,134936.0,7215846.0
2018-05-15,18500,18850,17900,18450,139177,133132.0,7215846.0
2018-05-16,17900,18450,17050,17300,257738,124834.0,7215846.0
2018-05-17,17350,18300,17300,17700,145438,127720.0,7215846.0
2018-05-18,18000,18450,17500,18350,76300,132411.0,7215846.0
2018-05-21,18600,18600,18200,18550,59784,133854.0,7215846.0
2018-05-23,18650,18850,18250,18450,75478,133132.0,7215846.0
2018-05-24,18550,18950,18150,18950,115788,136740.0,7215846.0
2018-05-25,18850,20700,18350,20400,448869,147203.0,7215846.0
2018-05-28,21100,24000,20700,23500,1212592,169572.0,7215846.0
2018-05-29,23350,23600,22650,22900,317187,165243.0,7215846.0
2018-05-30,22900,23650,22000,23400,283222,168851.0,7215846.0
2018-05-31,23650,25500,23500,23600,733596,170294.0,7215846.0
2018-06-01,23950,24500,22600,24300,286897,175345.0,7215846.0
2018-06-04,24350,25350,24050,24050,175385,173541.0,7215846.0
2018-06-05,24100,24500,22850,23350,149224,168490.0,7215846.0
2018-06-07,23900,24100,22900,23950,161059,172820.0,7215846.0
2018-06-08,24250,27400,23100,23400,1320773,168851.0,7215846.0
2018-06-11,23500,24900,23500,24250,203117,174984.0,7215846.0
2018-06-12,24450,26000,24300,24600,442635,177510.0,7215846.0
2018-06-14,24350,26000,24200,25450,286033,183643.0,7215846.0
2018-06-15,26050,26600,25000,25500,213079,184004.0,7215846.0
2018-06-18,25650,26600,25450,26400,330880,190498.0,7215846.0
2018-06-19,26500,27750,26150,26500,332189,191220.0,7215846.0
2018-06-20,26500,27700,26200,27550,187825,198797.0,7215846.0
2018-06-21,27900,29450,27450,28900,369799,208538.0,7215846.0
2018-06-22,29000,31500,24400,25350,843901,182922.0,7215846.0
2018-06-25,25800,29300,25500,28600,679582,206373.0,7215846.0
2018-06-26,28150,28200,25450,26400,401014,190498.0,7215846.0
2018-06-27,26400,27550,24250,24500,921467,176788.0,7215846.0
2018-06-28,23900,24350,22100,22350,395865,161274.0,7215846.0
2018-06-29,22650,23350,20650,21800,479605,157305.0,7215846.0
2018-07-02,21850,23100,21150,21800,349969,157305.0,7215846.0
2018-07-03,22150,23750,21850,22450,377549,161996.0,7215846.0
2018-07-04,22750,22800,21000,22100,200897,159470.0,7215846.0
2018-07-05,22450,22450,20900,20900,173830,150811.0,7215846.0
2018-07-06,20950,21500,19800,21500,193692,155141.0,7215846.0
2018-07-09,21550,21650,20300,20400,198855,147203.0,7215846.0
2018-07-10,20600,21300,20100,20500,177842,147925.0,7215846.0
2018-07-11,20550,20650,19650,19700,142674,142152.0,7215846.0
2018-07-12,19950,20100,19650,19700,82236,142152.0,7215846.0
2018-07-13,19750,19800,18700,18950,269006,136740.0,7215846.0
2018-07-16,19200,19350,18700,19250,108325,138905.0,7215846.0
2018-07-17,19200,19250,17650,17850,434899,128803.0,7215846.0
2018-07-18,17650,17850,15500,16150,793919,116536.0,7215846.0
2018-07-19,15900,16050,14550,15100,553826,108959.0,7215846.0
2018-07-20,15050,15550,14500,14900,306747,107516.0,7215846.0
2018-07-23,15050,15050,13850,13900,264146,100300.0,7215846.0
2018-07-24,14100,14400,13850,13950,203873,100661.0,7215846.0
2018-07-25,14200,14650,13700,14100,231855,101743.0,7215846.0
2018-07-26,14550,15250,14500,14800,493835,106795.0,7215846.0
2018-07-27,14650,15100,14500,15050,132039,108598.0,7215846.0
2018-07-30,14850,14950,14450,14750,112067,106434.0,7215846.0
2018-07-31,14600,14750,14050,14200,132716,102465.0,7215846.0
2018-08-01,14150,14950,14100,14950,152224,116031.0,7761300.0
2018-08-02,14950,15350,14550,14550,185091,112927.0,7761300.0
2018-08-03,14750,15100,14500,14850,86594,115255.0,7761300.0
2018-08-06,15100,15150,14400,14500,83836,112539.0,7761300.0
2018-08-07,14500,14750,14150,14650,71295,113703.0,7761300.0
2018-08-08,14550,14750,14400,14500,57352,112539.0,7761300.0
2018-08-09,14500,14650,14250,14500,54124,112539.0,7761300.0
2018-08-10,14500,14600,14100,14250,64838,110599.0,7761300.0
2018-08-13,14400,14400,13200,13250,138976,102837.0,7761300.0
2018-08-14,13200,13650,12850,13000,121654,100897.0,7761300.0
2018-08-16,12650,13050,12250,12950,138959,100509.0,7761300.0
2018-08-17,12950,13500,12850,13150,85221,102061.0,7761300.0
2018-08-20,13400,13400,12800,12900,87329,100121.0,7761300.0
2018-08-21,12900,13150,12700,13100,88228,101673.0,7761300.0
2018-08-22,13050,13200,12900,13100,83640,101673.0,7761300.0
2018-08-23,13100,13100,12800,12900,56443,100121.0,7761300.0
2018-08-24,12900,12900,12550,12650,90158,98180.0,7761300.0
2018-08-27,12650,12700,12550,12650,50435,98180.0,7761300.0
2018-08-28,12750,16400,12750,16400,5294319,127285.0,7761300.0
2018-08-29,17600,19300,16850,17300,5088617,134270.0,7761300.0
2018-08-30,17100,17700,17000,17400,1446040,135047.0,7761300.0
2018-08-31,17400,18100,17050,17950,1542787,139315.0,7761300.0
2018-09-03,17550,17800,17000,17450,652595,135435.0,7761300.0
2018-09-04,17900,18350,17300,17550,1310933,136211.0,7761300.0
2018-09-05,17700,17800,17200,17200,480400,133494.0,7761300.0
2018-09-06,17350,17700,16800,17700,502721,137375.0,7761300.0
2018-09-07,17400,17550,17150,17300,286609,134270.0,7761300.0
2018-09-10,17650,17650,16400,16650,427665,129226.0,7761300.0
2018-09-11,16550,16900,16100,16600,272538,128838.0,7761300.0
2018-09-12,16650,17100,16400,16950,380748,131554.0,7761300.0
2018-09-13,17150,18250,17050,17650,1902872,136987.0,7761300.0
2018-09-14,17950,19450,17050,17250,2746941,133882.0,7761300.0
2018-09-17,17350,17700,16750,16800,545984,130390.0,7761300.0
2018-09-18,16800,17750,16500,17450,642523,135435.0,7761300.0
2018-09-19,17400,18050,17200,17850,593710,138539.0,7761300.0
2018-09-20,17750,18000,17000,17050,420465,132330.0,7761300.0
2018-09-21,17250,17650,16200,16550,431040,128450.0,7761300.0
2018-09-27,16300,16400,15550,15750,312880,122240.0,7761300.0
2018-09-28,15650,17050,15600,15700,635279,121852.0,7761300.0
2018-10-01,15700,15750,14650,14700,294493,114091.0,7761300.0
2018-10-02,14600,14850,14350,14350,151363,111375.0,7761300.0
2018-10-04,14300,14700,14000,14600,145764,113315.0,7761300.0
2018-10-05,14250,14500,13450,13550,177066,105166.0,7761300.0
2018-10-08,13400,14000,13250,13500,74229,104778.0,7761300.0
2018-10-10,13400,13750,12800,12800,95715,99345.0,7761300.0
2018-10-11,12000,12600,11450,11450,226556,88867.0,7761300.0
2018-10-12,11050,12400,11050,12300,265666,95464.0,7761300.0
2018-10-15,12600,12650,12000,12000,76963,93136.0,7761300.0
2018-10-16,12000,12450,12000,12300,46364,95464.0,7761300.0
2018-10-17,13100,15300,12750,12750,1895486,98957.0,7761300.0
2018-10-18,13100,13200,12050,12600,207022,97792.0,7761300.0
2018-10-19,12400,14400,12400,13150,1318789,102061.0,7761300.0
2018-10-22,12850,13600,12700,13400,205816,104001.0,7761300.0
2018-10-23,13500,14250,12900,13200,512574,102449.0,7761300.0
2018-10-24,13350,13750,12250,12250,236121,95076.0,7761300.0
2018-10-25,11600,12300,11300,11700,222713,90807.0,7761300.0
2018-10-26,11900,12150,10850,11100,196582,86150.0,7761300.0
2018-10-29,10800,11250,9500,9500,226299,73732.0,7761300.0
2018-10-30,8800,9930,8750,9930,263568,77070.0,7761300.0
2018-10-31,10150,10750,10050,10100,181591,78389.0,7761300.0
2018-11-01,10400,11050,10300,10650,147635,82658.0,7761300.0
2018-11-02,10750,11400,10750,11250,130805,87315.0,7761300.0
2018-11-05,11050,11500,10800,11400,84263,88479.0,7761300.0
2018-11-06,11450,11550,11000,11200,60487,86927.0,7761300.0
2018-11-07,11250,12100,10700,11000,177999,85374.0,7761300.0
2018-11-08,11250,11600,11200,11350,80903,88091.0,7761300.0
2018-11-09,11250,11350,11000,11250,48173,87315.0,7761300.0
2018-11-12,11000,11200,10850,11000,48650,85374.0,7761300.0
2018-11-13,10700,11250,10700,11200,63865,86927.0,7761300.0
2018-11-14,11300,11500,10950,11250,61408,87315.0,7761300.0
2018-11-15,11100,11300,10800,11150,38133,86538.0,7761300.0
2018-11-16,11300,11450,11150,11250,54744,87315.0,7761300.0
2018-11-19,11250,11750,11250,11550,101122,89643.0,7761300.0
2018-11-20,11200,11500,11000,11100,69776,86150.0,7761300.0
2018-11-21,11100,11250,10750,11050,72880,85762.0,7761300.0
2018-11-22,11150,11450,11050,11100,67912,86150.0,7761300.0
2018-11-23,11150,13100,11150,11350,1063716,88091.0,7761300.0
2018-11-26,11300,11700,11250,11600,184362,90031.0,7761300.0
2018-11-27,11650,11750,11350,11450,131126,88867.0,7761300.0
2018-11-28,11500,11700,11350,11550,122667,89643.0,7761300.0
2018-11-29,11700,11700,11050,11150,151214,86538.0,7761300.0
2018-11-30,11200,11400,10650,10800,175238,83822.0,7761300.0
2018-12-03,10950,11050,10750,10850,67537,84210.0,7761300.0
2018-12-04,10900,11050,10750,11050,51698,85762.0,7761300.0
2018-12-05,10700,11050,10700,10800,62920,83822.0,7761300.0
2018-12-06,10850,10900,10200,10300,82543,79941.0,7761300.0
2018-12-07,10300,11300,10250,10500,142034,81494.0,7761300.0
2018-12-10,10300,10650,10300,10500,38883,81494.0,7761300.0
2018-12-11,10500,10600,10250,10300,42084,79941.0,7761300.0
2018-12-12,10250,10450,10200,10250,41572,79553.0,7761300.0
2018-12-13,10300,10800,10250,10700,51546,83046.0,7761300.0
2018-12-14,10550,10600,9980,10100,98666,78389.0,7761300.0
2018-12-17,10100,10150,9700,10000,52412,77613.0,7761300.0
2018-12-18,9800,10050,9770,9980,37905,77458.0,7761300.0
2018-12-19,9880,10200,9880,9960,35123,77303.0,7761300.0
2018-12-20,9930,10150,9780,9920,35922,76992.0,7761300.0
2018-12-21,9820,10050,9820,9960,31543,77303.0,7761300.0
2018-12-24,9820,9980,9570,9600,39743,74508.0,7761300.0
2018-12-26,8980,9460,8980,9120,55915,70783.0,7761300.0
2018-12-27,9250,9500,9170,9230,39404,71637.0,7761300.0
2018-12-28,10050,11050,9980,9980,1050694,77458.0,7761300.0
2019-01-02,10150,10150,9680,9680,117314,75129.0,7761300.0
2019-01-03,9560,9750,9280,9350,88871,72568.0,7761300.0
2019-01-04,9180,9650,9160,9550,57050,74120.0,7761300.0
2019-01-07,9630,9890,9630,9710,66765,75362.0,7761300.0
2019-01-08,9710,10000,9660,9800,54192,76061.0,7761300.0
2019-01-09,9720,10200,9720,10100,69015,78389.0,7761300.0
2019-01-10,10150,10200,9980,9980,46705,77458.0,7761300.0
2019-01-11,10000,10400,9900,10200,92826,79165.0,7761300.0
2019-01-14,10100,10350,10050,10350,51767,80329.0,7761300.0
2019-01-15,10300,10450,10200,10200,70043,79165.0,7761300.0
2019-01-16,10300,10300,10000,10100,76411,78389.0,7761300.0
2019-01-17,10150,10500,10100,10150,79290,78777.0,7761300.0
2019-01-18,10150,11400,10150,10750,338062,83434.0,7761300.0
2019-01-21,10800,11350,10500,11350,255285,88091.0,7761300.0
2019-01-22,11350,11750,11200,11350,174071,88091.0,7761300.0
2019-01-23,11200,12250,11200,11800,339481,91583.0,7761300.0
2019-01-24,11950,12000,11500,11800,108391,91583.0,7761300.0
2019-01-25,11900,12300,11850,12000,296772,93136.0,7761300.0
2019-01-28,12150,12150,11550,11650,92296,90419.0,7761300.0
2019-01-29,11550,11650,11250,11400,84752,88479.0,7761300.0
2019-01-30,11400,12300,11400,11750,385633,91195.0,7761300.0
2019-01-31,11800,12300,11500,11800,76867,91583.0,7761300.0
2019-02-01,11800,12000,11650,12000,126586,93136.0,7761300.0
2019-02-07,12150,12300,11800,11950,107253,92748.0,7761300.0
2019-02-08,11950,12200,11800,11800,120040,91583.0,7761300.0
2019-02-11,11700,11950,11650,11800,41254,91583.0,7761300.0
2019-02-12,11800,11900,11650,11700,33928,90807.0,7761300.0
2019-02-13,11650,11850,11500,11700,55991,90807.0,7761300.0
2019-02-14,11600,12300,11600,12100,133585,93912.0,7761300.0
2019-02-15,12300,12300,11850,11950,44456,92748.0,7761300.0
2019-02-18,12000,13150,11900,12750,732025,98957.0,7761300.0
2019-02-19,12550,12900,12500,12650,149056,98180.0,7761300.0
2019-02-20,12800,12950,12500,12800,131220,99345.0,7761300.0
2019-02-21,12950,14050,12850,13100,911875,101673.0,7761300.0
2019-02-22,13250,13650,13000,13600,192568,105554.0,7761300.0
2019-02-25,13750,14100,13400,13650,285933,105942.0,7761300.0
2019-02-26,13800,13800,13450,13700,90099,106330.0,7761300.0
2019-02-27,13850,14300,13700,13950,228783,108270.0,7761300.0
2019-02-28,14100,14350,13400,13400,153078,104001.0,7761300.0
2019-03-04,13600,14300,13600,14300,213509,110987.0,7761300.0
2019-03-05,14150,14950,14150,14600,256248,113315.0,7761300.0
2019-03-06,14600,14850,14150,14850,159377,115255.0,7761300.0
2019-03-07,14750,15300,14650,15000,247169,116420.0,7761300.0
2019-03-08,15000,16800,15000,16200,912519,125733.0,7761300.0
2019-03-11,16350,16450,15750,16100,363086,124957.0,7761300.0
2019-03-12,16300,16450,15900,16100,209585,124957.0,7761300.0
2019-03-13,16250,16700,16100,16600,207414,128838.0,7761300.0
2019-03-14,16700,17150,16100,16300,260138,126509.0,7761300.0
2019-03-15,16450,16700,16150,16450,134883,127673.0,7761300.0
2019-03-18,16600,16850,16300,16550,100292,128450.0,7761300.0
2019-03-19,16550,16600,16100,16250,102916,126121.0,7761300.0
2019-03-20,16250,16650,15350,16650,188164,129226.0,7761300.0
2019-03-21,16650,16650,16250,16300,96130,126509.0,7761300.0
2019-03-22,16300,16550,16100,16400,86896,127285.0,7761300.0
2019-03-25,16150,16250,15750,15850,135584,123017.0,7761300.0
2019-03-26,15800,16600,15750,16600,124661,128838.0,7761300.0
2019-03-27,16600,17600,16450,17100,297105,132718.0,7761300.0
2019-03-28,17250,17400,16650,16650,142727,129226.0,7761300.0
2019-03-29,16750,17150,15950,16400,159790,127285.0,7761300.0
2019-04-01,16500,16750,16100,16450,114673,127673.0,7761300.0
2019-04-02,16700,16850,16050,16100,110920,124957.0,7761300.0
2019-04-03,16100,16250,15750,15750,101768,122240.0,7761300.0
2019-04-04,15750,16150,15600,15800,83149,122629.0,7761300.0
2019-04-05,16000,16650,15700,15700,184749,121852.0,7761300.0
2019-04-08,15750,16100,15400,15800,118325,122629.0,7761300.0
2019-04-09,15900,16200,15800,15950,67824,123793.0,7761300.0
2019-04-10,15900,15950,15650,15900,38712,123405.0,7761300.0
2019-04-11,15900,16650,15750,16550,249994,128450.0,7761300.0
2019-04-12,16750,20400,16700,18150,3509063,140868.0,7761300.0
2019-04-15,18150,18400,17750,18150,452063,140868.0,7761300.0
2019-04-16,18100,20150,16800,17000,2363802,131942.0,7761300.0
2019-04-17,17100,17900,16700,16850,502027,130778.0,7761300.0
2019-04-18,16950,17550,16800,17100,322785,132718.0,7761300.0
2019-04-19,17100,17500,16900,17150,178604,133106.0,7761300.0
2019-04-22,17150,17400,17000,17400,145289,135047.0,7761300.0
2019-04-23,17500,17800,17150,17200,228884,133494.0,7761300.0
2019-04-24,17350,17350,16800,16950,114427,131554.0,7761300.0
2019-04-25,16700,16950,16550,16550,94915,128450.0,7761300.0
2019-04-26,16200,16350,15500,15950,197668,123793.0,7761300.0
2019-04-29,15950,16250,15800,15850,59834,123017.0,7761300.0
2019-04-30,15900,16000,15500,15800,102889,122629.0,7761300.0
2019-05-02,15700,16850,15700,16500,175553,128061.0,7761300.0
2019-05-03,16500,16750,16150,16500,88948,128061.0,7761300.0
2019-05-07,16050,16300,15900,15950,89286,123793.0,7761300.0
2019-05-08,15850,15900,15350,15700,95355,121852.0,7761300.0
2019-05-09,15750,15750,14400,14400,208384,111763.0,7761300.0
2019-05-10,14350,15200,14350,15050,197888,116808.0,7761300.0
2019-05-13,15050,15400,14550,14550,73683,112927.0,7761300.0
2019-05-14,14200,15000,13300,15000,87825,116420.0,7761300.0
2019-05-15,15000,15450,14800,15050,62551,116808.0,7761300.0
2019-05-16,15400,15400,14450,14600,101323,113315.0,7761300.0
2019-05-17,14650,14850,14000,14000,99527,108658.0,7761300.0
2019-05-20,14000,14600,13800,14300,76351,110987.0,7761300.0
2019-05-21,14300,15150,14300,14950,114802,116031.0,7761300.0
2019-05-22,14850,16500,14850,16050,744690,124569.0,7761300.0
2019-05-23,16150,16800,15900,16700,429853,129614.0,7761300.0
2019-05-24,16900,17650,16850,16900,575560,131166.0,7761300.0
2019-05-27,17000,17250,16300,16900,212411,131166.0,7761300.0
2019-05-28,17000,17450,16950,17200,263694,133494.0,7761300.0
2019-05-29,17150,17200,16500,16700,142713,129614.0,7761300.0
2019-05-30,16550,17350,16350,16750,252205,130002.0,7761300.0
2019-05-31,16750,16900,16000,16000,199715,124181.0,7761300.0
2019-06-03,16050,16150,15600,15700,121851,121852.0,7761300.0
2019-06-04,15700,16050,15650,15650,86518,121464.0,7761300.0
2019-06-05,15700,15750,15150,15350,159138,119136.0,7761300.0
2019-06-07,15350,15550,14850,15100,139037,117196.0,7761300.0
2019-06-10,15300,15500,15050,15150,107522,117584.0,7761300.0
2019-06-11,15250,15300,14900,15050,92505,116808.0,7761300.0
2019-06-12,15050,15350,14900,15350,110312,119136.0,7761300.0
2019-06-13,15500,15500,15100,15200,67082,117972.0,7761300.0
2019-06-14,15150,15250,14950,15000,78198,116420.0,7761300.0
2019-06-17,15100,15250,14550,14700,87831,114091.0,7761300.0
2019-06-18,14700,14950,14300,14300,101855,110987.0,7761300.0
2019-06-19,14350,14850,14300,14700,113045,114091.0,7761300.0
2019-06-20,14700,15250,14600,15200,109674,117972.0,7761300.0
2019-06-21,15200,15350,14950,15000,70488,116420.0,7761300.0
2019-06-24,15450,15600,15100,15100,201306,117196.0,7761300.0
2019-06-25,15250,15300,14350,14350,161720,111375.0,7761300.0
2019-06-26,14300,14850,14300,14550,105923,112927.0,7761300.0
2019-06-27,14550,14650,14200,14300,76248,110987.0,7761300.0
2019-06-28,14300,14500,13550,14200,102041,110210.0,7761300.0
2019-07-01,14000,14300,14000,14150,56445,109822.0,7761300.0
2019-07-02,14050,14250,14050,14100,33243,109434.0,7761300.0
2019-07-03,14050,14550,14050,14450,68897,112151.0,7761300.0
2019-07-04,14750,14750,14300,14450,54439,112151.0,7761300.0
2019-07-05,14350,15200,14300,14700,180174,114091.0,7761300.0
2019-07-08,14600,14750,13650,13650,115760,105942.0,7761300.0
2019-07-09,13500,13950,12800,12900,145698,100121.0,7761300.0
2019-07-10,12850,13300,12650,12900,86631,100121.0,7761300.0
2019-07-11,12900,13100,12850,12900,49558,100121.0,7761300.0
2019-07-12,12900,13400,12800,13000,78013,101635.0,7818100.0
2019-07-15,13150,13150,11750,11850,142189,92644.0,7818100.0
2019-07-16,11850,12850,11850,12600,199989,98508.0,7818100.0
