에이텍티앤(224110),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-08-25,8750,8770,6970,7240,1461920,38662.0,5340000.0
2015-08-26,7350,7600,7030,7180,618018,38341.0,5340000.0
2015-08-27,7360,7450,6960,7060,332873,37700.0,5340000.0
2015-08-28,7100,7220,7010,7130,164144,38074.0,5340000.0
2015-08-31,7110,7150,6760,6800,156822,36312.0,5340000.0
2015-09-01,6750,6850,6440,6620,155741,35351.0,5340000.0
2015-09-02,6320,7240,6320,6960,830269,37166.0,5340000.0
2015-09-03,6960,7060,6740,6800,242179,36312.0,5340000.0
2015-09-04,6910,8250,6800,7130,2232325,38074.0,5340000.0
2015-09-07,7200,9260,7160,9260,3936065,49448.0,5340000.0
2015-09-08,10000,12000,9570,10250,5395468,54735.0,5340000.0
2015-09-09,10550,10750,9800,10500,1823924,56070.0,5340000.0
2015-09-10,10250,11600,10100,11150,1425492,59541.0,5340000.0
2015-09-11,10700,10900,10300,10300,745498,55002.0,5340000.0
2015-09-14,10050,10300,9330,9510,869218,50783.0,5340000.0
2015-09-15,9510,9840,9310,9620,479468,51371.0,5340000.0
2015-09-16,9750,9800,9460,9740,451353,52012.0,5340000.0
2015-09-17,9740,10450,8860,9030,962919,48220.0,5340000.0
2015-09-18,9100,10250,8810,9550,817147,50997.0,5340000.0
2015-09-21,9810,12400,9630,12400,2277588,66216.0,5340000.0
2015-09-22,13450,15850,13050,14000,3952654,74760.0,5340000.0
2015-09-23,13700,14150,12450,13300,1005911,71022.0,5340000.0
2015-09-24,13300,13600,12700,13250,653023,70755.0,5340000.0
2015-09-25,12900,13300,12550,12850,355428,68619.0,5340000.0
2015-09-30,12600,12800,11800,12550,341095,67017.0,5340000.0
2015-10-01,12700,13550,12400,13250,1081580,70755.0,5340000.0
2015-10-02,13500,13600,12800,13300,390722,71022.0,5340000.0
2015-10-05,13300,13300,12600,12600,248354,67284.0,5340000.0
2015-10-06,12800,13100,12400,12600,215404,67284.0,5340000.0
2015-10-07,12950,14800,12950,13200,1196761,70488.0,5340000.0
2015-10-08,13250,13500,12050,12150,454035,64881.0,5340000.0
2015-10-12,12300,12600,11800,11850,190881,63279.0,5340000.0
2015-10-13,12000,12050,11350,11850,315821,63279.0,5340000.0
2015-10-14,11850,12200,11500,11550,145035,61677.0,5340000.0
2015-10-15,11450,12700,11200,11900,266207,63546.0,5340000.0
2015-10-16,12000,12500,11700,11750,157878,62745.0,5340000.0
2015-10-19,11900,11950,11550,11750,80383,62745.0,5340000.0
2015-10-20,11750,12400,11600,11950,172482,63813.0,5340000.0
2015-10-21,11600,11800,11250,11250,233070,60075.0,5340000.0
2015-10-22,11800,12100,11200,11200,199256,59808.0,5340000.0
2015-10-23,11350,11800,10950,11050,130165,59007.0,5340000.0
2015-10-26,11350,12450,11350,11950,275075,63813.0,5340000.0
2015-10-27,11950,12650,11600,11950,302149,63813.0,5340000.0
2015-10-28,11750,11900,11450,11500,132406,61410.0,5340000.0
2015-10-29,11450,11650,11100,11200,101806,59808.0,5340000.0
2015-10-30,11100,11300,10400,10600,165626,56604.0,5340000.0
2015-11-02,10550,10850,10050,10700,87068,57138.0,5340000.0
2015-11-03,10800,11050,10550,10750,50719,57405.0,5340000.0
2015-11-04,10700,11100,10350,10900,58735,58206.0,5340000.0
2015-11-05,11400,11400,10700,11100,59816,59274.0,5340000.0
2015-11-06,10900,10950,10550,10600,67231,56604.0,5340000.0
2015-11-09,10600,10750,10000,10300,78386,55002.0,5340000.0
2015-11-10,10000,10300,9700,9740,86257,52012.0,5340000.0
2015-11-11,9610,10200,9610,9980,57593,53293.0,5340000.0
2015-11-12,9910,10100,9820,9850,41484,52599.0,5340000.0
2015-11-13,9670,9880,9510,9750,35451,52065.0,5340000.0
2015-11-16,9490,9680,9000,9000,49034,48060.0,5340000.0
2015-11-17,9000,9250,8950,8980,61038,47953.0,5340000.0
2015-11-18,9250,9250,8910,9190,40092,49075.0,5340000.0
2015-11-19,9190,9630,9150,9580,31714,51157.0,5340000.0
2015-11-20,9500,10600,9500,9810,132067,52385.0,5340000.0
2015-11-23,10050,10200,9800,9800,52625,52332.0,5340000.0
2015-11-24,9820,9980,9800,9800,42521,52332.0,5340000.0
2015-11-25,9900,10650,9900,10250,144246,54735.0,5340000.0
2015-11-26,10300,10400,10000,10300,53660,55002.0,5340000.0
2015-11-27,10350,10350,10150,10250,22729,54735.0,5340000.0
2015-11-30,10250,10300,10000,10150,40218,54201.0,5340000.0
2015-12-01,10150,10600,10150,10350,58774,55269.0,5340000.0
2015-12-02,10350,10400,10050,10050,31073,53667.0,5340000.0
2015-12-03,10000,10200,9800,10150,26017,54201.0,5340000.0
2015-12-04,10000,10000,9500,9910,25354,52919.0,5340000.0
2015-12-07,10050,10100,9800,9980,25223,53293.0,5340000.0
2015-12-08,9940,10400,9850,9850,65504,52599.0,5340000.0
2015-12-09,9950,10000,9530,9530,28576,50890.0,5340000.0
2015-12-10,9520,9620,9030,9230,36374,49288.0,5340000.0
2015-12-11,9080,9220,8990,9150,42326,48861.0,5340000.0
2015-12-14,8950,8950,8220,8340,43486,44536.0,5340000.0
2015-12-15,8100,8310,8100,8160,21521,43574.0,5340000.0
2015-12-16,8170,8470,8170,8370,17571,44696.0,5340000.0
2015-12-17,8520,8630,8380,8450,14029,45123.0,5340000.0
2015-12-18,8500,8900,8400,8890,27710,47473.0,5340000.0
2015-12-21,8880,8880,8600,8790,8052,46939.0,5340000.0
2015-12-22,8850,8880,8560,8720,33082,46565.0,5340000.0
2015-12-23,8760,9210,8500,8910,27535,47579.0,5340000.0
2015-12-24,9000,9090,8700,8710,8798,46511.0,5340000.0
2015-12-28,8550,8960,8550,8660,29410,46244.0,5340000.0
2015-12-29,8650,8860,8550,8800,32273,46992.0,5340000.0
2015-12-30,8860,8940,8700,8850,35616,47259.0,5340000.0
2016-01-04,8890,8890,8720,8840,10958,47206.0,5340000.0
2016-01-05,8600,9140,8600,9100,34504,48594.0,5340000.0
2016-01-06,9050,9900,8980,9730,63964,51958.0,5340000.0
2016-01-07,10400,11400,9700,9700,483574,51798.0,5340000.0
2016-01-08,9470,9800,9280,9750,54313,52065.0,5340000.0
2016-01-11,9750,9750,9420,9450,40910,50463.0,5340000.0
2016-01-12,9480,9790,9400,9450,28047,50463.0,5340000.0
2016-01-13,9630,9700,9410,9690,23748,51745.0,5340000.0
2016-01-14,9470,10550,9420,10000,208685,53400.0,5340000.0
2016-01-15,10300,10300,9660,9660,47193,51584.0,5340000.0
2016-01-18,9660,10050,9600,9830,27298,52492.0,5340000.0
2016-01-19,9830,9980,9670,9750,23717,52065.0,5340000.0
2016-01-20,9750,9920,9450,9460,40858,50516.0,5340000.0
2016-01-21,9500,9640,9450,9510,17406,50783.0,5340000.0
2016-01-22,9510,9660,9400,9470,23012,50570.0,5340000.0
2016-01-25,9510,9510,9320,9440,21074,50410.0,5340000.0
2016-01-26,9440,9540,9330,9340,11705,49876.0,5340000.0
2016-01-27,9450,9500,9100,9100,18073,48594.0,5340000.0
2016-01-28,9100,9290,8960,9200,18768,49128.0,5340000.0
2016-01-29,9200,9210,9050,9160,33200,48914.0,5340000.0
2016-02-01,9180,9230,9080,9090,25130,48541.0,5340000.0
2016-02-02,9100,9100,9000,9010,22893,48113.0,5340000.0
2016-02-03,9010,9080,8980,9000,10721,48060.0,5340000.0
2016-02-04,9000,9090,8870,8980,21692,47953.0,5340000.0
2016-02-05,8980,9040,8910,8960,6616,47846.0,5340000.0
2016-02-11,8850,8890,8520,8520,15527,45497.0,5340000.0
2016-02-12,8070,8500,7710,7950,61230,42453.0,5340000.0
2016-02-15,7950,8350,7950,8280,21743,44215.0,5340000.0
2016-02-16,8210,8500,8210,8450,16925,45123.0,5340000.0
2016-02-17,8450,8750,8220,8350,7813,44589.0,5340000.0
2016-02-18,8520,8550,8350,8410,18925,44909.0,5340000.0
2016-02-19,8350,8600,8350,8510,14301,45443.0,5340000.0
2016-02-22,8630,9000,8500,8890,28938,47473.0,5340000.0
2016-02-23,8890,9000,8780,8780,10948,46885.0,5340000.0
2016-02-24,8850,9070,8830,8900,16070,47526.0,5340000.0
2016-02-25,8940,8940,8820,8820,10536,47099.0,5340000.0
