와이솔(122990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-09-10,4225,4859,3644,4861,2331721,84456.0,10200000.0
2010-09-13,5381,5586,5318,5591,1667604,97104.0,10200000.0
2010-09-14,6397,6397,5868,6048,4235807,105060.0,10200000.0
2010-09-15,5899,6427,5381,5713,2708859,99246.0,10200000.0
2010-09-16,5845,6074,5576,5959,1403048,103530.0,10200000.0
2010-09-17,5958,6074,5515,5538,969800,96186.0,10200000.0
2010-09-20,5506,5523,5253,5303,630236,92106.0,10200000.0
2010-09-24,5299,5323,5070,5079,383650,88230.0,10200000.0
2010-09-27,5100,5217,4877,4916,381810,85374.0,10200000.0
2010-09-28,4889,4900,4647,4703,602314,81702.0,10200000.0
2010-09-29,4754,4877,4729,4779,343622,83028.0,10200000.0
2010-09-30,4865,4870,4724,4733,202100,84745.0,10514285.0
2010-10-01,4688,4760,4560,4602,301635,82432.0,10514285.0
2010-10-04,4636,4760,4584,4617,213136,82642.0,10514285.0
2010-10-05,4666,5076,4611,4674,1114752,83694.0,10514285.0
2010-10-06,4736,4906,4717,4738,295937,84850.0,10514285.0
2010-10-07,4765,4794,4653,4668,225618,83589.0,10514285.0
2010-10-08,4666,4771,4611,4620,171525,82747.0,10514285.0
2010-10-11,4619,4647,4284,4321,459191,77385.0,10514285.0
2010-10-12,4348,4372,4137,4146,315951,74231.0,10514285.0
2010-10-13,4166,4284,4066,4140,355771,74126.0,10514285.0
2010-10-14,4183,4566,4119,4310,865373,77175.0,10514285.0
2010-10-15,4324,4611,4261,4546,442143,81381.0,10514285.0
2010-10-18,4636,4835,4619,4668,464327,83589.0,10514285.0
2010-10-19,4782,5018,4724,4850,441125,86848.0,10514285.0
2010-10-20,4848,4906,4754,4902,229133,87794.0,10514285.0
2010-10-21,4900,5065,4788,4961,509449,88846.0,10514285.0
2010-10-22,5041,5041,4870,4885,252734,87479.0,10514285.0
2010-10-25,4894,4918,4754,4821,203815,86322.0,10514285.0
2010-10-26,4842,5070,4747,5051,358013,90423.0,10514285.0
2010-10-27,5106,5734,5018,5404,1294701,96731.0,10514285.0
2010-10-28,5452,5452,5192,5226,278908,93577.0,10514285.0
2010-10-29,5288,5312,4976,5208,324164,93262.0,10514285.0
2010-11-01,5217,5810,5206,5472,783554,97993.0,10514285.0
2010-11-02,5576,5693,5434,5608,482541,100411.0,10514285.0
2010-11-03,5576,5717,5452,5484,387818,98203.0,10514285.0
2010-11-04,5515,5686,5452,5456,491335,97678.0,10514285.0
2010-11-05,5481,5570,5247,5284,381267,94629.0,10514285.0
2010-11-08,5293,5328,5135,5180,200594,92736.0,10514285.0
2010-11-09,5200,5323,5141,5266,165863,94313.0,10514285.0
2010-11-10,5257,5388,5241,5266,166249,94313.0,10514285.0
2010-11-11,5312,5323,5106,5108,183716,91474.0,10514285.0
2010-11-12,5141,5141,4811,4879,283230,87374.0,10514285.0
2010-11-15,4877,4982,4842,4902,76959,87794.0,10514285.0
2010-11-16,4953,5018,4818,4985,87054,89266.0,10514285.0
2010-11-17,4976,4976,4647,4891,61171,87584.0,10514285.0
2010-11-18,4942,4970,4853,4943,64264,88530.0,10514285.0
2010-11-19,4982,5076,4960,4991,120514,89371.0,10514285.0
2010-11-22,5076,5076,4960,5015,90290,89792.0,10514285.0
2010-11-23,5012,5047,4842,4874,137778,87269.0,10514285.0
2010-11-24,4519,4794,4519,4763,186162,85271.0,10514285.0
2010-11-25,4842,4842,4742,4773,79729,85481.0,10514285.0
2010-11-26,4724,4754,4571,4580,195265,82011.0,10514285.0
2010-11-29,4401,4594,4401,4521,79739,80960.0,10514285.0
2010-11-30,4560,4754,4553,4709,50355,84325.0,10514285.0
