WI(073570),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-01-06,138066,154393,138066,154394,6733,86100.0,3500000.0
2004-01-07,172902,172902,172902,172910,10299,96425.0,3500000.0
2004-01-08,172901,181376,152196,152197,288044,84875.0,3500000.0
2004-01-09,149994,152509,134304,146864,140009,81900.0,3500000.0
2004-01-12,153126,164425,144344,159727,257271,89075.0,3500000.0
2004-01-13,160675,177618,155329,170083,204841,94850.0,3500000.0
2004-01-14,176977,179814,171970,173848,128942,96950.0,3500000.0
2004-01-15,173213,193294,166937,188912,171973,105350.0,3500000.0
2004-01-16,188271,199261,183263,184517,134382,102900.0,3500000.0
2004-01-19,188280,188911,173214,176045,54605,98175.0,3500000.0
2004-01-20,172885,178866,170069,171338,41338,95550.0,3500000.0
2004-01-26,166938,176968,162540,171338,62409,95550.0,3500000.0
2004-01-27,173217,174162,165379,166318,35186,92750.0,3500000.0
2004-01-28,164431,170707,162555,163179,32926,91000.0,3500000.0
2004-01-29,160035,160665,155013,160043,40195,89250.0,3500000.0
2004-01-30,163180,174162,161296,168203,72564,93800.0,3500000.0
2004-02-02,166301,172276,166301,166631,28782,92925.0,3500000.0
2004-02-03,166942,172579,162543,164750,67956,91875.0,3500000.0
2004-02-04,163187,163503,152821,160982,107156,89775.0,3500000.0
2004-02-05,161916,166309,161301,163179,97105,91000.0,3500000.0
2004-02-06,161296,163179,143721,144037,230251,80325.0,3500000.0
2004-02-09,148421,152512,143090,150629,121564,84000.0,3500000.0
2004-02-10,149048,152508,146856,148119,37918,82600.0,3500000.0
2004-02-11,151874,156904,147490,150629,104749,84000.0,3500000.0
2004-02-12,152510,158470,150610,155649,106932,86800.0,3500000.0
2004-02-13,155966,158166,150006,156591,69942,87325.0,3500000.0
2004-02-16,156587,158470,152811,155649,29759,86800.0,3500000.0
2004-02-17,153762,158154,151563,152510,50392,85050.0,3500000.0
2004-02-18,155644,170704,154082,170712,218172,95200.0,3500000.0
2004-02-19,170084,174168,164747,171655,73268,95725.0,3500000.0
2004-02-20,172587,181371,160666,161298,119084,89950.0,3500000.0
2004-02-23,164422,166307,160346,162553,28983,90650.0,3500000.0
2004-02-24,163174,163174,151876,155962,48148,86975.0,3500000.0
2004-02-25,153761,156268,149676,151255,42709,84350.0,3500000.0
2004-02-26,152521,152521,146544,151884,24542,84700.0,3500000.0
2004-02-27,150003,152819,148734,150312,21071,83825.0,3500000.0
2004-03-02,148730,164427,148730,161298,55768,89950.0,3500000.0
2004-03-03,158148,163178,155011,155019,30227,86450.0,3500000.0
2004-03-04,156595,161604,153136,158788,34703,88550.0,3500000.0
2004-03-05,157842,162549,156280,156904,33089,87500.0,3500000.0
2004-03-08,160040,167576,156593,158472,178493,88375.0,3500000.0
2004-03-09,156898,158782,153761,155962,46284,86975.0,3500000.0
2004-03-10,153773,157527,144668,145292,87268,81025.0,3500000.0
2004-03-11,141834,147180,141834,145605,65101,81200.0,3500000.0
2004-03-12,145919,146851,128339,138075,107743,77000.0,3500000.0
2004-03-15,138074,145617,138074,140898,53326,78575.0,3500000.0
2004-03-16,141826,144664,137435,138705,56533,77350.0,3500000.0
2004-03-17,139344,147496,138391,147490,133574,82250.0,3500000.0
2004-03-18,148739,150008,144032,148432,50069,82775.0,3500000.0
2004-03-19,148120,148120,144345,145922,26386,81375.0,3500000.0
2004-03-22,144349,147809,140588,140898,38414,78575.0,3500000.0
2004-03-23,138072,139333,133673,136820,47936,76300.0,3500000.0
2004-03-24,136818,137750,133043,133997,51248,74725.0,3500000.0
2004-03-25,132744,134943,118938,119247,113925,66500.0,3500000.0
2004-03-26,127400,133353,126154,133368,376795,74375.0,3500000.0
2004-03-29,136181,136818,130844,133997,137684,74725.0,3500000.0
2004-03-30,135547,135547,129908,131171,65713,73150.0,3500000.0
2004-03-31,134944,139343,133046,134623,179311,75075.0,3500000.0
2004-04-01,133674,139634,133674,138705,102183,77350.0,3500000.0
2004-04-02,139330,153759,136815,150629,359993,84000.0,3500000.0
2004-04-06,153450,158164,151566,154081,202782,85925.0,3500000.0
2004-04-07,158791,172288,155652,170083,282960,94850.0,3500000.0
2004-04-08,169148,170710,158795,169457,180435,94500.0,3500000.0
2004-04-09,171018,177294,165057,175732,82468,98000.0,3500000.0
2004-04-12,174489,174489,166952,167260,108643,93275.0,3500000.0
2004-04-13,166311,169457,156268,164121,109323,91525.0,3500000.0
2004-04-14,160663,166940,158787,164434,36640,91700.0,3500000.0
2004-04-16,163188,171979,158795,169457,125474,94500.0,3500000.0
2004-04-19,169450,171965,165990,168828,99549,94150.0,3500000.0
2004-04-20,172583,172583,167254,168515,105365,93975.0,3500000.0
2004-04-21,168824,177606,168824,172593,257228,96250.0,3500000.0
2004-04-22,176979,179808,159404,165689,194967,92400.0,3500000.0
2004-04-23,170377,171323,163486,166948,132292,93100.0,3500000.0
2004-04-26,171022,175099,168193,171655,144454,95725.0,3500000.0
2004-04-27,171015,172577,162539,166631,111824,92925.0,3500000.0
2004-04-28,166310,166625,156280,156904,73105,87500.0,3500000.0
2004-04-29,151248,153763,139333,139643,91722,77875.0,3500000.0
2004-04-30,133355,145284,133355,140585,94977,78400.0,3500000.0
2004-05-03,138070,146215,138070,142470,49411,79450.0,3500000.0
2004-05-04,143722,149045,143722,147177,41313,82075.0,3500000.0
2004-05-06,147177,148430,129925,132426,94578,73850.0,3500000.0
2004-05-07,132421,136188,125514,134936,148778,75250.0,3500000.0
2004-05-10,132114,134314,118932,118934,112994,66325.0,3500000.0
2004-05-11,114848,124255,107311,120502,129636,67200.0,3500000.0
2004-05-12,122694,130854,122694,128348,88275,71575.0,3500000.0
2004-05-13,128342,128342,124252,124583,38306,69475.0,3500000.0
2004-05-14,124891,129283,116423,119247,40230,66500.0,3500000.0
2004-05-17,117673,122065,105436,106067,50981,59150.0,3500000.0
2004-05-18,103541,111701,103541,111717,62930,62300.0,3500000.0
2004-05-19,115173,120496,112966,118304,72581,65975.0,3500000.0
2004-05-20,113911,117056,107635,107952,121553,60200.0,3500000.0
2004-05-21,110458,111712,104806,110774,58588,61775.0,3500000.0
2004-05-24,113591,116105,112345,116107,68991,64750.0,3500000.0
2004-05-25,113896,113896,104797,107635,102687,60025.0,3500000.0
2004-05-27,112342,112342,107635,107952,80010,60200.0,3500000.0
2004-05-28,109517,111087,107318,108265,72993,60375.0,3500000.0
2004-05-31,110145,113906,108584,113284,167145,63175.0,3500000.0
2004-06-01,116736,122696,114859,119559,252702,66675.0,3500000.0
2004-06-02,119868,122374,116099,120814,147146,67375.0,3500000.0
2004-06-03,123629,123629,108879,111717,115091,62300.0,3500000.0
2004-06-04,111398,114227,108588,112659,57537,62825.0,3500000.0
2004-06-07,113265,115464,112011,114227,59611,63700.0,3500000.0
2004-06-08,116409,117362,109817,109832,65281,61250.0,3500000.0
2004-06-09,111071,112962,107941,109832,37696,61250.0,3500000.0
2004-06-10,107953,110475,107637,110462,29948,61600.0,3500000.0
2004-06-11,109836,113282,105768,105755,72752,58975.0,3500000.0
2004-06-14,100721,105751,95398,96653,49926,53900.0,3500000.0
2004-06-15,96655,98854,91016,97279,61640,54250.0,3500000.0
2004-06-16,96012,98835,92874,94143,50113,52500.0,3500000.0
2004-06-17,92559,95073,89737,92259,24708,51450.0,3500000.0
2004-06-18,90372,92257,82836,82844,69998,46200.0,3500000.0
2004-06-21,82839,84715,80317,80647,70726,44975.0,3500000.0
2004-06-22,80023,80023,73732,75940,114542,42350.0,3500000.0
2004-06-23,75930,80637,74046,78454,138714,43750.0,3500000.0
2004-06-24,80322,82514,78439,81277,122216,45325.0,3500000.0
2004-06-25,80322,85344,79075,84729,100831,47250.0,3500000.0
2004-06-28,84714,85351,82514,83161,40436,46375.0,3500000.0
2004-06-29,83166,86625,82843,86297,64563,48125.0,3500000.0
2004-06-30,86612,92251,85352,90691,129211,50575.0,3500000.0
2004-07-01,91927,94128,90675,92259,88727,51450.0,3500000.0
2004-07-02,89739,89739,85348,86609,41818,48300.0,3500000.0
2004-07-05,85033,89110,85033,87864,35616,49000.0,3500000.0
2004-07-06,87860,88811,84098,84099,23838,46900.0,3500000.0
2004-07-07,80322,84713,78130,84729,45847,47250.0,3500000.0
2004-07-08,82835,84713,78443,78767,41924,43925.0,3500000.0
2004-07-09,78434,81271,78434,80964,19056,45150.0,3500000.0
2004-07-12,81271,84416,80641,80964,35500,45150.0,3500000.0
2004-07-13,80632,82839,80023,82532,20990,46025.0,3500000.0
2004-07-14,81582,83465,76559,76882,30149,42875.0,3500000.0
2004-07-15,76882,78136,72805,74059,33772,41300.0,3500000.0
2004-07-16,72805,75320,72805,74059,40921,41300.0,3500000.0
2004-07-19,73435,74683,72490,74059,34663,41300.0,3500000.0
2004-07-20,74690,78137,73436,73430,46588,40950.0,3500000.0
2004-07-21,75933,77194,74679,75940,29408,42350.0,3500000.0
2004-07-22,74684,75628,72169,75314,19933,42000.0,3500000.0
2004-07-23,74362,80014,72800,76569,116378,42700.0,3500000.0
2004-07-26,77833,77833,73741,75627,24148,42175.0,3500000.0
2004-07-27,73432,74364,69342,74372,105745,41475.0,3500000.0
2004-07-28,75307,75930,71847,71862,27170,40075.0,3500000.0
2004-07-29,70911,73118,66204,68097,29857,37975.0,3500000.0
