동신건설(025950),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,253,253,253,252,0,1826.0,280000.0
1999-01-05,253,253,253,252,0,,
1999-01-06,253,253,253,252,0,,
1999-01-07,253,253,253,252,0,,
1999-01-08,253,253,253,252,0,,
1999-01-11,253,253,253,252,0,,
1999-01-12,253,253,253,252,5000,1826.0,280000.0
1999-01-13,253,253,253,252,0,,
1999-01-14,253,253,253,252,0,,
1999-01-15,253,253,253,252,0,,
1999-01-18,253,253,253,252,5000,,
1999-01-19,253,253,253,252,0,,
1999-01-20,253,253,253,252,0,,
1999-01-21,253,253,253,252,5000,,
1999-01-22,253,253,253,252,0,,
1999-01-25,253,253,253,252,0,,
1999-01-26,253,253,253,252,5000,,
1999-01-27,253,253,253,252,0,,
1999-01-28,253,253,253,252,0,,
1999-01-29,253,253,253,252,0,,
1999-02-01,253,253,253,252,0,,
1999-02-02,253,253,253,252,0,,
1999-02-03,253,253,253,252,0,,
1999-02-04,253,253,253,252,0,,
1999-02-05,253,253,253,252,5000,,
1999-02-08,253,253,253,252,0,,
1999-02-09,253,253,253,252,0,,
1999-02-10,253,253,253,252,0,,
1999-02-11,253,253,253,252,0,,
1999-02-12,253,253,253,252,5000,,
1999-02-18,253,253,253,252,5000,,
1999-02-19,253,253,253,252,0,,
1999-02-22,253,253,253,252,5000,,
1999-02-23,253,253,253,252,0,,
1999-02-24,253,253,253,252,0,,
1999-02-25,253,253,253,252,0,,
1999-02-26,253,253,253,252,0,,
1999-03-02,253,253,253,252,0,,
1999-03-03,253,253,253,252,0,,
1999-03-04,253,253,253,252,0,,
1999-03-05,253,253,253,252,0,,
1999-03-08,253,253,253,252,0,,
1999-03-09,253,253,253,252,0,,
1999-03-10,253,253,253,252,0,,
1999-03-11,253,253,253,252,0,,
1999-03-12,253,253,253,252,5000,,
1999-03-15,253,253,253,252,0,,
1999-03-16,253,253,253,252,5000,,
1999-03-17,253,253,253,252,0,,
1999-03-18,253,253,253,252,5000,,
1999-03-19,253,253,253,252,0,,
1999-03-22,253,253,253,252,5000,,
1999-03-23,253,253,253,252,0,,
1999-03-24,253,253,253,252,0,,
1999-03-25,253,253,253,252,0,,
1999-03-26,253,253,253,252,0,,
1999-03-29,253,253,225,225,5000,1624.0,280000.0
1999-03-30,225,225,225,225,0,1624.0,280000.0
1999-03-31,225,225,225,225,0,,
1999-04-01,225,225,225,225,0,,
1999-04-02,225,225,225,225,0,,
1999-04-06,225,225,225,225,0,,
1999-04-07,225,225,225,225,5000,1624.0,280000.0
1999-04-08,225,225,225,225,0,,
1999-04-09,225,225,225,225,0,,
1999-04-12,225,225,225,225,0,,
1999-04-13,225,225,225,225,0,,
1999-04-14,221,221,221,221,5000,1596.0,280000.0
1999-04-15,221,221,221,221,0,1596.0,280000.0
1999-04-16,221,221,221,221,0,,
1999-04-19,221,221,221,221,0,,
1999-04-20,221,221,221,221,0,,
1999-04-21,221,221,221,221,5000,1596.0,280000.0
1999-04-22,221,221,221,221,0,,
1999-04-23,221,221,221,221,0,,
1999-04-26,221,221,221,221,0,,
1999-04-27,221,221,221,221,0,,
1999-04-28,213,213,213,213,5000,1540.0,280000.0
1999-04-29,213,213,213,213,0,1540.0,280000.0
1999-04-30,213,213,213,213,0,,
1999-05-03,213,213,213,213,0,,
1999-05-04,213,213,213,213,0,,
1999-05-06,194,194,194,193,5000,1400.0,280000.0
1999-05-07,194,194,194,193,0,1400.0,280000.0
1999-05-10,194,194,194,193,0,,
1999-05-11,194,194,194,193,5000,1400.0,280000.0
1999-05-12,194,194,194,193,0,,
1999-05-13,194,194,194,193,0,,
1999-05-14,194,194,194,193,0,,
1999-05-17,194,194,194,193,5000,,
1999-05-18,194,194,194,193,0,,
1999-05-19,194,194,194,193,0,,
1999-05-20,194,194,194,193,0,,
1999-05-21,196,196,194,193,5000,1400.0,280000.0
1999-05-24,217,217,217,217,0,1568.0,280000.0
1999-05-25,217,217,217,217,0,1568.0,280000.0
1999-05-26,217,217,217,217,0,,
1999-05-27,244,244,244,243,0,1756.0,280000.0
1999-05-28,272,272,272,272,5000,1966.0,280000.0
1999-05-31,305,305,305,304,0,2201.0,280000.0
1999-06-01,341,341,341,341,0,2464.0,280000.0
1999-06-02,383,383,383,382,0,2758.0,280000.0
1999-06-03,427,427,427,426,0,3080.0,280000.0
1999-06-04,477,477,477,477,2200,3444.0,280000.0
1999-06-07,534,534,534,533,1000,3850.0,280000.0
1999-06-08,598,598,598,597,0,4312.0,280000.0
1999-06-09,667,667,667,667,0,4816.0,280000.0
1999-06-10,747,747,747,747,600,5390.0,280000.0
1999-06-11,837,837,837,836,400,6034.0,280000.0
1999-06-14,935,935,935,935,0,6748.0,280000.0
1999-06-15,1046,1046,1046,1046,0,7546.0,280000.0
1999-06-16,1170,1170,1170,1170,600,8442.0,280000.0
1999-06-17,1310,1310,1310,1309,0,9450.0,280000.0
1999-06-18,1467,1467,1467,1466,0,10584.0,280000.0
1999-06-21,1641,1641,1641,1641,0,11844.0,280000.0
1999-06-22,1838,1838,1838,1837,600,13258.0,280000.0
1999-06-23,2056,2056,2056,2056,0,14840.0,280000.0
1999-06-24,2301,2301,1812,1811,5020,13076.0,280000.0
1999-06-25,1595,1595,1595,1594,160,11508.0,280000.0
1999-06-28,1405,1405,1405,1404,0,10136.0,280000.0
1999-06-29,1571,1571,1238,1571,440,11340.0,280000.0
1999-06-30,1760,1760,1384,1759,5680,12698.0,280000.0
1999-07-01,1959,1959,1959,1959,100,14140.0,280000.0
1999-07-02,1959,2192,1727,1726,780,12460.0,280000.0
1999-07-05,1521,1521,1521,1520,0,10976.0,280000.0
1999-07-06,1339,1339,1339,1338,2020,9660.0,280000.0
1999-07-07,1207,1207,1179,1198,10920,8652.0,280000.0
1999-07-08,1199,1238,1055,1237,15920,8932.0,280000.0
