지티지웰니스(219750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-17,10600,10600,10600,10600,0,16498.0,1556450.0
2015-06-18,12150,12150,12150,12150,0,18911.0,1556450.0
2015-06-19,13950,13950,13950,13950,100,21712.0,1556450.0
2015-06-22,16000,16000,16000,16000,0,24903.0,1556450.0
2015-06-23,18400,18400,18400,18400,0,28639.0,1556450.0
2015-06-24,21150,21150,21150,21150,0,32919.0,1556450.0
2015-06-25,21200,21400,21200,21400,320,33308.0,1556450.0
2015-06-26,22050,22050,22050,22050,0,34320.0,1556450.0
2015-06-29,24450,24450,24450,24450,0,38055.0,1556450.0
2015-06-30,24450,24450,24450,24450,0,38055.0,1556450.0
2015-07-01,25000,25000,25000,25000,0,38911.0,1556450.0
2015-07-02,27600,27600,27600,27600,0,42958.0,1556450.0
2015-07-03,28300,28300,28300,28300,0,44048.0,1556450.0
2015-07-06,29500,29500,29500,29500,0,45915.0,1556450.0
2015-07-07,29500,29500,29500,29500,100,45915.0,1556450.0
2015-07-08,29500,29500,29500,29500,0,45915.0,1556450.0
2015-07-09,29500,29500,29500,29500,0,,
2015-07-10,29350,29350,29250,29250,3000,45526.0,1556450.0
2015-07-13,29250,29250,29250,29250,0,45526.0,1556450.0
2015-07-14,29250,29250,29250,29250,0,,
2015-07-15,29250,29250,29250,29250,0,,
2015-07-16,29200,29200,29200,29200,0,45448.0,1556450.0
2015-07-17,29200,29200,29200,29200,0,45448.0,1556450.0
2015-07-20,29200,29200,29200,29200,0,,
2015-07-21,29200,29200,29200,29200,0,,
2015-07-22,29200,29200,29200,29200,0,,
2015-07-23,29200,29200,29200,29200,0,,
2015-07-24,24850,24850,24850,24850,100,38678.0,1556450.0
2015-07-27,24850,24850,24850,24850,0,38678.0,1556450.0
2015-07-28,25000,25000,25000,25000,5050,38911.0,1556450.0
2015-07-29,25000,25000,25000,25000,5080,38911.0,1556450.0
2015-07-30,24000,24000,24000,24000,50,37355.0,1556450.0
2015-07-31,22750,24000,22750,24000,110,37355.0,1556450.0
2015-08-03,22800,22800,22800,22800,90,35487.0,1556450.0
2015-08-04,22800,22800,22800,22800,980,35487.0,1556450.0
2015-08-05,22800,22800,22800,22800,900,35487.0,1556450.0
2015-08-06,23500,23500,23500,23500,0,36577.0,1556450.0
2015-08-07,23500,23500,23500,23500,0,36577.0,1556450.0
2015-08-10,23500,23500,23500,23500,0,,
2015-08-11,23500,23500,23500,23500,0,,
2015-08-12,23500,23500,23500,23500,0,,
2015-08-13,23500,23500,23500,23500,0,,
2015-08-17,23500,23500,23500,23500,0,,
2015-08-18,23500,23500,23500,23500,0,,
2015-08-19,23500,23500,23500,23500,0,,
2015-08-20,23500,23500,23500,23500,0,,
2015-08-21,23500,23500,23500,23500,1020,36577.0,1556450.0
2015-08-24,23500,23500,23500,23500,0,,
2015-08-25,23500,23500,23500,23500,0,,
2015-08-26,23500,23500,23500,23500,31290,36577.0,1556450.0
2015-08-27,23500,23500,23500,23500,0,,
2015-08-28,23500,23500,23500,23500,0,,
2015-08-31,23500,23500,23500,23500,31000,36577.0,1556450.0
2015-09-01,23500,23500,23500,23500,0,,
2015-09-02,25000,25000,25000,25000,10,38911.0,1556450.0
2015-09-03,25000,25000,25000,25000,0,38911.0,1556450.0
2015-09-04,26000,26000,26000,26000,0,40468.0,1556450.0
2015-09-07,26000,26000,26000,26000,0,40468.0,1556450.0
2015-09-08,27500,27500,27500,27500,100,42802.0,1556450.0
2015-09-09,23400,29000,23400,28000,260,43581.0,1556450.0
2015-09-10,26600,28000,26600,28000,105,43581.0,1556450.0
2015-09-11,26600,28000,26600,28000,105,,
2015-09-14,26600,28000,26600,28000,105,,
2015-09-15,26600,28000,26600,28000,105,,
2015-09-16,27900,27900,27900,27900,5,43425.0,1556450.0
2015-09-17,26500,29000,26500,29000,725,45137.0,1556450.0
2015-09-18,29000,29000,29000,29000,0,45137.0,1556450.0
2015-09-21,29000,29000,29000,29000,0,,
2015-09-22,29000,29000,29000,29000,0,,
2015-09-23,29000,29000,29000,29000,0,,
2015-09-24,29000,29000,29000,29000,0,,
2015-09-25,30000,30000,30000,30000,10,46694.0,1556450.0
2015-09-30,28450,30000,28000,30000,135,46694.0,1556450.0
2015-10-01,30000,30000,30000,30000,0,46694.0,1556450.0
2015-10-02,30300,30300,30300,30300,5,47160.0,1556450.0
2015-10-05,30300,30300,30300,30300,0,47160.0,1556450.0
2015-10-06,30300,30300,30300,30300,0,,
2015-10-07,30300,30300,30300,30300,0,,
2015-10-08,30850,30850,30850,30850,5,48016.0,1556450.0
2015-10-12,29200,30850,29200,30850,81,48016.0,1556450.0
2015-10-13,29200,30850,29200,30850,73,48016.0,1556450.0
2015-10-14,30850,30850,30850,30850,0,48016.0,1556450.0
2015-10-15,30800,30800,30800,30800,1,47939.0,1556450.0
2015-10-16,30800,30800,30800,30800,1,47939.0,1556450.0
2015-10-19,31000,31000,31000,31000,1,48250.0,1556450.0
2015-10-20,30900,30900,30700,30700,101,47783.0,1556450.0
2015-10-21,31000,31000,31000,31000,1,48250.0,1556450.0
2015-10-22,31000,31000,31000,31000,1,48250.0,1556450.0
2015-10-23,31000,31000,31000,31000,1,,
2015-10-26,31000,31000,31000,31000,1,,
2015-10-27,31150,31150,31000,31000,51,48250.0,1556450.0
2015-10-28,31000,31000,26350,30000,533,46694.0,1556450.0
2015-10-29,30000,30000,25500,25500,8,39689.0,1556450.0
2015-10-30,25000,25000,21700,24000,73,37355.0,1556450.0
2015-11-02,24000,24100,21500,24000,3213,37355.0,1556450.0
2015-11-03,24000,24000,20500,21000,4795,32685.0,1556450.0
2015-11-04,21000,21000,21000,21000,443,32685.0,1556450.0
