휴네시온(290270),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-08-02,7500,9750,7250,8175,8699875,78543.0,4803836.0
2018-08-03,8600,8800,7000,7250,1983728,69656.0,4803836.0
2018-08-06,7449,7700,6725,7025,1127146,67494.0,4803836.0
2018-08-07,7075,7175,6824,6850,730443,65813.0,4803836.0
2018-08-08,6874,7100,6600,6750,705303,64852.0,4803836.0
2018-08-09,6775,7049,6700,6925,513946,66533.0,4803836.0
2018-08-10,6825,6875,6249,6325,723070,60769.0,4803836.0
2018-08-13,6200,6274,5500,5550,563931,53323.0,4803836.0
2018-08-14,5625,5900,5550,5700,469675,54764.0,4803836.0
2018-08-16,5700,5875,5600,5775,371980,55484.0,4803836.0
2018-08-17,5950,7425,5950,6725,4243993,64612.0,4803836.0
2018-08-20,6650,6800,6225,6400,768390,61489.0,4803836.0
2018-08-21,6475,7075,6450,6600,1439210,63411.0,4803836.0
2018-08-22,6725,6875,6450,6700,670927,64371.0,4803836.0
2018-08-23,7200,7375,6575,6575,1055500,63170.0,4803836.0
2018-08-24,6500,6575,6300,6575,329308,63170.0,4803836.0
2018-08-27,6550,6775,6475,6725,330292,64612.0,4803836.0
2018-08-28,6650,6724,6450,6450,226676,61969.0,4803836.0
2018-08-29,6450,6500,6325,6500,154229,62450.0,4803836.0
2018-08-30,6600,6625,6300,6300,170040,60528.0,4803836.0
2018-08-31,6250,6350,6024,6050,212227,58126.0,4803836.0
2018-09-03,6025,6125,5900,6100,101646,58607.0,4803836.0
2018-09-04,6075,6275,6050,6250,176417,60048.0,4803836.0
2018-09-05,6200,6225,6000,6225,216499,59808.0,4803836.0
2018-09-06,6475,6800,6325,6525,687098,62690.0,4803836.0
2018-09-07,6375,6475,6275,6300,133950,60528.0,4803836.0
2018-09-10,6300,6300,6000,6025,105032,57886.0,4803836.0
2018-09-11,6050,6100,5725,5950,339808,57166.0,4803836.0
2018-09-12,6325,6350,6000,6100,358046,58607.0,4803836.0
2018-09-13,6025,6075,5925,6000,105735,57646.0,4803836.0
2018-09-14,6050,6075,5875,5900,85703,56685.0,4803836.0
2018-09-17,5849,5950,5825,5825,73378,55965.0,4803836.0
2018-09-18,5850,6200,5749,6175,159515,59327.0,4803836.0
2018-09-19,6100,6125,5850,5900,160150,56685.0,4803836.0
2018-09-20,5900,6075,5825,5975,143314,57406.0,4803836.0
2018-09-21,5975,5975,5850,5875,65435,56445.0,4803836.0
2018-09-27,5900,5925,5750,5750,59910,55244.0,4803836.0
2018-09-28,5775,5800,5550,5700,56533,54764.0,4803836.0
2018-10-01,5750,6100,5600,6100,184070,58607.0,4803836.0
2018-10-02,6025,6350,6025,6125,193143,58847.0,4803836.0
2018-10-04,6200,6225,5875,5975,45827,57406.0,4803836.0
2018-10-05,5925,6025,5775,5775,31982,55484.0,4803836.0
2018-10-08,5725,6450,5725,6175,299426,59327.0,4803836.0
2018-10-10,6224,6900,6200,6850,844010,65813.0,4803836.0
2018-10-11,6550,7175,6450,6450,623729,61969.0,4803836.0
2018-10-12,6450,6875,6450,6800,180897,65332.0,4803836.0
2018-10-15,6875,7050,6675,6975,266560,67014.0,4803836.0
2018-10-16,7000,7175,6575,6775,184411,65092.0,4803836.0
2018-10-17,6775,6850,6425,6600,107149,63411.0,4803836.0
