핸디소프트(220180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-29,13000,13000,13000,13000,100,48032.0,3694780.0
2015-06-30,13000,13000,13000,13000,2,48032.0,3694780.0
2015-07-01,12700,12700,12700,12700,100,46924.0,3694780.0
2015-07-02,12700,12700,12700,12700,0,46924.0,3694780.0
2015-07-03,12700,12700,12700,12700,0,,
2015-07-06,12400,12400,12400,12400,100,45815.0,3694780.0
2015-07-07,12100,12100,12100,12100,100,44707.0,3694780.0
2015-07-08,12100,12100,12100,12100,0,44707.0,3694780.0
2015-07-09,12100,12100,12100,12100,0,,
2015-07-10,12100,12100,12100,12100,0,,
2015-07-13,12100,12100,12100,12100,0,,
2015-07-14,12450,12450,12450,12450,1,46000.0,3694780.0
2015-07-15,12100,12100,12100,12100,100,44707.0,3694780.0
2015-07-16,11750,11750,11750,11750,88,43414.0,3694780.0
2015-07-17,11750,11750,11750,11750,0,43414.0,3694780.0
2015-07-20,11750,11750,11750,11750,0,,
2015-07-21,11750,11750,11750,11750,0,,
2015-07-22,11750,11750,11750,11750,0,,
2015-07-23,11750,11750,11750,11750,0,,
2015-07-24,11800,11800,11800,11800,0,43598.0,3694780.0
2015-07-27,11800,11800,11800,11800,0,43598.0,3694780.0
2015-07-28,11800,11800,11800,11800,0,,
2015-07-29,11800,11800,11800,11800,0,,
2015-07-30,11500,11500,11500,11500,100,42490.0,3694780.0
2015-07-31,11200,11200,11200,11200,100,41382.0,3694780.0
2015-08-03,10000,10000,10000,10000,1,36948.0,3694780.0
2015-08-04,10000,10000,10000,10000,0,36948.0,3694780.0
2015-08-05,9700,9700,9700,9700,200,35839.0,3694780.0
2015-08-06,9420,9420,9420,9420,200,34805.0,3694780.0
2015-08-07,9420,9420,9000,9000,500,33253.0,3694780.0
2015-08-10,8500,8500,8500,8500,300,31406.0,3694780.0
2015-08-11,8000,8000,8000,8000,200,29558.0,3694780.0
2015-08-12,7780,7780,7780,7780,0,28745.0,3694780.0
2015-08-13,7560,7560,7560,7560,200,27933.0,3694780.0
2015-08-17,7000,7000,7000,7000,1000,25863.0,3694780.0
2015-08-18,6500,6500,6000,6000,101,22169.0,3694780.0
2015-08-19,5500,5500,5100,5100,2,18843.0,3694780.0
2015-08-20,4500,4500,4340,4340,3,16035.0,3694780.0
2015-08-21,3700,3700,3700,3700,1,13671.0,3694780.0
2015-08-24,3145,3700,3145,3700,12,13671.0,3694780.0
2015-08-25,3145,3145,3145,3145,1,11620.0,3694780.0
2015-08-26,2700,3615,2700,3615,2,13357.0,3694780.0
2015-08-27,4100,4100,4100,4100,387,15149.0,3694780.0
2015-08-28,4700,4700,4700,4700,250,17365.0,3694780.0
2015-08-31,5100,5100,5100,5100,300,18843.0,3694780.0
2015-09-01,4340,5530,4340,5530,301,20432.0,3694780.0
2015-09-02,5740,5740,5740,5740,147,21208.0,3694780.0
2015-09-03,6150,6150,6150,6150,0,22723.0,3694780.0
2015-09-04,6300,6300,6300,6300,0,23277.0,3694780.0
2015-09-07,6800,6800,6800,6800,0,25125.0,3694780.0
2015-09-08,7300,7300,7300,7300,0,26972.0,3694780.0
2015-09-09,7300,7300,7300,7300,0,26972.0,3694780.0
2015-09-10,7600,7600,7600,7600,0,28080.0,3694780.0
2015-09-11,7600,7600,7600,7600,0,28080.0,3694780.0
2015-09-14,7820,7820,7820,7820,0,28893.0,3694780.0
2015-09-15,7820,7820,7820,7820,0,28893.0,3694780.0
2015-09-16,7820,7820,7820,7820,0,,
2015-09-17,7600,7600,7600,7600,200,28080.0,3694780.0
2015-09-18,7200,7200,7200,7200,2000,26602.0,3694780.0
2015-09-21,6150,6150,6150,6150,1,22723.0,3694780.0
2015-09-22,5250,5250,5250,5250,1,19398.0,3694780.0
2015-09-23,4500,4500,4500,4500,8,16627.0,3694780.0
2015-09-24,3825,3825,3825,3825,400,14133.0,3694780.0
2015-09-25,3255,3260,3255,3260,1590,12045.0,3694780.0
2015-09-30,3720,3720,3520,3520,401,13006.0,3694780.0
2015-10-01,3625,3625,3625,3625,300,13394.0,3694780.0
2015-10-02,3920,3920,3800,3800,301,14040.0,3694780.0
2015-10-05,4140,4140,3910,3910,301,14447.0,3694780.0
2015-10-06,4495,4495,4495,4495,299,16608.0,3694780.0
2015-10-07,4495,4495,4495,4495,0,16608.0,3694780.0
2015-10-08,5150,5150,5150,5150,0,19028.0,3694780.0
2015-10-12,5500,5500,5500,5500,0,20321.0,3694780.0
2015-10-13,6300,6300,6300,6300,0,23277.0,3694780.0
2015-10-14,6500,6500,6500,6500,0,24016.0,3694780.0
2015-10-15,6500,6500,6500,6500,0,24016.0,3694780.0
2015-10-16,6500,6500,6500,6500,0,,
2015-10-19,7460,7460,7460,7460,0,27563.0,3694780.0
2015-10-20,7460,7460,7460,7460,0,27563.0,3694780.0
2015-10-21,7460,7460,7460,7460,0,,
2015-10-22,7460,7460,7460,7460,0,,
2015-10-23,7460,7460,7460,7460,0,,
2015-10-26,7460,7460,7460,7460,100,27563.0,3694780.0
2015-10-27,7260,7260,7260,7260,0,26824.0,3694780.0
2015-10-28,6190,6190,6190,6190,5,22871.0,3694780.0
2015-10-29,6370,6370,6370,6370,100,23536.0,3694780.0
2015-10-30,7300,7300,7300,7300,0,26972.0,3694780.0
2015-11-02,8300,8300,8300,8300,9,30667.0,3694780.0
2015-11-03,9500,9500,9500,9500,0,35100.0,3694780.0
2015-11-04,9900,9900,9900,9900,0,36578.0,3694780.0
2015-11-05,9900,9900,9900,9900,0,36578.0,3694780.0
2015-11-06,9620,9620,9620,9620,200,35544.0,3694780.0
2015-11-09,9340,9900,9340,9900,202,36578.0,3694780.0
2015-11-10,9620,10150,9620,10150,202,37502.0,3694780.0
2015-11-11,9860,9860,9860,9860,200,36431.0,3694780.0
2015-11-12,9580,10000,9580,10000,203,36948.0,3694780.0
2015-11-13,9710,9710,9710,9710,200,35876.0,3694780.0
2015-11-16,9430,9990,9430,9990,203,36911.0,3694780.0
