이지케어텍(099750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-22,24600,31950,24600,31950,480793,204033.0,6386000.0
2019-03-25,37450,37850,30400,30550,2758700,195092.0,6386000.0
2019-03-26,31400,34450,30150,31300,1446045,199882.0,6386000.0
2019-03-27,31400,31500,28300,28400,519498,181362.0,6386000.0
2019-03-28,28400,28450,26400,27000,450715,172422.0,6386000.0
2019-03-29,28250,28750,25950,26500,360591,169229.0,6386000.0
2019-04-01,26700,27350,26050,26700,225409,170506.0,6386000.0
2019-04-02,27000,29400,26900,27800,689428,177531.0,6386000.0
2019-04-03,27650,27700,26850,27700,202658,176892.0,6386000.0
2019-04-04,29150,29600,27800,27850,376519,177850.0,6386000.0
2019-04-05,27500,27850,27000,27550,166267,175934.0,6386000.0
2019-04-08,28500,29800,27700,29750,585376,189984.0,6386000.0
2019-04-09,29150,29300,28600,28600,246084,182640.0,6386000.0
2019-04-10,28200,28850,27700,28450,179209,181682.0,6386000.0
2019-04-11,28600,28800,28150,28600,114543,182640.0,6386000.0
2019-04-12,28800,29550,28350,28900,253121,184555.0,6386000.0
2019-04-15,28800,29900,28700,29500,243718,188387.0,6386000.0
2019-04-16,29300,29450,28350,28600,121117,182640.0,6386000.0
2019-04-17,28650,28750,27650,27750,118843,177212.0,6386000.0
2019-04-18,27700,28150,27500,27600,74879,176254.0,6386000.0
2019-04-19,27750,28250,27600,27800,37478,177531.0,6386000.0
2019-04-22,27100,27450,26900,27050,122789,172741.0,6386000.0
2019-04-23,27100,27150,26350,26650,68051,170187.0,6386000.0
2019-04-24,26700,26800,25600,25750,75878,164440.0,6386000.0
2019-04-25,25600,25600,24850,25000,58149,159650.0,6386000.0
2019-04-26,24850,26500,24850,26200,110291,167313.0,6386000.0
2019-04-29,26200,26650,25900,25950,57894,165717.0,6386000.0
2019-04-30,25800,26000,25100,25450,67174,162524.0,6386000.0
2019-05-02,25550,26000,25000,25850,68550,165078.0,6386000.0
2019-05-03,26200,28250,25650,27400,308979,174976.0,6386000.0
2019-05-07,26300,27800,26250,27100,73095,173061.0,6386000.0
2019-05-08,26700,27100,25100,25750,126740,164440.0,6386000.0
2019-05-09,25400,25950,24750,24850,86022,158692.0,6386000.0
2019-05-10,24900,25500,24550,24800,45727,158373.0,6386000.0
2019-05-13,25300,25300,24200,24350,40764,155499.0,6386000.0
2019-05-14,23700,24550,23050,24050,65533,153583.0,6386000.0
2019-05-15,24300,25550,23850,25350,90792,161885.0,6386000.0
2019-05-16,25500,26500,25050,25400,61238,162204.0,6386000.0
2019-05-17,25700,26000,25050,25150,33643,160608.0,6386000.0
2019-05-20,24800,25450,24800,25000,29648,159650.0,6386000.0
2019-05-21,24550,26000,24550,26000,30029,166036.0,6386000.0
2019-05-22,26000,27200,25550,25550,140821,163162.0,6386000.0
2019-05-23,26050,26050,24800,24850,39549,158692.0,6386000.0
2019-05-24,24400,25100,23900,24050,57504,153583.0,6386000.0
2019-05-27,23900,25000,23850,24400,15022,155818.0,6386000.0
2019-05-28,24400,24700,24100,24500,17347,156457.0,6386000.0
2019-05-29,24550,24550,23500,23500,38223,150071.0,6386000.0
2019-05-30,23550,23850,22000,22450,60993,143366.0,6386000.0
2019-05-31,22450,23100,22350,22650,30582,144643.0,6386000.0
2019-06-03,22500,22950,22250,22550,18457,144004.0,6386000.0
2019-06-04,22600,22900,22000,22000,36866,140492.0,6386000.0
2019-06-05,22150,22600,22100,22200,26579,141769.0,6386000.0
2019-06-07,22450,23600,22350,23550,39410,150390.0,6386000.0
2019-06-10,23900,24000,23450,23500,31057,150071.0,6386000.0
2019-06-11,24000,24100,23550,23800,21758,151987.0,6386000.0
2019-06-12,23800,25300,23600,24650,63055,157415.0,6386000.0
2019-06-13,24950,24950,24100,24600,32041,157096.0,6386000.0
2019-06-14,24450,24700,23900,23900,22558,152625.0,6386000.0
2019-06-17,23750,24250,23350,23450,17543,149752.0,6386000.0
2019-06-18,23300,23700,22300,23000,29557,146878.0,6386000.0
2019-06-19,23050,23850,23050,23300,20837,148794.0,6386000.0
2019-06-20,23250,23750,23150,23350,12148,149113.0,6386000.0
2019-06-21,23800,23800,22650,22700,20348,144962.0,6386000.0
2019-06-24,21800,22000,21500,21550,123688,137618.0,6386000.0
2019-06-25,21550,21700,19400,19800,159677,126443.0,6386000.0
2019-06-26,19800,20150,19400,19700,41751,125804.0,6386000.0
2019-06-27,19600,19950,19050,19150,35036,122292.0,6386000.0
2019-06-28,19050,19250,17750,18350,76201,117183.0,6386000.0
2019-07-01,18500,19000,18350,18750,32856,119738.0,6386000.0
2019-07-02,18750,19300,18500,18800,65330,120057.0,6386000.0
2019-07-03,19200,19200,18250,18600,26286,118780.0,6386000.0
2019-07-04,18600,18800,17950,18450,22615,117822.0,6386000.0
2019-07-05,18650,18700,18000,18450,18575,117822.0,6386000.0
2019-07-08,18250,18500,15400,16000,228036,102176.0,6386000.0
2019-07-09,15850,16900,15800,16300,90243,104092.0,6386000.0
2019-07-10,16100,17450,16100,17000,64477,108562.0,6386000.0
2019-07-11,17000,17250,16500,17150,35659,109520.0,6386000.0
2019-07-12,17000,17600,16700,17150,27952,109520.0,6386000.0
2019-07-15,17000,17400,16900,17000,20564,108562.0,6386000.0
2019-07-16,17200,17350,16500,17000,32715,108562.0,6386000.0
2019-07-17,16800,17000,15950,17000,45952,108562.0,6386000.0
2019-07-18,17000,17000,16200,16500,26625,105369.0,6386000.0
2019-07-19,16500,16800,16350,16600,18999,106008.0,6386000.0
2019-07-22,16600,17400,16400,17100,38590,109201.0,6386000.0
2019-07-23,17200,17400,16550,16650,30022,106327.0,6386000.0
2019-07-24,16550,16800,16450,16450,16581,105050.0,6386000.0
2019-07-25,16350,16550,15800,16000,30311,102176.0,6386000.0
2019-07-26,15900,15950,15400,15600,31941,99622.0,6386000.0
2019-07-29,15400,15500,14400,14450,37504,92278.0,6386000.0
2019-07-30,14600,15250,14550,14800,30816,94513.0,6386000.0
2019-07-31,14500,15250,14350,15100,27218,96429.0,6386000.0
2019-08-01,15700,15700,14850,14900,8966,95151.0,6386000.0
2019-08-02,14350,14950,14050,14550,16718,92916.0,6386000.0
2019-08-05,14500,14500,12850,13100,62185,83657.0,6386000.0
2019-08-06,12400,13850,12300,13200,50872,84295.0,6386000.0
2019-08-07,13200,13850,12750,13000,32889,83018.0,6386000.0
2019-08-08,12900,13350,12850,13000,36988,83018.0,6386000.0
2019-08-09,13000,13600,12950,13300,27200,84934.0,6386000.0
2019-08-12,13150,13300,12950,13100,22861,83657.0,6386000.0
2019-08-13,13100,14250,13100,13500,57444,86211.0,6386000.0
2019-08-14,13700,13750,13400,13500,21750,86211.0,6386000.0
2019-08-16,13200,13350,12900,13150,21994,83976.0,6386000.0
2019-08-19,13200,13400,13000,13050,14940,83337.0,6386000.0
2019-08-20,13150,14900,13150,14050,233856,89723.0,6386000.0
2019-08-21,13950,14500,13150,14300,62070,91320.0,6386000.0
2019-08-22,14300,14750,14200,14200,33632,90681.0,6386000.0
2019-08-23,14000,14400,13800,14200,38967,90681.0,6386000.0
2019-08-26,13900,13950,13200,13300,40517,84934.0,6386000.0
2019-08-27,13650,13650,12950,13050,43212,83337.0,6386000.0
2019-08-28,13200,13300,12950,13250,16020,84614.0,6386000.0
2019-08-29,13300,14400,13250,13250,74502,84614.0,6386000.0
2019-08-30,13400,13800,13250,13800,40734,88127.0,6386000.0
2019-09-02,13700,14300,13600,13900,32863,88765.0,6386000.0
2019-09-03,13950,14500,13900,14050,36716,89723.0,6386000.0
2019-09-04,14000,14750,13950,14750,54076,94194.0,6386000.0
