비씨월드제약(200780),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-12-15,15108,17194,13939,14650,2315193,102768.0,5855723.0
2014-12-16,14148,14440,12645,12813,461647,89885.0,5855723.0
2014-12-17,13021,13605,12687,12730,241730,89300.0,5855723.0
2014-12-18,13021,14606,12895,13606,827219,95448.0,5855723.0
2014-12-19,14189,14857,13813,14483,311083,101597.0,5855723.0
2014-12-22,14481,14481,13772,13898,126477,97498.0,5855723.0
2014-12-23,13730,14857,13521,14566,214314,102182.0,5855723.0
2014-12-24,14398,15316,14148,14941,215505,104817.0,5855723.0
2014-12-26,14690,15399,14273,14566,311476,116459.0,6673848.0
2014-12-29,14356,14565,13772,14065,156397,112454.0,6673848.0
2014-12-30,14064,14816,13772,14816,191582,118461.0,6673848.0
2015-01-02,14648,16067,14606,15651,221254,125135.0,6673848.0
2015-01-05,15651,15817,15108,15526,91114,124134.0,6673848.0
2015-01-06,15191,15651,14064,14399,109432,115124.0,6673848.0
2015-01-07,14273,14565,13772,14107,78201,112788.0,6673848.0
2015-01-08,14398,14774,14023,14691,74691,117460.0,6673848.0
2015-01-09,14857,14857,14231,14441,60530,115458.0,6673848.0
2015-01-12,14440,14774,14023,14608,68786,116792.0,6673848.0
2015-01-13,14690,15316,14690,14858,178444,118794.0,6673848.0
2015-01-14,14774,14941,14023,14858,137298,118794.0,6673848.0
2015-01-15,14774,17069,14774,16694,789819,133477.0,6673848.0
2015-01-16,16694,18822,16401,18656,687422,149161.0,6673848.0
2015-01-19,19406,20241,18488,18823,265986,150495.0,6673848.0
2015-01-20,19198,19448,17945,18865,219841,150829.0,6673848.0
2015-01-21,19156,20909,18488,19199,589962,153499.0,6673848.0
2015-01-22,19073,19490,18112,19032,272883,152164.0,6673848.0
2015-01-23,19240,21869,18864,21870,671507,174855.0,6673848.0
2015-01-26,22787,23371,21660,21828,515817,174521.0,6673848.0
2015-01-27,21660,22620,21201,22371,280293,178859.0,6673848.0
2015-01-28,22286,23079,21911,21953,155131,175522.0,6673848.0
2015-01-29,22203,22871,21660,22621,211780,180861.0,6673848.0
2015-01-30,22787,23747,20241,20618,459299,164844.0,6673848.0
2015-02-02,20450,20658,19782,20200,197152,161507.0,6673848.0
2015-02-03,20283,20993,19991,20283,171990,162175.0,6673848.0
2015-02-04,20283,20700,19907,20158,296641,161173.0,6673848.0
2015-02-05,20993,23162,20909,23164,613201,185199.0,6673848.0
2015-02-06,22704,23371,22453,22704,285634,181529.0,6673848.0
2015-02-09,22620,23204,20700,20701,287298,165511.0,6673848.0
2015-02-10,20784,20993,19865,20451,111753,163509.0,6673848.0
2015-02-11,20700,21118,20241,20367,113205,162842.0,6673848.0
2015-02-12,20533,20658,19281,19700,132813,157503.0,6673848.0
2015-02-13,19698,20533,19490,20535,126691,164177.0,6673848.0
2015-02-16,20074,20450,19657,19950,79186,159505.0,6673848.0
2015-02-17,19949,20450,19615,20033,49469,160172.0,6673848.0
2015-02-23,20074,20951,19823,20493,83688,163843.0,6673848.0
2015-02-24,20868,22161,20658,21578,184987,172519.0,6673848.0
2015-02-25,21618,21911,21034,21578,79397,172519.0,6673848.0
2015-02-26,21660,21786,20826,21536,63299,172185.0,6673848.0
2015-02-27,21326,22746,21118,22579,152471,180528.0,6673848.0
2015-03-02,22704,23622,22369,22704,125006,181529.0,6673848.0
2015-03-03,22829,22829,21451,21828,95117,174521.0,6673848.0
2015-03-04,22119,22119,21284,21619,72574,172853.0,6673848.0
2015-03-05,21786,21869,20575,20701,83651,165511.0,6673848.0
2015-03-06,20700,21201,20283,20951,72078,167514.0,6673848.0
2015-03-09,21076,21076,20033,20200,74485,161507.0,6673848.0
2015-03-10,20074,20951,18864,19533,155133,156168.0,6673848.0
2015-03-11,18947,19448,18280,18489,94831,147826.0,6673848.0
2015-03-12,18697,20033,18572,19616,128972,156835.0,6673848.0
2015-03-13,19615,20116,18947,19741,85420,157837.0,6673848.0
2015-03-16,19532,19573,18822,19032,161670,152164.0,6673848.0
2015-03-17,19323,19949,18697,18990,105921,151830.0,6673848.0
2015-03-18,19115,19532,18738,18907,90744,151163.0,6673848.0
2015-03-19,19115,19198,17362,18030,264709,144155.0,6673848.0
2015-03-20,18070,20283,18029,19783,310778,158170.0,6673848.0
2015-03-23,19907,20283,19323,20033,141436,160172.0,6673848.0
2015-03-24,20033,20868,19615,20242,160163,161841.0,6673848.0
2015-03-25,20033,21118,19991,20868,145572,166846.0,6673848.0
2015-03-26,20450,21284,20241,20785,150312,166179.0,6673848.0
2015-03-27,20784,21118,20241,20660,65239,165178.0,6673848.0
2015-03-30,20826,20951,20241,20785,90922,166179.0,6673848.0
2015-03-31,21034,21034,20325,20743,62626,165845.0,6673848.0
2015-04-01,20491,20826,20116,20367,71549,162842.0,6673848.0
2015-04-02,20325,21535,19823,21118,168292,168848.0,6673848.0
2015-04-03,21284,22746,21284,22036,206704,176190.0,6673848.0
2015-04-06,22036,22286,21493,21870,74337,174855.0,6673848.0
2015-04-07,21911,22871,21744,22329,113372,178525.0,6673848.0
2015-04-08,22411,23287,22161,23164,179105,185199.0,6673848.0
2015-04-09,23204,23622,22787,23164,78380,185199.0,6673848.0
2015-04-10,23162,26626,22996,26586,378554,212562.0,6673848.0
2015-04-13,26585,28881,26085,26628,263534,212896.0,6673848.0
2015-04-14,26752,27295,24206,24416,202846,195210.0,6673848.0
2015-04-15,24290,26919,23830,26628,211057,212896.0,6673848.0
2015-04-16,26835,27378,25250,25542,127925,204220.0,6673848.0
2015-04-17,25708,26543,25124,26545,86357,212228.0,6673848.0
2015-04-20,25792,27211,25542,26293,113291,210226.0,6673848.0
2015-04-21,26293,28881,26085,28756,353131,229914.0,6673848.0
2015-04-22,28379,29465,25040,27212,290959,217567.0,6673848.0
