에프엔에스테크(083500),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2017-02-27,17050,18750,16050,17450,4065577,102102.0,5851101.0
2017-02-28,17600,18500,15950,16650,2125977,97421.0,5851101.0
2017-03-02,16400,16550,14100,14500,832379,84841.0,5851101.0
2017-03-03,14450,15850,14150,14450,529329,84548.0,5851101.0
2017-03-06,14200,14700,13750,13800,297449,80745.0,5851101.0
2017-03-07,13850,14350,13600,14200,270071,83086.0,5851101.0
2017-03-08,14350,14400,13950,14150,142399,82793.0,5851101.0
2017-03-09,14150,14150,13250,13300,240336,77820.0,5851101.0
2017-03-10,13350,13550,12550,13200,265489,77235.0,5851101.0
2017-03-13,13200,13350,12950,13300,144318,77820.0,5851101.0
2017-03-14,13300,13850,13200,13800,167193,84532.0,6125485.0
2017-03-15,13850,14000,13400,13800,94578,84532.0,6125485.0
2017-03-16,14050,14250,13550,13600,162901,83307.0,6125485.0
2017-03-17,13600,13600,13150,13300,150482,81469.0,6125485.0
2017-03-20,13250,13450,12900,13100,86213,80244.0,6125485.0
2017-03-21,13050,13350,12850,12950,69196,79325.0,6125485.0
2017-03-22,12750,13150,12750,12750,81703,78100.0,6125485.0
2017-03-23,13150,13150,12700,12950,110581,79325.0,6125485.0
2017-03-24,12950,13550,12900,13100,111217,80244.0,6125485.0
2017-03-27,13250,13250,12700,12900,105369,79019.0,6125485.0
2017-03-28,12800,13100,12000,12700,312860,77794.0,6125485.0
2017-03-29,12800,12850,12150,12250,411877,75037.0,6125485.0
2017-03-30,12700,13850,12450,12800,440047,78406.0,6125485.0
2017-03-31,12750,12800,12400,12500,86902,76569.0,6125485.0
2017-04-03,12550,12750,12350,12400,87946,75956.0,6125485.0
2017-04-04,12500,13300,12250,13000,291976,79631.0,6125485.0
2017-04-05,13000,13550,12850,13550,211110,83000.0,6125485.0
2017-04-06,13600,13700,13300,13550,121251,83000.0,6125485.0
2017-04-07,13350,13850,13300,13600,133897,83307.0,6125485.0
2017-04-10,13600,13600,12850,13050,138093,86463.0,6625485.0
2017-04-11,13100,13300,12400,12800,199009,84806.0,6625485.0
2017-04-12,12950,13800,12800,13200,167771,87456.0,6625485.0
2017-04-13,13300,13750,13300,13500,226333,89444.0,6625485.0
2017-04-14,13500,13500,13000,13050,101524,86463.0,6625485.0
2017-04-17,13150,13350,12900,13050,153916,86463.0,6625485.0
2017-04-18,13200,13600,13000,13600,257935,90107.0,6625485.0
2017-04-19,13600,14200,13500,14150,635336,93751.0,6625485.0
2017-04-20,14150,14350,13900,14100,309342,93419.0,6625485.0
2017-04-21,14150,14300,13950,14050,260736,93088.0,6625485.0
2017-04-24,14000,14250,13800,14000,171184,92757.0,6625485.0
2017-04-25,14200,14650,14100,14450,528000,95738.0,6625485.0
2017-04-26,14400,14450,14000,14400,347362,95407.0,6625485.0
2017-04-27,14400,14650,14150,14350,221257,95076.0,6625485.0
2017-04-28,14600,14600,14150,14300,152415,94744.0,6625485.0
2017-05-02,14300,14300,13850,13850,152263,91763.0,6625485.0
2017-05-04,14050,14300,13950,14100,181303,93419.0,6625485.0
2017-05-08,14250,14250,14000,14100,118120,93419.0,6625485.0
2017-05-10,14100,14500,13850,14450,257969,95738.0,6625485.0
2017-05-11,14500,15100,14400,14500,421734,96070.0,6625485.0
2017-05-12,14500,14650,14200,14400,165542,95407.0,6625485.0
2017-05-15,14200,14200,13500,13500,363898,89444.0,6625485.0
2017-05-16,13550,13550,12600,12600,495920,83481.0,6625485.0
2017-05-17,12650,12850,12250,12500,299139,82819.0,6625485.0
2017-05-18,12300,12850,12150,12800,149974,84806.0,6625485.0
2017-05-19,12750,13200,12700,12900,187299,85469.0,6625485.0
2017-05-22,12950,13050,12700,12700,95569,84144.0,6625485.0
2017-05-23,12900,13200,12800,12900,194750,85469.0,6625485.0
2017-05-24,13000,13150,12800,13000,152001,86131.0,6625485.0
2017-05-25,13050,13300,12950,13100,142819,86794.0,6625485.0
2017-05-26,13200,13200,12800,13000,82098,86131.0,6625485.0
2017-05-29,13000,13100,12750,12900,85475,85469.0,6625485.0
2017-05-30,12800,13100,12800,12950,90296,85800.0,6625485.0
2017-05-31,13100,13100,12850,12950,158592,85800.0,6625485.0
2017-06-01,13000,14200,12900,13800,618333,91432.0,6625485.0
2017-06-02,13950,14000,13600,13700,153032,90769.0,6625485.0
2017-06-05,13800,13950,13550,13750,98304,91100.0,6625485.0
2017-06-07,13850,14000,13650,13700,123277,90769.0,6625485.0
2017-06-08,13850,14550,13750,14500,540233,96070.0,6625485.0
2017-06-09,14500,14750,14350,14450,238822,95738.0,6625485.0
2017-06-12,14400,14400,13800,14100,229651,93419.0,6625485.0
2017-06-13,13950,15500,13950,15000,773504,99382.0,6625485.0
2017-06-14,15200,15400,14850,15000,223159,99382.0,6625485.0
2017-06-15,15100,15450,14650,15350,218188,101701.0,6625485.0
2017-06-16,15350,15550,14950,15250,144487,101039.0,6625485.0
2017-06-19,14950,15350,14800,15100,159608,100045.0,6625485.0
2017-06-20,15250,15300,14400,14450,223791,95738.0,6625485.0
2017-06-21,14400,14650,14250,14500,128994,96070.0,6625485.0
2017-06-22,14650,15000,14450,14800,161253,98057.0,6625485.0
2017-06-23,15000,15050,14700,14700,109517,97395.0,6625485.0
2017-06-26,14750,14750,14200,14450,108902,95738.0,6625485.0
2017-06-27,14550,14700,14400,14600,97888,96732.0,6625485.0
2017-06-28,14800,15550,14750,14850,591440,98388.0,6625485.0
2017-06-29,15000,15400,14800,15100,139616,100045.0,6625485.0
2017-06-30,14700,15100,14650,15000,92616,99382.0,6625485.0
2017-07-03,14900,15000,14050,14200,149883,94082.0,6625485.0
2017-07-04,14400,14450,13850,14200,103838,94082.0,6625485.0
2017-07-05,14400,14900,14200,14900,151004,98720.0,6625485.0
2017-07-06,15000,15200,14850,15150,157089,100376.0,6625485.0
2017-07-07,15000,15100,14900,15050,67145,99714.0,6625485.0
2017-07-10,15100,15150,14450,14650,101433,97063.0,6625485.0
2017-07-11,14900,16150,14900,16050,724965,106339.0,6625485.0
2017-07-12,16000,16150,15600,15750,333773,104351.0,6625485.0
2017-07-13,15850,16000,15550,15900,260971,105345.0,6625485.0
2017-07-14,15900,16350,14950,15000,471866,99382.0,6625485.0
2017-07-17,15050,15400,14900,15350,197140,101701.0,6625485.0
2017-07-18,15350,16450,15350,16400,458213,108658.0,6625485.0
2017-07-19,16650,17250,16150,16600,456006,109983.0,6625485.0
2017-07-20,16800,17100,16400,16700,264914,110646.0,6625485.0
2017-07-21,16650,17250,16600,16800,274138,111308.0,6625485.0
2017-07-24,16650,17000,16400,16450,216775,108989.0,6625485.0
2017-07-25,16500,16600,15550,15700,249975,104020.0,6625485.0
2017-07-26,15650,15750,14700,15150,262885,100376.0,6625485.0
2017-07-27,15150,15200,14600,14800,140068,98057.0,6625485.0
2017-07-28,14700,14750,13900,14250,318338,94413.0,6625485.0
2017-07-31,14250,14350,13600,14100,166658,93419.0,6625485.0
2017-08-01,14100,14250,13850,14000,119204,92757.0,6625485.0
2017-08-02,14100,14650,14050,14650,209906,97063.0,6625485.0
2017-08-03,14450,14500,13500,13500,284134,89444.0,6625485.0
2017-08-04,13550,13700,12850,13300,155741,88119.0,6625485.0
2017-08-07,13200,13550,13200,13250,38804,87788.0,6625485.0
2017-08-08,13500,13650,13100,13650,80842,90438.0,6625485.0
2017-08-09,13550,13550,12900,12950,165835,85800.0,6625485.0
2017-08-10,12850,13100,12200,12700,207829,84144.0,6625485.0
2017-08-11,12200,12500,12100,12350,93369,81825.0,6625485.0
2017-08-14,12500,12600,12150,12350,95099,81825.0,6625485.0
2017-08-16,12400,12500,10850,11150,517844,73874.0,6625485.0
2017-08-17,11250,11650,11000,11450,182092,75862.0,6625485.0
2017-08-18,11250,11450,11100,11200,111992,74205.0,6625485.0
2017-08-21,11350,11400,11000,11150,52425,73874.0,6625485.0
2017-08-22,11200,11250,11000,11100,62082,73543.0,6625485.0
2017-08-23,11150,11800,11100,11600,153721,76856.0,6625485.0
2017-08-24,11700,11800,11500,11800,66996,78181.0,6625485.0
2017-08-25,11850,11850,11450,11700,97406,77518.0,6625485.0
2017-08-28,11650,11950,11350,11700,132659,77518.0,6625485.0
2017-08-29,11600,12050,11500,11650,142698,77187.0,6625485.0
2017-08-30,11700,11800,11000,11200,166366,74205.0,6625485.0
2017-08-31,11200,11350,10550,10700,344292,70893.0,6625485.0
2017-09-01,10800,10950,10300,10400,200976,68905.0,6625485.0
2017-09-04,9980,10300,9960,10100,135606,66917.0,6625485.0
2017-09-05,10150,10250,9970,10000,82587,66255.0,6625485.0
2017-09-06,9950,10200,9480,9630,438545,63803.0,6625485.0
2017-09-07,9750,9900,9630,9850,130860,65261.0,6625485.0
2017-09-08,9920,10050,9710,9710,96559,64333.0,6625485.0
2017-09-11,9720,10000,9720,9950,96978,65924.0,6625485.0
2017-09-12,9950,9990,9830,9970,62473,66056.0,6625485.0
2017-09-13,10000,10550,9970,10300,192973,68242.0,6625485.0
2017-09-14,10300,10400,10150,10400,57678,68905.0,6625485.0
2017-09-15,10400,10400,9840,9840,161758,65195.0,6625485.0
2017-09-18,9860,10150,9790,9920,71758,65725.0,6625485.0
2017-09-19,10050,10100,9750,9750,86223,64598.0,6625485.0
2017-09-20,9890,9890,9090,9400,75834,62280.0,6625485.0
2017-09-21,9350,9400,8740,8800,182334,58304.0,6625485.0
2017-09-22,8630,8860,8560,8740,81458,57907.0,6625485.0
2017-09-25,8580,8780,8310,8310,61110,55058.0,6625485.0
2017-09-26,8210,8480,8180,8320,54134,55124.0,6625485.0
2017-09-27,8320,8730,8320,8540,88854,56582.0,6625485.0
2017-09-28,8550,8910,8550,8800,50418,58304.0,6625485.0
2017-09-29,8720,9050,8720,8920,32712,59099.0,6625485.0
2017-10-10,9000,9000,8550,8630,50611,57178.0,6625485.0
2017-10-11,8530,8880,8530,8790,28106,58238.0,6625485.0
2017-10-12,8790,9090,8700,9020,30943,59762.0,6625485.0
2017-10-13,9120,9120,8680,8700,33991,57642.0,6625485.0
2017-10-16,8730,8860,8380,8400,44289,55654.0,6625485.0
2017-10-17,8380,8610,8350,8500,28941,56317.0,6625485.0
2017-10-18,8480,8560,8310,8410,37455,55720.0,6625485.0
2017-10-19,8410,8690,8260,8500,35082,56317.0,6625485.0
2017-10-20,8500,8640,8360,8600,87843,56979.0,6625485.0
2017-10-23,8890,9940,8850,9050,1577652,59961.0,6625485.0
2017-10-24,9070,9270,8830,9180,213320,60822.0,6625485.0
2017-10-25,9300,9350,8990,9050,126910,59961.0,6625485.0
2017-10-26,8970,9130,8850,8850,107469,58636.0,6625485.0
2017-10-27,8890,9190,8750,9100,113148,60292.0,6625485.0
2017-10-30,9210,9250,8980,9180,83733,60822.0,6625485.0
2017-10-31,9250,9540,9070,9400,153804,62280.0,6625485.0
2017-11-01,9520,9550,9300,9460,86526,62677.0,6625485.0
2017-11-02,9450,9490,9160,9160,80173,60689.0,6625485.0
2017-11-03,9070,9200,8990,9010,90085,59696.0,6625485.0
2017-11-06,8930,9070,8850,9010,82129,59696.0,6625485.0
