한송네오텍(226440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-10-06,2335,2346,2329,2330,1351917,9345.0,4450000.0
2015-10-07,2341,2407,2341,2352,160053,9434.0,4450000.0
2015-10-08,2363,2385,2352,2358,50622,9456.0,4450000.0
2015-10-12,2346,2468,2346,2452,100675,9834.0,4450000.0
2015-10-13,2474,2474,2374,2435,25501,9768.0,4450000.0
2015-10-14,2424,2440,2418,2419,21947,9701.0,4450000.0
2015-10-15,2379,2440,2379,2419,56332,9701.0,4450000.0
2015-10-16,2418,2440,2418,2430,26843,9746.0,4450000.0
2015-10-19,2418,2418,2407,2408,12588,9656.0,4450000.0
2015-10-20,2407,2407,2374,2396,21810,9612.0,4450000.0
2015-10-21,2346,2374,2329,2352,160554,9434.0,4450000.0
2015-10-22,2329,2341,2329,2335,70325,9367.0,4450000.0
2015-10-23,2374,2374,2324,2352,151519,9434.0,4450000.0
2015-10-26,2341,2352,2335,2335,52544,9367.0,4450000.0
2015-10-27,2341,2352,2335,2341,13604,9390.0,4450000.0
2015-10-28,2335,2346,2329,2347,5812,9412.0,4450000.0
2015-10-29,2335,2357,2329,2341,17046,9390.0,4450000.0
2015-10-30,2335,2341,2329,2335,24813,9367.0,4450000.0
2015-11-02,2335,2363,2335,2363,19203,9478.0,4450000.0
2015-11-03,2324,2341,2324,2335,55611,9367.0,4450000.0
2015-11-04,2329,2335,2329,2330,46207,9345.0,4450000.0
2015-11-05,2324,2335,2324,2324,43396,9323.0,4450000.0
2015-11-06,2324,2335,2302,2335,23284,9367.0,4450000.0
2015-11-09,2324,2335,2324,2330,17458,9345.0,4450000.0
2015-11-10,2324,2329,2313,2319,7974,9300.0,4450000.0
2015-11-11,2318,2374,2307,2374,22654,9523.0,4450000.0
2015-11-12,2374,2374,2324,2363,4731,9478.0,4450000.0
2015-11-13,2313,2363,2307,2358,5127,9456.0,4450000.0
2015-11-16,2313,2374,2302,2302,10651,9234.0,4450000.0
2015-11-17,2341,2341,2274,2286,11365,9167.0,4450000.0
2015-11-18,2285,2307,2285,2291,5236,9189.0,4450000.0
2015-11-19,2285,2313,2274,2280,2144,9145.0,4450000.0
2015-11-20,2274,2291,2252,2286,5434,9167.0,4450000.0
2015-11-23,2257,2257,2241,2247,18514,9011.0,4450000.0
2015-11-24,2224,2302,2224,2286,7339,9167.0,4450000.0
2015-11-25,2230,2274,2218,2252,97968,9034.0,4450000.0
2015-11-26,2241,2268,2230,2269,14055,9100.0,4450000.0
2015-11-27,2224,2246,2218,2236,43053,8967.0,4450000.0
2015-11-30,2235,2252,2224,2252,21031,9034.0,4450000.0
2015-12-01,2241,2241,2241,2241,8604,8989.0,4450000.0
2015-12-02,2241,2241,2224,2230,3153,8944.0,4450000.0
2015-12-03,2224,2235,2224,2230,12035,8944.0,4450000.0
2015-12-04,2230,2230,2230,2230,3442,8944.0,4450000.0
2015-12-07,2230,2235,2230,2236,5742,8967.0,4450000.0
2015-12-08,2218,2230,2218,2219,14813,8900.0,4450000.0
2015-12-09,2230,2230,2213,2219,9253,8900.0,4450000.0
2015-12-10,2218,2218,2213,2219,9178,8900.0,4450000.0
2015-12-11,2218,2252,2202,2219,9328,8900.0,4450000.0
2015-12-14,2218,2218,2213,2213,22785,8878.0,4450000.0
2015-12-15,2218,2252,2218,2252,5580,9034.0,4450000.0
2015-12-16,2224,2235,2224,2236,145,8967.0,4450000.0
2015-12-17,2218,2224,2213,2225,5719,8922.0,4450000.0
2015-12-18,2218,2218,2213,2213,10010,8878.0,4450000.0
2015-12-21,2218,2218,2218,2219,2071,8900.0,4450000.0
2015-12-22,2218,2329,2218,2219,15839,8900.0,4450000.0
2015-12-23,2230,2291,2218,2291,13147,9189.0,4450000.0
2015-12-24,2230,2235,2218,2230,2533,8944.0,4450000.0
2015-12-28,2224,2230,2218,2219,947,8900.0,4450000.0
2015-12-29,2296,2296,2218,2230,13035,8944.0,4450000.0
2015-12-30,2241,2241,2213,2225,27312,8922.0,4450000.0
2016-01-04,2230,2230,2218,2219,4592,8900.0,4450000.0
2016-01-05,2218,2230,2218,2230,2001,8944.0,4450000.0
2016-01-06,2230,2230,2224,2230,12927,8944.0,4450000.0
2016-01-07,2218,2263,2218,2247,15710,9011.0,4450000.0
2016-01-08,2246,2246,2218,2241,6550,8989.0,4450000.0
2016-01-11,2257,2257,2230,2241,8860,8989.0,4450000.0
2016-01-12,2241,2246,2230,2247,5807,9011.0,4450000.0
2016-01-13,2246,2246,2235,2241,5915,8989.0,4450000.0
2016-01-14,2241,2241,2230,2236,2091,8967.0,4450000.0
2016-01-15,2241,2252,2224,2241,25942,8989.0,4450000.0
2016-01-18,2241,2257,2241,2241,6346,8989.0,4450000.0
2016-01-19,2241,2246,2218,2247,16592,9011.0,4450000.0
2016-01-20,2241,2241,2224,2225,986,8922.0,4450000.0
2016-01-21,2218,2218,2213,2213,3350,8878.0,4450000.0
2016-01-22,2318,2318,2218,2225,13913,8922.0,4450000.0
2016-01-25,2224,2235,2213,2236,5148,8967.0,4450000.0
2016-01-26,2235,2235,2218,2219,2507,8900.0,4450000.0
2016-01-27,2224,2230,2224,2225,746,8922.0,4450000.0
2016-01-28,2241,2241,2230,2230,1033,8944.0,4450000.0
2016-01-29,2230,2235,2230,2230,47,8944.0,4450000.0
2016-02-01,2230,2241,2230,2236,2720,8967.0,4450000.0
2016-02-02,2235,2235,2230,2230,1103,8944.0,4450000.0
2016-02-03,2230,2241,2224,2241,3957,8989.0,4450000.0
2016-02-04,2230,2241,2224,2230,6377,8944.0,4450000.0
2016-02-05,2230,2241,2224,2230,10206,8944.0,4450000.0
2016-02-11,2230,2329,2224,2230,2914,8944.0,4450000.0
2016-02-12,2241,2246,2213,2219,29077,8900.0,4450000.0
2016-02-15,2218,2230,2213,2230,4823,8944.0,4450000.0
2016-02-16,2230,2230,2218,2225,5169,8922.0,4450000.0
2016-02-17,2329,2329,2218,2219,1668,8900.0,4450000.0
2016-02-18,2307,2307,2218,2225,7092,8922.0,4450000.0
2016-02-19,2257,2341,2230,2286,20080,9167.0,4450000.0
2016-02-22,2285,2285,2230,2252,27398,9034.0,4450000.0
2016-02-23,2235,2307,2235,2252,8475,9034.0,4450000.0
2016-02-24,2241,2252,2241,2252,707,9034.0,4450000.0
2016-02-25,2241,2407,2230,2241,23808,8989.0,4450000.0
2016-02-26,2318,2374,2202,2252,89344,9034.0,4450000.0
2016-02-29,2252,2252,2224,2241,4106,8989.0,4450000.0
2016-03-02,2230,2252,2230,2241,4800,8989.0,4450000.0
2016-03-03,2224,2235,2191,2236,22674,8967.0,4450000.0
2016-03-04,2213,2246,2213,2236,426,8967.0,4450000.0
2016-03-07,2202,2235,2202,2230,9975,8944.0,4450000.0
2016-03-08,2218,2224,2196,2225,23872,8922.0,4450000.0
2016-03-09,2224,2224,2213,2225,849,8922.0,4450000.0
2016-03-10,2218,2230,2207,2219,5904,8900.0,4450000.0
2016-03-11,2218,2224,2207,2219,8097,8900.0,4450000.0
2016-03-14,2218,2218,2202,2219,17112,8900.0,4450000.0
2016-03-15,2218,2285,2207,2241,25487,8989.0,4450000.0
2016-03-16,2241,2296,2230,2280,36001,9145.0,4450000.0
2016-03-17,2302,2390,2252,2291,157478,9189.0,4450000.0
2016-03-18,2440,2440,2285,2358,102703,9456.0,4450000.0
2016-03-21,2363,2407,2341,2369,238641,9501.0,4450000.0
2016-03-22,2379,2446,2368,2446,106184,9812.0,4450000.0
2016-03-23,2230,2263,2191,2202,329667,8833.0,4450000.0
2016-03-24,2218,2218,2191,2191,62953,8789.0,4450000.0
2016-03-25,2202,2218,2174,2219,91260,8900.0,4450000.0
2016-03-28,2252,2252,2191,2202,25222,8833.0,4450000.0
2016-03-29,2202,2202,2174,2197,47978,8811.0,4450000.0
2016-03-30,2180,2196,2180,2186,12959,8766.0,4450000.0
2016-03-31,2180,2191,2180,2191,18220,8789.0,4450000.0
2016-04-01,2174,2202,2174,2186,11775,8766.0,4450000.0
2016-04-04,2180,2196,2180,2197,17784,8811.0,4450000.0
2016-04-05,2207,2207,2191,2202,20180,8833.0,4450000.0
2016-04-06,2218,2224,2202,2208,25185,8856.0,4450000.0
2016-04-07,2207,2213,2191,2213,1848,8878.0,4450000.0
2016-04-08,2207,2218,2191,2213,3037,8878.0,4450000.0
2016-04-11,2196,2241,2196,2208,5620,8856.0,4450000.0
2016-04-12,2207,2207,2180,2208,13373,8856.0,4450000.0
2016-04-14,2207,2207,2196,2208,6385,8856.0,4450000.0
2016-04-15,2185,2207,2185,2191,21992,8789.0,4450000.0
2016-04-18,2191,2196,2174,2186,5465,8766.0,4450000.0
2016-04-19,2185,2207,2185,2202,10137,8833.0,4450000.0
2016-04-20,2213,2218,2174,2180,17770,8744.0,4450000.0
2016-04-21,2196,2202,2185,2186,279,8766.0,4450000.0
2016-04-22,2185,2191,2174,2191,14760,8789.0,4450000.0
2016-04-25,2191,2207,2163,2164,13339,8678.0,4450000.0
2016-04-26,2163,2213,2163,2180,5925,8744.0,4450000.0
2016-04-27,2196,2202,2180,2202,4229,8833.0,4450000.0
2016-04-28,2207,2213,2202,2202,2427,8833.0,4450000.0
2016-04-29,2185,2213,2185,2213,7482,8878.0,4450000.0
2016-05-02,2213,2213,2174,2191,6481,8789.0,4450000.0
2016-05-03,2207,2213,2185,2191,1753,8789.0,4450000.0
2016-05-04,2185,2207,2180,2202,12968,8833.0,4450000.0
2016-05-09,2185,2185,2185,2186,1004,8766.0,4450000.0
2016-05-10,2185,2207,2180,2180,1724,8744.0,4450000.0
2016-05-11,2196,2196,2180,2180,405,8744.0,4450000.0
2016-05-12,2180,2191,2169,2175,32134,8722.0,4450000.0
2016-05-13,2218,2218,2169,2175,20144,8722.0,4450000.0
2016-05-16,2174,2196,2174,2191,9028,8789.0,4450000.0
2016-05-17,2185,2196,2174,2191,21479,8789.0,4450000.0
2016-05-18,2185,2196,2169,2191,4567,8789.0,4450000.0
2016-05-19,2180,2191,2163,2175,23156,8722.0,4450000.0
2016-05-20,2174,2207,2169,2197,13699,8811.0,4450000.0
2016-05-23,2196,2202,2180,2186,5731,8766.0,4450000.0
2016-05-24,2185,2196,2185,2197,92,8811.0,4450000.0
2016-05-25,2196,2196,2185,2186,9892,8766.0,4450000.0
2016-05-26,2185,2191,2174,2191,2260,8789.0,4450000.0
2016-05-27,2174,2185,2163,2180,22191,8744.0,4450000.0
2016-05-30,2157,2180,2152,2175,43341,8722.0,4450000.0
2016-05-31,2174,2174,2157,2175,4301,8722.0,4450000.0
2016-06-01,2174,2174,2141,2158,10963,8655.0,4450000.0
2016-06-02,2163,2163,2152,2164,3154,8678.0,4450000.0
2016-06-03,2157,2163,2157,2158,43503,8655.0,4450000.0
2016-06-07,2157,2157,2091,2158,179615,8655.0,4450000.0
2016-06-08,2169,2191,2152,2169,15979,8700.0,4450000.0
2016-06-09,2163,2169,2152,2169,712,8700.0,4450000.0
2016-06-10,2152,2180,2152,2180,3324,8744.0,4450000.0
2016-06-13,2174,2174,2157,2175,2222,8722.0,4450000.0
2016-06-14,2174,2180,2152,2180,291,8744.0,4450000.0
2016-06-15,2180,2191,2163,2186,1055,8766.0,4450000.0
2016-06-16,2185,2218,2180,2213,60418,8878.0,4450000.0
2016-06-17,2207,2207,2152,2202,1156,8833.0,4450000.0
2016-06-20,2163,2185,2163,2180,16,8744.0,4450000.0
2016-06-21,2174,2207,2163,2191,4526,8789.0,4450000.0
2016-06-22,2163,2196,2163,2197,193,8811.0,4450000.0
2016-06-23,2196,2196,2185,2186,2,8766.0,4450000.0
2016-06-24,2185,2185,2157,2158,3177,8655.0,4450000.0
2016-06-27,2152,2196,2152,2169,21467,8700.0,4450000.0
2016-06-28,2169,2191,2163,2191,15481,8789.0,4450000.0
2016-06-29,2152,2207,2130,2175,43573,8722.0,4450000.0
2016-06-30,2174,2218,2157,2208,27712,8856.0,4450000.0
2016-07-01,2218,2241,2218,2230,29471,8944.0,4450000.0
2016-07-04,2191,2235,2191,2236,132,8967.0,4450000.0
2016-07-05,2230,2235,2213,2230,10702,8944.0,4450000.0
2016-07-06,2218,2224,2213,2213,3018,8878.0,4450000.0
2016-07-07,2213,2224,2213,2225,22780,8922.0,4450000.0
2016-07-08,2224,2224,2218,2225,4186,8922.0,4450000.0
2016-07-11,2224,2241,2207,2236,5117,8967.0,4450000.0
2016-07-12,2218,2268,2218,2263,12911,9078.0,4450000.0
2016-07-13,2268,2268,2235,2263,8137,9078.0,4450000.0
2016-07-14,2224,2257,2224,2236,5129,8967.0,4450000.0
2016-07-15,2230,2241,2230,2236,10457,8967.0,4450000.0
2016-07-18,2218,2241,2218,2241,15632,8989.0,4450000.0
2016-07-19,2230,2235,2230,2236,3820,8967.0,4450000.0
2016-07-20,2218,2224,2191,2208,6204,8856.0,4450000.0
2016-07-21,2218,2241,2213,2219,1714,8900.0,4450000.0
2016-07-22,2252,2252,2196,2219,7982,8900.0,4450000.0
2016-07-25,2207,2235,2202,2236,63,8967.0,4450000.0
2016-07-26,2218,2252,2207,2252,1526,9034.0,4450000.0
2016-07-27,2218,2218,2202,2202,83,8833.0,4450000.0
2016-07-28,2207,2213,2202,2213,5108,8878.0,4450000.0
2016-07-29,2196,2241,2196,2219,3176,8900.0,4450000.0
2016-08-01,2213,2224,2202,2225,1454,8922.0,4450000.0
2016-08-02,2230,2235,2207,2236,51400,8967.0,4450000.0
2016-08-03,2230,2268,2230,2269,29682,9100.0,4450000.0
2016-08-04,2230,2291,2218,2291,217,9189.0,4450000.0
2016-08-05,2230,2307,2230,2236,784,8967.0,4450000.0
2016-08-08,2224,2307,2213,2230,2766,8944.0,4450000.0
2016-08-09,2213,2246,2213,2247,1681,9011.0,4450000.0
2016-08-10,2213,2218,2213,2219,518,8900.0,4450000.0
2016-08-11,2257,2257,2218,2252,2157,9034.0,4450000.0
2016-08-12,2224,2252,2218,2252,2006,9034.0,4450000.0
2016-08-16,2218,2241,2202,2241,4957,8989.0,4450000.0
2016-08-17,2202,2230,2202,2230,2955,8944.0,4450000.0
2016-08-18,2202,2213,2202,2202,10678,8833.0,4450000.0
2016-08-19,2202,2207,2196,2202,11262,8833.0,4450000.0
2016-08-22,2202,2213,2196,2202,6616,8833.0,4450000.0
2016-08-23,2202,2230,2202,2230,2414,8944.0,4450000.0
2016-08-24,2207,2224,2207,2225,5375,8922.0,4450000.0
2016-08-25,2207,2241,2207,2225,9050,8922.0,4450000.0
2016-08-26,2218,2280,2218,2230,5511,8944.0,4450000.0
2016-08-29,2218,2246,2218,2236,5104,8967.0,4450000.0
2016-08-30,2252,2257,2235,2241,10367,8989.0,4450000.0
2016-08-31,2268,2268,2235,2247,1281,9011.0,4450000.0
2016-09-01,2230,2241,2230,2241,11296,8989.0,4450000.0
2016-09-02,2224,2329,2218,2236,60342,8967.0,4450000.0
2016-09-05,2296,2296,2230,2230,25289,8944.0,4450000.0
2016-09-06,2230,2241,2224,2230,14331,8944.0,4450000.0
2016-09-07,2230,2230,2224,2230,22886,8944.0,4450000.0
2016-09-08,2218,2274,2218,2241,11554,8989.0,4450000.0
2016-09-09,2218,2246,2218,2247,10540,9011.0,4450000.0
2016-09-12,2235,2235,2235,2236,378,8967.0,4450000.0
2016-09-13,2224,2246,2218,2247,355,9011.0,4450000.0
2016-09-19,2224,2230,2218,2230,6549,8944.0,4450000.0
2016-09-20,2224,2224,2218,2219,8637,8900.0,4450000.0
2016-09-21,2218,2235,2213,2225,8095,8922.0,4450000.0
2016-09-22,2218,2218,2218,2219,584,8900.0,4450000.0
2016-09-23,2218,2218,2213,2219,9799,8900.0,4450000.0
2016-09-26,2218,2218,2213,2213,2379,8878.0,4450000.0
2016-09-27,2218,2218,2207,2219,2508,8900.0,4450000.0
2016-09-28,2224,2224,2202,2219,783,8900.0,4450000.0
2016-09-29,2224,2224,2207,2208,14617,8856.0,4450000.0
2016-09-30,2196,2218,2191,2219,27346,8900.0,4450000.0
2016-10-04,2213,2218,2191,2219,4681,8900.0,4450000.0
2016-10-05,2213,2224,2207,2208,5512,8856.0,4450000.0
2016-10-06,2213,2218,2207,2208,4029,8856.0,4450000.0
2016-10-07,2213,2213,2207,2208,4773,8856.0,4450000.0
2016-10-10,2202,2213,2202,2213,2832,8878.0,4450000.0
2016-10-11,2213,2213,2207,2208,7033,8856.0,4450000.0
2016-10-12,2218,2218,2207,2219,3720,8900.0,4450000.0
2016-10-13,2213,2218,2207,2208,7025,8856.0,4450000.0
2016-10-14,2213,2213,2213,2213,1,8878.0,4450000.0
2016-10-17,2213,2213,2207,2208,3460,8856.0,4450000.0
2016-10-18,2207,2207,2207,2208,4298,8856.0,4450000.0
2016-10-19,2207,2207,2202,2202,3475,8833.0,4450000.0
2016-10-20,2207,2207,2202,2202,870,8833.0,4450000.0
2016-10-21,2196,2213,2196,2197,2274,8811.0,4450000.0
2016-10-24,2207,2207,2202,2202,129,8833.0,4450000.0
2016-10-25,2213,2213,2202,2202,415,8833.0,4450000.0
