카페24(042000),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2018-02-08,84500,94700,80000,84700,2261591,750286.0,8858157.0
2018-02-09,81500,83000,77000,77000,398614,682078.0,8858157.0
2018-02-12,78300,79600,69300,75700,532767,670562.0,8858157.0
2018-02-13,76800,80900,74800,75500,233348,668791.0,8858157.0
2018-02-14,76500,77600,72100,75500,160600,668791.0,8858157.0
2018-02-19,76500,78100,75300,76500,95289,677649.0,8858157.0
2018-02-20,77800,88400,76600,85900,525809,760916.0,8858157.0
2018-02-21,85600,94000,85100,90500,500154,801663.0,8858157.0
2018-02-22,91000,96000,90100,92500,298440,819380.0,8858157.0
2018-02-23,93900,96500,90900,96200,265634,852155.0,8858157.0
2018-02-26,98000,99900,91300,94300,255462,835324.0,8858157.0
2018-02-27,94800,95600,91900,91900,104942,814065.0,8858157.0
2018-02-28,93900,94000,89900,91200,99392,807864.0,8858157.0
2018-03-02,89700,90400,87900,90400,108528,800777.0,8858157.0
2018-03-05,90000,91200,85200,85600,144990,758258.0,8858157.0
2018-03-06,86500,87900,85100,85900,73612,760916.0,8858157.0
2018-03-07,86200,87600,81500,83800,156647,742314.0,8858157.0
2018-03-08,83500,90200,82300,90000,292772,797234.0,8858157.0
2018-03-09,89900,92900,87500,89200,133249,790148.0,8858157.0
2018-03-12,89700,91300,88200,89100,68645,789262.0,8858157.0
2018-03-13,89800,96000,89700,96000,308835,850383.0,8858157.0
2018-03-14,95300,99700,94900,99100,266708,877843.0,8858157.0
2018-03-15,99100,105700,97600,105100,464054,930992.0,8858157.0
2018-03-16,104500,108800,103600,107300,304630,950480.0,8858157.0
2018-03-19,107300,107300,102700,105000,157828,930106.0,8858157.0
2018-03-20,103500,107600,101400,106600,164042,944280.0,8858157.0
2018-03-21,109200,112600,105700,112300,256884,994771.0,8858157.0
2018-03-22,112300,121400,112200,119800,531705,1061207.0,8858157.0
2018-03-23,117700,127300,116900,122500,456909,1085124.0,8858157.0
2018-03-26,126000,127100,113500,123200,340423,1091325.0,8858157.0
2018-03-27,124200,129900,115100,118000,414614,1045263.0,8858157.0
2018-03-28,116000,122600,115000,120000,296917,1062979.0,8858157.0
2018-03-29,121500,122000,116000,118700,140422,1051463.0,8858157.0
2018-03-30,120200,128000,118800,127500,269896,1129415.0,8858157.0
2018-04-02,128000,129700,124000,127000,133623,1124986.0,8858157.0
2018-04-03,125100,130000,124700,129100,126406,1143588.0,8858157.0
2018-04-04,131800,135000,130700,131600,252777,1165733.0,8858157.0
2018-04-05,133500,142300,133400,140000,311587,1240142.0,8858157.0
2018-04-06,143000,147000,130500,130500,339308,1155989.0,8858157.0
2018-04-09,131700,144300,131500,143200,263736,1268488.0,8858157.0
2018-04-10,144800,146500,138000,142300,190804,1260516.0,8858157.0
2018-04-11,142600,144000,132900,137900,245847,1221540.0,8858157.0
2018-04-12,137900,139500,131100,137700,179914,1219768.0,8858157.0
2018-04-13,139800,143900,137600,139300,132637,1233941.0,8858157.0
2018-04-16,138300,140000,133400,135500,117473,1200280.0,8858157.0
2018-04-17,135400,139500,133000,135500,104284,1200280.0,8858157.0
2018-04-18,138400,141700,137000,139900,230128,1239256.0,8858157.0
2018-04-19,143000,149100,141500,148900,300414,1318980.0,8858157.0
2018-04-20,150500,154500,137500,139800,340802,1238370.0,8858157.0
2018-04-23,140100,143600,134700,135800,160668,1202938.0,8858157.0
2018-04-24,136000,137500,125900,127000,295690,1124986.0,8858157.0
2018-04-25,124300,126400,115500,119000,415598,1054121.0,8858157.0
2018-04-26,121000,125300,117500,123000,205554,1089553.0,8858157.0
2018-04-27,125400,132000,123500,131600,218960,1165733.0,8858157.0
2018-04-30,132900,136000,130600,135300,144396,1198509.0,8858157.0
2018-05-02,133700,145200,130800,143600,213220,1272031.0,8858157.0
2018-05-03,143900,144900,127200,130000,201229,1151560.0,8858157.0
2018-05-04,131400,136500,127800,132500,125438,1173706.0,8858157.0
2018-05-08,128000,132500,123100,126000,228735,1116128.0,8858157.0
2018-05-09,126000,129000,122400,127600,95698,1130301.0,8858157.0
2018-05-10,127100,128500,122800,123700,85061,1095754.0,8858157.0
2018-05-11,126700,132500,125100,132100,200732,1170163.0,8858157.0
2018-05-14,132300,140000,128000,139900,207790,1239256.0,8858157.0
2018-05-15,142000,143100,135200,137700,157686,1219768.0,8858157.0
2018-05-16,138200,139100,134500,138800,90295,1229512.0,8858157.0
2018-05-17,140100,141200,136800,138800,79122,1229512.0,8858157.0
2018-05-18,137400,141500,137400,139700,81562,1237485.0,8858157.0
2018-05-21,141500,151000,140800,149600,233025,1325180.0,8858157.0
