넥슨지티(041140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2000-07-25,1057774,1057774,1057774,1057775,123251,18000.0,4000000.0
2000-07-26,1184733,1184733,1133014,1184708,933305,20160.0,4000000.0
2000-07-27,1325768,1325768,1297557,1325745,206292,22560.0,4000000.0
2000-07-28,1483259,1483259,1483259,1483236,21301,25240.0,4000000.0
2000-07-31,1621917,1621917,1306947,1365705,1664073,23240.0,4000000.0
2000-08-01,1292862,1455051,1245848,1297537,756717,22080.0,4000000.0
2000-08-02,1351615,1415101,1269355,1335147,719381,22720.0,4000000.0
2000-08-03,1339863,1495012,1339863,1494989,840297,25440.0,4000000.0
2000-08-04,1581985,1640743,1339871,1386861,1036795,23600.0,4000000.0
2000-08-07,1386887,1452710,1339869,1382159,391255,23520.0,4000000.0
2000-08-08,1382189,1433907,1269353,1306940,455656,22240.0,4000000.0
2000-08-09,1292843,1415084,1274041,1328095,539614,22600.0,4000000.0
2000-08-10,1276377,1410385,1276377,1356303,406355,23080.0,4000000.0
2000-08-11,1318695,1351606,1194122,1210565,278740,20600.0,4000000.0
2000-08-14,1154187,1222347,1128315,1147098,203618,19520.0,4000000.0
2000-08-16,1071896,1252893,1071896,1170604,269087,19920.0,4000000.0
2000-08-17,1095383,1151800,1081275,1104788,185771,18800.0,4000000.0
2000-08-18,1198818,1219960,1071879,1114189,130349,18960.0,4000000.0
2000-08-21,1116558,1116558,1010760,1034269,93318,17600.0,4000000.0
2000-08-22,987269,1050751,975525,1008412,137148,17160.0,4000000.0
2000-08-23,1013136,1128312,982565,1022516,391791,17400.0,4000000.0
2000-08-24,1046057,1046057,900309,904985,575125,15400.0,4000000.0
2000-08-25,857968,890879,822723,848570,165865,14440.0,4000000.0
2000-08-28,853284,886195,825073,846220,308155,14400.0,4000000.0
2000-08-29,827437,881490,827437,850921,189620,14480.0,4000000.0
2000-08-30,846254,952026,846254,909686,1000414,15480.0,4000000.0
2000-08-31,916767,1017839,886195,1017815,607159,17320.0,4000000.0
2000-09-01,1057787,1102466,989630,1064827,662566,18120.0,4000000.0
2000-09-04,1057774,1083646,1020163,1043671,262695,17760.0,4000000.0
2000-09-05,1034278,1093061,989629,1074230,265464,18280.0,4000000.0
2000-09-06,1104797,1201189,1083654,1093034,1270954,18600.0,4000000.0
2000-09-07,1142422,1187096,963789,999010,770581,17000.0,4000000.0
2000-09-08,952009,1020166,916734,987257,243429,16800.0,4000000.0
2000-09-14,940237,1003719,933198,977854,98791,16640.0,4000000.0
2000-09-15,919112,991972,886201,928491,167551,15800.0,4000000.0
2000-09-18,869726,886194,818037,869726,162699,14800.0,4000000.0
2000-09-19,766323,820381,766323,766300,134918,13040.0,4000000.0
2000-09-20,742814,799232,742814,785104,79544,13360.0,4000000.0
2000-09-21,754562,792172,691100,705183,131701,12000.0,4000000.0
2000-09-22,660561,705215,620586,620561,59322,10560.0,4000000.0
2000-09-25,646415,693428,629972,693430,93348,11800.0,4000000.0
2000-09-26,731052,775726,705205,775701,232240,13200.0,4000000.0
2000-09-27,787474,867399,785135,867376,345625,14760.0,4000000.0
2000-09-28,888555,902663,813334,850921,131954,14480.0,4000000.0
2000-09-29,850957,890912,836854,857973,164404,14600.0,4000000.0
2000-10-02,834480,841544,756920,756897,373851,12880.0,4000000.0
2000-10-04,707538,799231,681691,794507,282681,13520.0,4000000.0
2000-10-05,801567,888531,801567,888531,344020,15120.0,4000000.0
2000-10-06,914405,940252,806269,869726,521744,14800.0,4000000.0
2000-10-09,930857,973172,876799,919089,1156301,15640.0,4000000.0
2000-10-10,919118,930881,869764,881479,347372,15000.0,4000000.0
2000-10-11,848588,923814,778067,780403,260877,13280.0,4000000.0
2000-10-12,740449,843881,740449,813312,317470,13840.0,4000000.0
2000-10-13,778063,787466,716941,756897,227033,12880.0,4000000.0
2000-10-16,799219,843868,787450,843870,259552,14360.0,4000000.0
2000-10-17,799221,912056,742803,773351,379589,13160.0,4000000.0
2000-10-18,752203,810961,719297,787455,154032,13400.0,4000000.0
2000-10-19,763962,829779,763962,775701,169905,13200.0,4000000.0
2000-10-20,799231,839180,787462,794507,292219,13520.0,4000000.0
2000-10-23,773354,850944,763956,850921,305300,14480.0,4000000.0
2000-10-24,862674,916727,813320,853272,918518,14520.0,4000000.0
2000-10-25,846232,867374,815661,839168,331219,14280.0,4000000.0
2000-10-26,834479,916748,810972,865025,928086,14720.0,4000000.0
2000-10-27,883845,921460,761606,773351,573776,13160.0,4000000.0
2000-10-30,799239,808638,712245,752195,367545,12800.0,4000000.0
2000-10-31,752217,792167,669928,771000,407376,13120.0,4000000.0
2000-11-01,792156,815663,763944,768649,300771,13080.0,4000000.0
2000-11-02,775718,860322,756911,860324,610829,14640.0,4000000.0
2000-11-03,879168,923817,846257,867376,683472,14760.0,4000000.0
2000-11-06,893232,905001,867385,893232,275890,15200.0,4000000.0
2000-11-07,907374,973171,893271,904985,879564,15400.0,4000000.0
2000-11-08,897957,982562,869751,935543,786402,15920.0,4000000.0
2000-11-09,904996,963778,895592,959049,529673,16320.0,4000000.0
2000-11-10,996661,1024867,923800,940245,927726,16000.0,4000000.0
2000-11-13,905010,966132,886202,942595,389083,16040.0,4000000.0
2000-11-14,973158,1055448,966120,1055424,410749,17960.0,4000000.0
2000-11-15,1172975,1180014,1010760,1034269,1846552,17600.0,4000000.0
2000-11-16,1060141,1102456,956709,987257,574990,16800.0,4000000.0
2000-11-17,975524,1008434,944978,989607,435154,16840.0,4000000.0
2000-11-20,999023,1088352,977851,1010763,835853,17200.0,4000000.0
2000-11-21,975514,999021,904993,940245,336979,16000.0,4000000.0
2000-11-22,940256,996674,928517,961400,370948,16360.0,4000000.0
2000-11-23,975535,1022554,846256,862674,793491,14680.0,4000000.0
2000-11-24,869721,895593,806264,874427,267927,14880.0,4000000.0
2000-11-27,879138,973171,879138,942595,435567,16040.0,4000000.0
2000-11-28,928504,959080,846245,846220,206143,14400.0,4000000.0
2000-11-29,768661,815675,768661,785104,178751,13360.0,4000000.0
2000-11-30,785120,808627,726337,763949,144330,13000.0,4000000.0
2000-12-01,705205,799233,698136,789806,210128,13440.0,4000000.0
2000-12-04,803920,818023,763945,773351,155581,13160.0,4000000.0
2000-12-05,775710,792154,756907,787455,150888,13400.0,4000000.0
2000-12-06,813324,834466,759246,759248,245409,12920.0,4000000.0
2000-12-07,742816,775727,731048,742793,114029,12640.0,4000000.0
2000-12-08,768647,829764,768647,829766,921553,14120.0,4000000.0
